,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-09,101.08M,0.00,,0.00,48.08M,48.08M,,,2.289M,4.431M,,24.52M,-30.51M,9.568M,,3.577M,160.58M,,-1.525M,,-1.525M,-0.351M,,0.00,-38.20M,,17.30M,,17.30M,0.00,,0.00,,,-98.29M,-98.29M,1.266M,-10.06M,-89.79M,,48.41M,32.60M,81.01M,,0.00,370.72M,-353.43M,,0.542M,39.34M,,AOR,Restated
2017-06,94.10M,6.019M,,6.019M,46.63M,46.63M,,,2.965M,4.27M,,11.98M,12.30M,-3.582M,,20.70M,175.93M,,-2.818M,,-2.818M,-1.151M,,0.00,-44.41M,,-15.08M,,-15.08M,,,,,,-98.26M,-98.26M,,-11.31M,-124.65M,,41.54M,6.87M,48.41M,,,483.45M,-498.53M,,2.485M,30.24M,,AOR,Restated
2017-03,89.73M,,,,49.43M,49.43M,,,1.99M,4.372M,,-30.07M,2.898M,-6.359M,,-33.53M,113.12M,,-1.292M,,-1.292M,-0.938M,,44.87M,-1.743M,,-18.92M,,-18.92M,,,,,,-98.21M,-98.21M,0.00,-10.45M,-127.58M,,57.74M,-16.20M,41.54M,,,169.00M,-187.92M,,5.059M,37.57M,,AOR,Restated
2016-12,90.42M,-3.418M,,-3.418M,49.16M,49.16M,,,2.037M,4.754M,-0.923M,-0.863M,14.44M,-2.965M,,9.694M,153.10M,,-2.15M,,-2.15M,2.411M,,-20.80M,-344.58M,,316.48M,,316.48M,0.001M,,0.001M,,,-98.19M,-98.19M,1.132M,-19.64M,199.79M,,18.69M,8.312M,57.74M,,0.001M,873.38M,-556.90M,,4.051M,27.68M,,AOR,Restated
2016-09,127.23M,-64.43M,,-64.43M,46.56M,46.56M,,,1.915M,31.80M,-0.797M,11.34M,-14.87M,6.615M,,2.285M,146.49M,,-0.69M,,-0.69M,4.292M,,-9.084M,-298.32M,,191.48M,,191.48M,50.05M,,50.05M,,,-98.12M,-98.12M,-0.001M,-13.95M,129.46M,,41.06M,-22.37M,18.69M,,50.05M,534.10M,-342.62M,,2.297M,34.91M,,AOR,Restated
2016-06,90.04M,17.11M,,17.11M,43.95M,43.95M,,,2.383M,-21.69M,4.598M,5.24M,4.09M,-2.457M,,11.47M,144.20M,,-1.22M,,-1.22M,-13.52M,,58.16M,-147.32M,,104.29M,,104.29M,-0.205M,,-0.205M,,,-97.69M,-97.69M,0.30M,-12.27M,-5.575M,,49.75M,-8.695M,41.06M,,-0.205M,296.90M,-192.62M,,3.681M,34.80M,,AOR,Restated
2016-03,89.41M,-26.92M,,-26.92M,42.90M,42.90M,,,1.71M,2.158M,-2.878M,-5.642M,-5.276M,-0.985M,,-14.78M,95.47M,,-0.908M,,-0.908M,-4.476M,,-11.92M,-258.67M,,143.48M,,143.48M,73.57M,,73.57M,,,-73.83M,-73.83M,0.013M,-6.082M,137.16M,,75.80M,-26.05M,49.75M,,73.57M,195.98M,-52.50M,,4.835M,24.87M,,AOR,Restated
2015-12,11.74M,0.00,,0.00,40.77M,40.77M,,,1.67M,3.652M,0.811M,-10.67M,18.85M,13.72M,,22.70M,81.05M,,-2.559M,,-2.559M,-1.159B,,120.34M,-1.139B,,105.54M,,105.54M,-0.032M,,-0.032M,,,-73.23M,-73.23M,0.118M,-13.95M,18.45M,,1.116B,-1.040B,75.80M,,-0.032M,403.05M,-297.51M,,0.227M,29.47M,,AOR,Restated
2015-09,78.20M,-1.101M,,-1.101M,30.71M,30.71M,,,1.59M,1.989M,-0.945M,6.925M,-17.06M,2.125M,,-8.956M,102.99M,,-2.229M,,-2.229M,-0.488M,,-203.20M,-233.64M,,1.120B,,1.120B,30.27M,,30.27M,,,-72.60M,-72.60M,0.322M,-8.188M,1.070B,,175.89M,939.64M,1.116B,,30.27M,1.390B,-269.62M,,0.124M,19.06M,,AOR,Restated
2015-06,60.96M,-0.40M,,-0.40M,31.55M,31.55M,,,1.653M,1.491M,1.065M,-2.175M,-0.324M,1.172M,,-0.262M,95.85M,,-1.408M,,-1.408M,0.00,,9.926M,-161.28M,,-143.41M,,-143.41M,416.64M,,416.64M,,,-68.74M,-68.74M,0.132M,-8.609M,196.02M,,45.30M,130.59M,175.89M,,416.64M,601.37M,-744.78M,,0.77M,19.23M,,AOR,Restated
