,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-09,11.34M,,1.878M,1.878M,10.60M,10.60M,0.897M,-1.054M,0.736M,0.579M,-2.724M,8.588M,1.692M,-5.002M,,2.554M,26.95M,,-0.334M,,-0.334M,,-13.93M,-1.114M,-15.38M,,101.62M,,101.62M,0.00,,0.00,-100.00M,-100.00M,-14.85M,-14.85M,0.306M,-2.61M,-15.53M,,45.79M,-3.96M,41.83M,,0.00,3.955M,97.67M,-100.00M,,12.82M,,AOR,Restated
2007-06,8.695M,,3.191M,3.191M,9.123M,9.123M,1.56M,,0.875M,0.286M,-2.355M,3.558M,3.353M,2.624M,-2.232M,4.948M,26.24M,,41.39M,,41.39M,,-208.30M,296.93M,130.02M,,-135.16M,,-135.16M,-0.732M,,-0.732M,,,-14.75M,-14.75M,1.033M,4.025M,-145.58M,,35.11M,10.68M,45.79M,,-0.732M,0.693M,-135.85M,,,24.93M,,AOR,Restated
2007-03,6.47M,,,,8.796M,8.796M,,,,2.149M,9.914M,-3.899M,,,2.232M,8.247M,25.66M,,-41.89M,,-41.89M,,-5.583M,-288.17M,-335.65M,,294.76M,,294.76M,0.732M,,0.732M,,,-14.62M,-14.62M,,-6.579M,274.30M,,70.80M,-35.69M,35.11M,,0.732M,295.45M,-0.692M,,,,,AOR,Restated
2006-12,6.739M,,,,9.586M,9.586M,,,,3.138M,-8.816M,4.064M,,,1.458M,-3.294M,16.17M,,-55.44M,0.00,-55.44M,,-0.319M,-25.88M,-81.63M,,2.887M,,2.887M,-0.446M,,-0.446M,,,-14.60M,-14.60M,,-3.265M,-15.42M,,151.69M,-80.88M,70.80M,,-0.446M,36.54M,-33.65M,,,,,AOR,Restated
2006-09,4.307M,,,,9.253M,9.253M,-1.546M,,,3.921M,4.729M,2.29M,,,1.498M,8.517M,24.45M,,-51.49M,0.00,-51.49M,,-3.519M,4.717M,-50.30M,,-9.091M,,-9.091M,195.34M,,195.34M,,,-11.85M,-11.85M,,-1.122M,173.28M,,4.25M,147.44M,151.69M,,195.34M,31.52M,-40.62M,,,,,AOR,Restated
2006-06,3.092M,,,,9.057M,9.057M,0.938M,,,2.083M,4.797M,-2.84M,,,4.107M,6.064M,21.23M,,-55.16M,0.00,-55.16M,,-1.626M,-5.024M,-61.81M,,46.42M,,46.42M,0.036M,,0.036M,,,-11.78M,-11.78M,,-0.909M,33.76M,,11.06M,-6.811M,4.25M,,0.036M,66.97M,-20.55M,,,,,AOR,Restated
2006-03,0.738M,,,,9.276M,9.276M,0.608M,,,1.492M,7.093M,-5.935M,,,1.758M,2.916M,15.03M,,-48.69M,0.728M,-47.97M,,1.615M,0.307M,-46.04M,,26.59M,,26.59M,0.091M,,0.091M,,,-11.78M,-11.78M,,-1.478M,13.42M,,28.65M,-17.59M,11.06M,,0.091M,30.64M,-4.049M,,,,,AOR,Restated
2005-12,-0.247M,,,,9.527M,9.527M,,,,8.988M,7.418M,2.547M,28.86M,0.794M,-27.76M,11.86M,30.13M,,-21.70M,0.00,-21.70M,528.70M,34.91M,-538.67M,3.242M,,-187.22M,,-187.22M,190.21M,,190.21M,,,-11.78M,-11.78M,,-3.028M,-11.81M,,7.093M,21.56M,28.65M,,190.21M,157.35M,-344.56M,,,,,AOR,Restated
2005-09,-2.859M,,,,9.535M,9.535M,,,,0.262M,-25.35M,1.925M,-21.35M,-2.697M,23.42M,-24.05M,-17.11M,,-6.691M,0.00,-6.691M,-458.74M,-6.08M,-69.96M,-541.47M,,485.47M,,485.47M,-0.028M,,-0.028M,,,-8.626M,-8.626M,,-6.187M,470.63M,,95.04M,-87.95M,7.093M,,-0.028M,528.86M,-43.39M,,,,,AOR,Restated
2005-06,-1.22M,,,,6.213M,6.213M,,,,-0.048M,-1.01M,-0.338M,-7.506M,1.903M,3.195M,-3.756M,1.189M,,-16.73M,0.00,-16.73M,-69.96M,-2.20M,69.96M,-18.93M,,79.43M,,79.43M,81.36M,,81.36M,,,-7.091M,-7.091M,,-53.20M,100.49M,,12.29M,82.76M,95.04M,,81.36M,122.73M,-43.30M,,,,,AOR,Restated
2005-03,-0.64M,,,,5.73M,5.73M,,,,0.013M,0.247M,-1.825M,,,-0.269M,-1.847M,3.256M,,-56.59M,0.00,-56.59M,,-1.088M,,-57.68M,,,,,0.00,,0.00,,,-7.091M,-7.091M,,49.47M,42.38M,,24.33M,-12.04M,12.29M,,0.00,,,,,,,AOR,Restated
2004-12,-0.317M,1.749M,,1.749M,4.729M,4.729M,,,,-1.454M,0.361M,5.281M,0.31M,4.025M,-5.642M,4.335M,9.042M,,-25.16M,0.00,-25.16M,-27.52M,-6.319M,33.82M,-25.19M,,-396.33M,,-396.33M,-0.001M,0.001M,0.00,,,-7.092M,-7.092M,,411.89M,8.467M,,32.01M,-7.677M,24.33M,,-0.001M,41.81M,-438.14M,0.001M,,,,AOR,Restated
2004-09,-5.077M,-1.749M,,-1.749M,5.057M,5.057M,,,,0.141M,-5.146M,2.366M,-1.553M,-7.80M,4.682M,-7.451M,-9.079M,,-94.01M,1.49M,-92.52M,-218.19M,7.551M,221.69M,-81.47M,,-62.11M,,-62.11M,283.60M,-19.13M,264.48M,,,-3.468M,-3.468M,,-79.12M,119.78M,,2.775M,29.23M,32.01M,,283.60M,50.47M,-112.58M,-19.13M,,,,AOR,Restated
2004-06,-7.036M,,,,3.089M,3.089M,,,,2.054M,2.171M,-5.777M,0.669M,-0.218M,1.704M,-1.451M,-3.344M,,-61.37M,0.00,-61.37M,0.00,-4.822M,-3.397M,-69.58M,,67.16M,,67.16M,-19.48M,0.155M,-19.32M,,,,0.00,,24.29M,72.12M,,3.582M,-0.807M,2.775M,,-19.48M,137.36M,-70.20M,0.155M,,,,AOR,Restated
2004-03,-6.032M,,,,2.677M,2.677M,,,,1.029M,0.041M,0.15M,-0.669M,0.218M,-0.191M,-0.451M,-2.777M,,-86.24M,6.406M,-79.84M,0.00,-2.811M,-2.413M,-85.06M,,65.37M,,65.37M,19.48M,-0.155M,19.32M,,,,0.00,,-5.022M,79.67M,,11.75M,-8.164M,3.582M,,19.48M,188.51M,-123.14M,-0.155M,,,,,Restated
