,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,17.91B,17.91B,11.30B,1.835B,12.71B,1.583B,2.171B,,,875.00M,35.25B,0.00,1.035B,,,62.11B,4.449B,,67.60B,-35.52B,32.08B,77.69B,19.17B,96.86B,3.903B,,25.02B,8.433B,166.30B,201.55B,12.66B,,12.66B,4.138B,16.80B,5.711B,5.711B,4.116B,4.116B,,26.63B,52.92B,,52.92B,7.288B,,7.288B,6.451B,4.68B,9.249B,10.75B,86.66B,2020-09,54.50B,38.32B,907.00M,,83.58B,,2020-09,AOR,
2020-06,23.12B,23.12B,12.62B,,12.62B,1.559B,3.135B,,,899.00M,41.33B,0.00,1.02B,,,61.13B,4.38B,,66.53B,-34.64B,31.89B,77.23B,19.59B,96.82B,3.611B,,25.56B,8.435B,166.32B,207.65B,,,,,16.99B,10.22B,10.22B,3.707B,3.707B,,30.92B,54.20B,,54.20B,7.055B,,7.055B,,4.597B,9.162B,15.86B,86.27B,2020-06,54.39B,39.00B,907.00M,,85.87B,,2020-06,AOR,
2020-03,14.34B,14.34B,14.53B,,14.53B,1.531B,1.869B,,,1.003B,33.27B,0.00,1.019B,,,60.93B,3.916B,,65.86B,-33.71B,32.15B,80.32B,22.04B,102.36B,3.18B,,26.76B,8.575B,173.02B,206.29B,,,,,17.91B,12.68B,12.68B,4.891B,4.891B,,35.47B,42.77B,,42.77B,7.965B,,7.965B,,4.47B,9.096B,16.11B,75.94B,2020-03,54.23B,43.72B,907.00M,,90.41B,,2020-03,AOR,
2019-12,6.833B,6.833B,17.10B,,17.10B,1.571B,1.334B,,,938.00M,27.78B,0.00,1.019B,,,59.91B,4.023B,,64.95B,-33.06B,31.90B,80.31B,22.67B,102.98B,3.312B,,26.54B,8.443B,173.17B,200.95B,,,,,19.76B,10.02B,10.02B,5.024B,5.024B,,34.80B,38.06B,,38.06B,8.364B,,8.364B,,5.016B,9.029B,15.93B,71.38B,2019-12,54.00B,43.20B,907.00M,,89.76B,,2019-12,AOR,
2019-09,5.418B,5.418B,12.93B,2.894B,15.48B,1.649B,4.597B,,,979.00M,28.12B,0.00,1.165B,,,58.59B,4.264B,,64.02B,-32.42B,31.60B,80.29B,23.22B,103.51B,3.224B,,22.81B,4.715B,165.86B,193.98B,13.78B,,13.78B,3.984B,17.76B,8.857B,8.857B,4.722B,4.722B,,31.34B,38.13B,,38.13B,7.902B,,7.902B,4.783B,5.012B,8.963B,8.977B,68.75B,2019-09,53.91B,42.49B,907.00M,,88.88B,,2019-09,AOR,Restated
2019-06,6.728B,6.728B,15.94B,,15.67B,1.516B,4.526B,1.00M,,1.034B,31.37B,0.00,1.17B,,,57.46B,4.853B,,63.48B,-32.09B,31.39B,77.80B,25.11B,102.92B,3.872B,,22.55B,17.37B,178.10B,209.48B,,,,,17.65B,21.92B,21.92B,4.73B,4.73B,293.00M,44.59B,36.31B,,36.31B,10.40B,,10.40B,,5.884B,8.897B,10.56B,68.53B,2019-06,53.72B,41.38B,907.00M,,90.47B,,2019-06,AOR,Restated
2019-03,10.11B,10.11B,14.59B,,14.59B,1.445B,5.408B,9.00M,,1.248B,34.28B,0.00,1.174B,,,57.99B,4.984B,,64.15B,-33.13B,31.02B,75.06B,26.98B,102.04B,4.08B,,24.35B,18.57B,180.06B,214.34B,,,,,20.50B,19.16B,19.16B,4.281B,4.281B,434.00M,44.38B,37.80B,,37.80B,11.21B,,11.21B,,14.40B,1.103B,12.85B,65.63B,2019-03,53.42B,41.21B,907.00M,,89.94B,,2019-03,AOR,Restated
2018-12,4.455B,4.455B,10.12B,,10.12B,1.357B,824.00M,,,778.00M,17.54B,0.00,1.145B,,,55.38B,4.336B,,60.87B,-31.07B,29.80B,31.29B,6.747B,38.04B,2.97B,,8.177B,3.424B,82.40B,99.94B,,,,,10.70B,3.489B,3.489B,3.434B,3.434B,,17.62B,17.18B,,17.18B,3.177B,,3.177B,,4.077B,1.124B,6.452B,27.93B,2018-12,36.80B,84.89B,67.59B,,50.32B,,2018-12,AOR,Restated
2018-09,4.15B,4.15B,8.268B,1.258B,9.334B,1.392B,1.314B,,,635.00M,16.82B,0.00,7.035B,,19.40B,29.00B,3.942B,932.00M,60.30B,-30.76B,29.54B,31.27B,6.812B,38.08B,2.899B,,7.888B,3.365B,81.77B,98.60B,6.503B,,6.503B,2.976B,9.479B,3.79B,3.79B,4.591B,4.591B,,17.86B,17.08B,,17.08B,3.109B,,3.109B,2.712B,4.059B,1.123B,3.878B,27.91B,2018-09,36.78B,82.68B,67.59B,,48.77B,,2018-09,AOR,Restated
2018-06,4.326B,4.326B,10.07B,,10.07B,1.322B,1.241B,,,769.00M,17.73B,0.00,1.254B,,,55.28B,3.446B,,59.98B,-30.61B,29.37B,31.31B,6.892B,38.20B,3.155B,,7.684B,2.653B,81.06B,98.79B,,,,,9.763B,5.992B,5.992B,4.459B,4.459B,,20.21B,17.68B,,17.68B,3.222B,,3.222B,,3.983B,1.137B,6.467B,28.51B,2018-06,36.57B,80.36B,67.59B,,46.09B,,2018-06,AOR,Restated
