,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,3.115B,,-6.00M,-6.00M,,,731.00M,731.00M,103.00M,,100.00M,16.00M,374.00M,-1.00M,1.068B,-743.00M,,-450.00M,248.00M,,4.526B,2018-03,-1.063B,,-1.063B,-1.581B,,-118.00M,-2.762B,,3.00M,232.00M,235.00M,,-1.295B,-1.295B,-1.266B,-1.266B,41.00M,-13.00M,-2.298B,,4.695B,-534.00M,34.00M,4.195B,2018-03,0.00,,23.00M,-20.00M,-1.295B,,AOR,Restated
2017-12,4.473B,,-43.00M,-43.00M,,,742.00M,742.00M,-1.726B,,94.00M,139.00M,-1.378B,65.00M,-1.16B,5.00M,,856.00M,-1.612B,,2.237B,2017-12,-981.00M,,-981.00M,,,-62.00M,-1.043B,,-305.00M,1.14B,835.00M,,-1.313B,-1.313B,,,50.00M,-156.00M,-584.00M,,4.064B,610.00M,21.00M,4.695B,2017-12,,,1.025B,-1.33B,-1.313B,,AOR,Restated
2017-09,1.865B,,7.00M,-282.00M,,,708.00M,708.00M,40.00M,,86.00M,130.00M,893.00M,-98.00M,413.00M,-454.00M,,65.00M,819.00M,,3.57B,2017-09,-895.00M,,-895.00M,140.00M,,-66.00M,-821.00M,,139.00M,1.359B,1.498B,,-3.424B,-3.424B,-1.208B,-1.208B,20.00M,-53.00M,-3.167B,,4.428B,-418.00M,54.00M,4.064B,2017-09,,,767.00M,-628.00M,-3.424B,,AOR,Restated
2017-06,2.474B,,-124.00M,-124.00M,,,711.00M,711.00M,168.00M,,89.00M,112.00M,-502.00M,3.00M,1.153B,-323.00M,,152.00M,483.00M,,4.10B,2017-06,-805.00M,,-805.00M,0.00,,-95.00M,-900.00M,,1.497B,-1.026B,471.00M,,-2.444B,-2.444B,0.00,0.00,70.00M,-840.00M,-2.743B,,3.925B,457.00M,46.00M,4.428B,2017-06,,,2.00B,-503.00M,-2.444B,,AOR,Restated
2017-03,2.539B,,-85.00M,-85.00M,,,676.00M,676.00M,202.00M,,92.00M,74.00M,876.00M,-12.00M,829.00M,-1.101B,,-1.056B,-464.00M,,3.228B,2017-03,-883.00M,,-883.00M,-557.00M,,85.00M,-1.355B,,972.00M,182.00M,1.154B,,-2.035B,-2.035B,-1.237B,-1.237B,121.00M,-65.00M,-2.062B,,4.071B,-189.00M,43.00M,3.925B,2017-03,,,2.011B,-1.039B,-2.035B,,AOR,Restated
2016-12,2.488B,,-118.00M,-118.00M,,,687.00M,687.00M,-76.00M,,97.00M,187.00M,-1.16B,102.00M,-2.763B,751.00M,,1.047B,-2.023B,,1.445B,2016-12,-1.04B,,-1.04B,,,5.00M,-1.035B,,-152.00M,732.00M,580.00M,,-1.465B,-1.465B,,,65.00M,-167.00M,-987.00M,,4.76B,-577.00M,-112.00M,4.071B,2016-12,,,42.00M,-194.00M,-1.465B,,AOR,Restated
2016-09,1.892B,,-150.00M,-176.00M,,,689.00M,689.00M,329.00M,,88.00M,69.00M,428.00M,-28.00M,668.00M,-233.00M,,-410.00M,425.00M,,3.521B,2016-09,-1.082B,,-1.082B,-450.00M,,0.00,-1.532B,,486.00M,-704.00M,-218.00M,,-1.591B,-1.591B,-1.145B,-1.145B,43.00M,11.00M,-2.90B,,5.227B,-911.00M,-12.00M,4.76B,2016-09,,,2.019B,-1.533B,-1.591B,,AOR,Restated
2016-06,2.712B,,-152.00M,-152.00M,,,626.00M,626.00M,88.00M,,100.00M,285.00M,-279.00M,-4.00M,118.00M,-409.00M,,334.00M,-240.00M,,3.63B,2016-06,-1.135B,,-1.135B,0.00,,-53.00M,-1.188B,,234.00M,-925.00M,-691.00M,,-1.517B,-1.517B,0.00,0.00,56.00M,36.00M,-2.116B,,5.015B,326.00M,-114.00M,5.227B,2016-06,,,280.00M,-46.00M,-1.517B,,AOR,Restated
2016-03,2.276B,,-150.00M,-150.00M,,,605.00M,605.00M,246.00M,,99.00M,109.00M,1.816B,84.00M,145.00M,-698.00M,,-1.18B,167.00M,,3.529B,2016-03,-1.15B,,-1.15B,0.00,,-90.00M,-1.24B,,3.322B,-1.198B,2.124B,,-2.039B,-2.039B,-1.168B,-1.168B,108.00M,-667.00M,-1.642B,,4.301B,647.00M,67.00M,5.015B,2016-03,,,3.384B,-62.00M,-2.039B,,AOR,Restated
2015-12,2.91B,,-474.00M,-474.00M,,,607.00M,607.00M,551.00M,,106.00M,211.00M,-2.358B,134.00M,-891.00M,796.00M,,658.00M,-1.661B,,2.456B,2015-12,-1.406B,,-1.406B,-400.00M,,8.00M,-1.798B,,-182.00M,1.907B,1.725B,,-2.352B,-2.352B,,,52.00M,13.00M,-562.00M,,4.269B,96.00M,-64.00M,4.301B,2015-12,,,382.00M,-564.00M,-2.352B,,AOR,Restated
