,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2010-06,1.505B,,9.00M,-34.00M,,,432.00M,432.00M,229.00M,30.00M,119.00M,603.00M,-363.00M,-67.00M,-649.00M,,,78.00M,-1.001B,,1.883B,2010-06,-506.00M,,-506.00M,-134.00M,,155.00M,-485.00M,,-336.00M,-180.00M,-516.00M,,-1.249B,-1.249B,,0.00,351.00M,,-1.414B,,3.075B,-16.00M,-108.00M,2.951B,2010-06,,,794.00M,-336.00M,-1.249B,,AOR,Restated
2010-03,998.00M,,-44.00M,-92.00M,,,424.00M,424.00M,241.00M,57.00M,137.00M,-525.00M,752.00M,-21.00M,274.00M,,,-671.00M,334.00M,,1.574B,2010-03,-500.00M,,-500.00M,108.00M,,-46.00M,-438.00M,,-164.00M,-323.00M,-487.00M,,-215.00M,-215.00M,,-653.00M,188.00M,,-1.167B,,3.204B,-31.00M,-98.00M,3.075B,2010-03,,,-1.297B,-164.00M,-215.00M,,AOR,Restated
2009-12,844.00M,,3.00M,-24.00M,,,423.00M,423.00M,-6.00M,39.00M,135.00M,-34.00M,-1.10B,87.00M,56.00M,,,495.00M,-462.00M,,915.00M,2009-12,-307.00M,,-307.00M,-2.254B,,21.00M,-2.54B,,-79.00M,1.297B,1.218B,,-25.00M,-25.00M,,,233.00M,,1.426B,,3.417B,-199.00M,-14.00M,3.204B,2009-12,,,1.297B,-79.00M,-25.00M,,AOR,Restated
2009-09,1.074B,,-226.00M,11.00M,,,425.00M,425.00M,40.00M,73.00M,121.00M,5.00M,-38.00M,-46.00M,256.00M,,,-183.00M,-11.00M,,1.738B,2009-09,-626.00M,,-626.00M,-7.00M,46.00M,-58.00M,-645.00M,,-819.00M,0.00,-819.00M,,-34.00M,-34.00M,,0.00,49.00M,,-804.00M,,3.128B,289.00M,,3.417B,2009-09,,,3.00M,-822.00M,-34.00M,,AOR,Restated
2009-06,1.031B,,-38.00M,219.00M,,,404.00M,404.00M,332.00M,3.00M,111.00M,0.00,52.00M,3.00M,-291.00M,32.00M,,-382.00M,-586.00M,,1.514B,2009-06,-378.00M,,-378.00M,162.00M,-185.00M,4.00M,-397.00M,,858.00M,-1.985B,-1.127B,,0.00,0.00,,0.00,-231.00M,,-1.358B,,3.369B,-241.00M,,3.128B,2009-06,,,8.00M,850.00M,0.00,,AOR,Restated
2009-03,653.00M,,24.00M,-268.00M,,,406.00M,406.00M,-25.00M,203.00M,111.00M,-103.00M,1.233B,-56.00M,-301.00M,-48.00M,,,828.00M,,1.805B,2009-03,-458.00M,,-458.00M,-1.00M,0.00,-6.00M,-465.00M,,-1.11B,,-1.11B,,0.00,0.00,,-648.00M,-328.00M,320.00M,-1.766B,,3.795B,-426.00M,,3.369B,2009-03,,,-44.00M,-1.066B,0.00,,AOR,Restated
2008-12,851.00M,,-174.00M,-419.00M,,,396.00M,396.00M,-24.00M,0.00,114.00M,31.00M,-779.00M,-18.00M,94.00M,16.00M,,,-687.00M,,262.00M,2008-12,-291.00M,,-291.00M,-145.00M,185.00M,3.00M,-248.00M,,1.204B,,1.204B,,-104.00M,-104.00M,,,,-320.00M,780.00M,,3.001B,794.00M,,3.795B,2008-12,,,1.783B,-579.00M,-104.00M,,,Restated
2008-09,1.062B,,-16.00M,-264.00M,,,404.00M,404.00M,-80.00M,39.00M,112.00M,-205.00M,106.00M,-105.00M,217.00M,23.00M,,-64.00M,177.00M,,1.245B,2008-09,-629.00M,,-629.00M,-186.00M,,-50.00M,-781.00M,,517.00M,746.00M,1.263B,,-1.459B,-1.459B,,0.00,144.00M,,-52.00M,,2.589B,412.00M,,3.001B,2008-09,,,706.00M,1.258B,-1.459B,,,Restated
2008-06,1.284B,,-79.00M,-202.00M,,,402.00M,402.00M,-108.00M,0.00,89.00M,-192.00M,-219.00M,-96.00M,-5.00M,-17.00M,,,-337.00M,,936.00M,2008-06,-353.00M,,-353.00M,-311.00M,,90.00M,-574.00M,,-19.00M,-831.00M,-850.00M,,-1.027B,-1.027B,,0.00,244.00M,,-1.633B,,3.86B,-1.271B,,2.589B,2008-06,,,119.00M,-969.00M,-1.027B,,,Restated
2008-03,1.133B,,-10.00M,-186.00M,,,391.00M,391.00M,106.00M,0.00,201.00M,85.00M,1.509B,-94.00M,38.00M,-6.00M,-591.00M,17.00M,873.00M,,2.603B,2008-03,-347.00M,,-347.00M,-163.00M,,27.00M,-483.00M,,731.00M,-616.00M,-220.00M,-116.00M,-922.00M,-1.038B,,-664.00M,248.00M,,-1.674B,,3.414B,446.00M,,3.86B,2008-03,,-116.00M,881.00M,-766.00M,-922.00M,,,Restated
2007-12,1.25B,,,232.00M,,,385.00M,385.00M,-46.00M,,,103.00M,-1.99B,-34.00M,188.00M,,591.00M,-17.00M,-1.262B,,662.00M,2007-12,-249.00M,,-249.00M,,,-75.00M,-324.00M,,,,335.00M,116.00M,-1.045B,-929.00M,,,,,-594.00M,,3.67B,-256.00M,,3.414B,2007-12,,116.00M,,,-1.045B,,,
2007-09,877.00M,,,132.00M,,,392.00M,392.00M,-71.00M,,,35.00M,153.00M,-33.00M,408.00M,,-239.00M,-87.00M,202.00M,0.00,1.567B,2007-09,-580.00M,-87.00M,-667.00M,-357.00M,1.00M,,-1.023B,,,,1.30B,87.00M,-1.725B,-1.638B,,0.00,,,-338.00M,,3.464B,206.00M,,3.67B,2007-09,,87.00M,,,-1.725B,,,
2007-06,1.178B,,,56.00M,,,365.00M,365.00M,-157.00M,,,25.00M,-271.00M,13.00M,-297.00M,,231.00M,-34.00M,-358.00M,-15.00M,1.094B,2007-06,-440.00M,88.00M,-352.00M,-64.00M,4.00M,-133.00M,-548.00M,,,,2.336B,304.00M,-1.942B,-1.638B,,0.00,,,736.00M,,2.182B,1.282B,,3.464B,2007-06,,304.00M,,,-1.942B,,,
2007-03,931.00M,,,-440.00M,,,360.00M,360.00M,60.00M,,,338.00M,1.316B,48.00M,301.00M,,-747.00M,53.00M,971.00M,24.00M,2.244B,2007-03,-301.00M,,-301.00M,-167.00M,0.00,182.00M,-286.00M,,,,265.00M,429.00M,-2.299B,-1.87B,,-637.00M,,,-2.213B,,2.437B,-255.00M,,2.182B,2007-03,,429.00M,,,-2.299B,,,
2006-12,1.701B,,,-753.00M,,,374.00M,374.00M,-92.00M,,,136.00M,-1.553B,24.00M,-335.00M,,936.00M,77.00M,-851.00M,1.00M,516.00M,2006-12,-245.00M,,-245.00M,,1.53B,-49.00M,1.236B,,,,-1.205B,425.00M,-957.00M,-532.00M,,,,,-1.726B,,2.411B,26.00M,,2.437B,2006-12,,425.00M,,,-957.00M,,,
2006-09,782.00M,,,513.00M,,,355.00M,355.00M,-4.00M,,,-721.00M,54.00M,-55.00M,614.00M,,98.00M,759.00M,1.47B,14.00M,2.409B,2006-09,-552.00M,-6.00M,-558.00M,-21.00M,0.00,,-583.00M,,,,836.00M,630.00M,-2.842B,-2.212B,,0.00,,3.00M,-1.368B,,1.953B,458.00M,,2.411B,2006-09,,630.00M,,,-2.842B,,,
2006-06,1.125B,,,-459.00M,,,356.00M,356.00M,-32.00M,,,721.00M,-15.00M,7.00M,-512.00M,,200.00M,63.00M,-257.00M,14.00M,1.468B,2006-06,-305.00M,6.00M,-299.00M,-34.00M,1.073B,2.00M,739.00M,,,,-232.00M,292.00M,-2.359B,-2.067B,,0.00,,-4.00M,-2.285B,,2.031B,-78.00M,,1.953B,2006-06,,292.00M,,,-2.359B,,,
2006-03,733.00M,,,274.00M,,,357.00M,357.00M,-30.00M,,,,557.00M,-37.00M,503.00M,16.00M,-754.00M,-17.00M,268.00M,,1.602B,2006-03,-259.00M,,-259.00M,,0.00,-15.00M,-274.00M,,,,-415.00M,298.00M,-517.00M,-219.00M,,-519.00M,,37.00M,-1.116B,,1.819B,212.00M,,2.031B,2006-03,,298.00M,,,-517.00M,,,
2005-12,734.00M,,,89.00M,,,369.00M,369.00M,-73.00M,,,,-681.00M,22.00M,-301.00M,-16.00M,436.00M,,-540.00M,,579.00M,2005-12,-203.00M,,-203.00M,,81.00M,13.00M,-109.00M,,,,752.00M,39.00M,-1.18B,-1.141B,,,,15.00M,-374.00M,,1.723B,96.00M,,1.819B,2005-12,,39.00M,,,-1.18B,,,
2005-09,379.00M,,,228.00M,,,335.00M,335.00M,-325.00M,,,-178.00M,105.00M,-19.00M,92.00M,,184.00M,519.00M,881.00M,,1.341B,2005-09,-639.00M,-47.00M,-686.00M,,,-18.00M,-622.00M,,,,-40.00M,-249.00M,-1.059B,-1.308B,,0.00,,316.00M,-1.03B,,2.034B,-311.00M,,1.723B,2005-09,,-249.00M,,,-1.059B,,,
2005-06,811.00M,,,217.00M,,,350.00M,350.00M,-3.00M,,,279.00M,406.00M,53.00M,-452.00M,,116.00M,23.00M,146.00M,,1.80B,2005-06,-414.00M,0.00,-414.00M,,,34.00M,-380.00M,,,,-516.00M,166.00M,-917.00M,-751.00M,,0.00,,-60.00M,-1.327B,,1.941B,93.00M,,2.034B,2005-06,,166.00M,,,-917.00M,,,
2005-03,657.00M,,,-99.00M,,,330.00M,330.00M,74.00M,,,11.00M,216.00M,-26.00M,212.00M,,-177.00M,-226.00M,-1.00M,,972.00M,2005-03,-426.00M,100.00M,-326.00M,,,-124.00M,-450.00M,,,,-246.00M,398.00M,-433.00M,-35.00M,,-490.00M,,24.00M,-747.00M,,2.166B,-225.00M,,1.941B,2005-03,,398.00M,,,-433.00M,,,
2004-12,686.00M,,,-20.00M,,,326.00M,326.00M,-11.00M,,,-11.00M,-883.00M,14.00M,-107.00M,,,162.00M,-814.00M,,156.00M,2004-12,-347.00M,,-347.00M,,,108.00M,-239.00M,,,,103.00M,79.00M,-11.00M,68.00M,,,,36.00M,207.00M,,2.042B,124.00M,,2.166B,2004-12,,79.00M,,,-11.00M,,,
2004-09,516.00M,,,2.733B,,,338.00M,338.00M,-201.00M,,,-2.105B,72.00M,-93.00M,411.00M,83.00M,-270.00M,-243.00M,-40.00M,,1.241B,2004-09,-533.00M,,-533.00M,-48.00M,,-40.00M,-621.00M,,,,-1.081B,23.00M,,-312.00M,,0.00,,,-1.327B,,3.023B,-707.00M,,2.042B,2004-09,,23.00M,,,,,,
2004-06,604.00M,,,-620.00M,,,320.00M,320.00M,-96.00M,,,637.00M,82.00M,43.00M,-176.00M,52.00M,207.00M,-154.00M,54.00M,,899.00M,2004-06,-426.00M,,-426.00M,,,-8.00M,-434.00M,,,,-627.00M,37.00M,,37.00M,,0.00,,,-590.00M,,3.148B,-125.00M,,3.023B,2004-06,,37.00M,,,,,,
2004-03,537.00M,,,-1.165B,,,279.00M,279.00M,123.00M,,,1.095B,-170.00M,10.00M,325.00M,-135.00M,-30.00M,1.637B,1.637B,,2.506B,2004-03,-260.00M,,-260.00M,3.00M,,-9.00M,-266.00M,,,,-508.00M,110.00M,,110.00M,,-430.00M,,,-828.00M,,1.462B,1.412B,,3.148B,2004-03,,110.00M,,,,,,
2003-12,688.00M,,,-25.00M,,,273.00M,273.00M,76.00M,,,373.00M,,,,,,-1.387B,-1.387B,,-2.00M,2003-12,-208.00M,,-208.00M,-3.00M,,48.00M,-163.00M,,,,13.00M,31.00M,,31.00M,,,,,44.00M,,1.583B,-121.00M,,1.462B,2003-12,,31.00M,,,,,,
2003-09,415.00M,,,-327.00M,-812.00M,-14.00M,251.00M,251.00M,44.00M,,,555.00M,,,,,,372.00M,388.00M,,1.326B,2003-09,-337.00M,,-171.00M,-130.00M,,-25.00M,-326.00M,,,,-797.00M,10.00M,,10.00M,,0.00,,,-787.00M,,1.37B,213.00M,,1.583B,2003-09,,10.00M,,,,,,
2003-06,502.00M,,,31.00M,282.00M,2.00M,284.00M,284.00M,256.00M,,,-426.00M,,,,,,-1.00M,-1.00M,,646.00M,2003-06,-264.00M,,-264.00M,,,26.00M,-238.00M,,,,-802.00M,12.00M,,12.00M,,0.00,,,-790.00M,,1.752B,-382.00M,,1.37B,2003-06,,12.00M,,,,,,
2003-03,314.00M,,,110.00M,530.00M,12.00M,281.00M,281.00M,115.00M,,,-18.00M,,,,,,541.00M,541.00M,,1.343B,2003-03,-255.00M,,-255.00M,23.00M,-29.00M,-22.00M,-283.00M,,,,-270.00M,11.00M,,11.00M,,-429.00M,,,-688.00M,,1.38B,372.00M,,1.752B,2003-03,,11.00M,,,,,,
2002-12,36.00M,,,70.00M,,,261.00M,261.00M,26.00M,,,-111.00M,,,,,,-696.00M,-696.00M,,-414.00M,2002-12,-193.00M,,-193.00M,-23.00M,29.00M,,-187.00M,,,,724.00M,18.00M,,18.00M,,,,,742.00M,,1.239B,141.00M,,1.38B,2002-12,,18.00M,,,,,,
2002-09,175.00M,,,286.00M,260.00M,7.00M,267.00M,267.00M,,,,,,,,,,114.00M,87.00M,,741.00M,2002-09,-346.00M,0.00,-346.00M,0.00,-3.00M,-22.00M,-371.00M,,,,-1.329B,2.00M,,2.00M,,0.00,,,-1.327B,,2.196B,-957.00M,,1.239B,2002-09,,2.00M,,,,,,
2002-06,364.00M,,,-467.00M,255.00M,9.00M,264.00M,264.00M,,,,,,,,,,704.00M,704.00M,,865.00M,2002-06,-254.00M,184.00M,-70.00M,0.00,0.00,-4.00M,-74.00M,,,,-484.00M,20.00M,,20.00M,,0.00,,,-464.00M,,1.869B,327.00M,,2.196B,2002-06,,20.00M,,,,,,
2002-03,259.00M,,,181.00M,256.00M,2.00M,258.00M,258.00M,,,,,,,,,,561.00M,561.00M,,1.259B,2002-03,-249.00M,16.00M,-233.00M,0.00,50.00M,-8.00M,-191.00M,,,,-64.00M,20.00M,,20.00M,,0.00,,,-44.00M,,845.00M,1.024B,,1.869B,2002-03,,20.00M,,,,,,
2001-12,438.00M,,,109.00M,250.00M,3.00M,253.00M,253.00M,,,,,,,,,,-1.379B,-1.379B,,-579.00M,2001-12,-237.00M,,-237.00M,-2.845B,545.00M,-3.00M,-2.54B,,,,3.769B,5.00M,,5.00M,,-428.00M,,,3.346B,,618.00M,227.00M,,845.00M,2001-12,,5.00M,,,,,,
2001-09,53.00M,,,320.00M,252.00M,145.00M,397.00M,397.00M,,,,,,,,,-149.00M,370.00M,125.00M,,896.00M,2001-09,-1.795B,5.00M,-1.79B,0.00,5.00M,1.241B,-544.00M,,,,-1.393B,18.00M,-807.00M,-789.00M,,0.00,,,-2.182B,,2.448B,-1.83B,,618.00M,2001-09,,18.00M,,,-807.00M,,,
2001-06,392.00M,,,-138.00M,263.00M,145.00M,408.00M,408.00M,,,,,,,,,,205.00M,205.00M,,867.00M,2001-06,896.00M,0.00,896.00M,-36.00M,111.00M,-1.237B,-266.00M,,,,1.101B,83.00M,0.00,83.00M,,0.00,,,1.184B,,663.00M,1.785B,,2.448B,2001-06,,83.00M,,,0.00,,,
2001-03,-567.00M,,,1.103B,472.00M,477.00M,419.00M,419.00M,,,,,,,,,438.00M,-575.00M,-137.00M,,818.00M,2001-03,-440.00M,25.00M,-415.00M,-424.00M,-39.00M,-4.00M,-882.00M,,,,-484.00M,42.00M,-31.00M,11.00M,,0.00,,,-473.00M,,1.20B,-537.00M,,663.00M,2001-03,,42.00M,,,-31.00M,,,
2000-12,-36.00M,,,411.00M,,,530.00M,530.00M,,,,,,,,,-438.00M,,-438.00M,,467.00M,2000-12,-456.00M,107.00M,-349.00M,-20.00M,70.00M,-24.00M,-323.00M,,,,853.00M,34.00M,-235.00M,-201.00M,,-438.00M,,,214.00M,,842.00M,358.00M,,1.20B,2000-12,,34.00M,,,-235.00M,,,
2000-09,167.00M,,,-386.00M,243.00M,323.00M,566.00M,566.00M,,,,,,,,,402.00M,-660.00M,502.00M,,871.00M,2000-09,-644.00M,4.00M,-640.00M,,131.00M,7.00M,-536.00M,,,,-270.00M,138.00M,-51.00M,87.00M,,0.00,,,-183.00M,,690.00M,152.00M,,842.00M,2000-09,,138.00M,,,-51.00M,,,
2000-06,361.00M,,,-67.00M,262.00M,340.00M,602.00M,602.00M,,,,,,,,,,-40.00M,-40.00M,,856.00M,2000-06,-435.00M,221.00M,-214.00M,,-53.00M,-16.00M,-283.00M,,,,-805.00M,62.00M,0.00,62.00M,,0.00,,,-743.00M,,860.00M,-170.00M,,690.00M,2000-06,,62.00M,,,0.00,,,
2000-03,77.00M,,,152.00M,457.00M,570.00M,571.00M,571.00M,,,,,,,,,-336.00M,606.00M,270.00M,,1.07B,2000-03,-934.00M,37.00M,-897.00M,,138.00M,378.00M,-381.00M,,,,-1.013B,282.00M,-40.00M,242.00M,,0.00,,-50.00M,-821.00M,,992.00M,-132.00M,,860.00M,2000-03,,282.00M,,,-40.00M,,,
1999-12,315.00M,,,-243.00M,,,456.00M,456.00M,,,,,,,,,336.00M,94.00M,430.00M,,958.00M,1999-12,,651.00M,651.00M,,-91.00M,-451.00M,109.00M,,,,-30.00M,,-75.00M,-75.00M,,-434.00M,,50.00M,-489.00M,,414.00M,578.00M,,992.00M,1999-12,,,,,-75.00M,,,
1999-09,85.00M,,,61.00M,,,990.00M,990.00M,,,,,,,,,-319.00M,-393.00M,79.00M,,1.195B,1999-09,-927.00M,,-927.00M,288.00M,,-783.00M,-1.259B,,,,-420.00M,47.00M,0.00,47.00M,,,,,-373.00M,,851.00M,-437.00M,,414.00M,1999-09,,47.00M,,,0.00,,,
1999-06,367.00M,,,132.00M,,,879.00M,879.00M,,,,2.00M,,,,,,534.00M,534.00M,,1.914B,1999-06,-559.00M,,-559.00M,-288.00M,,-614.00M,-1.461B,,,,-450.00M,157.00M,0.00,157.00M,,,,-99.00M,-392.00M,,790.00M,61.00M,,851.00M,1999-06,,157.00M,,,0.00,,,
1999-03,226.00M,,,114.00M,,,942.00M,942.00M,,,,-2.00M,,,,,216.00M,-141.00M,75.00M,,1.355B,1999-03,-500.00M,,-500.00M,,,-625.00M,-1.125B,,,,-715.00M,,0.00,0.00,,,,81.00M,-634.00M,,1.194B,-404.00M,,790.00M,1999-03,,,,,0.00,,,
1998-12,622.00M,,,-250.00M,,,968.00M,968.00M,,,,,,,,,-216.00M,,-216.00M,,1.124B,1998-12,-467.00M,,-467.00M,,,-998.00M,-1.465B,,,,1.409B,,-19.00M,-19.00M,,,,18.00M,1.408B,,127.00M,1.067B,,1.194B,1998-12,,,,,-19.00M,,,
1998-09,296.00M,,,59.00M,,,1.187B,1.187B,346.00M,,,251.00M,-664.00M,-46.00M,218.00M,73.00M,-447.00M,,-866.00M,,1.273B,1998-09,-2.344B,,-2.344B,,,514.00M,-1.605B,,,,-278.00M,,,,,-107.00M,,-163.00M,-394.00M,,853.00M,-726.00M,,127.00M,1998-09,,,,,,,,
1998-06,415.00M,,,-2.00M,,,822.00M,822.00M,,,,70.00M,,,,,,,,,1.305B,1998-06,0.00,,0.00,,,-1.505B,-1.505B,,,,495.00M,,,,,-108.00M,,69.00M,456.00M,,597.00M,256.00M,,853.00M,1998-06,,,,,,,,
