,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,14.71B,14.71B,11.01B,3.694B,2.812B,,198.00M,464.00M,-24.00M,-488.00M,4.147B,-453.00M,-24.00M,464.00M,-488.00M,361.00M,-488.00M,-580.00M,49.00M,-629.00M,0.00,,-81.00M,-710.00M,-854.54M,-116.00M,,2020-09,-0.39,0.00,-0.39,,2020-09,-0.39,0.00,-0.39,,2020-09,0.00,,2020-09,AOR,
2020-06,11.78B,11.78B,7.896B,3.883B,2.455B,,-4.665B,456.00M,41.00M,-415.00M,3.832B,51.00M,41.00M,456.00M,-415.00M,-4.476B,-415.00M,-4.84B,-331.00M,-4.509B,-3.00M,,-209.00M,-4.721B,-370.22M,-4.384B,,2020-06,-2.61,0.00,-2.61,,2020-06,-2.61,0.00,-2.61,,2020-06,0.00,,2020-06,AOR,
2020-03,18.01B,18.01B,11.92B,6.091B,3.388B,,-145.00M,365.00M,63.00M,-302.00M,4.721B,1.37B,63.00M,365.00M,-302.00M,-8.00M,-302.00M,1.06B,525.00M,535.00M,-15.00M,,-60.00M,460.00M,580.85M,1.425B,,2020-03,0.26,-0.01,0.25,,2020-03,0.26,-0.01,0.25,,2020-03,0.00,,2020-03,AOR,
2019-12,20.86B,20.86B,13.02B,7.842B,3.703B,,-150.00M,362.00M,76.00M,-286.00M,5.001B,2.841B,76.00M,362.00M,-286.00M,77.00M,-286.00M,2.632B,459.00M,2.173B,-26.00M,,-40.00M,2.107B,2.257B,2.994B,,2019-12,1.18,-0.01,1.17,,2019-12,1.17,-0.01,1.16,,2019-12,0.88,,2019-12,AOR,
2019-09,19.12B,19.12B,11.84B,7.274B,3.699B,,-797.00M,413.00M,129.00M,-284.00M,5.00B,2.274B,129.00M,413.00M,-284.00M,-743.00M,-284.00M,1.247B,341.00M,906.00M,299.00M,,-151.00M,1.054B,1.334B,1.66B,,2019-09,0.44,0.15,0.58,,2019-09,0.43,0.15,0.58,,2019-09,0.00,,2019-09,AOR,Restated
2019-06,20.26B,20.26B,12.84B,7.425B,3.368B,,-330.00M,472.00M,34.00M,-438.00M,4.674B,2.751B,34.00M,472.00M,-438.00M,-304.00M,-438.00M,2.009B,393.00M,1.616B,366.00M,,-222.00M,1.76B,1.659B,2.481B,,2019-06,0.79,0.18,0.98,,2019-06,0.79,0.18,0.97,,2019-06,0.88,,2019-06,AOR,Restated
2019-03,14.92B,14.92B,8.376B,6.546B,2.33B,,4.301B,198.00M,30.00M,-168.00M,3.158B,3.388B,30.00M,198.00M,-168.00M,4.017B,-168.00M,7.237B,1.647B,5.59B,21.00M,,-159.00M,5.452B,2.111B,7.435B,,2019-03,3.55,0.01,3.56,,2019-03,3.53,0.01,3.55,,2019-03,0.00,,2019-03,AOR,Restated
2018-12,15.30B,15.30B,9.001B,6.302B,2.152B,,0.00,163.00M,75.00M,-88.00M,2.884B,3.418B,75.00M,163.00M,-88.00M,101.00M,-88.00M,3.431B,645.00M,2.786B,0.00,,2.00M,2.788B,2.788B,3.594B,,2018-12,1.87,0.00,1.87,,2018-12,1.86,0.00,1.86,,2018-12,0.88,,2018-12,AOR,Restated
2018-09,14.31B,14.31B,8.108B,6.198B,2.321B,,-99.00M,81.00M,,-159.00M,3.115B,3.083B,,81.00M,-159.00M,278.00M,-159.00M,3.202B,783.00M,2.419B,0.00,,-97.00M,2.322B,2.397B,3.283B,,2018-09,1.56,0.00,1.56,,2018-09,1.55,0.00,1.55,,2018-09,0.00,,2018-09,AOR,Restated
2018-06,15.23B,15.23B,8.348B,6.881B,2.213B,,0.00,175.00M,32.00M,-143.00M,2.957B,3.924B,32.00M,175.00M,-143.00M,73.00M,-143.00M,3.854B,795.00M,3.059B,0.00,,-143.00M,2.916B,2.916B,4.029B,,2018-06,1.96,0.00,1.96,,2018-06,1.95,0.00,1.95,,2018-06,0.84,,2018-06,AOR,Restated
