,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,7.356B,0.00,7.356B,8.422B,8.422B,6.27B,2.038B,,8.209B,,,2.59B,26.58B,,,,,,35.49B,-18.57B,16.92B,20.25B,16.68B,36.92B,1.372B,8.007B,63.22B,89.80B,,3.744B,1.567B,984.00M,6.295B,11.69B,17.98B,,,2.42B,2.42B,,20.40B,26.32B,26.32B,1.777B,1.777B,84.00M,12.03B,40.12B,60.53B,,1.788B,51.11B,39.49B,56.82B,,,-6.383B,29.19B,,AOR,
2020-06,11.10B,0.00,11.10B,7.577B,7.577B,6.064B,2.032B,,7.977B,,,2.686B,29.34B,,,,,,33.97B,-18.18B,15.79B,20.07B,16.57B,36.63B,1.251B,7.599B,61.27B,90.62B,,3.448B,1.564B,1.266B,6.278B,11.18B,17.46B,,,4.718B,4.718B,,22.18B,26.16B,26.16B,2.091B,2.091B,102.00M,12.45B,40.69B,62.87B,,1.788B,49.72B,39.37B,56.85B,,,-6.393B,27.64B,,AOR,
2020-03,7.425B,7.00M,7.432B,8.182B,8.182B,5.861B,1.753B,,7.476B,,,3.084B,26.17B,,,,,,32.98B,-17.71B,15.27B,19.77B,16.10B,35.86B,555.00M,7.052B,58.74B,84.91B,,3.572B,1.585B,1.033B,6.19B,10.93B,17.12B,,,6.361B,6.361B,,23.48B,21.64B,21.64B,1.943B,1.943B,95.00M,11.55B,35.13B,58.61B,,1.788B,48.27B,39.70B,57.16B,,,-6.391B,26.20B,,AOR,
2019-12,9.676B,774.00M,10.45B,6.778B,6.778B,,,,5.978B,,,4.277B,27.48B,0.00,343.00M,11.99B,15.39B,5.013B,32.74B,-17.69B,15.05B,19.42B,14.20B,33.62B,1.469B,6.771B,56.91B,84.40B,,3.738B,1.587B,736.00M,6.061B,12.55B,18.61B,,,3.61B,3.61B,,22.22B,22.74B,22.74B,1.47B,1.47B,94.00M,11.97B,36.18B,58.40B,,1.788B,46.60B,39.66B,55.95B,,,-6.193B,25.91B,,AOR,
2019-09,7.869B,149.00M,8.018B,8.442B,8.442B,5.739B,1.698B,,7.37B,,,2.312B,26.14B,,,,,,31.57B,-17.28B,14.29B,19.48B,12.31B,31.79B,2.111B,9.004B,57.19B,83.33B,,3.198B,1.434B,873.00M,5.505B,11.77B,17.27B,,,3.411B,3.411B,,20.68B,22.68B,22.68B,1.96B,1.96B,87.00M,11.08B,35.72B,56.41B,,1.788B,45.80B,39.56B,54.92B,,,-5.39B,26.84B,,AOR,Restated
2019-06,6.659B,446.00M,7.105B,7.964B,7.964B,,,,5.847B,,,3.382B,24.30B,,,,,,30.91B,-17.05B,13.86B,19.49B,13.38B,32.87B,3.779B,9.155B,59.67B,83.96B,,3.142B,1.439B,634.00M,5.215B,11.05B,16.27B,,,3.816B,3.816B,,20.08B,22.77B,22.77B,2.089B,2.089B,102.00M,11.28B,36.14B,56.23B,,1.788B,45.30B,39.48B,53.57B,,,-5.362B,27.64B,,AOR,Restated
2019-03,8.076B,722.00M,8.798B,7.608B,7.608B,,,,5.712B,,,3.233B,25.35B,,,,,,30.13B,-16.62B,13.51B,18.17B,11.00B,29.17B,5.621B,8.707B,57.00B,82.35B,,3.018B,1.462B,807.00M,5.287B,10.08B,15.37B,,,3.175B,3.175B,,18.54B,22.72B,22.72B,1.835B,1.835B,131.00M,11.58B,36.14B,54.68B,,1.788B,44.06B,38.77B,51.74B,,,-5.346B,27.54B,,AOR,Restated
2018-12,7.965B,899.00M,8.864B,7.071B,7.071B,,,,5.44B,,,4.50B,25.88B,0.00,333.00M,11.49B,14.44B,3.355B,29.62B,-16.32B,13.29B,18.25B,13.10B,31.36B,6.233B,5.881B,56.76B,82.64B,,3.318B,1.458B,1.971B,6.747B,10.15B,16.90B,,,5.308B,5.308B,,22.21B,19.81B,19.81B,1.702B,1.702B,181.00M,12.04B,33.55B,55.76B,,1.788B,42.58B,38.81B,50.93B,,,-5.545B,26.70B,,AOR,Restated
2018-09,7.826B,2.459B,10.28B,7.374B,7.374B,,,,5.416B,,,3.761B,26.84B,,,,,,29.32B,-16.57B,12.76B,18.26B,12.18B,30.43B,7.606B,7.50B,58.29B,85.13B,,3.091B,1.304B,759.00M,5.154B,9.776B,14.93B,,,3.656B,3.656B,,18.59B,19.94B,19.94B,2.065B,2.065B,234.00M,11.89B,33.89B,52.47B,,1.788B,42.19B,39.76B,46.17B,,,-5.151B,32.42B,,AOR,Restated
2018-06,5.31B,2.284B,7.594B,7.287B,7.287B,,,,5.178B,,,4.005B,24.06B,,,,,,29.19B,-16.57B,12.63B,18.27B,12.90B,31.17B,10.03B,7.145B,60.98B,85.04B,,3.024B,1.309B,661.00M,4.994B,9.755B,14.75B,,,3.379B,3.379B,,18.13B,19.96B,19.96B,2.159B,2.159B,237.00M,12.03B,34.15B,52.27B,,1.788B,41.52B,39.74B,45.40B,,,-5.122B,32.53B,,AOR,Restated
