,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,2.944B,,,,,852.00M,852.00M,-75.00M,15.00M,125.00M,-243.00M,,,,-1.445B,,2.173B,,-1.516B,,,-586.00M,1.00M,-54.00M,-2.155B,,-28.00M,-2.278B,-2.306B,,0.00,0.00,-1.545B,-1.545B,28.00M,-28.00M,-3.851B,,11.15B,-3.833B,87.00M,7.401B,,,-26.00M,-2.00M,0.00,,AOR,
2020-06,3.01B,,,,,1.048B,1.048B,40.00M,20.00M,121.00M,-345.00M,,,,-527.00M,,3.367B,,-668.00M,,,-321.00M,48.00M,59.00M,-882.00M,,4.444B,-1.616B,2.828B,,0.00,0.00,-1.577B,-1.577B,14.00M,-128.00M,1.137B,,7.46B,3.622B,65.00M,11.15B,,,4.445B,-1.00M,0.00,,AOR,
2020-03,3.219B,,,,,821.00M,821.00M,82.00M,0.00,108.00M,143.00M,,,,-3.666B,,707.00M,,-986.00M,,,-2.545B,1.767B,136.00M,-1.628B,,-1.951B,3.583B,1.632B,,-1.281B,-1.281B,-1.551B,-1.551B,26.00M,-316.00M,-1.49B,,9.934B,-2.411B,-63.00M,7.46B,,,0.00,-1.951B,-1.281B,,AOR,
2019-12,2.363B,,,,,936.00M,936.00M,-170.00M,176.00M,111.00M,-24.00M,,,,1.402B,,4.794B,,-1.137B,,,-25.00M,341.00M,58.00M,-763.00M,,0.00,182.00M,182.00M,,-1.05B,-1.05B,-1.405B,-1.405B,17.00M,245.00M,-2.011B,,7.871B,2.02B,43.00M,9.934B,,,0.00,0.00,-1.05B,,AOR,
2019-09,1.908B,,,,,845.00M,845.00M,-237.00M,612.00M,102.00M,1.087B,,,,-91.00M,,4.226B,,-959.00M,,,-1.039B,1.954B,235.00M,191.00M,,0.00,-360.00M,-360.00M,,-1.405B,-1.405B,-1.394B,-1.394B,40.00M,-33.00M,-3.152B,,6.66B,1.265B,-54.00M,7.871B,,,0.00,0.00,-1.405B,,AOR,Restated
2019-06,2.644B,,,,,973.00M,973.00M,-343.00M,148.00M,111.00M,-6.00M,,,,-443.00M,,3.084B,,-782.00M,,,-3.89B,2.20B,47.00M,-2.425B,,0.00,603.00M,603.00M,,-1.235B,-1.235B,-1.468B,-1.468B,131.00M,-115.00M,-2.084B,,8.077B,-1.425B,8.00M,6.66B,,,0.00,0.00,-1.235B,,AOR,Restated
2019-03,2.862B,,,,,898.00M,898.00M,194.00M,104.00M,93.00M,120.00M,,,,-2.935B,,1.336B,,-595.00M,,,0.00,925.00M,38.00M,368.00M,,4.958B,-4.135B,823.00M,,-1.09B,-1.09B,-1.428B,-1.428B,173.00M,-92.00M,-1.614B,,7.967B,90.00M,20.00M,8.077B,,,4.958B,0.00,-1.09B,,AOR,Restated
2018-12,1.778B,,,,,998.00M,998.00M,-118.00M,296.00M,87.00M,70.00M,,,,481.00M,,3.592B,,-929.00M,,,-59.00M,2.914B,252.00M,2.178B,,-1.28B,2.83B,1.55B,,-5.933B,-5.933B,-1.277B,-1.277B,130.00M,-36.00M,-5.566B,,7.828B,204.00M,-65.00M,7.967B,,,0.00,-1.28B,-5.933B,,AOR,Restated
2018-09,1.958B,,,,,1.094B,1.094B,-133.00M,0.00,91.00M,543.00M,,,,-760.00M,,2.793B,,-653.00M,,,0.00,2.189B,124.00M,1.66B,,1.00M,225.00M,226.00M,,-996.00M,-996.00M,-1.285B,-1.285B,162.00M,-12.00M,-1.905B,,5.312B,2.548B,-32.00M,7.828B,,,0.00,1.00M,-996.00M,,AOR,Restated
2018-06,1.716B,,,,,1.29B,1.29B,-228.00M,0.00,90.00M,315.00M,,,,199.00M,,3.382B,,-583.00M,,,-372.00M,1.633B,-5.00M,673.00M,,-2.005B,2.07B,65.00M,,-1.596B,-1.596B,-1.311B,-1.311B,69.00M,-194.00M,-2.967B,,4.486B,1.088B,-262.00M,5.312B,,,0.00,-2.005B,-1.596B,,AOR,Restated
