,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,667.20M,,667.20M,2.095B,603.50M,2.699B,392.50M,392.50M,327.20M,,,4.086B,,,,,,,,,,2.609B,7.614B,3.920B,11.53B,70.70M,3.40M,437.00M,14.65B,18.74B,639.50M,,,639.50M,1.298B,1.937B,,0.00,,376.60M,376.60M,201.20M,577.80M,494.80M,494.80M,,,3.010B,5.417B,688.70M,6.106B,891.50M,,891.50M,,,,19.90M,473.20M,7.491B,10.50B,9.00M,8.464B,80.70M,,,,,-314.60M,8.239B
2020-06,557.00M,,557.00M,1.661B,535.40M,2.196B,342.30M,342.30M,317.50M,,,3.413B,,,,,,,,,,2.628B,7.423B,3.877B,11.30B,72.30M,4.90M,431.10M,14.44B,17.85B,534.10M,,,534.10M,1.033B,1.567B,,414.60M,,376.20M,790.80M,203.50M,994.30M,473.30M,473.30M,,,3.034B,5.417B,703.00M,6.120B,907.30M,,907.30M,,,,19.50M,415.60M,7.462B,10.50B,9.00M,7.761B,32.10M,,,,,-449.00M,7.353B
2020-03,323.60M,,323.60M,1.482B,478.10M,1.960B,254.00M,254.00M,353.20M,,,2.891B,,,,,,,,,,2.610B,7.388B,3.905B,11.29B,67.00M,6.50M,430.60M,14.41B,17.30B,568.70M,,,568.70M,828.10M,1.397B,,415.50M,,1.90M,417.40M,210.90M,628.30M,432.90M,432.90M,,,2.458B,5.790B,699.10M,6.489B,943.10M,,943.10M,,,,18.50M,369.40M,7.820B,10.28B,9.00M,7.529B,0.00,,,,,-517.90M,7.020B
2019-12,337.50M,,337.50M,1.544B,481.40M,2.025B,244.70M,244.70M,373.70M,,,2.981B,0.0,90.90M,781.80M,2.237B,732.80M,311.10M,411.70M,4.565B,-1.929B,2.637B,7.865B,4.034B,11.90B,84.90M,8.80M,435.40M,15.07B,18.05B,632.30M,156.70M,,789.00M,311.10M,1.100B,,413.70M,,1.50M,415.20M,214.90M,630.10M,451.00M,451.00M,,,2.656B,5.790B,687.70M,6.478B,942.80M,,1.020B,,188.40M,,20.10M,118.10M,7.824B,10.48B,9.00M,7.904B,26.80M,0.00,,,,-372.40M,7.567B
2019-09,361.10M,,361.10M,1.617B,476.90M,2.094B,234.90M,234.90M,297.70M,,,2.988B,,,,,,,,,,2.463B,7.815B,4.021B,11.84B,86.00M,15.70M,458.90M,14.86B,17.85B,607.80M,,,607.80M,830.30M,1.438B,,500.00M,,2.60M,502.60M,210.40M,713.00M,403.80M,403.80M,,,2.555B,6.101B,623.50M,6.725B,969.00M,,969.00M,,,,19.70M,348.30M,8.062B,10.62B,9.00M,7.676B,47.80M,0.00,,,,-502.20M,7.231B
2019-06,265.40M,,265.40M,1.576B,488.80M,2.065B,219.70M,219.70M,298.60M,,,2.849B,,,,,,,,,,2.544B,7.844B,4.016B,11.86B,86.70M,1.70M,403.60M,14.90B,17.74B,531.60M,,,531.60M,820.30M,1.352B,,500.00M,,2.30M,502.30M,237.40M,739.70M,404.20M,404.20M,,,2.496B,6.135B,632.30M,6.767B,948.30M,,948.30M,,,,20.00M,368.60M,8.104B,10.60B,9.10M,7.456B,91.40M,0.00,,,,-411.90M,7.144B
2019-03,348.80M,,348.80M,1.563B,422.70M,1.986B,233.70M,233.70M,317.10M,,,2.885B,,,,,,,,,,2.458B,7.386B,3.885B,11.27B,66.90M,1.70M,288.20M,14.09B,16.97B,592.20M,,,592.20M,797.30M,1.390B,,500.00M,,1.70M,501.70M,271.10M,772.80M,364.60M,364.60M,,,2.527B,5.496B,551.10M,6.047B,959.10M,,959.10M,,,,19.50M,307.30M,7.333B,9.860B,11.60M,7.265B,1.401B,1.128B,,,,-439.50M,7.111B
2018-12,426.80M,,426.80M,1.468B,394.40M,1.862B,237.30M,237.30M,309.00M,,,2.835B,0.0,77.40M,703.70M,2.052B,,304.80M,340.70M,3.478B,-1.738B,1.740B,7.360B,3.911B,11.27B,60.50M,1.70M,276.00M,13.35B,16.19B,634.60M,124.80M,,759.40M,317.60M,1.077B,,0.00,,10.00M,10.00M,7.90M,17.90M,356.40M,356.40M,,,1.879B,5.991B,51.00M,6.042B,940.00M,,1.004B,,125.80M,,19.10M,144.00M,7.335B,9.214B,11.70M,7.080B,1.451B,1.108B,,,,-463.10M,6.971B
2018-09,892.60M,,892.60M,1.536B,320.10M,1.856B,233.00M,233.00M,292.50M,,,3.274B,,,,,,,,,,1.734B,7.363B,3.991B,11.35B,57.90M,1.90M,239.40M,13.39B,16.66B,497.50M,,,497.50M,901.50M,1.399B,,400.00M,,9.80M,409.80M,8.00M,417.80M,289.40M,289.40M,,,2.106B,5.992B,52.60M,6.045B,899.10M,,899.10M,,,,20.40M,343.00M,7.307B,9.413B,11.90M,6.922B,1.828B,1.106B,,,,-407.80M,7.248B
2018-06,221.40M,,221.40M,1.520B,351.30M,1.872B,230.70M,230.70M,286.10M,,,3.021B,,,,,,,,,,1.711B,7.423B,4.050B,11.47B,58.90M,1.70M,239.00M,13.48B,16.50B,488.10M,,,488.10M,739.90M,1.228B,,400.00M,,9.80M,409.80M,8.00M,417.80M,393.30M,393.30M,,82.40M,2.122B,5.986B,53.90M,6.039B,914.10M,,914.10M,,,,20.00M,371.80M,7.345B,9.467B,12.00M,6.603B,1.935B,1.105B,,,,-407.00M,7.038B
