,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,12.13B,12.13B,2.529B,9.602B,3.016B,2.36B,,898.00M,900.00M,-940.00M,416.00M,17.00M,-399.00M,,6.274B,3.328B,17.00M,416.00M,-399.00M,-755.00M,-399.00M,2.176B,-26.00M,2.202B,0.00,,-8.00M,,2.194B,2.931B,3.854B,1.262B,2.592B,0.39,0.0,,0.5227,0.39,0.39,0.0,,0.5209,0.39,5.557B,5.633B,0.38
2020-06,11.80B,11.80B,2.281B,9.52B,3.03B,2.132B,,905.00M,0.00,-380.00M,372.00M,19.00M,-353.00M,,6.067B,3.453B,19.00M,372.00M,-353.00M,852.00M,-353.00M,3.953B,519.00M,3.434B,0.00,,-8.00M,,3.426B,3.120B,5.576B,1.251B,4.325B,0.62,0.0,,0.5649,0.62,0.61,0.0,,0.5556,0.61,5.554B,5.619B,0.38
2020-03,12.03B,12.03B,2.378B,9.65B,2.873B,1.724B,,885.00M,0.00,-74.00M,390.00M,34.00M,-356.00M,,5.482B,4.168B,34.00M,390.00M,-356.00M,71.00M,-356.00M,3.885B,475.00M,3.41B,0.00,,-9.00M,,3.401B,3.690B,5.493B,1.218B,4.275B,0.61,0.0,,0.6621,0.61,0.61,0.0,,0.6615,0.61,5.545B,5.613B,0.38
2019-12,12.69B,12.69B,2.608B,10.08B,4.24B,2.823B,,1.032B,2.655B,-3.575B,416.00M,41.00M,-375.00M,,8.095B,1.985B,41.00M,416.00M,-375.00M,-3.12B,-375.00M,-1.508B,-1.182B,-327.00M,0.00,,-10.00M,,-336.00M,2.054B,292.00M,1.384B,-1.092B,-0.06,0.0,,0.372,-0.06,-0.06,0.0,,0.3645,-0.06,5.533B,5.63B,0.36
2019-09,12.68B,12.68B,2.602B,10.08B,3.26B,2.283B,,1.212B,28.00M,7.575B,409.00M,60.00M,-349.00M,,6.755B,3.323B,60.00M,409.00M,-349.00M,7.751B,-349.00M,10.73B,3.047B,7.68B,4.00M,,-4.00M,,7.68B,2.248B,12.69B,1.553B,11.14B,1.38,0.0,,0.4011,1.38,1.36,0.0,,0.3991,1.36,5.545B,5.649B,0.36
2019-06,13.26B,13.26B,2.576B,10.69B,3.511B,1.842B,,1.184B,10.00M,-47.00M,389.00M,59.00M,-330.00M,,6.537B,4.151B,59.00M,389.00M,-330.00M,320.00M,-330.00M,4.141B,-915.00M,5.056B,0.00,,-10.00M,,5.046B,5.054B,6.058B,1.528B,4.53B,0.91,0.0,,0.9114,0.91,0.89,0.0,,0.8914,0.89,5.562B,5.672B,0.36
2019-03,13.12B,13.12B,2.433B,10.68B,3.339B,1.703B,,1.183B,150.00M,-456.00M,361.00M,66.00M,-295.00M,,6.225B,4.46B,66.00M,361.00M,-295.00M,157.00M,-295.00M,4.323B,433.00M,3.889B,0.00,,-6.00M,,3.884B,4.194B,6.229B,1.545B,4.684B,0.69,0.0,,0.7451,0.69,0.68,0.0,,0.7340000000000001,0.68,5.635B,5.75B,0.36
2018-12,13.98B,13.98B,3.075B,10.90B,4.007B,2.457B,,1.253B,3.075B,-4.18B,370.00M,93.00M,-277.00M,,7.717B,3.185B,93.00M,370.00M,-277.00M,-3.856B,-277.00M,-946.00M,-564.00M,-383.00M,0.00,,-11.00M,,-393.00M,2.655B,1.065B,1.641B,-576.00M,-0.07,0.0,,0.4564,-0.07,-0.07,0.0,,0.4455,-0.07,5.791B,5.914B,0.34
2018-09,13.30B,13.30B,2.694B,10.60B,3.494B,2.008B,,1.253B,-1.00M,-118.00M,310.00M,82.00M,-228.00M,,6.755B,3.849B,82.00M,310.00M,-228.00M,558.00M,-228.00M,4.177B,66.00M,4.111B,11.00M,,-8.00M,,4.114B,4.143B,6.101B,1.614B,4.487B,0.7,0.0,,0.7069,0.7,0.69,0.0,,0.6967,0.69,5.875B,5.986B,0.34
2018-06,13.47B,13.47B,2.916B,10.55B,3.542B,1.797B,,1.191B,40.00M,18.00M,326.00M,80.00M,-246.00M,,6.53B,4.02B,80.00M,326.00M,-246.00M,752.00M,-246.00M,4.527B,648.00M,3.879B,0.00,,-7.00M,,3.872B,3.643B,6.415B,1.562B,4.853B,0.66,0.0,,0.621,0.66,0.65,0.0,,0.6116,0.65,5.866B,5.952B,0.34
2018-03,12.91B,12.91B,2.563B,10.34B,3.412B,1.743B,,1.196B,0.00,-23.00M,310.00M,77.00M,-233.00M,,6.351B,3.992B,77.00M,310.00M,-233.00M,370.00M,-233.00M,4.127B,556.00M,3.571B,-1.00M,,-9.00M,,3.561B,3.482B,6.004B,1.567B,4.437B,0.6,0.0,,0.5866,0.6,0.59,0.0,,0.5769,0.59,5.957B,6.057B,0.34
2017-12,13.70B,13.70B,3.256B,10.45B,4.555B,2.316B,,1.187B,252.00M,-1.427B,330.00M,116.00M,-214.00M,,8.058B,2.389B,116.00M,330.00M,-214.00M,-1.223B,-214.00M,954.00M,-11.34B,12.29B,1.00M,,-15.00M,0.00,12.27B,13.06B,2.858B,1.574B,1.284B,2.06,0.0,,2.1919999999999997,2.06,2.02,0.0,,2.15,2.02,5.964B,6.061B,0.32
2017-09,13.17B,13.17B,2.844B,10.32B,3.504B,1.865B,,1.177B,130.00M,-418.00M,320.00M,99.00M,-221.00M,,6.546B,3.778B,99.00M,320.00M,-221.00M,26.00M,-221.00M,3.585B,727.00M,2.858B,0.00,,-18.00M,,2.84B,3.119B,5.471B,1.566B,3.905B,0.48,0.0,,0.5269,0.48,0.47,0.0,,0.5162,0.47,5.951B,6.041B,0.32
2017-06,12.90B,12.90B,2.66B,10.24B,3.43B,1.787B,,1.208B,,-84.00M,312.00M,94.00M,-218.00M,,6.425B,3.811B,94.00M,312.00M,-218.00M,221.00M,-218.00M,3.815B,739.00M,3.077B,2.00M,,-5.00M,,3.073B,3.139B,5.701B,1.574B,4.127B,0.52,0.0,,0.5314,0.52,0.51,0.0,,0.5212,0.51,5.958B,6.037B,0.32
