,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,263.70M,0.10M,-52.20M,34.60M,-17.50M,31.50M,13.50M,45.00M,45.00M,,11.40M,,-79.70M,-19.50M,71.80M,25.80M,,,90.50M,168.60M,,,2020-09,-22.00M,0.10M,0.10M,-5.00M,0.00,0.00,-26.90M,2020-09,0.00,-399.10M,-399.10M,,0.00,0.00,-118.50M,-118.50M,27.00M,0.00,-490.60M,2020-09,909.80M,-191.70M,12.30M,,2020-09,,,0.90M,-400.00M,0.00,2020-09,AOR,
2020-06,314.20M,-11.30M,-153.50M,31.50M,-133.30M,30.80M,12.70M,43.50M,43.50M,,12.30M,,3.80M,144.70M,-29.30M,-81.70M,,,72.00M,105.70M,,,2020-06,-35.30M,13.20M,13.20M,-286.60M,-7.50M,-1.30M,-317.50M,2020-06,-0.70M,341.20M,340.50M,,-50.50M,-50.50M,-118.00M,-118.00M,53.70M,0.00,225.70M,2020-06,641.80M,254.40M,13.60M,,2020-06,,,422.70M,-0.70M,-50.50M,2020-06,AOR,
2020-03,129.90M,-1.20M,144.80M,31.60M,175.20M,30.00M,12.30M,42.30M,42.30M,,10.90M,,4.90M,-49.20M,-13.80M,51.30M,,,-134.10M,-145.80M,,,2020-03,-19.60M,1.40M,1.40M,-20.80M,-1.60M,,-40.60M,2020-03,-300.00M,58.00M,-242.00M,,-107.70M,-107.70M,-118.40M,-118.40M,28.90M,0.80M,-438.40M,2020-03,926.20M,-261.60M,-22.80M,,2020-03,,,-23.50M,-300.00M,-107.70M,2020-03,AOR,
2019-12,315.40M,0.00,-71.00M,31.80M,-39.20M,30.20M,11.70M,41.90M,41.90M,,11.50M,,30.20M,-85.00M,1.70M,-0.40M,,,-45.00M,-128.70M,,,2019-12,-37.00M,0.20M,0.20M,-238.50M,42.30M,,-233.00M,2019-12,,23.50M,23.50M,,-106.00M,-106.00M,-117.90M,-117.90M,104.80M,,-95.60M,2019-12,1.018B,-97.50M,5.30M,,2019-12,,,23.50M,,-106.00M,2019-12,AOR,
2019-09,8.10M,-0.10M,228.40M,19.10M,247.40M,33.60M,6.40M,40.00M,40.00M,,10.60M,,-23.30M,24.00M,72.20M,52.60M,,,72.40M,221.20M,,,2019-09,-24.10M,1.20M,1.20M,0.00,118.60M,,95.70M,2019-09,0.00,-0.60M,-0.60M,,-221.60M,-221.60M,-112.90M,-112.90M,10.90M,,-325.30M,2019-09,788.80M,245.40M,-15.80M,,2019-09,,,0.00,-0.60M,-221.60M,2019-09,AOR,Restated
2019-06,261.40M,0.20M,-10.10M,17.20M,7.30M,30.50M,6.40M,36.90M,36.90M,,10.70M,,14.10M,7.10M,8.90M,-26.00M,,,30.80M,20.80M,,,2019-06,-27.80M,0.00,0.00,0.00,39.00M,,11.20M,2019-06,0.00,-0.70M,-0.70M,,-252.20M,-252.20M,-114.40M,-114.40M,12.70M,,-354.60M,2019-06,780.00M,7.80M,1.00M,,2019-06,,,0.00,-550.40M,-252.20M,2019-06,AOR,Restated
2019-03,346.00M,0.40M,-98.20M,17.20M,-80.60M,32.80M,6.60M,39.40M,39.40M,,10.80M,,-30.40M,-35.40M,-33.60M,19.10M,,,-91.50M,-141.40M,,,2019-03,-38.90M,3.20M,3.20M,-20.70M,33.60M,,-22.80M,2019-03,987.60M,-630.00M,357.60M,,-240.10M,-240.10M,-115.60M,-115.60M,19.80M,,21.70M,2019-03,632.30M,142.70M,5.00M,,2019-03,,,907.30M,0.00,-240.10M,2019-03,AOR,Restated
2018-12,80.30M,1.30M,212.70M,17.20M,231.20M,29.30M,6.60M,35.90M,35.90M,,11.00M,,20.80M,-6.10M,-52.40M,-31.20M,,,-77.50M,-167.20M,,,2018-12,-42.00M,0.10M,0.10M,0.00,182.80M,,140.90M,2018-12,,80.30M,80.30M,,-295.10M,-295.10M,-116.90M,-116.90M,4.00M,,-327.70M,2018-12,618.80M,25.20M,-11.70M,,2018-12,,,80.30M,,-295.10M,2018-12,AOR,Restated
2018-09,345.90M,1.10M,-166.80M,29.10M,-136.60M,32.90M,6.80M,39.70M,39.70M,,9.90M,,-16.70M,-54.00M,-11.30M,48.50M,,,-33.10M,-49.90M,,,2018-09,-46.90M,0.00,0.00,0.00,-685.40M,,-732.30M,2018-09,0.00,550.30M,550.30M,,-400.10M,-400.10M,-112.50M,-112.50M,13.90M,0.00,51.60M,2018-09,940.10M,-317.90M,-3.40M,,2018-09,,,200.60M,0.00,-400.10M,2018-09,AOR,Restated
2018-06,198.60M,1.40M,76.80M,28.20M,106.40M,35.00M,7.10M,42.10M,42.10M,,9.80M,,-40.00M,-27.90M,-18.20M,11.50M,,,60.80M,26.20M,,,2018-06,-22.40M,0.10M,0.10M,0.00,80.90M,,58.60M,2018-06,0.00,-307.80M,-307.80M,,-420.50M,-420.50M,-114.80M,-114.80M,6.00M,0.00,-837.10M,2018-06,1.434B,-435.40M,-58.40M,,2018-06,,,0.00,0.00,-420.50M,2018-06,AOR,Restated
