,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.57B,1.57B,930.70M,639.30M,354.40M,,,26.20M,-20.70M,354.40M,284.90M,26.20M,-20.70M,35.40M,-20.70M,299.60M,35.90M,263.70M,,,-1.40M,,262.70M,216.75M,370.80M,,2020-09,2.269,,,,2020-09,2.25,,,,2020-09,115.80M,,2020-09,AOR,
2020-06,1.394B,1.394B,839.80M,554.20M,370.20M,,,25.40M,-25.40M,370.20M,184.00M,25.40M,-25.40M,175.90M,-25.40M,334.50M,20.30M,314.20M,,,3.60M,,317.80M,153.01M,403.40M,,2020-06,2.74,,,,2020-06,2.73,,,,2020-06,115.70M,,2020-06,AOR,
2020-03,1.681B,1.681B,982.50M,698.80M,352.00M,,,25.50M,-25.50M,352.00M,346.80M,25.50M,-25.50M,-153.90M,-25.50M,167.40M,37.50M,129.90M,,,2.30M,,132.20M,244.56M,235.20M,,2020-03,1.14,,,,2020-03,1.13,,,,2020-03,116.00M,,2020-03,AOR,
2019-12,1.684B,1.684B,981.60M,702.90M,403.20M,,,26.40M,-26.40M,403.20M,299.70M,26.40M,-26.40M,61.30M,-26.40M,334.60M,19.20M,315.40M,,,-4.70M,,310.70M,243.75M,402.90M,,2019-12,2.68,,,,2019-12,2.66,,,,2019-12,115.70M,,2019-12,AOR,
2019-09,1.730B,1.730B,1.007B,722.90M,405.10M,,,27.00M,-15.90M,405.10M,317.80M,27.00M,-15.90M,-245.50M,-15.90M,56.40M,48.30M,8.10M,,,0.00,,8.10M,174.83M,123.40M,,2019-09,0.0700,,,,2019-09,0.07,,,,2019-09,116.20M,,2019-09,AOR,Restated
2019-06,1.665B,1.665B,934.80M,730.30M,361.70M,,,26.80M,-26.80M,361.70M,368.60M,26.80M,-26.80M,-20.40M,-26.80M,321.40M,60.00M,261.40M,,,0.00,,261.40M,282.21M,385.10M,,2019-06,2.22,,,,2019-06,2.20,,,,2019-06,117.60M,,2019-06,AOR,Restated
2019-03,1.657B,1.657B,949.00M,708.20M,385.00M,,,23.70M,-23.70M,385.00M,323.20M,23.70M,-23.70M,102.90M,-23.70M,402.40M,56.40M,346.00M,,,0.00,,346.00M,261.55M,465.50M,,2019-03,2.91,,,,2019-03,2.88,,,,2019-03,118.90M,,2019-03,AOR,Restated
2018-12,1.642B,1.642B,903.60M,738.70M,386.70M,,,20.70M,-20.70M,386.70M,352.00M,20.70M,-20.70M,-210.50M,-20.70M,120.80M,40.50M,80.30M,,,0.00,,80.30M,221.75M,177.40M,,2018-12,0.67,,,,2018-12,0.66,,,,2018-12,120.30M,,2018-12,AOR,Restated
2018-09,1.730B,1.730B,993.40M,736.10M,415.10M,,,19.20M,5.20M,415.10M,321.00M,19.20M,5.20M,155.50M,5.20M,481.70M,135.80M,345.90M,,,,,345.90M,345.90M,540.60M,,2018-09,2.856,,,,2018-09,2.80,,,,2018-09,122.10M,,2018-09,AOR,Restated
2018-06,1.699B,1.699B,954.00M,744.70M,399.60M,,,16.50M,-16.50M,399.60M,345.10M,16.50M,-16.50M,-76.90M,-16.50M,251.70M,53.10M,198.60M,,,,,198.60M,198.60M,310.30M,,2018-06,1.60,,,,2018-06,1.58,,,,2018-06,124.40M,,2018-06,AOR,Restated
2018-03,1.651B,1.651B,947.30M,703.90M,386.60M,,,17.30M,-17.30M,386.60M,317.30M,17.30M,-17.30M,-0.40M,-17.30M,299.60M,72.20M,227.40M,,,,,227.40M,227.40M,360.10M,,2018-03,1.79,,,,2018-03,1.77,,,,2018-03,126.90M,,2018-03,AOR,Restated
2017-12,1.587B,1.587B,886.40M,700.20M,386.60M,,,20.00M,-20.00M,386.60M,313.60M,20.00M,-20.00M,4.20M,-20.00M,297.80M,534.20M,-236.40M,,,,,-236.40M,-236.40M,357.40M,,2017-12,-1.84,,,,2017-12,-1.84,,,,2017-12,128.20M,,2017-12,AOR,Restated
2017-09,1.668B,1.668B,976.10M,691.40M,391.60M,,,19.50M,0.10M,391.60M,299.80M,19.50M,0.10M,-26.40M,0.10M,273.50M,68.90M,204.60M,,,,,204.60M,204.60M,337.90M,,2017-09,1.593,,,,2017-09,1.57,,,,2017-09,128.10M,,2017-09,AOR,Restated
2017-06,1.599B,1.599B,921.50M,677.70M,386.80M,,,19.10M,-19.10M,386.80M,290.90M,19.10M,-19.10M,4.20M,-19.10M,276.00M,59.10M,216.90M,,,,,216.90M,216.90M,338.10M,,2017-06,1.69,,,,2017-06,1.67,,,,2017-06,128.40M,,2017-06,AOR,Restated
2017-03,1.554B,1.554B,897.80M,656.50M,409.20M,,,18.90M,-18.90M,409.20M,247.30M,18.90M,-18.90M,1.90M,-18.90M,230.30M,40.80M,189.50M,,,,,189.50M,189.50M,289.80M,,2017-03,1.47,,,,2017-03,1.45,,,,2017-03,128.70M,,2017-03,AOR,Restated
2016-12,1.490B,1.490B,848.00M,642.30M,370.00M,,,18.70M,-18.70M,370.00M,272.30M,18.70M,-18.70M,4.00M,-18.70M,257.60M,42.90M,214.70M,,,,,214.70M,214.70M,316.70M,,2016-12,1.67,,,,2016-12,1.65,,,,2016-12,128.30M,,2016-12,AOR,Restated
2016-09,1.539B,1.539B,886.70M,651.90M,402.10M,,,18.20M,-5.50M,402.10M,249.80M,18.20M,-5.50M,-7.40M,-5.50M,236.90M,51.70M,185.20M,,,,,185.20M,185.20M,298.10M,,2016-09,1.441,,,,2016-09,1.43,,,,2016-09,128.70M,,2016-09,AOR,Restated
2016-06,1.474B,1.474B,857.20M,616.80M,346.70M,,,18.10M,-18.10M,346.70M,270.10M,18.10M,-18.10M,0.30M,-18.10M,252.30M,61.30M,191.00M,,,,,191.00M,191.00M,313.20M,,2016-06,1.47,,,,2016-06,1.46,,,,2016-06,129.80M,,2016-06,AOR,Restated
2016-03,1.440B,1.440B,846.20M,594.10M,358.70M,,,17.60M,-17.60M,358.70M,235.40M,17.60M,-17.60M,-0.80M,-17.60M,217.00M,49.00M,168.00M,,,,,168.00M,168.00M,279.70M,,2016-03,1.29,,,,2016-03,1.28,,,,2016-03,130.50M,,2016-03,AOR,Restated
