,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,1.595B,888.00M,2.483B,1.036B,1.036B,154.70M,159.30M,227.70M,541.70M,,426.40M,4.487B,,,,,1.959B,,1.959B,-1.396B,562.60M,1.052B,246.20M,1.298B,,617.30M,128.80M,2.607B,7.094B,,,105.70M,,788.90M,16.20M,805.10M,658.60M,658.60M,,658.60M,226.40M,226.40M,349.60M,2.204B,1.241B,,1.241B,,,1.404B,,195.50M,,2016-12,181.40M,5.786B,1.603B,,,-1.589B,2.050B,,2016-12,AOR,Restated
2016-09,1.526B,902.80M,2.429B,1.079B,1.079B,152.80M,158.00M,215.80M,526.60M,,150.20M,4.185B,0.00,4.50M,333.70M,1.536B,,108.40M,1.983B,-1.404B,578.30M,1.074B,255.30M,1.329B,,633.90M,374.80M,2.916B,7.101B,,,71.70M,,791.30M,16.90M,808.20M,448.60M,448.60M,,448.60M,214.50M,214.50M,359.00M,1.976B,1.516B,,1.516B,,,1.430B,,188.70M,,2016-09,181.40M,5.668B,1.588B,,,-1.539B,1.990B,,2016-09,AOR,Restated
2016-06,1.509B,923.40M,2.433B,1.022B,1.022B,151.50M,177.30M,227.50M,556.30M,,142.40M,4.154B,,,,,1.953B,,1.953B,-1.386B,567.00M,1.016B,213.40M,1.230B,,512.70M,392.60M,2.702B,6.856B,,93.80M,80.30M,,867.00M,16.20M,883.20M,354.00M,354.00M,,354.00M,214.70M,214.70M,103.60M,1.699B,1.522B,,1.522B,,,1.104B,,408.90M,,2016-06,181.40M,5.483B,1.577B,,,-1.328B,2.121B,,2016-06,AOR,Restated
2016-03,1.396B,913.60M,2.310B,1.028B,1.028B,157.20M,180.50M,232.00M,569.70M,,155.40M,4.063B,,,,,1.931B,,1.931B,-1.360B,571.60M,1.023B,218.60M,1.242B,,509.60M,153.90M,2.477B,6.540B,,,74.50M,,736.70M,16.90M,753.60M,277.60M,277.60M,,277.60M,226.80M,226.80M,95.20M,1.505B,1.513B,,1.513B,,,1.107B,,198.60M,,2016-03,181.40M,5.480B,1.564B,,,-1.326B,2.216B,,2016-03,AOR,Restated
2015-12,1.449B,770.60M,2.220B,1.016B,1.016B,149.80M,177.90M,234.50M,562.20M,,159.40M,3.957B,,,,,1.911B,,1.911B,-1.325B,586.30M,1.020B,221.00M,1.241B,,496.10M,139.20M,2.462B,6.420B,,,114.70M,,747.90M,16.20M,764.10M,161.00M,161.00M,,161.00M,217.10M,217.10M,98.40M,1.383B,1.493B,,1.493B,,,1.110B,,197.00M,,2015-12,181.40M,5.407B,1.555B,,,-1.339B,2.236B,,2015-12,AOR,Restated
2015-09,1.427B,721.90M,2.149B,1.041B,1.041B,152.40M,157.50M,225.70M,535.60M,,171.00M,3.897B,0.00,4.50M,319.00M,1.484B,,97.60M,1.905B,-1.299B,605.60M,1.029B,229.50M,1.258B,,494.80M,149.20M,2.508B,6.405B,,,85.80M,,779.70M,16.90M,796.60M,,,,,200.80M,200.80M,105.30M,1.328B,1.501B,,1.501B,,,1.117B,,202.70M,,2015-09,181.40M,5.317B,1.552B,,,-1.335B,2.257B,,2015-09,AOR,Restated
2015-06,1.567B,590.60M,2.158B,1.084B,1.084B,178.80M,171.20M,249.40M,599.40M,151.80M,181.60M,4.175B,,,,,1.896B,,1.896B,-1.305B,590.70M,1.043B,241.20M,1.284B,,193.60M,162.80M,2.232B,6.406B,,87.20M,69.10M,,872.40M,16.20M,888.60M,,,,,212.00M,212.00M,105.60M,1.416B,1.492B,,1.492B,,,727.20M,,215.10M,,2015-06,181.40M,5.115B,1.542B,,,-1.015B,2.556B,,2015-06,AOR,Restated
2015-03,1.403B,634.70M,2.038B,1.060B,1.060B,183.00M,160.50M,252.10M,595.60M,152.80M,199.70M,4.046B,,,,,1.870B,,1.870B,-1.272B,598.00M,1.029B,246.90M,1.276B,,191.50M,169.20M,2.234B,6.280B,,,66.10M,,752.20M,17.40M,769.60M,,,,,209.80M,209.80M,103.30M,1.279B,1.505B,,1.505B,,,726.30M,,202.70M,,2015-03,181.40M,5.084B,1.527B,,,-1.041B,2.566B,,2015-03,AOR,Restated
2014-12,1.292B,620.80M,1.913B,1.107B,1.107B,188.40M,154.80M,250.30M,593.50M,158.30M,161.30M,3.932B,,,,,1.870B,,1.870B,-1.257B,612.40M,1.047B,250.30M,1.297B,,198.30M,161.80M,2.270B,6.202B,,,120.70M,,772.90M,15.00M,787.90M,508.00M,508.00M,,508.00M,198.80M,198.80M,103.60M,1.771B,905.60M,,905.60M,,,753.00M,,203.50M,,2014-12,181.40M,4.966B,1.514B,,,-1.016B,2.569B,,2014-12,AOR,Restated
2014-09,1.191B,628.50M,1.820B,1.216B,1.216B,191.20M,156.90M,240.30M,588.40M,163.50M,146.70M,3.934B,0.00,3.70M,315.90M,1.451B,,118.20M,1.888B,-1.256B,632.90M,1.051B,246.20M,1.297B,,205.70M,154.70M,2.290B,6.224B,,,78.20M,,782.80M,15.60M,798.40M,325.00M,325.00M,,325.00M,196.50M,196.50M,94.50M,1.692B,900.40M,,900.40M,,,767.90M,,205.80M,,2014-09,181.40M,4.840B,1.512B,,,-948.00M,2.658B,,2014-09,AOR,Restated
