,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,668.00M,,196.00M,196.00M,-76.00M,,57.00M,,75.00M,-124.00M,-139.00M,489.00M,-40.00M,,554.00M,740.00M,,1.874B,-116.00M,0.00,-116.00M,0.00,31.00M,,-85.00M,-31.00M,8.00M,-23.00M,,-1.34B,-1.34B,-238.00M,-238.00M,-3.00M,,-1.604B,4.679B,185.00M,4.864B,,38.00M,-61.00M,-1.34B
2020-07,734.00M,,197.00M,197.00M,32.00M,,49.00M,,187.00M,-157.00M,398.00M,-4.00M,-27.00M,,258.00M,468.00M,,1.667B,-117.00M,0.00,-117.00M,36.00M,-470.00M,,-551.00M,1.331B,-605.00M,726.00M,,-953.00M,-953.00M,-251.00M,-251.00M,-13.00M,,-491.00M,4.054B,625.00M,4.679B,,2.388B,-1.662B,-953.00M
2020-04,764.00M,,198.00M,198.00M,-3.00M,,63.00M,,180.00M,-311.00M,-1.406B,1.279B,-51.00M,,-1.223B,-1.712B,,-510.00M,-149.00M,3.00M,-146.00M,-36.00M,300.00M,,118.00M,-10.00M,622.00M,612.00M,,-123.00M,-123.00M,-252.00M,-252.00M,4.00M,,241.00M,4.205B,-151.00M,4.054B,,671.00M,-59.00M,-123.00M
2020-01,678.00M,,198.00M,198.00M,117.00M,,109.00M,,345.00M,1.167B,761.00M,-1.946B,-34.00M,,-110.00M,-162.00M,,1.285B,-198.00M,,-198.00M,0.00,-300.00M,,-498.00M,-58.00M,2.00M,-56.00M,,-691.00M,-691.00M,-256.00M,-256.00M,-116.00M,,-1.119B,4.537B,-332.00M,4.205B,,11.00M,-67.00M,-691.00M
2019-10,388.00M,,205.00M,205.00M,-192.00M,,64.00M,,212.00M,-739.00M,-44.00M,357.00M,0.00,,337.00M,-89.00M,,588.00M,-196.00M,0.00,-196.00M,-31.00M,0.00,,-227.00M,-43.00M,0.00,-43.00M,,-461.00M,-461.00M,-236.00M,-236.00M,-3.00M,,-743.00M,4.919B,-382.00M,4.537B,,33.00M,-76.00M,-461.00M
2019-07,1.179B,,190.00M,190.00M,207.00M,,60.00M,,80.00M,81.00M,-386.00M,-298.00M,0.00,,1.23B,627.00M,,2.343B,-172.00M,0.00,-172.00M,-23.00M,6.00M,,-189.00M,-36.00M,0.00,-36.00M,,-533.00M,-533.00M,-240.00M,-240.00M,18.00M,,-791.00M,3.556B,1.363B,4.919B,,30.00M,-66.00M,-533.00M
2019-04,782.00M,,181.00M,181.00M,15.00M,,66.00M,,187.00M,-314.00M,171.00M,-790.00M,0.00,,563.00M,-370.00M,,861.00M,-114.00M,0.00,-114.00M,0.00,410.00M,,296.00M,-38.00M,-1.00M,-39.00M,,-691.00M,-691.00M,-245.00M,-245.00M,7.00M,,-968.00M,3.367B,189.00M,3.556B,,24.00M,-63.00M,-691.00M
2019-01,803.00M,,168.00M,168.00M,103.00M,,107.00M,,50.00M,211.00M,191.00M,-173.00M,0.00,,-598.00M,-369.00M,,862.00M,-189.00M,,-189.00M,-404.00M,275.00M,,-318.00M,-436.00M,-855.00M,-1.291B,,-720.00M,-720.00M,-249.00M,-249.00M,-83.00M,,-2.343B,5.166B,-1.799B,3.367B,,40.00M,-1.331B,-720.00M
2018-10,1.451B,,140.00M,140.00M,-486.00M,,65.00M,,125.00M,-514.00M,-15.00M,107.00M,,,95.00M,-327.00M,,968.00M,-187.00M,62.00M,-125.00M,0.00,212.00M,,87.00M,-39.00M,-1.246B,-1.285B,,-598.00M,-598.00M,-219.00M,-219.00M,18.00M,,-2.084B,6.195B,-1.029B,5.166B,,-834.00M,-451.00M,-598.00M
2018-07,880.00M,,132.00M,132.00M,149.00M,,55.00M,,40.00M,-15.00M,-571.00M,1.053B,,,-209.00M,258.00M,,1.514B,-117.00M,0.00,-117.00M,-16.00M,432.00M,,299.00M,-33.00M,1.055B,1.022B,,-696.00M,-696.00M,-223.00M,-223.00M,32.00M,,135.00M,4.247B,1.948B,6.195B,,1.989B,-967.00M,-696.00M
2018-04,1.058B,,127.00M,127.00M,397.00M,,63.00M,,242.00M,-234.00M,86.00M,-1.327B,,,638.00M,-837.00M,,1.05B,-113.00M,0.00,-113.00M,0.00,734.00M,,621.00M,-1.985B,74.00M,-1.911B,,-801.00M,-801.00M,-227.00M,-227.00M,2.00M,38.00M,-2.899B,5.475B,-1.228B,4.247B,,100.00M,-2.011B,-801.00M
2018-01,1.938B,,129.00M,129.00M,-3.713B,,85.00M,,44.00M,272.00M,364.00M,1.985B,,,-108.00M,2.513B,,996.00M,-129.00M,110.00M,-19.00M,-1.02B,-684.00M,,-1.723B,-41.00M,-24.00M,-65.00M,,-462.00M,-462.00M,-230.00M,-230.00M,,-38.00M,-795.00M,6.997B,-1.522B,5.475B,,200.00M,-265.00M,-462.00M
2017-10,660.00M,,91.00M,91.00M,-174.00M,,55.00M,,178.00M,-238.00M,-615.00M,741.00M,,,-18.00M,-130.00M,,680.00M,-165.00M,0.00,-165.00M,0.00,171.00M,,6.00M,-22.00M,43.00M,21.00M,,-501.00M,-501.00M,-221.00M,-221.00M,,-12.00M,-656.00M,6.967B,30.00M,6.997B,,43.00M,-22.00M,-501.00M
2017-07,696.00M,,90.00M,90.00M,207.00M,,46.00M,,94.00M,-504.00M,-459.00M,1.644B,,,-39.00M,642.00M,,1.775B,-61.00M,0.00,-61.00M,0.00,-1.421B,,-1.482B,-21.00M,972.00M,951.00M,,-302.00M,-302.00M,-222.00M,-222.00M,,24.00M,451.00M,6.223B,744.00M,6.967B,,972.00M,-21.00M,-302.00M
2017-04,559.00M,,89.00M,89.00M,138.00M,,48.00M,,142.00M,-325.00M,-203.00M,40.00M,,,-33.00M,-521.00M,,455.00M,-75.00M,0.00,-75.00M,0.00,-80.00M,,-155.00M,-17.00M,39.00M,22.00M,,-223.00M,-223.00M,-224.00M,-224.00M,,17.00M,-408.00M,6.331B,-108.00M,6.223B,,39.00M,-17.00M,-223.00M
2017-01,611.00M,,84.00M,84.00M,67.00M,,75.00M,,82.00M,614.00M,-69.00M,-191.00M,,,-506.00M,-152.00M,,767.00M,-101.00M,69.00M,-32.00M,0.00,-54.00M,,-86.00M,-19.00M,32.00M,13.00M,,-386.00M,-386.00M,-227.00M,-227.00M,,-38.00M,-638.00M,6.288B,43.00M,6.331B,,40.00M,-27.00M,-386.00M
2016-10,492.00M,,83.00M,83.00M,-577.00M,,42.00M,,307.00M,-163.00M,-542.00M,1.673B,,,-611.00M,357.00M,,704.00M,-146.00M,6.00M,-140.00M,308.00M,-4.00M,,164.00M,-30.00M,25.00M,-5.00M,,-2.00M,-2.00M,-212.00M,-212.00M,,3.00M,-216.00M,5.636B,652.00M,6.288B,,25.00M,-30.00M,-2.00M
2016-07,783.00M,,85.00M,85.00M,378.00M,,39.00M,,-213.00M,-166.00M,-471.00M,929.00M,,,-293.00M,-1.00M,,1.071B,-81.00M,0.00,-81.00M,99.00M,121.00M,,139.00M,0.00,33.00M,33.00M,,-57.00M,-57.00M,-212.00M,-212.00M,,26.00M,-210.00M,4.636B,1.00B,5.636B,,33.00M,0.00,-57.00M
2016-04,629.00M,,85.00M,85.00M,74.00M,,40.00M,,69.00M,190.00M,520.00M,70.00M,,,-53.00M,727.00M,,1.579B,-86.00M,0.00,-86.00M,61.00M,-119.00M,,-144.00M,-3.00M,13.00M,10.00M,,-305.00M,-305.00M,-213.00M,-213.00M,,21.00M,-487.00M,3.688B,948.00M,4.636B,,13.00M,-3.00M,-305.00M
2016-01,592.00M,,79.00M,79.00M,526.00M,,61.00M,,5.00M,704.00M,202.00M,-1.638B,,,-678.00M,-1.41B,,-102.00M,-120.00M,0.00,-120.00M,,9.00M,,-111.00M,-2.151B,26.00M,-2.125B,,-797.00M,-797.00M,-221.00M,-221.00M,,-10.39B,-13.53B,17.43B,-13.74B,3.688B,,30.00M,-2.155B,-797.00M
2015-10,1.323B,,1.007B,1.007B,-1.598B,,233.00M,124.00M,1.342B,-819.00M,137.00M,1.327B,,,334.00M,979.00M,,3.145B,-961.00M,114.00M,-847.00M,63.00M,-23.00M,,-807.00M,1.813B,-2.832B,-1.019B,-303.00M,-301.00M,-604.00M,-337.00M,-337.00M,,-116.00M,-2.076B,17.17B,262.00M,17.43B,-303.00M,12.21B,-13.22B,-301.00M
