,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,15.26B,15.26B,12.58B,2.679B,,1.458B,381.00M,29.00M,,-33.00M,-1.00M,63.00M,-63.00M,,1.867B,812.00M,63.00M,-63.00M,27.00M,-63.00M,776.00M,108.00M,668.00M,,,668.00M,696.41M,1.035B,196.00M,839.00M,0.5,,,,0.5211,0.5,0.49,,,,0.5109,0.49,1.347B,1.357B,0.1762
2020-07,14.29B,14.29B,11.90B,2.393B,,1.156B,359.00M,29.00M,,-110.00M,1.00M,55.00M,-55.00M,,1.545B,848.00M,55.00M,-55.00M,-42.00M,-55.00M,751.00M,17.00M,734.00M,,,734.00M,841.58M,1.003B,197.00M,806.00M,0.52,,,,0.5959,0.52,0.52,,,,0.5956,0.52,1.417B,1.423B,0.1762
2020-04,12.47B,12.47B,9.976B,2.493B,,1.216B,338.00M,29.00M,,-84.00M,-1.00M,64.00M,-64.00M,,1.582B,911.00M,64.00M,-64.00M,-21.00M,-64.00M,826.00M,62.00M,764.00M,,,764.00M,841.62M,1.088B,198.00M,890.00M,0.53,,,,0.5841,0.53,0.53,,,,0.5839,0.53,1.435B,1.44B,0.1762
2020-01,14.62B,14.62B,11.75B,2.872B,,1.29B,400.00M,26.00M,,-291.00M,,58.00M,-58.00M,,1.716B,1.156B,58.00M,-58.00M,-220.00M,-58.00M,878.00M,200.00M,678.00M,,,678.00M,902.65M,1.134B,198.00M,936.00M,0.47,,,,0.6245,0.47,0.46,,,,0.6139,0.46,1.454B,1.46B,0.1762
2019-10,15.41B,15.41B,12.48B,2.924B,,1.405B,389.00M,29.00M,,-157.00M,417.00M,60.00M,-60.00M,,2.24B,684.00M,60.00M,-60.00M,-132.00M,-60.00M,492.00M,104.00M,388.00M,,,388.00M,511.81M,757.00M,205.00M,552.00M,0.26,,,,0.3439,0.26,0.26,,,,0.3434,0.26,1.476B,1.485B,0.1602
2019-07,14.60B,14.60B,11.70B,2.905B,,1.376B,413.00M,29.00M,,-8.00M,784.00M,57.00M,-57.00M,,2.602B,303.00M,57.00M,-57.00M,2.00M,-57.00M,248.00M,-931.00M,1.179B,,,1.179B,1.185B,495.00M,190.00M,305.00M,0.79,,,,0.7939,0.79,0.78,,,,0.7839,0.78,1.499B,1.508B,0.1602
2019-04,14.04B,14.04B,11.31B,2.729B,,1.339B,353.00M,29.00M,,-80.00M,-5.00M,61.00M,-61.00M,,1.716B,1.013B,61.00M,-61.00M,-69.00M,-61.00M,883.00M,101.00M,782.00M,,,782.00M,852.88M,1.125B,181.00M,944.00M,0.51,,,,0.5564,0.51,0.51,,,,0.5561,0.51,1.529B,1.536B,0.1602
2019-01,14.71B,14.71B,12.10B,2.612B,,1.248B,344.00M,29.00M,,-65.00M,,64.00M,-64.00M,,1.621B,991.00M,64.00M,-64.00M,-27.00M,-64.00M,900.00M,97.00M,803.00M,,,803.00M,860.98M,1.132B,168.00M,964.00M,0.52,,,,0.5573,0.52,0.51,,,,0.547,0.51,1.556B,1.567B,0.1602
2018-10,15.37B,15.37B,12.67B,2.697B,,1.263B,354.00M,20.00M,,-66.00M,-14.00M,71.00M,-71.00M,,1.623B,1.074B,71.00M,-71.00M,4.00M,-71.00M,1.007B,-444.00M,1.451B,,,1.451B,1.499B,1.218B,140.00M,1.078B,0.92,,,,0.9505,0.92,0.91,,,,0.9401,0.91,1.579B,1.601B,0.1393
2018-07,14.59B,14.59B,11.90B,2.688B,,1.289B,347.00M,20.00M,,-14.00M,3.00M,66.00M,-66.00M,,1.659B,1.029B,66.00M,-66.00M,55.00M,-66.00M,1.018B,138.00M,880.00M,,,880.00M,892.10M,1.216B,132.00M,1.084B,0.55,,,,0.5576,0.55,0.54,,,,0.5475,0.54,1.601B,1.618B,0.1393
