,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,37.15B,37.15B,11.00B,26.15B,4.231B,1.119B,5.35B,4.926B,,589.00M,,-589.00M,10.28B,15.88B,,589.00M,-589.00M,837.00M,-589.00M,16.12B,2.231B,13.89B,,,13.89B,13.17B,19.36B,2.645B,16.71B,1.84,,,1.745,1.84,1.82,,,1.726,1.82,7.566B,7.637B,0.51
2020-06,38.03B,38.03B,12.34B,25.69B,5.417B,1.656B,7.073B,5.214B,,686.00M,,-686.00M,12.29B,13.41B,,686.00M,-686.00M,701.00M,-686.00M,13.42B,2.22B,11.20B,,,11.20B,10.62B,17.61B,3.504B,14.11B,1.48,,,1.403,1.48,1.46,,,1.3840000000000001,1.46,7.583B,7.653B,0.51
2020-03,35.02B,35.02B,10.98B,24.05B,4.911B,1.273B,6.184B,4.887B,,614.00M,,-614.00M,11.07B,12.98B,,614.00M,-614.00M,482.00M,-614.00M,12.84B,2.091B,10.75B,,,10.75B,10.34B,16.58B,3.118B,13.46B,1.41,,,1.3559999999999999,1.41,1.4,,,1.347,1.4,7.602B,7.675B,0.51
2019-12,36.91B,36.91B,12.36B,24.55B,4.933B,1.121B,6.054B,4.603B,,654.00M,,-654.00M,10.66B,13.89B,,654.00M,-654.00M,848.00M,-654.00M,14.08B,2.436B,11.65B,,,11.65B,10.93B,17.94B,3.203B,14.74B,1.53,,,1.436,1.53,1.51,,,1.416,1.51,7.621B,7.691B,0.51
2019-09,33.06B,33.06B,10.41B,22.65B,4.337B,1.061B,5.398B,4.565B,,637.00M,,-637.00M,9.963B,12.69B,,637.00M,-637.00M,637.00M,-637.00M,12.69B,2.008B,10.68B,,,10.68B,10.13B,16.29B,2.971B,13.32B,1.4,,,1.328,1.4,1.38,,,1.3090000000000002,1.38,7.634B,7.71B,0.46
2019-06,33.72B,33.72B,10.41B,23.30B,4.962B,1.425B,6.387B,4.513B,,669.00M,,-669.00M,10.90B,12.40B,,669.00M,-669.00M,860.00M,-669.00M,12.60B,-591.00M,13.19B,,,13.19B,12.47B,16.19B,2.924B,13.26B,1.72,,,1.626,1.72,1.71,,,1.617,1.71,7.655B,7.735B,0.46
2019-03,30.57B,30.57B,10.17B,20.40B,4.565B,1.179B,5.744B,4.316B,,671.00M,,-671.00M,10.06B,10.34B,,671.00M,-671.00M,816.00M,-671.00M,10.49B,1.677B,8.809B,,,8.809B,8.137B,14.08B,2.926B,11.16B,1.15,,,1.062,1.15,1.14,,,1.053,1.14,7.672B,7.744B,0.46
2018-12,32.47B,32.47B,12.42B,20.05B,4.588B,1.132B,5.72B,4.07B,,672.00M,,-672.00M,9.79B,10.26B,,672.00M,-672.00M,799.00M,-672.00M,10.38B,1.965B,8.42B,,,8.42B,7.800B,14.05B,2.995B,11.06B,1.09,,,1.0090000000000001,1.09,1.08,,,1.0,1.08,7.692B,7.768B,0.46
2018-09,29.08B,29.08B,9.905B,19.18B,4.098B,1.149B,5.247B,3.977B,,674.00M,,-674.00M,9.224B,9.955B,,674.00M,-674.00M,940.00M,-674.00M,10.22B,1.397B,8.824B,,,8.824B,8.028B,13.73B,2.837B,10.90B,1.15,,,1.046,1.15,1.14,,,1.037,1.14,7.673B,7.766B,0.42
2018-06,30.08B,30.08B,9.742B,20.34B,4.76B,1.271B,6.031B,3.933B,,672.00M,,-672.00M,9.964B,10.38B,,672.00M,-672.00M,973.00M,-672.00M,10.68B,1.807B,8.873B,,,8.873B,8.014B,13.87B,2.516B,11.35B,1.15,,,1.038,1.15,1.14,,,1.03,1.14,7.682B,7.782B,0.42
