,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,13.89B,,-128.00M,2.645B,2.645B,-11.00M,1.456B,,1.456B,8.843B,-808.00M,-668.00M,-54.00M,-2.951B,-2.882B,1.48B,19.34B,-4.907B,,-4.907B,-481.00M,2.10B,-2.083B,-5.371B,,,,545.00M,-6.743B,-6.198B,-3.856B,-3.856B,-235.00M,-10.29B,13.58B,3.675B,-46.00M,17.20B,545.00M,,,-6.743B
2020-06,11.20B,-79.00M,-79.00M,3.504B,3.504B,-142.00M,1.349B,,1.349B,-9.355B,-251.00M,3.026B,-2.151B,2.482B,9.088B,2.839B,18.67B,-4.744B,,-4.744B,-1.65B,3.173B,,-4.462B,0.00,,0.00,340.00M,-5.791B,-5.451B,-3.865B,-3.865B,-2.946B,-12.26B,11.71B,1.949B,-83.00M,13.58B,340.00M,,0.00,-5.791B
2020-03,10.75B,52.00M,52.00M,3.118B,3.118B,559.00M,1.338B,,1.338B,891.00M,181.00M,546.00M,94.00M,695.00M,-722.00M,1.685B,17.50B,-3.767B,,-3.767B,-329.00M,4.147B,,51.00M,-3.00B,,-3.00B,342.00M,-7.059B,-6.717B,-3.876B,-3.876B,-1.052B,-14.64B,8.864B,2.91B,-64.00M,11.71B,342.00M,,-3.00B,-7.059B
2019-12,11.65B,-192.00M,-203.00M,3.203B,3.203B,-3.86B,1.34B,,1.34B,-4.203B,799.00M,3.329B,165.00M,1.489B,-3.028B,-1.449B,10.68B,-3.545B,,-3.545B,-80.00M,-2.411B,,-6.036B,-18.00M,,-18.00M,234.00M,-5.206B,-4.972B,-3.886B,-3.886B,-39.00M,-8.915B,13.12B,-4.271B,18.00M,8.864B,234.00M,,-18.00M,-5.206B
2019-09,10.68B,,11.00M,2.971B,2.971B,-177.00M,1.262B,,1.262B,10.09B,-561.00M,-3.883B,-438.00M,-3.32B,-2.815B,-927.00M,13.82B,-3.385B,,-3.385B,-462.00M,2.071B,,-1.776B,-2.50B,,-2.50B,427.00M,-4.912B,-4.485B,-3.51B,-3.51B,286.00M,-10.21B,11.36B,1.833B,-72.00M,13.12B,427.00M,,-2.50B,-4.912B
2019-06,13.19B,-322.00M,-322.00M,2.924B,2.924B,-1.915B,1.19B,,1.19B,-10.07B,-113.00M,1.264B,-854.00M,2.436B,8.381B,1.044B,16.11B,-4.051B,,-4.051B,-281.00M,-2.925B,,-7.257B,-1.00B,,-1.00B,308.00M,-4.633B,-4.325B,-3.521B,-3.521B,160.00M,-8.686B,11.21B,165.00M,-21.00M,11.36B,308.00M,,-1.00B,-4.633B
2019-03,8.809B,-95.00M,-95.00M,2.926B,2.926B,-44.00M,1.172B,,1.172B,460.00M,12.00M,-197.00M,-14.00M,649.00M,-158.00M,752.00M,13.52B,-2.565B,,-2.565B,-269.00M,1.471B,,-1.363B,0.00,,0.00,274.00M,-4.753B,-4.479B,-3.526B,-3.526B,404.00M,-7.601B,6.638B,4.556B,18.00M,11.21B,274.00M,,0.00,-4.753B
2018-12,8.42B,-135.00M,-135.00M,2.995B,2.995B,-237.00M,1.183B,,1.183B,-2.396B,1.654B,-440.00M,-173.00M,656.00M,-2.627B,-3.326B,8.90B,-3.707B,,-3.707B,-1.593B,1.10B,,-4.20B,-3.00B,,-3.00B,200.00M,-6.413B,-6.213B,-3.544B,-3.544B,-459.00M,-13.22B,15.14B,-8.516B,17.00M,6.638B,200.00M,,-3.00B,-6.413B
2018-09,8.824B,-240.00M,-240.00M,2.837B,2.837B,-1.338B,1.107B,,1.107B,9.194B,-956.00M,-395.00M,-677.00M,-2.322B,-2.377B,2.467B,13.66B,-3.602B,,-3.602B,-245.00M,894.00M,,-2.953B,0.00,,0.00,360.00M,-3.744B,-3.384B,-3.22B,-3.22B,-780.00M,-7.384B,11.95B,3.32B,-129.00M,15.14B,360.00M,,0.00,-3.744B
2018-06,8.873B,-567.00M,-567.00M,2.516B,2.516B,-1.486B,1.012B,,1.012B,-9.188B,-572.00M,1.01B,-839.00M,1.773B,8.886B,1.07B,11.42B,-3.98B,,-3.98B,-434.00M,1.752B,-8.00M,-2.67B,-681.00M,0.00,-681.00M,255.00M,-2.362B,-2.107B,-3.226B,-3.226B,-25.00M,-6.039B,9.221B,2.709B,16.00M,11.95B,255.00M,0.00,-681.00M,-2.362B
