,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,17.20B,120.77B,137.98B,22.85B,22.85B,796.00M,83.00M,1.826B,2.705B,,13.54B,177.08B,,,,,102.39B,,102.39B,-45.42B,56.97B,43.89B,6.923B,50.81B,3.103B,,13.03B,123.92B,301.00B,12.51B,2.384B,,14.89B,,14.89B,6.497B,6.497B,33.48B,33.48B,,9.476B,70.06B,57.06B,7.753B,64.81B,187.00M,2.829B,3.016B,,11.52B,107.55B,177.61B,81.09B,39.19B,,,3.11B,123.39B
2020-06,,13.58B,122.95B,136.53B,32.01B,32.01B,700.00M,83.00M,1.112B,1.895B,,11.48B,181.92B,0.0,1.823B,34.00B,46.04B,8.753B,5.487B,96.10B,-43.20B,52.90B,43.35B,7.038B,50.39B,2.965B,,13.14B,119.40B,301.31B,12.53B,2.13B,,14.66B,,14.66B,3.749B,3.749B,36.00B,36.00B,,10.03B,72.31B,59.58B,7.671B,67.25B,204.00M,3.18B,3.384B,,10.63B,110.70B,183.01B,80.55B,34.57B,,,3.186B,118.30B
2020-03,,11.71B,125.92B,137.63B,22.70B,22.70B,655.00M,86.00M,903.00M,1.644B,,8.536B,170.50B,,,,,91.18B,,91.18B,-41.51B,49.67B,42.06B,6.855B,48.92B,2.66B,,13.70B,114.94B,285.45B,9.246B,3.296B,,12.54B,,12.54B,3.748B,3.748B,27.01B,27.01B,,9.151B,58.71B,62.86B,7.248B,70.11B,185.00M,3.385B,3.57B,,9.673B,112.24B,170.95B,79.81B,32.01B,,,2.676B,114.50B
2019-12,,8.864B,125.39B,134.25B,23.52B,23.52B,409.00M,49.00M,1.365B,1.823B,,7.473B,167.07B,,,,,88.56B,,88.56B,-39.60B,48.96B,42.25B,7.126B,49.37B,2.755B,,14.63B,115.72B,282.79B,8.811B,2.687B,,11.50B,,11.50B,6.247B,6.247B,27.34B,27.34B,,9.131B,59.64B,63.36B,7.172B,70.53B,222.00M,3.878B,4.10B,,9.658B,113.04B,172.68B,79.62B,30.74B,,,-255.00M,110.11B
2019-09,,13.12B,123.52B,136.64B,19.09B,19.09B,653.00M,47.00M,1.922B,2.622B,,7.551B,165.90B,,,,,83.27B,,83.27B,-36.97B,46.30B,42.11B,7.508B,49.62B,2.684B,,14.46B,113.06B,278.96B,8.574B,3.44B,,12.01B,,12.01B,3.017B,3.017B,29.90B,29.90B,,8.507B,58.12B,66.48B,6.659B,73.14B,234.00M,4.122B,4.356B,,8.826B,114.78B,172.89B,78.88B,27.24B,,,-61.00M,106.06B
2019-06,,11.36B,122.46B,133.82B,29.52B,29.52B,399.00M,53.00M,1.611B,2.063B,,10.15B,175.55B,0.0,1.54B,26.29B,38.66B,7.379B,5.316B,79.19B,-35.33B,43.86B,42.03B,7.75B,49.78B,2.649B,,14.72B,111.00B,286.56B,9.382B,5.665B,,15.05B,,15.05B,5.516B,5.516B,32.68B,32.68B,,9.351B,69.42B,66.66B,6.188B,72.85B,233.00M,4.53B,4.763B,,7.581B,114.81B,184.23B,78.52B,24.15B,,,-340.00M,102.33B
2019-03,,11.21B,120.41B,131.62B,19.27B,19.27B,450.00M,71.00M,1.43B,1.951B,,7.049B,159.89B,,,,,76.20B,,76.20B,-35.43B,40.77B,41.86B,8.103B,49.96B,2.403B,,10.26B,103.39B,263.28B,7.544B,1.95B,,9.494B,,9.494B,6.515B,6.515B,24.25B,24.25B,,7.837B,53.86B,66.58B,5.972B,72.56B,1.838B,3.884B,5.722B,,6.763B,114.56B,168.42B,77.79B,18.34B,,,-1.265B,94.86B
2018-12,,6.638B,121.02B,127.66B,19.68B,19.68B,455.00M,61.00M,1.445B,1.961B,,7.571B,156.87B,,,,,72.60B,,72.60B,-33.08B,39.52B,41.58B,8.482B,50.06B,2.274B,,10.13B,101.98B,258.86B,7.563B,2.033B,,9.596B,,9.596B,3.516B,3.516B,24.28B,24.28B,,8.297B,50.32B,69.65B,5.683B,75.34B,2.062B,3.799B,5.861B,,6.055B,116.41B,166.73B,77.56B,16.58B,,,-2.013B,92.13B
2018-09,,15.14B,120.74B,135.88B,17.39B,17.39B,690.00M,58.00M,2.866B,3.614B,,7.311B,164.20B,,,,,69.12B,,69.12B,-30.95B,38.16B,35.86B,7.579B,43.43B,2.034B,,9.792B,93.42B,257.62B,8.511B,2.341B,,10.85B,,10.85B,6.497B,6.497B,26.70B,26.70B,,7.953B,56.28B,69.73B,5.652B,75.38B,1.977B,3.538B,5.515B,,5.539B,115.38B,171.65B,71.30B,17.28B,,,-2.615B,85.97B
2018-06,,11.95B,121.82B,133.77B,26.48B,26.48B,655.00M,54.00M,1.953B,2.662B,,6.751B,169.66B,0.0,1.254B,20.60B,32.09B,6.686B,4.735B,65.37B,-29.22B,36.15B,35.68B,8.053B,43.74B,1.862B,,7.442B,89.19B,258.85B,8.617B,2.121B,,10.74B,,10.74B,3.998B,3.998B,28.90B,28.90B,,8.744B,58.49B,72.24B,5.568B,77.81B,541.00M,3.815B,4.356B,,5.211B,117.64B,176.13B,71.22B,13.68B,,,-2.187B,82.72B
