,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,1.296B,475.00M,1.771B,2.134B,,2.138B,98.00M,990.00M,204.00M,1.292B,299.00M,,,,5.50B,0.00,,,1.19B,215.00M,92.00M,203.00M,1.70B,-890.00M,810.00M,289.00M,194.00M,483.00M,60.00M,1.523B,7.023B,,2020-09,752.00M,,,867.00M,1.099B,1.966B,,,,,,,,,72.00M,2.417B,373.00M,205.00M,,,161.00M,739.00M,3.156B,12.00M,-6.386B,10.36B,126.00M,,,,5.00M,3.867B
2020-06,,1.775B,0.00,1.775B,1.789B,,1.799B,102.00M,936.00M,286.00M,1.324B,211.00M,,,,5.109B,0.00,,,1.073B,215.00M,148.00M,201.00M,1.637B,-837.00M,800.00M,289.00M,174.00M,463.00M,59.00M,1.474B,6.583B,,2020-06,802.00M,,,994.00M,912.00M,1.906B,,,200.00M,,200.00M,,,,68.00M,2.434B,490.00M,204.00M,,,150.00M,844.00M,3.278B,12.00M,-6.776B,10.13B,54.00M,,,,-4.00M,3.305B
2020-03,,1.33B,55.00M,1.385B,1.691B,,1.691B,88.00M,740.00M,228.00M,1.056B,258.00M,,,,4.39B,0.00,,,999.00M,221.00M,136.00M,199.00M,1.555B,-794.00M,761.00M,289.00M,194.00M,483.00M,58.00M,1.474B,5.864B,,2020-03,653.00M,,,840.00M,865.00M,1.705B,,,,,,,,,75.00M,1.985B,488.00M,211.00M,,,143.00M,842.00M,2.827B,12.00M,-6.933B,10.03B,54.00M,,,,-14.00M,3.037B
2019-12,1.465B,1.466B,37.00M,1.503B,1.859B,,1.859B,94.00M,691.00M,197.00M,982.00M,253.00M,,,,4.597B,0.00,,,951.00M,205.00M,114.00M,203.00M,1.473B,-768.00M,705.00M,289.00M,210.00M,499.00M,58.00M,1.431B,6.028B,,2019-12,988.00M,,,1.201B,799.00M,2.00B,,,,43.00M,43.00M,2.00M,2.00M,,29.00M,2.359B,486.00M,199.00M,,,157.00M,842.00M,3.201B,12.00M,-7.095B,9.963B,53.00M,,,,0.00,2.827B
2019-09,1.155B,1.156B,53.00M,1.209B,1.393B,,1.393B,95.00M,754.00M,191.00M,1.04B,270.00M,,,,3.912B,0.00,,,945.00M,205.00M,70.00M,207.00M,1.427B,-769.00M,658.00M,289.00M,220.00M,509.00M,59.00M,1.341B,5.253B,,2019-09,763.00M,,43.00M,1.021B,582.00M,1.603B,,,,38.00M,38.00M,5.00M,5.00M,,6.00M,1.864B,872.00M,201.00M,,,140.00M,1.213B,3.077B,11.00M,-7.265B,9.49B,53.00M,,,,-7.00M,2.176B
2019-06,942.00M,963.00M,165.00M,1.128B,1.333B,,1.333B,125.00M,673.00M,217.00M,1.015B,278.00M,,,,3.754B,0.00,,,897.00M,212.00M,106.00M,200.00M,1.415B,-745.00M,670.00M,289.00M,231.00M,520.00M,58.00M,1.348B,5.102B,,2019-06,828.00M,,40.00M,1.069B,517.00M,1.586B,,,,38.00M,38.00M,1.00M,1.00M,,9.00M,1.804B,1.031B,211.00M,,,155.00M,1.397B,3.201B,11.00M,-7.385B,9.325B,50.00M,,,,0.00,1.901B
2019-03,630.00M,978.00M,216.00M,1.194B,1.241B,,1.241B,120.00M,548.00M,287.00M,955.00M,115.00M,,,172.00M,3.677B,0.00,,,808.00M,214.00M,112.00M,181.00M,1.315B,-724.00M,591.00M,289.00M,222.00M,511.00M,57.00M,1.254B,4.931B,,2019-03,484.00M,,56.00M,986.00M,437.00M,1.423B,,70.00M,70.00M,38.00M,108.00M,2.00M,2.00M,,5.00M,1.764B,1.024B,213.00M,,,142.00M,1.379B,3.143B,11.00M,-7.42B,9.246B,48.00M,,,,-1.00M,1.788B
2018-12,315.00M,1.078B,78.00M,1.156B,1.235B,,1.235B,134.00M,354.00M,357.00M,845.00M,304.00M,,,,3.54B,0.00,,,798.00M,,78.00M,179.00M,1.055B,-707.00M,348.00M,289.00M,226.00M,515.00M,58.00M,1.016B,4.556B,,2018-12,834.00M,,,1.041B,547.00M,1.588B,,136.00M,136.00M,0.00,136.00M,11.00M,11.00M,,13.00M,1.984B,1.114B,0.00,,,192.00M,1.306B,3.29B,10.00M,-7.436B,8.75B,50.00M,,,,-8.00M,1.266B
2018-09,92.00M,1.046B,10.00M,1.056B,1.207B,,1.207B,85.00M,418.00M,235.00M,738.00M,113.00M,,,200.00M,3.314B,0.00,,,780.00M,,80.00M,176.00M,1.036B,-718.00M,318.00M,289.00M,274.00M,563.00M,58.00M,1.033B,4.347B,,2018-09,508.00M,,45.00M,1.086B,420.00M,1.506B,,,136.00M,,136.00M,3.00M,3.00M,,10.00M,1.878B,1.167B,,,,177.00M,1.344B,3.222B,10.00M,-7.474B,8.666B,67.00M,,,,-10.00M,1.125B
2018-06,46.00M,948.00M,35.00M,983.00M,1.118B,,1.118B,72.00M,441.00M,237.00M,750.00M,93.00M,,,155.00M,3.099B,0.00,,,756.00M,,68.00M,175.00M,999.00M,-704.00M,295.00M,289.00M,292.00M,581.00M,57.00M,1.004B,4.103B,,2018-06,520.00M,,40.00M,1.035B,345.00M,1.38B,,,223.00M,,223.00M,,,,73.00M,1.868B,1.17B,,,,186.00M,1.356B,3.224B,10.00M,-7.576B,8.564B,109.00M,,,,-10.00M,879.00M
