,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment
2020-09,390.00M,2.00M,,,40.00M,93.00M,,93.00M,93.00M,,,,76.00M,8.00M,-345.00M,32.00M,-160.00M,205.00M,,,,339.00M,,2020-09,-74.00M,,-74.00M,,-475.00M,,,2020-09,-200.00M,0.00,-200.00M,,-73.00M,-73.00M,,,,3.00M,-269.00M,,2020-09,1.779B,,1.30B,,2020-09,,0.00,-200.00M
2020-06,157.00M,8.00M,,,8.00M,82.00M,,82.00M,82.00M,,,,60.00M,9.00M,-94.00M,-268.00M,16.00M,273.00M,,,,243.00M,,2020-06,-91.00M,,-91.00M,,55.00M,,,2020-06,0.00,200.00M,200.00M,,,,,,,39.00M,238.00M,,2020-06,1.334B,,1.779B,,2020-06,,200.00M,0.00
2020-03,162.00M,18.00M,,,18.00M,78.00M,,78.00M,78.00M,,,,59.00M,7.00M,168.00M,-74.00M,-28.00M,-455.00M,,,,-65.00M,,2020-03,-55.00M,,-55.00M,,-18.00M,,,2020-03,0.00,,0.00,,,,,,,3.00M,2.00M,,2020-03,1.47B,,1.334B,,2020-03,,,0.00
2019-12,170.00M,8.00M,,,136.00M,73.00M,,73.00M,73.00M,,,,57.00M,13.00M,-482.00M,58.00M,-130.00M,551.00M,,,,442.00M,,2019-12,-42.00M,,-42.00M,,16.00M,0.00,,2019-12,-72.00M,-70.00M,-142.00M,,6.00M,6.00M,,,,36.00M,-107.00M,,2019-12,1.161B,,1.47B,,2019-12,,,-72.00M
2019-09,120.00M,26.00M,,,66.00M,69.00M,,69.00M,69.00M,,,,54.00M,-2.00M,-47.00M,-25.00M,-23.00M,22.00M,,,,234.00M,,2019-09,-55.00M,,-55.00M,,112.00M,0.00,,2019-09,-97.00M,0.00,-97.00M,,-6.00M,-6.00M,,,,3.00M,-98.00M,,2019-09,968.00M,,1.161B,,2019-09,,0.00,-97.00M
2019-06,35.00M,2.00M,,,2.00M,61.00M,,61.00M,61.00M,,,,45.00M,6.00M,-89.00M,-60.00M,9.00M,21.00M,,,,30.00M,,2019-06,-58.00M,,-58.00M,,51.00M,0.00,,2019-06,-70.00M,0.00,-70.00M,,,,,,,34.00M,-38.00M,,2019-06,983.00M,,968.00M,,2019-06,,0.00,-70.00M
2019-03,16.00M,6.00M,,,14.00M,55.00M,,55.00M,55.00M,,,,41.00M,8.00M,-5.00M,-110.00M,-18.00M,-214.00M,,,,-213.00M,,2019-03,-62.00M,,-62.00M,,-138.00M,27.00M,,2019-03,-164.00M,,-164.00M,,,,,,,450.00M,286.00M,,2019-03,1.083B,,983.00M,,2019-03,,,-164.00M
2018-12,38.00M,27.00M,,,32.00M,43.00M,,43.00M,43.00M,,,,36.00M,6.00M,-3.00M,-107.00M,-52.00M,86.00M,,,,120.00M,,2018-12,-41.00M,,-41.00M,,-68.00M,21.00M,,2018-12,-26.00M,0.00,-26.00M,,,,,,,26.00M,0.00,,2018-12,1.051B,,1.083B,,2018-12,,,-26.00M
2018-09,102.00M,0.00,,,6.00M,41.00M,,41.00M,41.00M,,,,36.00M,12.00M,-110.00M,12.00M,-93.00M,70.00M,,,,76.00M,,2018-09,-33.00M,,-33.00M,,25.00M,19.00M,,2018-09,0.00,0.00,0.00,,,,,,,9.00M,8.00M,,2018-09,956.00M,,1.051B,,2018-09,,,0.00
2018-06,116.00M,0.00,,,0.00,86.00M,,42.00M,42.00M,,,,33.00M,8.00M,-398.00M,-35.00M,8.00M,171.00M,,,,-55.00M,,2018-06,-43.00M,,-43.00M,,-35.00M,10.00M,,2018-06,-1.00M,0.00,-1.00M,,,,,,,29.00M,28.00M,,2018-06,1.051B,,956.00M,,2018-06,,,-1.00M
