,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,1.647B,1.647B,1.05B,597.00M,134.00M,343.00M,,,31.00M,,-31.00M,,477.00M,120.00M,,31.00M,-31.00M,1.00M,-31.00M,90.00M,8.00M,81.00M,,,,165.00M,44.00M,121.00M,,2018-03,,0.08,0.08,,2018-03,,0.08,0.08,968.00M,1.039B
2017-12,1.34B,1.34B,888.00M,452.00M,134.00M,320.00M,,,31.00M,,-25.00M,0.00,454.00M,-2.00M,,31.00M,-25.00M,-4.00M,-25.00M,-31.00M,-12.00M,-19.00M,,,,39.00M,39.00M,0.00,,2017-12,,0.06,0.06,,2017-12,,0.06,0.06,967.00M,967.00M
2017-09,1.584B,1.584B,1.013B,571.00M,132.00M,320.00M,,,31.00M,,-31.00M,,452.00M,119.00M,,31.00M,-31.00M,-3.00M,-31.00M,85.00M,22.00M,61.00M,,,,152.00M,36.00M,116.00M,,2017-09,,0.06,0.06,,2017-09,,0.06,0.06,957.00M,1.042B
2017-06,1.151B,1.151B,765.00M,386.00M,127.00M,285.00M,,,32.00M,,-32.00M,-25.00M,387.00M,-1.00M,,32.00M,-32.00M,-3.00M,-32.00M,-36.00M,3.00M,-42.00M,,,,31.00M,35.00M,-4.00M,,2017-06,,-0.04,-0.04,,2017-06,,-0.04,-0.04,945.00M,945.00M
2017-03,1.178B,1.178B,800.00M,378.00M,123.00M,271.00M,,,32.00M,,-32.00M,-27.00M,367.00M,11.00M,,32.00M,-32.00M,-5.00M,-32.00M,-26.00M,5.00M,-33.00M,,,,40.00M,34.00M,6.00M,,2017-03,,-0.04,-0.04,,2017-03,,-0.04,-0.04,939.00M,939.00M
2016-12,1.153B,1.153B,797.00M,356.00M,127.00M,264.00M,,78.00M,34.00M,,-32.00M,-31.00M,360.00M,-4.00M,,34.00M,-32.00M,-9.00M,-32.00M,-45.00M,5.00M,-52.00M,,,,23.00M,34.00M,-11.00M,,2016-12,,-0.1099,-0.06,,2016-12,,-0.1099,-0.06,937.00M,937.00M
2016-09,1.307B,1.307B,1.248B,59.00M,117.00M,259.00M,,0.00,41.00M,,-41.00M,-24.00M,352.00M,-293.00M,,41.00M,-41.00M,-63.00M,-41.00M,-397.00M,4.00M,-406.00M,,,,-323.00M,33.00M,-356.00M,,2016-09,,-0.50,-0.50,,2016-09,,-0.50,-0.50,815.00M,815.00M
2016-06,1.027B,1.027B,708.00M,319.00M,117.00M,243.00M,,7.00M,41.00M,,-41.00M,-26.00M,334.00M,-15.00M,,41.00M,-41.00M,157.00M,-41.00M,101.00M,29.00M,69.00M,,,,175.00M,33.00M,142.00M,,2016-06,,0.0837,0.09,,2016-06,,0.0739,0.08,794.00M,821.00M
2016-03,832.00M,832.00M,563.00M,269.00M,105.00M,242.00M,,3.00M,40.00M,,-40.00M,-7.00M,340.00M,-71.00M,,40.00M,-40.00M,3.00M,-40.00M,-108.00M,1.00M,-109.00M,,,,-35.00M,33.00M,-68.00M,,2016-03,,-0.1423,-0.14,,2016-03,,-0.1423,-0.14,793.00M,793.00M
2015-12,958.00M,958.00M,675.00M,283.00M,109.00M,229.00M,0.00,6.00M,41.00M,,-41.00M,,338.00M,-55.00M,,41.00M,-41.00M,4.00M,-41.00M,-92.00M,10.00M,-102.00M,,,,-17.00M,34.00M,-51.00M,,2015-12,,-0.1345,-0.13,,2015-12,,-0.1345,-0.13,792.00M,792.00M
2015-09,1.061B,1.061B,822.00M,239.00M,108.00M,241.00M,0.00,-48.00M,39.00M,,-39.00M,,349.00M,-110.00M,,39.00M,-39.00M,-48.00M,-39.00M,-197.00M,0.00,-197.00M,,,,-116.00M,42.00M,-158.00M,,2015-09,,-0.1889,-0.25,,2015-09,,-0.1889,-0.25,785.00M,785.00M
2015-06,942.00M,942.00M,710.00M,232.00M,134.00M,235.00M,0.00,0.00,40.00M,,-40.00M,,369.00M,-137.00M,,40.00M,-40.00M,-3.00M,-40.00M,-180.00M,1.00M,-181.00M,,,,-95.00M,45.00M,-140.00M,,2015-06,,-0.23,-0.23,,2015-06,,-0.23,-0.23,778.00M,778.00M
2015-03,1.03B,1.03B,704.00M,326.00M,131.00M,242.00M,3.00M,-87.00M,40.00M,,-40.00M,,376.00M,-50.00M,,40.00M,-40.00M,-87.00M,-40.00M,-177.00M,3.00M,-180.00M,,,,-91.00M,46.00M,-137.00M,,2015-03,,-0.1628,-0.23,,2015-03,,-0.1628,-0.23,777.00M,777.00M
2014-12,1.239B,1.239B,879.00M,360.00M,144.00M,238.00M,4.00M,-365.00M,41.00M,,-41.00M,,386.00M,-26.00M,,41.00M,-41.00M,-300.00M,-41.00M,-367.00M,-3.00M,-364.00M,,,,-278.00M,48.00M,-326.00M,,2014-12,,-0.0041,-0.47,,2014-12,,-0.0041,-0.47,777.00M,777.00M
2014-09,1.429B,1.429B,935.00M,494.00M,150.00M,278.00M,3.00M,0.00,43.00M,,-43.00M,,431.00M,63.00M,,43.00M,-43.00M,-1.00M,-43.00M,19.00M,2.00M,17.00M,,,,111.00M,49.00M,62.00M,,2014-09,,0.02,0.02,,2014-09,,0.02,0.02,770.00M,785.00M
2014-06,1.441B,1.441B,943.00M,498.00M,154.00M,277.00M,4.00M,0.00,46.00M,,-46.00M,,435.00M,63.00M,,46.00M,-46.00M,-49.00M,-46.00M,-32.00M,4.00M,-36.00M,,,,67.00M,53.00M,14.00M,,2014-06,,-0.05,-0.05,,2014-06,,-0.05,-0.05,764.00M,764.00M
2014-03,1.397B,1.397B,910.00M,487.00M,156.00M,279.00M,3.00M,0.00,47.00M,1.00M,-46.00M,,438.00M,49.00M,1.00M,47.00M,-46.00M,-21.00M,-46.00M,-18.00M,2.00M,-20.00M,,,,82.00M,53.00M,29.00M,,2014-03,,-0.03,-0.03,,2014-03,,-0.03,-0.03,761.00M,761.00M
2013-12,1.587B,1.589B,1.036B,553.00M,169.00M,293.00M,4.00M,47.00M,44.00M,,-48.00M,,466.00M,87.00M,,44.00M,-48.00M,51.00M,-48.00M,90.00M,1.00M,89.00M,,,,188.00M,54.00M,134.00M,,2013-12,,0.0586,0.12,,2013-12,,0.0586,0.12,757.00M,757.00M
2013-09,1.461B,1.461B,940.00M,521.00M,155.00M,288.00M,5.00M,22.00M,47.00M,1.00M,-46.00M,,448.00M,73.00M,1.00M,47.00M,-46.00M,24.00M,-46.00M,51.00M,3.00M,48.00M,,,,155.00M,57.00M,98.00M,,2013-09,,0.0326,0.06,,2013-09,,0.0329,0.06,757.00M,764.00M
2013-06,1.161B,1.161B,702.00M,459.00M,171.00M,308.00M,4.00M,-5.00M,42.00M,2.00M,-40.00M,,483.00M,-24.00M,2.00M,42.00M,-40.00M,-7.00M,-40.00M,-71.00M,3.00M,-74.00M,,,,30.00M,59.00M,-29.00M,,2013-06,,-0.0957,-0.10,,2013-06,,-0.0957,-0.10,752.00M,752.00M
2013-03,1.088B,1.088B,643.00M,445.00M,179.00M,312.00M,5.00M,-47.00M,44.00M,1.00M,-43.00M,,496.00M,-51.00M,1.00M,44.00M,-43.00M,-50.00M,-43.00M,-144.00M,2.00M,-146.00M,,,,-34.00M,66.00M,-100.00M,,2013-03,,-0.1492,-0.19,,2013-03,,-0.1492,-0.19,749.00M,749.00M
2012-12,1.155B,1.155B,977.00M,178.00M,193.00M,313.00M,5.00M,-93.00M,45.00M,2.00M,-43.00M,,511.00M,-333.00M,2.00M,45.00M,-43.00M,-93.00M,-43.00M,-469.00M,4.00M,-473.00M,,,,-358.00M,66.00M,-424.00M,,2012-12,,-0.5491,-0.63,,2012-12,,-0.5491,-0.63,747.00M,747.00M
2012-09,1.269B,1.269B,877.00M,392.00M,188.00M,328.00M,4.00M,-3.00M,44.00M,2.00M,-42.00M,,520.00M,-128.00M,2.00M,44.00M,-42.00M,13.00M,-42.00M,-157.00M,0.00,-157.00M,,,,-47.00M,66.00M,-113.00M,,2012-09,,-0.2060,-0.21,,2012-09,,-0.2060,-0.21,745.00M,745.00M
2012-06,1.413B,1.413B,775.00M,638.00M,212.00M,345.00M,4.00M,0.00,43.00M,2.00M,-41.00M,,561.00M,77.00M,2.00M,43.00M,-41.00M,-5.00M,-41.00M,31.00M,-6.00M,37.00M,,,,139.00M,65.00M,74.00M,,2012-06,,0.05,0.05,,2012-06,,0.05,0.05,739.00M,755.00M
2012-03,1.585B,1.585B,1.558B,27.00M,230.00M,368.00M,1.00M,-8.00M,43.00M,2.00M,-41.00M,,599.00M,-572.00M,2.00M,43.00M,-41.00M,-9.00M,-41.00M,-622.00M,-32.00M,-590.00M,,,,-516.00M,63.00M,-579.00M,,2012-03,,-0.7897,-0.80,,2012-03,,-0.7897,-0.80,734.00M,734.00M
2011-12,1.69B,1.691B,918.00M,773.00M,243.00M,358.00M,3.00M,-112.00M,43.00M,2.00M,-41.00M,,604.00M,169.00M,2.00M,43.00M,-41.00M,-305.00M,-41.00M,-177.00M,-4.00M,-173.00M,,,,-64.00M,70.00M,-134.00M,,2011-12,,-0.0907,-0.24,,2011-12,,-0.0925,-0.24,733.00M,742.00M
2011-09,1.69B,1.69B,934.00M,756.00M,249.00M,361.00M,8.00M,-7.00M,42.00M,3.00M,-39.00M,,618.00M,138.00M,3.00M,42.00M,-39.00M,-7.00M,-39.00M,92.00M,-5.00M,97.00M,,,,213.00M,79.00M,134.00M,,2011-09,,0.1362,0.13,,2011-09,,0.1361,0.13,729.00M,741.00M
2011-06,1.574B,1.574B,854.00M,720.00M,239.00M,367.00M,9.00M,4.00M,47.00M,2.00M,-45.00M,,615.00M,105.00M,2.00M,47.00M,-45.00M,4.00M,-45.00M,64.00M,3.00M,61.00M,,,,191.00M,80.00M,111.00M,,2011-06,,0.0747,0.08,,2011-06,,0.0749,0.08,724.00M,743.00M
2011-03,1.613B,1.613B,922.00M,691.00M,261.00M,367.00M,9.00M,11.00M,48.00M,3.00M,-45.00M,,637.00M,54.00M,3.00M,48.00M,-45.00M,11.00M,-45.00M,20.00M,2.00M,510.00M,,,,156.00M,88.00M,68.00M,,2011-03,,0.6962,0.71,,2011-03,,0.6670,0.68,720.00M,764.00M
2010-12,1.635B,1.649B,906.00M,743.00M,250.00M,352.00M,11.00M,-38.00M,39.00M,2.00M,-37.00M,,613.00M,130.00M,2.00M,39.00M,-37.00M,297.00M,-37.00M,390.00M,42.00M,375.00M,,,,518.00M,89.00M,429.00M,,2010-12,,0.5775,0.53,,2010-12,,0.5561,0.51,714.00M,736.00M
2010-09,1.618B,1.618B,879.00M,739.00M,236.00M,359.00M,16.00M,-6.00M,56.00M,3.00M,-53.00M,,611.00M,128.00M,3.00M,56.00M,-53.00M,-6.00M,-53.00M,69.00M,1.00M,-118.00M,,,,219.00M,94.00M,125.00M,,2010-09,,-0.1617,-0.17,,2010-09,,-0.1617,-0.17,713.00M,713.00M
2010-06,1.653B,1.653B,915.00M,738.00M,229.00M,371.00M,17.00M,-1.00M,55.00M,3.00M,-52.00M,-4.00M,613.00M,125.00M,3.00M,55.00M,-52.00M,-1.00M,-52.00M,72.00M,-5.00M,-43.00M,,,,227.00M,100.00M,127.00M,,2010-06,,-0.0591,-0.06,,2010-06,,-0.0591,-0.06,709.00M,709.00M
2010-03,1.574B,1.574B,833.00M,741.00M,219.00M,323.00M,17.00M,304.00M,49.00M,3.00M,-46.00M,,559.00M,182.00M,3.00M,49.00M,-46.00M,304.00M,-46.00M,440.00M,0.00,257.00M,,,,589.00M,100.00M,489.00M,,2010-03,,-0.0700,0.36,,2010-03,,-0.0532,0.35,707.00M,754.00M
2009-12,1.646B,1.646B,911.00M,735.00M,239.00M,432.00M,18.00M,84.00M,119.00M,3.00M,-116.00M,,-488.00M,1.223B,3.00M,119.00M,-116.00M,84.00M,-116.00M,1.191B,11.00M,1.18B,,23.00M,22.00M,1.594B,284.00M,1.31B,,2009-12,,1.662,1.78,,2009-12,,1.655,1.77,706.00M,726.00M
2009-09,1.396B,1.396B,811.00M,585.00M,221.00M,420.00M,17.00M,43.00M,114.00M,4.00M,-110.00M,,658.00M,-73.00M,4.00M,114.00M,-110.00M,43.00M,-110.00M,-140.00M,-5.00M,-135.00M,,29.00M,22.00M,256.00M,282.00M,-26.00M,,2009-09,,-0.2397,-0.18,,2009-09,,-0.2397,-0.18,694.00M,694.00M
2009-06,1.184B,1.184B,743.00M,441.00M,247.00M,425.00M,17.00M,5.00M,108.00M,6.00M,-102.00M,,689.00M,-248.00M,6.00M,108.00M,-102.00M,5.00M,-102.00M,-345.00M,-10.00M,-335.00M,,25.00M,20.00M,45.00M,282.00M,-237.00M,,2009-06,,-0.4973,-0.49,,2009-06,,-0.4973,-0.49,667.00M,667.00M
2009-03,1.177B,1.177B,666.00M,511.00M,287.00M,444.00M,18.00M,34.00M,97.00M,3.00M,-94.00M,,749.00M,-238.00M,3.00M,97.00M,-94.00M,34.00M,-94.00M,-298.00M,116.00M,-414.00M,,6.00M,8.00M,79.00M,280.00M,-201.00M,,2009-03,,-0.6953,-0.66,,2009-03,,-0.6953,-0.66,626.00M,626.00M
2008-12,1.162B,1.162B,890.00M,272.00M,317.00M,465.00M,30.00M,-686.00M,95.00M,7.00M,-88.00M,0.00,812.00M,-540.00M,7.00M,95.00M,-88.00M,-686.00M,-88.00M,-1.351B,69.00M,-1.42B,-10.00M,-6.00M,,-953.00M,303.00M,-1.256B,,2008-12,,-1.615,-2.36,,2008-12,,-1.615,-2.36,607.00M,607.00M
2008-09,1.797B,1.797B,881.00M,916.00M,315.00M,438.00M,30.00M,-24.00M,94.00M,7.00M,-87.00M,,783.00M,133.00M,7.00M,94.00M,-87.00M,-24.00M,-87.00M,22.00M,-1.00M,23.00M,-150.00M,-7.00M,,409.00M,293.00M,116.00M,,2008-09,,0.0557,-0.22,,2008-09,,0.0557,-0.22,608.00M,608.00M
2008-06,1.362B,1.362B,851.00M,511.00M,335.00M,467.00M,37.00M,-468.00M,101.00M,10.00M,-91.00M,-193.00M,646.00M,-135.00M,10.00M,101.00M,-91.00M,-468.00M,-91.00M,-694.00M,0.00,-694.00M,-494.00M,-7.00M,,-283.00M,310.00M,-593.00M,,2008-06,,-0.3890,-1.97,,2008-06,,-0.3890,-1.97,607.00M,607.00M
2008-03,1.487B,1.487B,866.00M,621.00M,337.00M,478.00M,40.00M,-1.00M,101.00M,15.00M,-86.00M,,855.00M,-234.00M,15.00M,101.00M,-86.00M,-1.00M,-86.00M,-321.00M,0.00,-321.00M,-30.00M,-13.00M,,97.00M,317.00M,-220.00M,,2008-03,,-0.5484,-0.60,,2008-03,,-0.5484,-0.60,606.00M,606.00M
2007-12,1.861B,1.861B,1.061B,800.00M,331.00M,510.00M,109.00M,-1.131B,,,,,2.082B,-1.282B,,,,-1.20B,,-1.245B,-32.00M,-1.403B,-369.00M,-9.00M,,-1.118B,164.00M,-1.282B,,2007-12,,-0.5768,-3.14,,2007-12,,-0.5768,-3.14,579.00M,579.00M
2007-09,1.558B,1.558B,923.00M,635.00M,346.00M,431.00M,39.00M,-1.00M,,,,,816.00M,-181.00M,,,,-58.00M,,-324.00M,20.00M,-344.00M,-52.00M,-9.00M,,153.00M,334.00M,-181.00M,,2007-09,,-0.6188,-0.71,,2007-09,,-0.6188,-0.71,554.00M,554.00M
2007-06,1.378B,1.378B,917.00M,461.00M,365.00M,475.00M,78.00M,-9.00M,,,,,918.00M,-457.00M,,,,-22.00M,,-568.00M,32.00M,-600.00M,,-9.00M,,-131.00M,326.00M,-457.00M,,2007-06,,-1.079,-1.09,,2007-06,,-1.079,-1.09,552.00M,552.00M
2007-03,1.233B,1.233B,886.00M,347.00M,335.00M,432.00M,84.00M,2.00M,,,,,851.00M,-504.00M,,,,-14.00M,,-588.00M,23.00M,-611.00M,,-8.00M,,-190.00M,314.00M,-504.00M,,2007-03,,-1.112,-1.11,,2007-03,,-1.112,-1.11,549.00M,549.00M
2006-12,1.751B,1.751B,1.108B,643.00M,294.00M,370.00M,61.00M,-414.00M,,,,,726.00M,-83.00M,,,,-419.00M,,-482.00M,-9.00M,-546.00M,,-8.00M,,147.00M,230.00M,-83.00M,,2006-12,,-0.3792,-1.20,,2006-12,,-0.3792,-1.20,534.00M,534.00M
2006-09,1.328B,1.328B,645.00M,683.00M,279.00M,277.00M,6.00M,-2.00M,,,,,562.00M,121.00M,,,,-12.00M,,115.00M,-21.00M,136.00M,,-7.00M,,210.54M,89.54M,121.00M,,2006-09,,0.2825,0.28,,2006-09,,0.2724,0.27,486.00M,497.00M
2006-06,1.216B,1.216B,526.06M,690.31M,309.52M,278.67M,,7.24M,,,,,588.20M,102.11M,,,,-5.227M,,126.80M,18.30M,88.85M,,-7.183M,,294.57M,192.46M,102.11M,,2006-06,,0.1672,0.18,,2006-06,,0.1676,0.18,484.54M,500.18M
2006-03,1.332B,1.332B,553.00M,779.00M,256.00M,264.00M,,-19.00M,,,,,520.00M,259.00M,,,,-37.00M,,220.00M,35.00M,185.00M,,-6.00M,,433.00M,174.00M,259.00M,,2006-03,,0.4344,0.40,,2006-03,,0.4123,0.38,464.08M,495.33M
2005-12,1.838B,1.838B,986.15M,852.13M,317.11M,329.30M,,,,,,,646.41M,205.72M,,,,,,181.71M,-1.284M,95.59M,,19.17M,,482.97M,277.26M,205.72M,,2005-12,,0.23,0.23,,2005-12,,0.23,0.23,412.50M,534.35M
2005-09,1.523B,1.523B,896.26M,626.49M,258.75M,289.02M,,,,,,,547.77M,78.73M,,,,,,54.17M,-0.606M,76.00M,,21.23M,,369.48M,290.75M,78.73M,,2005-09,,0.19,0.19,,2005-09,,0.18,0.18,399.02M,443.68M
2005-06,1.260B,1.260B,765.95M,493.96M,228.51M,272.58M,,-4.096M,,,,,501.10M,-7.131M,,,,-4.096M,,-29.69M,-3.10M,11.32M,,37.90M,,311.32M,318.46M,-7.131M,,2005-06,,0.0393,0.03,,2005-06,,0.0390,0.03,395.41M,405.74M
2005-03,1.227B,1.227B,807.45M,419.18M,211.71M,253.12M,,,,,,,464.84M,-45.66M,,,,,,-65.93M,-1.652M,-17.42M,,46.85M,,287.22M,332.88M,-45.66M,,2005-03,,-0.04,-0.04,,2005-03,,-0.04,-0.04,393.08M,393.08M
2004-12,1.264B,1.264B,742.65M,521.06M,245.62M,252.77M,,-2.942M,,,,,499.39M,21.67M,,,,-2.942M,,-51.78M,-4.981M,-29.96M,,16.83M,,350.82M,329.15M,21.67M,,2004-12,,-0.0829,-0.09,,2004-12,,-0.0832,-0.09,375.31M,391.74M
2004-09,1.239B,1.239B,738.03M,501.43M,202.18M,230.90M,,,,,,,433.08M,68.36M,,,,,,45.71M,4.872M,43.85M,,3.008M,,373.09M,304.73M,68.36M,,2004-09,,0.12,0.12,,2004-09,,0.12,0.12,355.25M,417.58M
2004-06,1.262B,1.262B,783.07M,478.77M,178.99M,224.82M,,-2.514M,,,,,403.81M,74.95M,,,,-2.514M,,42.28M,3.574M,32.18M,,-6.527M,,367.35M,292.39M,74.95M,,2004-06,,0.0965,0.09,,2004-06,,0.0955,0.09,353.66M,420.05M
2004-03,1.236B,1.236B,768.84M,467.59M,180.22M,226.09M,,,,,,,406.31M,61.29M,,,,,,47.46M,2.373M,45.09M,,5.351M,,359.27M,297.98M,61.29M,,2004-03,,0.13,0.13,,2004-03,,0.12,0.12,351.33M,417.96M
2003-12,1.206B,1.206B,778.51M,427.09M,162.81M,226.50M,,9.453M,,,,,389.31M,37.78M,,,,9.453M,,68.55M,0.00,43.19M,,19.41M,,325.09M,287.31M,37.78M,,2003-12,,0.1029,0.13,,2003-12,,0.1029,0.13,349.07M,349.07M
2003-09,953.76M,953.76M,626.88M,326.88M,151.11M,214.00M,,8.00M,,,,,365.11M,-38.23M,,,,8.00M,,-56.58M,,-31.23M,,25.35M,,246.80M,285.03M,-38.23M,,2003-09,,-0.1130,-0.09,,2003-09,,-0.1130,-0.09,347.33M,347.33M
2003-06,645.26M,645.26M,425.08M,220.18M,135.16M,208.51M,,,,,,,343.67M,-123.50M,,,,4.795M,,-140.10M,,-140.10M,,,,90.07M,213.57M,-123.50M,,2003-06,,-0.40,-0.40,,2003-06,,-0.40,-0.40,346.32M,346.32M
2003-03,714.56M,714.56M,496.59M,217.96M,138.23M,203.06M,,-2.146M,,,,,341.29M,-123.33M,,,,-1.028M,,-144.54M,2.936M,-146.36M,,,,86.43M,209.75M,-123.33M,,2003-03,,-0.4163,-0.42,,2003-03,,-0.4163,-0.42,345.01M,345.01M
2002-12,686.43M,686.43M,506.61M,179.82M,194.39M,244.85M,,,,,,,439.24M,-259.42M,,,,-330.55M,,-611.30M,243.47M,-854.74M,,,,-59.55M,199.87M,-259.42M,,2002-12,,-2.50,-2.50,,2002-12,,-2.50,-2.50,342.61M,342.61M
2002-09,508.23M,508.23M,453.88M,54.34M,158.57M,220.96M,,,,,,,379.53M,-325.18M,,,,5.888M,,-333.41M,-73.35M,-254.17M,,,,-126.10M,199.09M,-325.18M,,2002-09,,-0.74,-0.74,,2002-09,,-0.74,-0.74,342.78M,342.78M
2002-06,600.30M,600.30M,558.29M,42.01M,160.25M,178.42M,,,,,,,338.67M,-296.66M,,,,-2.699M,,-303.73M,-121.49M,-184.94M,,,,-113.56M,183.11M,-296.66M,,2002-06,,-0.54,-0.54,,2002-06,,-0.54,-0.54,341.78M,341.78M
2002-03,902.07M,902.07M,586.87M,315.20M,156.86M,171.88M,,,,,,,328.74M,-13.54M,,,,2.959M,,-16.16M,-4.041M,-9.163M,,,,160.56M,174.11M,-13.54M,,2002-03,,-0.03,-0.03,,2002-03,,-0.03,-0.03,340.81M,340.81M
2001-12,951.87M,951.87M,644.66M,307.21M,163.68M,160.87M,,0.00,,,,,324.56M,-17.34M,,,,-0.417M,,-21.13M,-5.705M,-15.84M,,,,133.13M,150.48M,-17.34M,,2001-12,,-0.04,-0.04,,2001-12,,-0.04,-0.04,340.12M,340.12M
2001-09,765.87M,765.87M,594.06M,171.81M,150.92M,161.18M,,-89.30M,,,,,312.10M,-140.29M,,,,-90.49M,,-250.76M,-65.02M,-186.93M,,,,19.72M,160.01M,-140.29M,,2001-09,,-0.3483,-0.54,,2001-09,,-0.3483,-0.54,345.04M,345.04M
2001-06,985.26M,985.26M,636.20M,349.06M,156.29M,171.11M,,,,,,,327.40M,21.66M,,,,7.30M,,13.77M,3.717M,17.35M,,,,181.10M,159.44M,21.66M,,2001-06,,0.05,0.05,,2001-06,,0.05,0.05,330.12M,340.53M
2001-03,1.189B,1.189B,714.83M,473.92M,149.14M,157.76M,,,,,,,306.90M,167.02M,,,,13.18M,,164.20M,52.54M,124.84M,,,,319.95M,152.93M,167.02M,,2001-03,,0.40,0.40,,2001-03,,0.37,0.37,314.35M,351.78M
2000-12,1.175B,1.175B,657.30M,517.87M,160.76M,162.09M,,0.00,,,,,322.84M,195.03M,,,,7.57M,,200.54M,30.08M,178.03M,,,,344.64M,149.61M,195.03M,,2000-12,0.0001,0.56,0.57,,2000-12,0.0001,0.53,0.53,313.50M,349.75M
