,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,17.55B,3.259B,20.81B,12.17B,13.23B,25.40B,4.822B,,3.788B,54.82B,,,,,,,8.151B,68.09B,10.37B,78.46B,39.18B,10.35B,136.15B,190.97B,42.34B,,42.34B,,42.34B,3.899B,3.899B,2.391B,2.391B,17.97B,66.60B,39.90B,39.90B,3.34B,3.34B,,2.873B,1.847B,11.19B,56.27B,122.86B,10.00M,69.72B,0.00,,,,-4.494B,65.23B
2020-06,22.33B,3.266B,25.59B,12.55B,11.43B,23.98B,5.932B,,3.417B,58.92B,,,,,,,8.126B,67.87B,10.55B,78.42B,36.78B,10.24B,133.56B,192.48B,44.62B,,44.62B,,44.62B,6.156B,6.156B,2.299B,2.299B,16.80B,69.88B,39.90B,39.90B,3.286B,3.286B,,2.891B,1.842B,11.06B,56.08B,125.97B,10.00M,67.78B,388.00M,,,,-4.55B,63.62B
2020-03,21.57B,2.876B,24.44B,14.61B,10.28B,24.89B,6.608B,,2.866B,58.81B,,,,,,,8.173B,65.30B,10.20B,75.50B,36.58B,10.01B,130.26B,189.07B,45.62B,,45.62B,,45.62B,15.83B,15.83B,2.509B,2.509B,14.65B,78.61B,35.78B,35.78B,3.03B,3.03B,,2.886B,1.741B,10.05B,50.60B,129.20B,10.00M,62.33B,0.00,,,,-5.36B,56.98B
2019-12,10.98B,3.26B,14.24B,11.82B,,11.82B,3.851B,,12.72B,42.63B,0.0,589.00M,4.705B,8.405B,13.70B,-4.995B,8.704B,65.66B,10.35B,76.01B,37.21B,9.334B,131.26B,173.89B,40.70B,,40.70B,,40.70B,3.87B,3.87B,2.622B,2.622B,14.60B,61.78B,36.81B,36.81B,2.993B,2.993B,,2.82B,1.726B,10.14B,51.67B,113.45B,9.00M,61.18B,7.00M,,,,-3.578B,57.62B
2019-09,12.36B,3.455B,15.82B,10.96B,10.15B,21.12B,3.556B,,3.051B,43.54B,,,,,,,8.501B,65.20B,10.52B,75.73B,36.84B,9.101B,130.17B,173.71B,39.51B,,39.51B,,39.51B,6.387B,6.387B,2.50B,2.50B,14.24B,62.64B,38.51B,38.51B,2.902B,2.902B,,2.76B,1.991B,9.912B,53.31B,115.95B,9.00M,58.70B,,,,,-3.709B,55.00B
2019-06,13.74B,3.524B,17.27B,9.741B,8.434B,18.18B,3.651B,,2.943B,42.04B,,,,,,,8.681B,62.00B,9.999B,72.00B,35.70B,8.786B,125.16B,167.20B,38.04B,,38.04B,,38.04B,7.80B,7.80B,2.019B,2.019B,14.47B,62.33B,34.47B,34.47B,2.908B,2.908B,,2.751B,2.202B,9.435B,49.02B,111.35B,9.00M,56.37B,,,,,-3.273B,53.10B
2019-03,12.41B,3.303B,15.71B,12.83B,7.631B,20.46B,3.697B,,2.951B,42.82B,,,,,,,8.23B,59.38B,9.245B,68.62B,33.55B,7.975B,118.38B,161.20B,38.04B,,38.04B,,38.04B,3.919B,3.919B,2.53B,2.53B,14.44B,58.93B,34.42B,34.42B,2.786B,2.786B,,2.727B,2.054B,8.554B,47.81B,106.75B,10.00M,55.47B,,,,,-3.758B,51.72B
2018-12,10.87B,3.458B,14.32B,11.39B,,11.39B,3.086B,,9.894B,38.69B,0.0,566.00M,4.47B,7.563B,12.60B,-4.141B,8.458B,58.91B,9.325B,68.24B,32.51B,4.326B,113.53B,152.22B,36.60B,,36.60B,,36.60B,1.973B,1.973B,2.396B,2.396B,12.24B,53.21B,34.58B,34.58B,2.474B,2.474B,,2.623B,1.908B,5.73B,44.69B,97.90B,10.00M,55.85B,0.00,,,,-4.16B,51.70B
2018-09,10.26B,3.586B,13.85B,10.99B,7.27B,18.26B,3.707B,,2.936B,38.75B,,,,,,,8.042B,58.70B,9.498B,68.20B,31.93B,4.161B,112.33B,151.09B,38.84B,,38.84B,,38.84B,1.50B,1.50B,2.388B,2.388B,13.65B,56.38B,32.05B,32.05B,2.434B,2.434B,,2.586B,1.769B,5.858B,42.11B,98.49B,10.00M,54.39B,0.00,,,,-4.386B,50.01B
2018-06,18.37B,3.492B,21.86B,10.87B,6.772B,17.65B,4.286B,,2.842B,46.63B,,,,,,,7.906B,56.27B,8.68B,64.95B,31.24B,3.883B,107.98B,154.61B,36.87B,,36.87B,,36.87B,2.959B,2.959B,7.228B,7.228B,15.00B,62.05B,32.10B,32.10B,2.095B,2.095B,,2.49B,1.839B,5.746B,41.78B,103.83B,10.00M,52.36B,,,,,-4.08B,48.29B
2018-03,18.24B,3.798B,22.04B,11.51B,6.778B,18.29B,5.10B,,2.922B,48.35B,,,,,,,8.144B,56.85B,9.033B,65.88B,29.44B,3.748B,107.22B,155.57B,37.80B,,37.80B,,37.80B,7.379B,7.379B,7.683B,7.683B,14.81B,67.67B,28.21B,28.21B,2.213B,2.213B,,2.483B,1.89B,5.557B,37.87B,105.53B,10.00M,50.49B,,,,,-2.951B,47.55B
2017-12,11.98B,3.509B,15.49B,9.568B,6.702B,15.83B,2.663B,,3.101B,37.08B,0.0,405.00M,3.664B,6.638B,10.71B,-3.694B,7.013B,54.56B,8.489B,63.04B,28.34B,3.575B,101.97B,139.06B,33.05B,,33.05B,,33.05B,2.857B,2.857B,2.269B,2.269B,12.29B,50.46B,28.84B,28.84B,2.182B,2.182B,,2.057B,2.189B,5.556B,38.76B,89.22B,10.00M,48.73B,1.703B,,,,-2.667B,47.78B
