,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-02,5.019B,5.019B,2.642B,2.377B,2.69B,2.69B,341.00M,-444.00M,-4.00M,,,762.00M,3.793B,-1.416B,,,-4.00M,,194.00M,74.00M,120.00M,,,120.00M,122.47M,-1.075B,341.00M,-1.416B,0.4,0.0,,0.4083,0.4,0.39,0.0,,0.3981,0.39,298.00M,304.00M,
2001-11,5.135B,5.135B,2.245B,2.89B,,2.231B,342.00M,,114.00M,,,,2.573B,317.00M,,,114.00M,,395.00M,150.00M,245.00M,,,245.00M,174.29M,659.00M,342.00M,317.00M,0.82,0.0,,0.5827,0.82,0.81,0.0,,0.5759,0.81,298.00M,302.00M,
2001-08,5.037B,5.037B,2.662B,2.375B,2.668B,2.668B,336.00M,-432.00M,2.00M,,,751.00M,3.755B,-1.38B,,,2.00M,,200.00M,76.00M,124.00M,,-15.00M,109.00M,122.76M,-1.044B,-336.00M,-1.38B,0.42,-0.05,0.0,0.4158,0.37,0.41,-0.05,-0.0503,0.4059,0.36,298.00M,302.00M,
2001-05,5.117B,5.117B,-4.55B,9.667B,2.604B,2.604B,338.00M,-434.00M,-3.00M,,,3.818B,6.76B,2.907B,,,,,179.00M,66.00M,113.00M,,,113.00M,114.89M,5.121B,2.214B,2.907B,0.37,0.0,,0.3763,0.37,0.37,0.0,,0.3763,0.37,298.59M,302.75M,
2001-02,4.839B,4.839B,2.642B,2.197B,2.516B,2.516B,326.00M,-418.00M,1.00M,,,822.00M,3.664B,-1.467B,,,1.00M,,159.00M,50.00M,109.00M,,,109.00M,108.31M,-1.141B,-325.82M,-1.467B,0.38,0.0,,0.3776,0.38,0.37,0.0,,0.3677,0.37,288.04M,292.57M,
2000-11,4.895B,4.895B,814.71M,4.080B,2.407B,2.407B,309.49M,-407.35M,5.053M,,,1.520B,4.236B,-156.11M,,,5.053M,,315.13M,121.32M,193.80M,,,193.80M,190.70M,153.38M,-309.18M,-156.11M,0.68,0.0,,0.6691,0.68,0.67,0.0,,0.6593,0.67,285.01M,289.26M,
2000-08,4.779B,4.779B,2.562B,2.217B,2.386B,2.386B,303.00M,-391.00M,-4.00M,,,785.00M,3.474B,-1.257B,,,-4.00M,,275.00M,106.00M,169.00M,,,169.00M,171.46M,-954.00M,-303.00M,-1.257B,0.59,0.0,,0.5986,0.59,0.58,0.0,,0.5885,0.58,284.72M,288.72M,
2000-05,4.849B,4.849B,1.012B,3.837B,820.20M,820.20M,298.70M,,7.50M,,,786.10M,1.905B,1.932B,,,7.50M,,405.20M,159.50M,244.70M,,,244.70M,240.15M,2.231B,-298.70M,1.932B,0.85,0.0,,0.8341,0.85,0.83,0.0,,0.8145,0.83,285.37M,293.66M,
2000-02,4.518B,4.518B,2.478B,2.040B,2.313B,2.313B,293.70M,-386.50M,10.80M,,,760.30M,3.367B,-1.327B,,,10.80M,,187.00M,73.90M,113.10M,,,113.10M,106.57M,-1.033B,-293.70M,-1.327B,0.39,0.0,,0.3675,0.39,0.39,0.0,,0.3675,0.39,290.00M,290.00M,
1999-11,4.570B,4.570B,2.500B,2.070B,2.267B,2.267B,285.40M,-393.50M,5.00M,,,772.30M,3.325B,-1.255B,,,5.00M,,282.90M,111.70M,171.20M,,,171.20M,168.17M,-969.40M,-285.30M,-1.255B,0.58,0.0,,0.5697,0.58,0.57,0.0,,0.5599,0.57,295.17M,300.35M,
1999-08,4.32B,4.32B,2.295B,2.025B,2.198B,2.198B,277.30M,-366.70M,-0.30M,,,731.30M,3.206B,-1.181B,,,-0.30M,,262.80M,103.80M,159.00M,,,159.00M,159.18M,-903.60M,-277.30M,-1.181B,0.53,0.0,,0.5306,0.53,0.52,0.0,,0.5206,0.52,298.17M,303.84M,
1999-05,4.383B,4.383B,-3.834B,8.217B,2.174B,2.174B,269.02M,-353.29M,4.769M,,,3.262B,5.704B,2.513B,,,4.769M,,371.96M,150.63M,221.33M,,,221.33M,218.47M,4.314B,1.801B,2.513B,0.74,0.0,,0.7304,0.74,0.73,0.0,,0.7206,0.73,299.30M,303.99M,
1999-02,4.098B,4.098B,2.285B,1.814B,2.126B,2.126B,263.70M,-364.20M,-5.60M,,,796.90M,3.187B,-1.373B,,,-5.60M,,121.20M,43.40M,77.80M,,,77.80M,81.39M,-1.110B,-263.70M,-1.373B,0.27,0.0,,0.2821,0.27,0.26,0.0,,0.2721,0.26,296.33M,296.33M,
1998-11,4.209B,4.209B,2.211B,1.998B,2.105B,2.105B,252.20M,-347.70M,0.30M,,,728.10M,3.085B,-1.086B,,,0.30M,,312.40M,129.60M,182.80M,,,182.80M,182.62M,-834.20M,-252.20M,-1.086B,0.62,0.0,,0.6194,0.62,0.62,0.0,,0.6194,0.62,295.11M,297.85M,
1998-08,4.082B,4.082B,1.748B,2.334B,,1.800B,250.20M,,-3.30M,,,,2.050B,283.90M,,,-3.30M,,255.40M,106.00M,149.40M,,,149.40M,151.38M,534.10M,-250.20M,283.90M,0.51,0.0,,0.5168,0.51,0.5,0.0,,0.5066,0.5,292.94M,298.80M,
