,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-05,17.31B,17.31B,13.23B,4.085B,,,,,-380.00M,,-147.00M,2.377B,2.377B,1.708B,,-147.00M,-203.00M,-147.00M,1.358B,231.00M,1.127B,,,1.127B,1.442B,2.769B,802.00M,1.967B,4.238,,,5.433,4.238,4.15,,,5.309,4.15,264.00M,272.00M,0.5
2018-02,16.53B,16.53B,13.26B,3.266B,,,,,0.00,,-125.00M,2.408B,2.408B,858.00M,,-125.00M,141.00M,-125.00M,874.00M,-1.20B,2.074B,,,2.074B,2.074B,1.644B,786.00M,858.00M,7.74,,,7.74,7.74,7.59,,,7.59,7.59,268.00M,273.00M,0.5
2017-11,16.31B,16.31B,12.80B,3.51B,,,,,,,-124.00M,2.395B,2.395B,1.115B,,-124.00M,148.00M,-124.00M,1.139B,364.00M,775.00M,,,775.00M,775.00M,1.871B,756.00M,1.115B,2.89,,,2.89,2.89,2.84,,,2.84,2.84,268.00M,272.00M,0.5
2017-08,15.30B,15.30B,12.06B,3.241B,,,,,,,-114.00M,2.27B,2.27B,971.00M,,-114.00M,125.00M,-114.00M,982.00M,386.00M,596.00M,,,596.00M,596.00M,1.722B,751.00M,971.00M,2.22,,,2.22,2.22,2.19,,,2.19,2.19,268.00M,272.00M,0.5
2017-05,15.73B,15.73B,12.30B,3.43B,,,,,,,-125.00M,2.32B,2.32B,1.11B,,-125.00M,475.00M,-125.00M,1.46B,440.00M,1.02B,,,1.02B,1.02B,2.389B,754.00M,1.635B,3.802,,,3.802,3.802,3.75,,,3.75,3.75,266.00M,270.00M,0.4
2017-02,15.00B,15.00B,11.81B,3.185B,,,,,,,-122.00M,2.16B,2.16B,1.025B,,-122.00M,-4.00M,-122.00M,899.00M,337.00M,562.00M,,,562.00M,562.00M,1.787B,762.00M,1.025B,2.11,,,2.11,2.11,2.07,,,2.07,2.07,266.00M,271.00M,0.4
2016-11,14.93B,14.93B,11.56B,3.368B,,,,,,,-119.00M,2.201B,2.201B,1.167B,,-119.00M,30.00M,-119.00M,1.078B,378.00M,700.00M,,,700.00M,700.00M,1.907B,740.00M,1.167B,2.63,,,2.63,2.63,2.59,,,2.59,2.59,266.00M,270.00M,0.4
2016-08,14.66B,14.66B,11.33B,3.335B,,,,,,,-113.00M,2.071B,2.071B,1.264B,,-113.00M,-9.00M,-113.00M,1.142B,427.00M,715.00M,,,715.00M,715.00M,2.003B,739.00M,1.264B,2.69,,,2.69,2.69,2.65,,,2.65,2.65,265.00M,269.00M,0.4
2016-05,12.98B,12.98B,11.20B,1.784B,,,,,,,-97.00M,1.852B,1.852B,-68.00M,,-97.00M,-16.00M,-97.00M,-181.00M,-111.00M,-70.00M,,,-70.00M,-70.00M,598.00M,667.00M,-69.00M,-0.2636,,,-0.2636,-0.2636,-0.2636,,,-0.2636,-0.2636,270.00M,273.00M,0.25
2016-02,12.65B,12.65B,9.783B,2.871B,,,,,,,-81.00M,2.007B,2.007B,864.00M,,-81.00M,-1.00M,-81.00M,782.00M,275.00M,507.00M,,,507.00M,507.00M,1.527B,663.00M,864.00M,1.86,,,1.86,1.86,1.84,,,1.84,1.84,272.00M,275.00M,0.25
2015-11,12.45B,12.45B,9.587B,2.866B,,,,,,,-74.00M,1.729B,1.729B,1.137B,,-74.00M,-8.00M,-74.00M,1.055B,364.00M,691.00M,,,691.00M,691.00M,1.79B,653.00M,1.137B,2.47,,,2.47,2.47,2.44,,,2.44,2.44,279.00M,283.00M,0.25
2015-08,12.28B,12.28B,9.472B,2.807B,,,,,,,-63.00M,1.663B,1.663B,1.144B,,-63.00M,3.00M,-63.00M,1.084B,392.00M,692.00M,,,692.00M,692.00M,1.792B,648.00M,1.144B,2.45,,,2.45,2.45,2.42,,,2.42,2.42,282.00M,286.00M,0.25
2015-05,12.11B,12.11B,11.26B,850.00M,,,,,,,-68.00M,1.895B,1.895B,-1.045B,,-68.00M,-303.00M,-68.00M,-1.416B,-522.00M,-894.00M,,,-894.00M,-894.00M,-669.00M,657.00M,-1.326B,-3.1689999999999996,,,-3.1689999999999996,-3.1689999999999996,-3.1689999999999996,,,-3.1689999999999996,-3.1689999999999996,280.00M,284.00M,0.2
2015-02,11.72B,11.72B,9.153B,2.563B,,,,,,,-58.00M,1.525B,1.525B,1.038B,,-58.00M,5.00M,-58.00M,985.00M,357.00M,628.00M,,,628.00M,628.00M,1.69B,652.00M,1.038B,2.21,,,2.21,2.21,2.18,,,2.18,2.18,283.00M,287.00M,0.2
2014-11,11.94B,11.94B,9.323B,2.616B,,,,,,,-47.00M,1.528B,1.528B,1.088B,,-47.00M,5.00M,-47.00M,1.046B,383.00M,663.00M,,,663.00M,663.00M,1.739B,651.00M,1.088B,2.34,,,2.34,2.34,2.31,,,2.31,2.31,283.00M,287.00M,0.2
2014-08,11.68B,11.68B,9.155B,2.529B,,,,,,,-48.00M,1.467B,1.467B,1.062B,,-48.00M,-2.00M,-48.00M,1.012B,359.00M,653.00M,,,653.00M,653.00M,1.713B,651.00M,1.062B,2.29,,,2.29,2.29,2.26,,,2.26,2.26,285.00M,289.00M,0.2
2014-05,11.84B,11.84B,8.763B,3.076B,,,,,,,-47.00M,1.524B,1.524B,1.552B,,-47.00M,1.00M,-47.00M,1.506B,549.00M,957.00M,,,957.00M,957.00M,2.204B,649.00M,1.555B,2.5580000000000003,,,2.5580000000000003,2.5580000000000003,2.46,,,2.46,2.46,292.00M,295.00M,0.15
2014-02,11.30B,11.30B,9.145B,2.156B,,,,,,,-38.00M,1.515B,1.515B,641.00M,,-38.00M,-9.00M,-38.00M,594.00M,216.00M,378.00M,,,378.00M,378.00M,1.293B,652.00M,641.00M,1.24,,,1.24,1.24,1.23,,,1.23,1.23,303.00M,307.00M,0.15
2013-11,11.40B,11.40B,9.098B,2.305B,,,,,,,-30.00M,1.478B,1.478B,827.00M,,-30.00M,-5.00M,-30.00M,792.00M,292.00M,500.00M,,,500.00M,500.00M,1.474B,647.00M,827.00M,1.58,,,1.58,1.58,1.57,,,1.57,1.57,315.00M,319.00M,0.15
2013-08,11.02B,11.02B,8.819B,2.205B,,,,,,,-27.00M,1.41B,1.41B,795.00M,,-27.00M,-2.00M,-27.00M,766.00M,277.00M,489.00M,,,489.00M,489.00M,1.434B,639.00M,795.00M,1.54,,,1.54,1.54,1.53,,,1.53,1.53,316.00M,319.00M,0.15
2013-05,11.44B,11.44B,7.015B,4.42B,,,,,-596.00M,,-24.00M,1.439B,1.439B,2.981B,,-24.00M,-602.00M,-24.00M,2.355B,897.00M,1.458B,,,1.458B,1.827B,2.929B,622.00M,2.307B,0.9571,,,2.117,0.9571,0.95,,,2.103,0.95,318.00M,320.00M,0.0
2013-02,10.95B,10.95B,8.899B,2.054B,,,,,-47.00M,,-9.00M,1.418B,1.418B,636.00M,,-9.00M,-63.00M,-9.00M,564.00M,203.00M,361.00M,,,361.00M,391.08M,1.235B,599.00M,636.00M,1.14,,,1.235,1.14,1.13,,,1.225,1.13,315.00M,317.00M,0.14
2012-11,11.11B,11.11B,8.961B,2.146B,,,,,,,-18.00M,1.428B,1.428B,718.00M,,-18.00M,-8.00M,-18.00M,692.00M,254.00M,438.00M,,,438.00M,438.00M,1.31B,592.00M,718.00M,1.39,,,1.39,1.39,1.39,,,1.39,1.39,314.00M,315.00M,0.14
2012-08,10.79B,10.79B,8.654B,2.138B,,,,,,,-10.00M,1.396B,1.396B,742.00M,,-10.00M,-5.00M,-10.00M,727.00M,268.00M,459.00M,,,459.00M,459.00M,1.315B,573.00M,742.00M,1.46,,,1.46,1.46,1.45,,,1.45,1.45,315.00M,316.00M,0.28
2012-05,11.01B,11.01B,8.614B,2.394B,,,,,-134.00M,,-9.00M,1.404B,1.404B,990.00M,,-9.00M,-133.00M,-9.00M,848.00M,298.00M,550.00M,,,550.00M,636.91M,1.406B,543.00M,863.00M,1.75,,,2.026,1.75,1.74,,,2.0140000000000002,1.74,315.00M,317.00M,0.13
2012-02,10.56B,10.56B,8.50B,2.064B,,,,,0.00,,-12.00M,1.251B,1.251B,813.00M,,-12.00M,-9.00M,-12.00M,792.00M,271.00M,521.00M,,,521.00M,521.00M,1.356B,543.00M,813.00M,1.66,,,1.66,1.66,1.65,,,1.65,1.65,314.00M,316.00M,0.13
2011-11,10.59B,10.59B,8.41B,2.177B,,,,,,,-7.00M,1.397B,1.397B,780.00M,,-7.00M,4.00M,-7.00M,777.00M,280.00M,497.00M,,,497.00M,497.00M,1.298B,518.00M,780.00M,1.57,,,1.57,1.57,1.57,,,1.57,1.57,315.00M,316.00M,0.13
2011-08,10.52B,10.52B,3.933B,6.588B,4.004B,4.004B,,,-1.34B,,-11.00M,,4.513B,2.075B,,-11.00M,-1.34B,-11.00M,724.00M,260.00M,464.00M,,,464.00M,1.323B,2.584B,509.00M,2.075B,1.46,0.0,,4.178,1.46,1.46,0.0,,4.1610000000000005,1.46,316.00M,318.00M,0.13
2011-05,10.55B,10.55B,23.01B,-12.46B,,,,,3.957B,,-12.00M,,-9.412B,-3.044B,,-12.00M,3.921B,-12.00M,865.00M,307.00M,558.00M,,,558.00M,-1.995B,-2.661B,499.00M,-3.16B,1.76,,,-6.267,1.76,1.75,0.0,,-6.227,1.75,318.00M,320.00M,0.12
2011-02,9.663B,9.663B,2.975B,6.688B,4.449B,4.449B,,621.00M,-1.362B,,-24.00M,,4.942B,1.746B,,-24.00M,-1.362B,-24.00M,360.00M,129.00M,231.00M,,,231.00M,1.105B,2.239B,493.00M,1.746B,0.73,0.0,,3.5039999999999996,0.73,0.73,0.0,,3.487,0.73,315.00M,317.00M,0.12
2010-11,9.632B,9.632B,1.411B,8.221B,5.797B,5.797B,,628.00M,-1.462B,23.00M,-23.00M,,6.299B,1.922B,23.00M,-23.00M,-1.462B,-23.00M,437.00M,154.00M,283.00M,,,283.00M,1.230B,962.00M,502.00M,460.00M,0.9,0.0,,3.915,0.9,0.89,0.0,,3.886,0.89,314.00M,316.00M,0.12
2010-08,9.457B,9.457B,1.404B,8.053B,5.731B,5.731B,,601.00M,-1.222B,18.00M,-18.00M,,6.21B,1.843B,18.00M,-18.00M,-1.222B,-18.00M,603.00M,223.00M,380.00M,,,380.00M,1.150B,1.10B,479.00M,621.00M,1.21,0.0,,3.662,1.21,1.2,0.0,,3.645,1.2,314.00M,315.00M,0.12
2010-05,9.428B,9.428B,8.473B,955.00M,-1.516B,-1.516B,,,-1.292B,27.00M,-19.00M,,-1.028B,1.983B,27.00M,-19.00M,-1.292B,-19.00M,672.00M,253.00M,419.00M,,,419.00M,1.225B,1.187B,488.00M,699.00M,1.34,0.0,,3.9219999999999997,1.34,1.33,0.0,,3.912,1.33,312.00M,312.00M,0.11
2010-02,8.701B,8.701B,1.214B,7.487B,5.362B,5.362B,,593.00M,-1.237B,19.00M,-19.00M,,5.85B,1.637B,19.00M,-19.00M,-1.237B,-19.00M,381.00M,142.00M,239.00M,,,239.00M,1.015B,888.00M,488.00M,400.00M,0.76,0.0,,3.247,0.76,0.76,0.0,,3.2310000000000003,0.76,312.00M,314.00M,0.11
2009-11,8.596B,8.596B,1.154B,7.442B,5.172B,5.172B,,593.00M,-1.221B,15.00M,-15.00M,,5.659B,1.783B,15.00M,-15.00M,-1.221B,-15.00M,547.00M,202.00M,345.00M,,,345.00M,1.115B,1.049B,487.00M,562.00M,1.1,0.0,,3.568,1.1,1.1,0.0,,3.553,1.1,312.00M,314.00M,0.11
2009-08,8.009B,8.009B,1.067B,6.942B,5.009B,5.009B,,578.00M,-1.126B,18.00M,-18.00M,,5.504B,1.438B,18.00M,-18.00M,-1.126B,-18.00M,294.00M,113.00M,181.00M,,,181.00M,874.22M,807.00M,495.00M,312.00M,0.58,0.0,,2.802,0.58,0.58,0.0,,2.802,0.58,312.00M,312.00M,0.11
2009-05,7.852B,7.852B,932.00M,6.92B,4.871B,4.871B,,591.00M,-2.406B,,-21.00M,,5.367B,1.553B,,-21.00M,-2.406B,-21.00M,-874.00M,2.00M,-876.00M,,,-876.00M,687.90M,-4.272B,496.00M,-4.768B,-2.82,0.0,,2.209,-2.82,-2.82,0.0,,2.1919999999999997,-2.82,311.00M,312.00M,0.11
2009-02,8.137B,8.137B,1.085B,7.052B,5.083B,5.083B,,609.00M,-1.295B,,-19.00M,,5.579B,1.473B,,-19.00M,-1.295B,-19.00M,159.00M,62.00M,97.00M,,,97.00M,887.03M,1.969B,496.00M,1.473B,0.31,0.0,,2.85,0.31,0.31,0.0,,2.842,0.31,311.00M,312.00M,0.11
2008-11,9.538B,9.538B,1.627B,7.911B,5.296B,5.296B,,612.00M,-1.34B,,-10.00M,,5.787B,2.124B,,-10.00M,-1.34B,-10.00M,774.00M,281.00M,493.00M,,,493.00M,1.347B,2.615B,491.00M,2.124B,1.59,0.0,,4.334,1.59,1.58,0.0,,4.316,1.58,311.00M,312.00M,0.11
2008-08,9.97B,9.97B,2.065B,7.905B,5.48B,5.48B,,617.00M,-1.306B,,-9.00M,,5.972B,1.933B,,-9.00M,-1.306B,-9.00M,618.00M,234.00M,384.00M,,,384.00M,1.195B,2.425B,492.00M,1.933B,1.24,0.0,,3.8489999999999998,1.24,1.23,0.0,,3.839,1.23,311.00M,311.00M,0.11
2008-05,9.866B,9.866B,1.851B,8.015B,5.463B,5.463B,,622.00M,-2.216B,,-4.00M,,5.962B,2.053B,,-4.00M,-2.216B,-4.00M,-167.00M,74.00M,-241.00M,,,-241.00M,1.199B,-3.587B,499.00M,-4.086B,-0.78,0.0,,3.8810000000000002,-0.78,-0.78,0.0,,3.8369999999999997,-0.78,309.00M,312.00M,0.1
2008-02,9.437B,9.437B,1.613B,7.824B,5.382B,5.382B,,615.00M,-1.312B,,-10.00M,,5.874B,1.95B,,-10.00M,-1.312B,-10.00M,628.00M,235.00M,393.00M,,,393.00M,1.214B,2.442B,492.00M,1.95B,1.27,0.0,,3.927,1.27,1.26,0.0,,3.892,1.26,309.00M,312.00M,0.1
2007-11,9.451B,9.451B,1.537B,7.914B,5.299B,5.299B,,611.00M,-1.35B,,-15.00M,,5.781B,2.133B,,-15.00M,-1.35B,-15.00M,768.00M,289.00M,479.00M,,,479.00M,1.321B,2.615B,482.00M,2.133B,1.55,0.0,,4.275,1.55,1.54,0.0,,4.239,1.54,309.00M,312.00M,0.0
2007-08,9.199B,9.199B,1.94B,7.259B,3.483B,3.483B,,593.00M,-2.00M,,-25.00M,1.303B,5.259B,2.00B,,-25.00M,-2.00M,-25.00M,787.00M,293.00M,494.00M,,,494.00M,495.26M,2.473B,473.00M,2.00B,1.6,0.0,,1.604,1.6,1.58,0.0,,1.584,1.58,312.00M,314.70M,0.1
