,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2017-08,3.503B,3.503B,8.006B,8.006B,516.00M,,697.00M,,12.72B,,51.54B,51.54B,-25.30B,26.24B,7.382B,,7.382B,3.011B,36.63B,49.35B,2.938B,,,2.938B,4.833B,7.771B,,19.00M,,19.00M,,,,7.79B,15.14B,,15.14B,2.73B,126.00M,3.431B,1.603B,4.313B,458.00M,24.94B,32.73B,32.00M,21.16B,3.03B,7.275B,,-325.00M,16.62B
2017-05,3.969B,3.969B,7.599B,7.599B,514.00M,546.00M,,,12.63B,10.45B,14.38B,50.63B,-24.64B,25.98B,7.154B,529.00M,7.683B,2.26B,35.92B,48.55B,2.752B,283.00M,,3.035B,4.08B,7.115B,,22.00M,,22.00M,,,,7.918B,14.91B,,14.91B,2.485B,137.00M,3.153B,1.494B,4.487B,518.00M,24.56B,32.48B,32.00M,20.83B,3.005B,7.382B,,-415.00M,16.07B
2017-02,3.173B,3.173B,7.418B,7.418B,527.00M,820.00M,,,11.94B,,49.75B,49.75B,-24.14B,25.61B,7.00B,,7.00B,2.23B,34.84B,46.78B,2.707B,,,2.707B,4.698B,7.405B,,45.00M,,45.00M,,,,7.45B,14.71B,,14.71B,2.299B,142.00M,2.897B,1.376B,4.67B,491.00M,24.15B,31.60B,32.00M,19.83B,2.976B,7.32B,,-334.00M,15.18B
2016-11,3.059B,3.059B,7.575B,7.575B,517.00M,901.00M,,,12.05B,,48.92B,48.92B,-23.61B,25.31B,6.921B,,6.921B,2.068B,34.30B,46.35B,2.954B,,,2.954B,4.81B,7.764B,,43.00M,,43.00M,,,,7.807B,13.55B,,13.55B,2.148B,145.00M,2.84B,1.349B,5.845B,423.00M,24.01B,31.82B,32.00M,19.41B,2.946B,7.432B,,-425.00M,14.53B
2016-08,2.989B,2.989B,7.233B,7.233B,512.00M,667.00M,,,11.40B,,48.12B,48.12B,-23.32B,24.80B,6.783B,,6.783B,2.587B,34.17B,45.58B,2.851B,,,2.851B,4.576B,7.427B,,47.00M,,47.00M,,,,7.474B,13.74B,,13.74B,1.762B,150.00M,2.369B,1.338B,6.063B,454.00M,23.96B,31.43B,32.00M,18.86B,2.918B,7.494B,,-176.00M,14.14B
2016-05,3.534B,3.534B,7.252B,7.252B,496.00M,707.00M,,,11.99B,9.987B,13.11B,47.02B,-22.73B,24.28B,6.747B,1.008B,7.755B,1.931B,33.97B,45.96B,2.944B,311.00M,,3.255B,3.92B,7.175B,,29.00M,,29.00M,,,,8.008B,13.73B,,13.73B,1.567B,155.00M,2.122B,1.314B,6.227B,771.00M,24.17B,32.18B,32.00M,18.37B,2.892B,7.342B,,-169.00M,13.78B
2016-02,2.841B,2.841B,5.634B,5.634B,476.00M,678.00M,608.00M,,10.24B,,46.03B,46.03B,-23.48B,22.55B,3.764B,,3.764B,1.266B,27.58B,37.82B,2.024B,,,2.024B,3.904B,5.928B,,11.00M,,11.00M,,,,5.939B,8.477B,,8.477B,2.046B,161.00M,2.93B,1.282B,4.628B,236.00M,17.55B,23.49B,32.00M,18.48B,2.869B,6.896B,,-159.00M,14.33B
2015-11,3.647B,3.647B,5.865B,5.865B,493.00M,460.00M,687.00M,,11.15B,,45.24B,45.24B,-22.96B,22.28B,3.806B,,3.806B,1.135B,27.22B,38.37B,2.129B,,,2.129B,3.808B,5.937B,,14.00M,,14.00M,,,,5.951B,8.481B,,8.481B,1.759B,167.00M,2.766B,1.265B,4.702B,216.00M,17.43B,23.38B,32.00M,18.05B,2.839B,5.888B,,-41.00M,14.99B
2015-08,3.543B,3.543B,5.617B,5.617B,488.00M,449.00M,606.00M,,10.70B,,43.99B,43.99B,-22.51B,21.48B,3.792B,,3.792B,1.267B,26.54B,37.24B,2.049B,,,2.049B,3.781B,5.83B,,14.00M,,14.00M,,,,5.844B,7.244B,,7.244B,1.781B,174.00M,2.721B,1.186B,4.806B,161.00M,16.12B,21.96B,32.00M,17.43B,2.814B,5.007B,,10.00M,15.28B
2015-05,3.763B,3.763B,5.719B,5.719B,498.00M,355.00M,,,10.34B,14.14B,6.725B,42.86B,-21.99B,20.88B,3.81B,207.00M,4.017B,1.304B,26.20B,36.53B,2.066B,328.00M,,2.394B,3.036B,5.43B,,19.00M,,19.00M,,,,5.956B,7.249B,,7.249B,1.21B,181.00M,2.102B,1.12B,4.893B,218.00M,15.58B,21.54B,32.00M,16.90B,2.786B,4.897B,,172.00M,14.99B
2015-02,3.478B,3.478B,5.584B,5.584B,488.00M,422.00M,510.00M,,10.48B,,42.65B,42.65B,-22.23B,20.42B,3.805B,,3.805B,1.396B,25.63B,36.11B,2.05B,,,2.05B,3.193B,5.243B,,,,,,,,5.243B,7.228B,,7.228B,2.497B,187.00M,3.378B,1.092B,2.962B,193.00M,14.85B,20.10B,32.00M,21.88B,2.739B,4.73B,,-3.909B,16.01B
2014-11,2.266B,2.266B,5.592B,5.592B,476.00M,381.00M,497.00M,,9.212B,,41.62B,41.62B,-21.72B,19.89B,2.734B,,2.734B,1.145B,23.77B,32.98B,1.968B,,,1.968B,3.205B,5.173B,,,,,,,,5.173B,4.735B,,4.735B,2.104B,193.00M,3.129B,1.072B,3.136B,176.00M,12.25B,17.42B,32.00M,21.48B,2.618B,4.78B,,-3.787B,15.56B
2014-08,2.416B,2.416B,5.487B,5.487B,481.00M,369.00M,497.00M,,9.25B,,40.87B,40.87B,-21.44B,19.42B,2.775B,,2.775B,1.138B,23.34B,32.59B,1.973B,,,1.973B,3.179B,5.152B,,1.00M,,1.00M,,,,5.153B,4.735B,,4.735B,2.107B,200.00M,3.055B,1.047B,3.313B,163.00M,12.31B,17.47B,32.00M,20.92B,2.629B,4.767B,,-3.694B,15.12B
2014-05,2.908B,2.908B,5.46B,5.46B,463.00M,330.00M,522.00M,,9.683B,13.46B,6.082B,40.69B,-21.14B,19.55B,2.79B,,2.79B,1.047B,23.39B,33.07B,1.971B,339.00M,,2.31B,2.567B,4.877B,,1.00M,,1.00M,,,,5.312B,4.736B,,4.736B,2.114B,206.00M,3.078B,1.038B,3.484B,145.00M,12.48B,17.79B,32.00M,16.23B,2.643B,4.133B,,506.00M,15.28B
2014-02,3.042B,3.042B,5.197B,5.197B,462.00M,456.00M,624.00M,,9.781B,,40.02B,40.02B,-20.73B,19.28B,2.739B,,2.739B,924.00M,22.95B,32.73B,1.903B,,,1.903B,3.115B,5.018B,,1.00M,,1.00M,,,,5.019B,4.735B,,4.735B,2.083B,208.00M,3.032B,1.028B,3.586B,102.00M,12.48B,17.50B,32.00M,19.70B,2.259B,3.009B,,-3.754B,15.23B
2013-11,3.935B,3.935B,5.377B,5.377B,458.00M,441.00M,655.00M,,10.87B,,39.30B,39.30B,-20.18B,19.12B,2.737B,,2.737B,819.00M,22.68B,33.54B,1.868B,,,1.868B,3.287B,5.155B,,251.00M,,251.00M,,,,5.406B,2.739B,,2.739B,1.945B,215.00M,3.042B,1.009B,3.704B,109.00M,10.60B,16.01B,32.00M,19.37B,2.666B,762.00M,,-3.769B,17.53B
2013-08,5.096B,5.096B,4.99B,4.99B,451.00M,352.00M,604.00M,,11.49B,,38.17B,38.17B,-19.73B,18.44B,2.712B,,2.712B,1.031B,22.18B,33.67B,1.879B,,,1.879B,3.39B,5.269B,,254.00M,,254.00M,,,,5.523B,2.739B,,2.739B,1.82B,221.00M,2.838B,996.00M,3.813B,109.00M,10.50B,16.02B,32.00M,18.91B,2.696B,129.00M,,-3.857B,17.66B
2013-05,4.917B,4.917B,5.044B,5.044B,457.00M,323.00M,533.00M,,11.27B,12.86B,6.452B,38.11B,-19.62B,18.48B,2.755B,,2.755B,1.054B,22.29B,33.57B,1.879B,368.00M,,2.247B,2.637B,4.884B,,251.00M,,251.00M,,,,5.75B,2.739B,,2.739B,1.652B,227.00M,2.657B,987.00M,3.916B,120.00M,10.42B,16.17B,32.00M,18.52B,2.668B,1.00M,,-3.82B,17.40B
2013-02,3.372B,3.372B,4.95B,4.95B,460.00M,453.00M,510.00M,,9.745B,,38.11B,38.11B,-19.79B,18.33B,2.765B,,2.765B,992.00M,22.08B,31.83B,1.73B,,,1.73B,3.118B,4.848B,,251.00M,,251.00M,,,,5.099B,1.991B,,1.991B,1.139B,234.00M,2.139B,989.00M,5.361B,139.00M,10.62B,15.72B,32.00M,18.22B,2.623B,49.00M,,-4.71B,16.11B
2012-11,2.517B,2.517B,5.202B,5.202B,456.00M,474.00M,510.00M,,9.159B,,37.75B,37.75B,-19.40B,18.35B,2.757B,,2.757B,1.047B,22.15B,31.31B,1.73B,,,1.73B,3.097B,4.827B,,1.00M,,1.00M,,,,4.828B,2.241B,,2.241B,973.00M,239.00M,2.122B,985.00M,5.447B,146.00M,10.94B,15.77B,32.00M,17.90B,2.635B,253.00M,,-4.77B,15.54B
2012-08,2.743B,2.743B,4.946B,4.78B,465.00M,371.00M,518.00M,,8.877B,,,36.96B,-19.10B,17.87B,2.734B,,2.734B,1.214B,21.81B,30.69B,1.643B,,,1.643B,1.892B,3.535B,,,117.00M,117.00M,,,,4.809B,2.242B,,2.242B,879.00M,245.00M,1.963B,987.00M,5.519B,147.00M,10.86B,15.67B,32.00M,17.50B,2.612B,278.00M,,-4.847B,15.02B
2012-05,2.843B,2.843B,4.704B,4.704B,440.00M,536.00M,533.00M,,9.056B,12.24B,5.912B,36.16B,-18.92B,17.25B,2.387B,,2.387B,1.212B,20.85B,29.90B,1.613B,386.00M,,1.999B,2.155B,4.154B,,417.00M,,417.00M,,,,5.374B,1.25B,,1.25B,836.00M,251.00M,1.871B,963.00M,5.582B,136.00M,9.802B,15.18B,32.00M,17.13B,2.595B,81.00M,,-4.953B,14.73B
2012-02,2.04B,2.04B,4.815B,4.635B,447.00M,459.00M,617.00M,,8.198B,,,35.93B,-19.09B,16.84B,2.419B,,2.419B,1.292B,20.55B,28.75B,1.687B,,,1.687B,1.602B,3.289B,,419.00M,,419.00M,,,,5.152B,1.251B,,1.251B,2.03B,244.00M,3.024B,960.00M,1.654B,142.00M,7.031B,12.18B,32.00M,16.58B,2.574B,138.00M,,-2.483B,16.57B
2011-11,1.896B,1.896B,5.024B,4.837B,440.00M,367.00M,628.00M,,8.168B,,,35.40B,-18.69B,16.71B,2.399B,,2.399B,1.176B,20.28B,28.45B,1.646B,,,1.646B,1.916B,3.562B,,428.00M,,428.00M,,,,5.38B,1.251B,,1.251B,1.555B,234.00M,2.686B,977.00M,2.065B,176.00M,7.155B,12.54B,32.00M,16.10B,2.557B,194.00M,,-2.581B,15.92B
2011-08,1.959B,1.959B,4.624B,4.624B,418.00M,352.00M,610.00M,,7.963B,,,34.22B,-18.40B,15.82B,2.435B,,2.435B,1.62B,19.88B,27.84B,1.563B,,,1.563B,1.872B,3.435B,,301.00M,,301.00M,,,,4.981B,1.367B,,1.367B,1.441B,240.00M,2.505B,964.00M,2.123B,184.00M,7.143B,12.12B,32.00M,15.65B,2.547B,12.00M,,-2.501B,15.71B
2011-05,2.328B,2.328B,4.763B,4.581B,437.00M,329.00M,610.00M,,8.285B,11.66B,,33.69B,-18.14B,15.54B,2.326B,,2.326B,1.231B,19.10B,27.38B,1.702B,,,1.702B,1.894B,3.596B,,,18.00M,18.00M,,,,4.882B,1.667B,,1.667B,1.336B,246.00M,2.361B,977.00M,2.124B,154.00M,7.283B,12.16B,32.00M,15.27B,2.484B,12.00M,,-2.55B,15.22B
2011-02,1.359B,1.359B,,4.478B,413.00M,448.00M,540.00M,,7.238B,,,33.08B,-17.75B,15.33B,2.321B,,2.321B,1.315B,18.96B,26.20B,1.59B,,,1.59B,1.823B,3.413B,,18.00M,,18.00M,,,,4.574B,1.667B,,1.667B,1.328B,252.00M,2.349B,976.00M,1.598B,158.00M,6.748B,11.32B,31.00M,14.71B,2.408B,12.00M,,-2.256B,14.88B
2010-11,1.877B,1.877B,,4.279B,400.00M,302.00M,540.00M,,7.398B,,,32.72B,-17.45B,15.27B,2.224B,,2.224B,1.205B,18.70B,26.09B,1.561B,,,1.561B,1.82B,3.381B,,251.00M,,251.00M,,,,4.863B,1.667B,,1.667B,976.00M,257.00M,2.146B,969.00M,1.731B,156.00M,6.669B,11.53B,31.00M,14.52B,2.343B,12.00M,,-2.316B,14.56B
2010-08,1.709B,1.709B,4.135B,4.135B,377.00M,286.00M,529.00M,,7.036B,,,31.77B,-17.09B,14.68B,2.211B,,2.211B,1.286B,18.18B,25.21B,1.423B,,,1.423B,1.786B,3.209B,,251.00M,,251.00M,,,,4.541B,1.668B,,1.668B,902.00M,263.00M,1.993B,960.00M,1.693B,152.00M,6.466B,11.01B,31.00M,14.27B,2.302B,12.00M,,-2.386B,14.20B
2010-05,1.952B,1.952B,,4.163B,389.00M,251.00M,529.00M,,7.284B,11.30B,,31.30B,-16.92B,14.38B,2.20B,,2.20B,1.033B,17.62B,24.90B,1.522B,,,1.522B,1.715B,3.237B,,262.00M,,262.00M,,,,4.645B,1.668B,,1.668B,891.00M,267.00M,1.962B,960.00M,1.705B,151.00M,6.446B,11.09B,31.00M,13.97B,2.261B,7.00M,,-2.44B,13.81B
2010-02,1.549B,1.549B,,3.937B,380.00M,300.00M,517.00M,,6.683B,,,30.68B,-16.67B,14.00B,2.229B,,2.229B,1.961B,18.19B,24.88B,1.489B,,,1.489B,1.641B,3.13B,,283.00M,,283.00M,,,,4.372B,1.668B,,1.668B,1.384B,274.00M,2.426B,949.00M,931.00M,150.00M,6.124B,10.50B,31.00M,13.55B,2.168B,3.00M,,-1.362B,14.38B
2009-11,1.465B,1.465B,,3.771B,391.00M,292.00M,515.00M,,6.434B,,,30.23B,-16.30B,13.94B,2.237B,,2.237B,1.986B,18.16B,24.59B,1.417B,,,1.417B,1.634B,3.051B,,40.00M,,40.00M,,,,4.119B,1.918B,,1.918B,1.228B,276.00M,2.394B,916.00M,929.00M,150.00M,6.307B,10.43B,31.00M,13.34B,2.132B,3.00M,,-1.334B,14.17B
2009-08,1.789B,1.789B,,3.41B,372.00M,307.00M,510.00M,,6.388B,,,29.48B,-15.95B,13.54B,2.233B,,2.233B,1.698B,17.47B,23.86B,1.311B,,,1.311B,1.533B,2.844B,,158.00M,,158.00M,,,,3.886B,1.918B,,1.918B,1.132B,283.00M,2.226B,932.00M,955.00M,154.00M,6.185B,10.07B,31.00M,13.03B,2.091B,4.00M,,-1.363B,13.79B
2009-05,2.292B,2.292B,,3.391B,367.00M,555.00M,511.00M,,7.116B,11.10B,,29.26B,-15.84B,13.42B,2.229B,,2.229B,1.482B,17.13B,24.24B,1.372B,,,1.372B,1.638B,3.01B,,653.00M,,653.00M,,,,4.524B,1.93B,,1.93B,1.071B,289.00M,2.162B,904.00M,934.00M,164.00M,6.094B,10.62B,31.00M,12.92B,2.053B,4.00M,,-1.373B,13.63B
2009-02,2.673B,2.673B,,3.52B,370.00M,294.00M,516.00M,,7.373B,,,29.36B,-15.74B,13.62B,3.113B,1.198B,4.311B,1.703B,19.63B,27.01B,1.392B,,,1.392B,1.607B,2.999B,,1.089B,,1.089B,,,,4.893B,1.918B,,1.918B,1.522B,296.00M,2.606B,869.00M,998.00M,171.00M,6.562B,11.46B,31.00M,13.80B,2.001B,4.00M,,-272.00M,15.55B
2008-11,1.542B,1.542B,,4.103B,405.00M,266.00M,518.00M,,6.834B,,,29.01B,-15.40B,13.61B,3.121B,1.071B,4.192B,1.748B,19.55B,26.38B,1.878B,,,1.878B,1.636B,3.514B,,1.089B,,1.089B,,,,5.523B,918.00M,,918.00M,1.511B,302.00M,2.473B,825.00M,991.00M,173.00M,5.38B,10.90B,31.00M,13.73B,1.979B,4.00M,,-258.00M,15.48B
2008-08,1.573B,1.573B,,4.361B,412.00M,300.00M,528.00M,,7.174B,,,28.71B,-15.18B,13.53B,3.16B,966.00M,4.126B,,18.97B,26.14B,2.05B,,,2.05B,2.468B,4.518B,,1.001B,,1.001B,,,,5.519B,1.007B,,1.007B,1.484B,309.00M,2.476B,813.00M,997.00M,191.00M,5.484B,11.00B,31.00M,13.27B,1.954B,4.00M,,-115.00M,15.14B
2008-05,1.539B,1.539B,,4.359B,435.00M,367.00M,544.00M,,7.244B,11.57B,,29.30B,-15.83B,13.48B,3.165B,919.00M,4.084B,827.00M,18.39B,25.63B,2.195B,,,2.195B,1.553B,3.748B,,502.00M,,502.00M,,,,5.368B,1.506B,,1.506B,1.264B,315.00M,2.25B,804.00M,989.00M,190.00M,5.739B,11.11B,31.00M,13.00B,1.922B,4.00M,,-425.00M,14.53B
2008-02,1.011B,1.011B,,4.242B,384.00M,243.00M,551.00M,,6.431B,,,28.81B,-15.49B,13.31B,3.519B,1.332B,4.851B,,18.16B,24.60B,2.164B,,,2.164B,2.43B,4.594B,,18.00M,,18.00M,,,,4.612B,2.006B,,2.006B,1.022B,323.00M,1.969B,785.00M,850.00M,182.00M,5.792B,10.40B,31.00M,13.24B,1.848B,3.00M,,-928.00M,14.19B
2007-11,830.00M,830.00M,,4.324B,392.00M,274.00M,531.00M,,6.351B,,,28.38B,-15.16B,13.22B,3.515B,1.256B,4.771B,,18.00B,24.35B,2.30B,,,2.30B,2.483B,4.783B,,127.00M,,127.00M,,,,4.91B,2.007B,,2.007B,928.00M,330.00M,1.889B,790.00M,824.00M,167.00M,5.677B,10.59B,31.00M,12.88B,1.796B,4.00M,,-945.00M,13.76B
2007-08,1.112B,1.112B,,3.959B,342.00M,282.00M,533.00M,,6.228B,,,27.70B,-14.76B,12.94B,3.502B,1.233B,4.735B,,17.68B,23.91B,2.018B,,,2.018B,2.543B,4.561B,,134.00M,,134.00M,,,,4.695B,2.007B,,2.007B,918.00M,336.00M,1.91B,,1.119B,954.00M,5.99B,10.68B,31.00M,12.43B,1.761B,4.00M,,-1.00B,13.22B
2007-05,1.569B,1.569B,,3.942B,338.00M,244.00M,536.00M,,6.629B,,,27.09B,-14.45B,12.64B,3.497B,1.238B,4.735B,,17.37B,24.00B,2.016B,,,2.016B,2.773B,4.789B,,639.00M,,639.00M,,,,5.428B,2.007B,,2.007B,897.00M,343.00M,1.895B,759.00M,1.164B,91.00M,5.916B,11.34B,31.00M,11.97B,1.689B,4.00M,,-1.03B,12.66B
2007-02,1.77B,1.77B,,3.925B,322.00M,210.00M,540.00M,,6.767B,,,26.33B,-14.16B,12.17B,3.136B,1.362B,4.498B,1.539B,18.21B,24.97B,1.888B,,,1.888B,2.623B,4.511B,,1.259B,,1.259B,1.402B,1.402B,-1.402B,5.77B,2.005B,,2.005B,1.402B,350.00M,629.00M,,971.00M,2.588B,6.193B,11.96B,31.00M,11.39B,1.621B,3.00M,,-30.00M,13.01B
2006-11,1.855B,1.855B,,3.956B,325.00M,192.00M,515.00M,,6.843B,,,25.90B,-13.92B,11.99B,2.941B,1.305B,4.246B,1.636B,17.87B,24.71B,2.06B,,,2.06B,3.491B,5.551B,,1.168B,,1.168B,,,-745.00M,5.974B,2.047B,,2.047B,1.352B,357.00M,2.344B,,952.00M,838.00M,6.181B,12.16B,31.00M,11.00B,1.554B,4.00M,,-22.00M,12.56B
2006-08,2.69B,2.69B,,3.624B,320.00M,172.00M,536.00M,,7.342B,,,24.72B,-13.61B,11.12B,2.825B,1.245B,4.07B,1.351B,16.54B,23.88B,1.875B,,,1.875B,3.333B,5.208B,,1.13B,,1.13B,,,-715.00M,5.623B,2.09B,,2.09B,1.369B,365.00M,2.394B,,953.00M,797.00M,6.234B,11.86B,31.00M,10.52B,1.50B,2.00M,,-24.00M,12.02B
