,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,932.00M,,,-69.00M,,115.00M,104.00M,2.37B,2.37B,151.00M,,83.00M,-14.00M,-74.00M,-76.00M,188.00M,,,38.00M,3.664B,-1.91B,,-2.014B,,,-35.00M,-1.986B,1.25B,1.25B,0.00,-3.361B,-3.361B,,,50.00M,-433.00M,-2.494B,2.102B,-816.00M,1.286B,0.00,3.069B,-1.819B,-3.361B,34.00M,1.038B
2020-06,876.00M,,,-64.00M,,-11.00M,-39.00M,2.428B,2.428B,115.00M,,90.00M,-6.00M,97.00M,-60.00M,28.00M,,,65.00M,3.529B,-1.663B,,-1.877B,,,-45.00M,-1.751B,-1.296B,-1.296B,0.00,-1.155B,-1.155B,,,28.00M,-189.00M,-2.612B,2.936B,-834.00M,2.102B,0.00,3.007B,-4.303B,-1.155B,31.00M,935.00M
2020-03,467.00M,,,318.00M,,-10.00M,335.00M,2.497B,2.497B,-14.00M,,90.00M,-32.00M,136.00M,-104.00M,-155.00M,,,-123.00M,3.22B,-1.849B,,-1.461B,,,37.00M,-1.85B,750.00M,750.00M,23.00M,-2.352B,-2.329B,,,93.00M,-497.00M,-1.983B,3.549B,-613.00M,2.936B,23.00M,4.339B,-3.589B,-2.352B,19.00M,1.05B
2019-12,822.00M,,,-62.00M,,96.00M,59.00M,2.461B,2.461B,87.00M,,77.00M,-7.00M,59.00M,-172.00M,-28.00M,,,-141.00M,3.358B,-1.778B,,-2.282B,,,-53.00M,-1.854B,4.105B,4.105B,,-2.305B,-2.305B,,,12.00M,-364.00M,1.448B,597.00M,2.952B,3.549B,,6.528B,-2.423B,-2.305B,16.00M,898.00M
2019-09,467.00M,,,34.00M,,-9.00M,25.00M,2.415B,2.415B,96.00M,,71.00M,-20.00M,-227.00M,-49.00M,165.00M,,,-111.00M,2.943B,-1.672B,,-1.651B,,,2.00M,-1.731B,1.68B,1.68B,0.00,-2.767B,-2.767B,,,25.00M,-399.00M,-1.461B,846.00M,-249.00M,597.00M,0.00,2.443B,-763.00M,-2.767B,12.00M,1.048B
2019-06,386.00M,,,119.00M,,-9.00M,110.00M,2.50B,2.50B,56.00M,,82.00M,36.00M,-492.00M,124.00M,-41.00M,,,-409.00M,2.761B,-1.649B,,-1.597B,,,8.00M,-1.666B,-721.00M,-721.00M,0.00,-861.00M,-861.00M,,,37.00M,-330.00M,-1.875B,1.626B,-780.00M,846.00M,0.00,3.83B,-4.551B,-861.00M,39.00M,1.051B
2019-03,317.00M,,,-37.00M,,-9.00M,-46.00M,2.55B,2.55B,81.00M,,85.00M,43.00M,155.00M,-300.00M,-199.00M,,,-344.00M,2.686B,-2.041B,,-1.665B,,,,-2.08B,1.312B,1.312B,0.00,-940.00M,-940.00M,,,44.00M,-161.00M,255.00M,765.00M,861.00M,1.626B,0.00,6.884B,-5.572B,-940.00M,4.00M,966.00M
2018-12,360.00M,,,110.00M,,55.00M,165.00M,2.534B,2.534B,-27.00M,,72.00M,29.00M,3.00M,-173.00M,205.00M,,,35.00M,3.168B,-2.283B,,-2.433B,,,-17.00M,-2.306B,635.00M,635.00M,,-1.185B,-1.185B,,,13.00M,-220.00M,-757.00M,660.00M,105.00M,765.00M,,2.44B,-1.805B,-1.185B,18.00M,945.00M
2018-09,584.00M,,,-12.00M,,-207.00M,-219.00M,2.482B,2.482B,80.00M,,71.00M,-60.00M,-117.00M,-6.00M,-11.00M,,,-134.00M,2.804B,-2.272B,,-2.118B,,,-36.00M,-2.323B,630.00M,630.00M,,-933.00M,-933.00M,,,13.00M,-304.00M,-594.00M,773.00M,-113.00M,660.00M,,6.094B,-5.464B,-933.00M,5.00M,1.031B
2018-06,339.00M,,,75.00M,,-20.00M,55.00M,2.592B,2.592B,29.00M,,70.00M,-50.00M,-210.00M,40.00M,231.00M,,,61.00M,3.096B,-2.292B,,-2.391B,,,-77.00M,-2.369B,1.384B,1.384B,,-1.664B,-1.664B,,,7.00M,-257.00M,-530.00M,576.00M,197.00M,773.00M,,2.699B,-1.315B,-1.664B,21.00M,882.00M
2018-03,223.00M,,,-63.00M,,-20.00M,-83.00M,2.71B,2.71B,28.00M,,77.00M,-51.00M,226.00M,-131.00M,-300.00M,,,-205.00M,2.699B,-2.748B,,-2.183B,,,10.00M,-2.738B,744.00M,744.00M,,-617.00M,-617.00M,,,36.00M,-169.00M,-6.00M,621.00M,-45.00M,576.00M,,2.929B,-2.185B,-617.00M,1.00M,1.007B
2017-12,9.617B,,,-84.00M,,8.00M,-71.00M,2.742B,2.742B,-9.169B,,69.00M,-164.00M,17.00M,39.00M,178.00M,,,234.00M,3.258B,-2.041B,,-2.585B,,,-69.00M,-2.215B,2.188B,2.188B,,-3.967B,-3.967B,,,5.00M,-812.00M,-2.586B,2.164B,-1.543B,621.00M,,13.16B,-10.97B,-3.967B,3.00M,877.00M
2017-09,92.00M,,,-17.00M,,-9.00M,-26.00M,2.701B,2.701B,11.00M,,70.00M,24.00M,-162.00M,60.00M,138.00M,,,36.00M,2.908B,-2.314B,,-2.393B,,,-14.00M,-2.328B,4.964B,4.964B,,-3.525B,-3.525B,,,25.00M,-574.00M,890.00M,694.00M,1.47B,2.164B,,4.969B,-5.00M,-3.525B,5.00M,891.00M
2017-06,195.00M,,,70.00M,,,71.00M,2.595B,2.595B,26.00M,,85.00M,-99.00M,-175.00M,60.00M,187.00M,,,72.00M,2.945B,-1.801B,,-2.148B,,,-42.00M,-1.843B,452.00M,452.00M,,-3.328B,-3.328B,,,14.00M,-466.00M,-3.328B,2.92B,-2.226B,694.00M,,2.506B,-2.054B,-3.328B,34.00M,2.545B
2017-03,211.00M,,,-38.00M,,,-4.00M,2.55B,2.55B,16.00M,,86.00M,-115.00M,236.00M,-83.00M,-54.00M,,,99.00M,2.843B,-1.705B,,-1.555B,,,-7.00M,-1.712B,1.165B,1.165B,,-895.00M,-895.00M,,,72.00M,-88.00M,254.00M,1.535B,1.385B,2.92B,,4.64B,-3.475B,-895.00M,-1.00M,-892.00M
2016-12,569.00M,,,-73.00M,,-366.00M,-438.00M,2.495B,2.495B,212.00M,,122.00M,-100.00M,-158.00M,26.00M,498.00M,,,366.00M,3.226B,-1.371B,,-1.888B,,,-22.28B,-23.65B,-54.00M,-54.00M,0.00,-1.114B,-1.114B,,,15.00M,-318.00M,-1.471B,1.165B,-21.89B,1.535B,0.00,6.347B,-6.401B,-1.114B,15.00M,721.00M
2016-09,250.00M,,,-71.00M,,-13.00M,-84.00M,2.437B,2.437B,-6.00M,,138.00M,-107.00M,98.00M,74.00M,1.00M,,,173.00M,2.801B,-1.80B,,-1.748B,,,-2.00M,-1.802B,-50.00M,-50.00M,0.00,-349.00M,-349.00M,,,47.00M,-37.00M,-389.00M,555.00M,610.00M,1.165B,0.00,0.00,-50.00M,-349.00M,44.00M,950.00M
2016-06,3.114B,,,50.00M,,-520.00M,-360.00M,1.436B,1.436B,-3.192B,,208.00M,-51.00M,-124.00M,32.00M,527.00M,,,435.00M,1.59B,-29.88B,,-30.07B,,,22.31B,-7.567B,515.00M,515.00M,5.00B,-83.00M,4.917B,,,19.00M,-197.00M,5.254B,1.278B,-723.00M,555.00M,5.00B,3.858B,-3.343B,-83.00M,4.00M,544.00M
2016-03,-188.00M,,,5.00M,,0.00,5.00M,539.00M,539.00M,28.00M,,24.00M,10.00M,24.00M,-21.00M,3.00M,,,6.00M,424.00M,-485.00M,,-429.00M,,,-51.00M,-536.00M,1.412B,1.412B,,-16.00M,-16.00M,,,5.00M,-16.00M,1.385B,5.00M,1.273B,1.278B,,2.139B,-727.00M,-16.00M,0.00,470.00M
2015-12,-122.00M,,,-6.00M,,,-6.00M,545.00M,545.00M,11.00M,,20.00M,10.00M,12.00M,16.00M,125.00M,,,153.00M,611.00M,-531.00M,,-548.00M,,,-2.636B,-3.167B,2.568B,2.568B,,-14.00M,-14.00M,,,8.00M,-1.00M,2.561B,0.00,5.00M,5.00M,,2.983B,-415.00M,-14.00M,,317.00M
