,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,331.80M,,331.80M,834.50M,,834.50M,1.343B,14.60M,,123.20M,2.647B,,,,,1.268B,,1.268B,,1.268B,,,,193.80M,1.462B,4.109B,210.40M,,210.40M,258.20M,468.60M,,,40.00M,40.00M,94.40M,134.40M,,,,603.00M,365.00M,152.10M,517.10M,102.90M,102.90M,,620.00M,1.223B,2.90M,2.867B,57.80M,-41.80M,2.886B
2020-06,201.50M,,201.50M,881.50M,,881.50M,1.402B,0.00,,121.80M,2.606B,,,,,1.282B,,1.282B,,1.282B,,,,196.40M,1.479B,4.085B,194.10M,102.30M,296.40M,238.20M,534.60M,,,,,96.70M,96.70M,,,,631.30M,405.00M,158.00M,563.00M,100.30M,100.30M,7.60M,670.90M,1.302B,2.90M,2.789B,44.40M,-52.90M,2.783B
2020-03,160.70M,,160.70M,833.90M,,833.90M,1.346B,0.00,,124.20M,2.464B,,,,,1.270B,,1.270B,,1.270B,,,,200.30M,1.470B,3.935B,212.10M,39.50M,251.60M,227.50M,479.10M,,,4.90M,4.90M,96.40M,101.30M,,,,580.40M,450.10M,147.70M,597.80M,99.90M,99.90M,,697.70M,1.278B,2.90M,2.693B,24.20M,-63.40M,2.657B
2019-12,174.90M,,174.90M,741.80M,,741.80M,1.366B,16.70M,,157.40M,2.457B,0.0,41.80M,423.70M,1.369B,243.20M,132.00M,2.210B,-943.70M,1.266B,,,,76.30M,1.343B,3.800B,192.80M,67.40M,260.20M,170.30M,430.50M,,,3.00M,3.00M,97.40M,100.40M,,,,544.70M,342.00M,148.20M,490.20M,99.40M,99.40M,,589.60M,1.134B,2.90M,2.634B,67.20M,-38.40M,2.666B
2019-09,191.20M,,191.20M,817.30M,,817.30M,1.355B,0.40M,,137.20M,2.501B,,,,,1.236B,,1.236B,,1.236B,,,,77.30M,1.313B,3.814B,215.20M,,215.20M,241.30M,456.50M,,,3.00M,3.00M,95.60M,98.60M,,,,555.10M,442.00M,144.80M,586.80M,86.60M,86.60M,,673.40M,1.228B,2.90M,2.582B,50.30M,-49.00M,2.586B
2019-06,175.00M,,175.00M,819.80M,,819.80M,1.346B,4.00M,,123.80M,2.468B,,,,,1.210B,,1.210B,,1.210B,,,,78.50M,1.288B,3.756B,203.80M,,203.80M,226.00M,429.80M,,,3.00M,3.00M,95.10M,98.10M,,,,527.90M,497.00M,141.10M,638.10M,86.70M,86.70M,,724.80M,1.253B,2.90M,2.494B,46.00M,-39.40M,2.504B
2019-03,185.40M,,185.40M,793.00M,,793.00M,1.294B,0.00,,116.90M,2.389B,,,,,1.164B,,1.164B,,1.164B,,,,98.40M,1.263B,3.652B,183.90M,41.70M,225.60M,232.80M,458.40M,,,4.40M,4.40M,91.80M,96.20M,,,,554.60M,484.60M,130.40M,615.00M,85.00M,85.00M,,700.00M,1.255B,2.90M,2.413B,22.70M,-41.10M,2.397B
2018-12,167.20M,,167.20M,714.30M,,714.30M,1.279B,9.00M,,147.00M,2.316B,0.0,36.30M,323.10M,1.235B,,152.20M,1.746B,-821.40M,924.80M,,,,80.50M,1.005B,3.322B,193.60M,63.60M,257.20M,164.20M,421.40M,,,3.00M,3.00M,0.00,3.00M,,,,437.40M,497.00M,0.00,497.00M,84.40M,84.40M,,581.40M,1.019B,2.90M,2.342B,3.00M,-44.80M,2.303B
2018-09,129.70M,,129.70M,772.50M,,772.50M,1.195B,2.20M,,126.40M,2.226B,,,,,,,,,883.80M,,,,84.60M,968.40M,3.194B,186.00M,0.00,186.00M,227.60M,413.60M,,,,2.50M,,2.50M,,,,416.10M,387.50M,,387.50M,74.70M,74.70M,,462.20M,878.30M,2.90M,2.342B,7.40M,-36.70M,2.316B
2018-06,135.50M,,135.50M,733.70M,,733.70M,1.163B,,,108.10M,2.141B,,,,,,,,,880.10M,,,,79.30M,959.40M,3.100B,172.10M,2.00M,174.10M,204.40M,378.50M,,,,2.50M,,2.50M,,,,381.00M,422.50M,,422.50M,70.00M,70.00M,,492.50M,873.50M,2.90M,2.259B,0.40M,-35.90M,2.227B
