,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.413B,1.413B,772.70M,640.60M,351.50M,1.00M,2.60M,0.10M,-2.50M,,351.50M,289.10M,0.10M,2.60M,-2.50M,1.00M,-2.50M,287.60M,66.10M,221.50M,221.50M,220.73M,331.30M,41.10M,290.20M,0.39,,,0.3887,0.39,0.38,,,0.3787,0.38,573.90M,576.10M,0.25
2020-06,1.509B,1.509B,837.40M,671.60M,355.30M,-0.30M,2.40M,0.10M,-2.30M,,355.30M,316.30M,0.10M,2.40M,-2.30M,-0.30M,-2.30M,313.70M,74.80M,238.90M,238.90M,239.13M,356.80M,40.70M,316.10M,0.42,,,0.4204,0.42,0.42,,,0.4204,0.42,573.20M,575.00M,0.25
2020-03,1.367B,1.367B,730.20M,636.80M,365.90M,0.40M,2.20M,0.10M,-2.10M,,365.90M,270.90M,0.10M,2.20M,-2.10M,0.40M,-2.10M,269.20M,66.60M,202.60M,202.60M,202.30M,310.00M,38.60M,271.40M,0.35,,,0.3495,0.35,0.35,,,0.3495,0.35,573.90M,575.30M,0.25
2019-12,1.277B,1.277B,678.50M,598.40M,359.90M,0.40M,2.60M,0.10M,-2.50M,,359.90M,238.50M,0.10M,2.60M,-2.50M,0.40M,-2.50M,236.40M,57.70M,178.70M,178.70M,178.40M,276.90M,37.90M,239.00M,0.31,,,0.3095,0.31,0.31,,,0.3095,0.31,574.10M,575.60M,0.22
2019-09,1.379B,1.379B,728.00M,651.10M,369.20M,0.00,3.60M,0.10M,-3.50M,,369.20M,281.90M,0.10M,3.60M,-3.50M,0.00,-3.50M,278.40M,64.90M,213.50M,213.50M,213.50M,319.30M,37.30M,282.00M,0.37,,,0.37,0.37,0.37,,,0.37,0.37,573.50M,574.40M,0.22
2019-06,1.368B,1.368B,727.20M,641.20M,366.70M,0.50M,3.70M,0.10M,-3.60M,,366.70M,274.50M,0.10M,3.70M,-3.60M,0.50M,-3.60M,271.40M,66.80M,204.60M,204.60M,204.22M,312.20M,37.10M,275.10M,0.36,,,0.3593,0.36,0.36,,,0.3593,0.36,573.20M,574.60M,0.215
2019-03,1.309B,1.309B,684.60M,624.70M,363.60M,0.30M,4.00M,0.10M,-3.90M,,363.60M,261.10M,0.10M,4.00M,-3.90M,0.30M,-3.90M,257.50M,63.40M,194.10M,194.10M,193.87M,297.90M,36.40M,261.50M,0.34,,,0.3396,0.34,0.34,,,0.3396,0.34,572.20M,573.00M,0.215
2018-12,1.232B,1.232B,643.80M,587.80M,354.40M,0.00,3.70M,0.10M,-3.60M,,354.40M,233.40M,0.10M,3.70M,-3.60M,0.00,-3.60M,229.80M,61.00M,168.80M,168.80M,168.80M,269.40M,35.90M,233.50M,0.295,,,0.295,0.295,0.295,,,0.295,0.295,572.10M,572.50M,0.2
2018-09,1.280B,1.280B,664.00M,615.80M,353.80M,0.30M,3.00M,0.10M,-2.90M,,353.80M,262.00M,0.10M,3.00M,-2.90M,0.30M,-2.90M,259.40M,61.80M,197.60M,197.60M,197.37M,297.20M,34.80M,262.40M,0.34,,,0.3396,0.34,0.34,,,0.3396,0.34,574.00M,574.50M,0.2
2018-06,1.268B,1.268B,650.20M,617.70M,349.30M,0.60M,3.20M,0.10M,-3.10M,,349.30M,268.40M,0.10M,3.20M,-3.10M,0.60M,-3.10M,265.90M,54.70M,211.20M,211.20M,210.72M,303.20M,34.10M,269.10M,0.37,,,0.3692,0.37,0.37,,,0.3692,0.37,574.30M,574.50M,0.185
2018-03,1.186B,1.186B,608.20M,577.60M,342.70M,-0.40M,2.70M,0.10M,-2.60M,,342.70M,234.90M,0.10M,2.70M,-2.60M,-0.40M,-2.60M,231.90M,57.60M,174.30M,174.30M,174.60M,268.00M,33.40M,234.60M,0.305,,,0.3055,0.305,0.305,,,0.3055,0.305,575.20M,575.80M,0.185
2017-12,1.088B,1.088B,557.30M,531.20M,327.80M,-0.10M,2.60M,0.10M,-2.50M,,327.80M,203.40M,0.10M,2.60M,-2.50M,-0.10M,-2.50M,200.80M,48.40M,152.40M,152.40M,152.48M,235.70M,32.30M,203.40M,0.265,,,0.2651,0.265,0.265,,,0.2651,0.265,574.60M,575.20M,0.16
2017-09,1.133B,1.133B,576.90M,555.90M,327.50M,0.10M,2.60M,0.10M,-2.50M,,327.50M,228.40M,0.10M,2.60M,-2.50M,0.10M,-2.50M,226.00M,82.90M,143.10M,143.10M,143.04M,261.10M,32.50M,228.60M,0.25,,,0.2499,0.25,0.25,,,0.2499,0.25,575.00M,575.20M,0.16
2017-06,1.122B,1.122B,563.00M,558.50M,321.60M,0.60M,2.20M,0.10M,-2.10M,,321.60M,236.90M,0.10M,2.20M,-2.10M,0.60M,-2.10M,235.40M,86.50M,148.90M,148.90M,148.52M,269.50M,31.90M,237.60M,0.26,,,0.2593,0.26,0.26,,,0.2593,0.26,577.40M,577.60M,0.16
2017-03,1.048B,1.048B,529.70M,518.00M,305.90M,0.40M,1.70M,0.10M,-1.60M,,305.90M,212.10M,0.10M,1.70M,-1.60M,0.40M,-1.60M,210.90M,76.70M,134.20M,134.20M,133.95M,243.30M,30.70M,212.60M,0.23,,,0.2296,0.23,0.23,,,0.2296,0.23,578.48M,578.91M,0.16
2016-12,947.90M,947.90M,476.00M,471.90M,289.60M,0.20M,1.80M,0.10M,-1.70M,,289.60M,182.30M,0.10M,1.80M,-1.70M,0.20M,-1.70M,180.80M,66.00M,114.80M,114.80M,114.67M,211.70M,29.10M,182.60M,0.2,,,0.1998,0.2,0.2,,,0.1998,0.2,577.75M,578.78M,0.15
2016-09,1.013B,1.013B,513.30M,499.80M,297.10M,0.20M,1.80M,0.10M,-1.70M,,297.10M,202.70M,0.10M,1.80M,-1.70M,0.20M,-1.70M,201.20M,74.30M,126.90M,126.90M,126.77M,229.70M,26.70M,203.00M,0.22,,,0.2198,0.22,0.22,,,0.2198,0.22,577.99M,578.30M,0.15
2016-06,1.014B,1.014B,512.70M,501.60M,292.60M,0.20M,1.50M,0.10M,-1.40M,,292.60M,209.00M,0.10M,1.50M,-1.40M,0.20M,-1.40M,207.80M,76.30M,131.50M,131.50M,131.37M,234.10M,24.80M,209.30M,0.23,,,0.2298,0.23,0.225,,,0.2248,0.225,577.84M,578.24M,0.15
2016-03,986.70M,986.70M,495.20M,491.50M,290.20M,-0.10M,1.40M,0.10M,-1.30M,,290.20M,201.30M,0.10M,1.40M,-1.30M,-0.10M,-1.30M,199.90M,73.70M,126.20M,126.20M,126.26M,224.70M,23.40M,201.30M,0.22,,,0.2201,0.22,0.22,,,0.2201,0.22,577.62M,578.25M,0.15
2015-12,922.81M,922.81M,462.27M,460.54M,282.09M,0.741M,1.004M,0.101M,-0.903M,,282.09M,178.45M,0.101M,1.004M,-0.903M,0.741M,-0.903M,178.28M,66.34M,111.94M,111.94M,111.48M,204.99M,25.70M,179.29M,0.195,,,0.1942,0.195,0.195,,,0.1942,0.195,579.12M,580.04M,0.14
2015-09,995.25M,995.25M,493.02M,502.22M,282.38M,0.162M,0.942M,0.137M,-0.805M,,282.38M,219.85M,0.137M,0.942M,-0.805M,0.162M,-0.805M,219.20M,82.71M,136.49M,136.49M,136.39M,241.48M,21.34M,220.15M,0.235,,,0.2348,0.235,0.235,,,0.2348,0.235,579.84M,580.95M,0.14
2015-06,997.83M,997.83M,495.74M,502.09M,276.64M,0.39M,0.797M,0.063M,-0.734M,,276.64M,225.44M,0.063M,0.797M,-0.734M,0.39M,-0.734M,225.10M,84.74M,140.36M,140.36M,140.11M,245.91M,20.01M,225.90M,0.24,,,0.2396,0.24,0.24,,,0.2396,0.24,582.35M,583.66M,0.14
2015-03,953.32M,953.32M,469.27M,484.05M,280.39M,0.108M,0.358M,0.099M,-0.259M,,280.39M,203.66M,0.099M,0.358M,-0.259M,0.108M,-0.259M,203.51M,75.91M,127.61M,127.61M,127.54M,223.41M,19.54M,203.87M,0.215,,,0.2149,0.215,0.215,,,0.2149,0.215,590.48M,591.87M,0.14
2014-12,926.25M,926.25M,458.69M,467.56M,278.78M,0.242M,0.324M,0.122M,-0.202M,,278.78M,188.78M,0.122M,0.324M,-0.202M,0.242M,-0.202M,188.82M,70.43M,118.39M,118.39M,118.24M,207.94M,18.80M,189.14M,0.2,,,0.1997,0.2,0.2,,,0.1997,0.2,592.07M,593.60M,0.125
2014-09,980.81M,980.81M,482.12M,498.69M,286.13M,0.31M,0.271M,0.388M,0.117M,,286.13M,212.56M,0.388M,0.271M,0.117M,0.31M,0.117M,212.99M,79.67M,133.31M,133.31M,133.12M,231.68M,18.42M,213.26M,0.225,,,0.2247,0.225,0.225,,,0.2247,0.225,593.19M,594.76M,0.125
2014-06,949.94M,949.94M,467.27M,482.67M,276.02M,0.196M,0.194M,0.129M,-0.065M,,276.02M,206.65M,0.129M,0.194M,-0.065M,0.196M,-0.065M,206.78M,76.27M,130.51M,130.51M,130.39M,225.02M,18.04M,206.98M,0.22,,,0.2198,0.22,0.22,,,0.2198,0.22,593.38M,595.16M,0.125
2014-03,876.50M,876.50M,428.02M,448.48M,269.84M,0.216M,0.126M,0.12M,-0.006M,,269.84M,178.64M,0.12M,0.126M,-0.006M,0.216M,-0.006M,178.84M,66.91M,111.93M,111.93M,111.80M,196.38M,17.41M,178.97M,0.19,,,0.1898,0.19,0.19,,,0.1898,0.19,593.28M,594.99M,0.125
2013-12,813.76M,813.76M,402.31M,411.45M,254.39M,0.075M,0.052M,0.191M,0.139M,,254.39M,157.06M,0.191M,0.052M,0.139M,0.075M,0.139M,157.27M,58.04M,99.23M,99.23M,99.18M,174.02M,16.69M,157.33M,0.165,,,0.1649,0.165,0.165,,,0.1649,0.165,593.50M,595.26M,0.125
2013-09,858.42M,858.42M,415.03M,443.40M,254.96M,0.112M,0.025M,0.118M,0.093M,,254.96M,188.44M,0.118M,0.025M,0.093M,0.112M,0.093M,188.64M,69.29M,119.35M,119.35M,119.28M,205.04M,16.38M,188.67M,0.2,,,0.1999,0.2,0.2,,,0.1999,0.2,593.69M,595.43M,0.125
2013-06,847.60M,847.60M,404.88M,442.72M,250.75M,0.243M,0.003M,0.168M,0.165M,,250.75M,191.97M,0.168M,0.003M,0.165M,0.243M,0.165M,192.38M,71.37M,121.01M,121.01M,120.86M,208.33M,15.95M,192.38M,0.205,,,0.2047,0.205,0.205,,,0.2047,0.205,593.56M,595.44M,0.1
2013-03,806.33M,806.33M,384.45M,421.88M,247.33M,0.213M,0.034M,0.447M,0.413M,,247.33M,174.55M,0.447M,0.034M,0.413M,0.213M,0.413M,175.17M,66.12M,109.05M,109.05M,108.92M,190.38M,15.18M,175.21M,0.185,,,0.1848,0.185,0.185,,,0.1848,0.185,593.29M,595.30M,0.05
2012-12,757.24M,757.24M,366.41M,390.82M,232.91M,0.137M,0.00,0.107M,0.107M,,232.91M,157.91M,0.107M,0.00,0.107M,0.137M,0.107M,158.15M,59.44M,98.72M,98.72M,98.63M,172.60M,14.45M,158.15M,0.165,,,0.1649,0.165,0.165,,,0.1649,0.165,592.93M,594.71M,0.105
2012-09,802.58M,802.58M,388.20M,414.38M,238.81M,0.158M,0.00,0.117M,0.117M,,238.81M,175.56M,0.117M,0.00,0.117M,0.158M,0.117M,175.84M,66.52M,109.32M,109.32M,109.22M,189.42M,13.59M,175.84M,0.185,,,0.1848,0.185,0.185,,,0.1848,0.185,592.48M,594.36M,0.095
2012-06,804.89M,804.89M,389.74M,415.15M,236.54M,0.282M,0.00,0.144M,0.144M,,236.54M,178.61M,0.144M,0.00,0.144M,0.282M,0.144M,179.04M,66.73M,112.31M,112.31M,112.13M,192.48M,13.45M,179.04M,0.19,,,0.1897,0.19,0.19,,,0.1897,0.19,592.22M,594.26M,0.085
2012-03,768.88M,768.88M,374.70M,394.18M,232.97M,-0.174M,0.00,0.096M,0.096M,,232.97M,161.21M,0.096M,0.00,0.096M,-0.174M,0.096M,161.13M,60.94M,100.19M,100.19M,100.30M,173.69M,12.56M,161.13M,0.17,,,0.1702,0.17,0.17,,,0.1702,0.17,591.08M,593.85M,0.085
2011-12,697.80M,697.80M,340.63M,357.18M,216.55M,-0.011M,,0.154M,0.154M,,216.55M,140.63M,0.154M,,0.154M,-0.011M,0.154M,140.77M,53.30M,87.47M,87.47M,87.48M,152.72M,11.82M,140.90M,0.145,,,0.145,0.145,0.145,,,0.145,0.145,590.47M,592.37M,0.07
2011-09,726.74M,726.74M,349.36M,377.38M,222.26M,0.101M,,0.094M,0.094M,,222.26M,155.12M,0.094M,,0.094M,0.101M,0.094M,155.32M,58.52M,96.80M,96.80M,96.74M,166.35M,11.23M,155.12M,0.165,0.0,,0.1649,0.165,0.165,0.0,,0.1649,0.165,590.29M,591.79M,0.065
2011-06,701.73M,701.73M,335.50M,366.23M,215.87M,-0.259M,,0.076M,0.076M,,215.87M,150.36M,0.076M,,0.076M,-0.259M,0.076M,150.18M,56.07M,94.11M,94.11M,94.27M,161.40M,11.03M,150.36M,0.16,0.0,,0.1603,0.16,0.16,0.0,,0.1603,0.16,589.95M,591.83M,0.065
2011-03,640.58M,640.58M,307.20M,333.38M,204.69M,-0.025M,,0.148M,0.148M,,204.69M,128.69M,0.148M,,0.148M,-0.025M,0.148M,128.81M,49.26M,79.55M,79.55M,79.56M,139.32M,10.63M,128.69M,0.135,0.0,,0.135,0.135,0.135,0.0,,0.135,0.135,589.72M,590.86M,0.125
2010-12,573.77M,573.77M,275.15M,298.62M,191.78M,0.068M,,0.238M,0.238M,,191.78M,106.84M,0.238M,,0.238M,0.068M,0.238M,107.14M,41.98M,65.16M,65.16M,65.12M,117.11M,10.27M,106.84M,0.11,,,0.1099,0.11,0.11,,,0.1099,0.11,589.73M,589.73M,0.0
2010-09,603.75M,603.75M,291.10M,312.65M,192.14M,0.002M,,0.192M,0.192M,,192.14M,120.51M,0.192M,,0.192M,0.002M,0.192M,120.70M,45.71M,74.99M,74.99M,74.99M,130.55M,10.04M,120.51M,0.125,0.0,,0.125,0.125,0.125,0.0,,0.125,0.125,589.72M,589.72M,0.105
2010-06,571.18M,571.18M,273.52M,297.66M,185.78M,-0.039M,,0.289M,0.289M,,185.78M,111.88M,0.289M,,0.289M,-0.039M,0.289M,112.12M,42.96M,69.17M,69.17M,69.19M,122.01M,10.13M,111.88M,0.115,0.0,,0.115,0.115,0.115,0.0,,0.115,0.115,589.72M,590.32M,0.0
2010-03,520.77M,520.77M,254.86M,265.91M,175.41M,-0.067M,,0.233M,0.233M,,175.41M,90.50M,0.233M,,0.233M,-0.067M,0.233M,90.67M,34.64M,56.03M,56.03M,56.08M,100.81M,10.30M,90.50M,0.095,0.0,,0.0951,0.095,0.095,0.0,,0.0951,0.095,589.72M,589.72M,0.1
2009-12,476.75M,476.75M,239.04M,237.72M,166.62M,-0.06M,,0.385M,0.385M,,166.62M,71.09M,0.385M,,0.385M,-0.06M,0.385M,71.42M,26.88M,44.54M,44.54M,44.57M,80.98M,9.89M,71.09M,0.075,0.0,,0.0751,0.075,0.075,0.0,,0.0751,0.075,591.36M,591.36M,0.0
2009-09,489.34M,489.34M,244.77M,244.57M,168.12M,-0.038M,,0.592M,0.592M,,168.12M,76.45M,0.592M,,0.592M,-0.038M,0.592M,77.00M,29.41M,47.59M,47.59M,47.61M,86.25M,9.80M,76.45M,0.08,0.0,,0.08,0.08,0.08,0.0,,0.08,0.08,594.12M,594.12M,0.0925
2009-06,474.89M,474.89M,232.39M,242.50M,172.14M,-0.424M,,0.464M,0.464M,0.424M,172.57M,69.94M,0.464M,,0.464M,-0.424M,0.464M,70.40M,26.86M,43.54M,43.54M,43.80M,80.02M,10.08M,69.94M,0.0725,0.0,,0.0729,0.0725,0.0725,0.0,,0.0729,0.0725,594.12M,594.12M,0.0
2009-03,489.35M,489.35M,230.70M,258.65M,179.91M,-0.328M,,0.256M,0.256M,,179.91M,78.74M,0.256M,,0.256M,-0.328M,0.256M,78.67M,29.97M,48.69M,48.69M,48.90M,89.06M,10.32M,78.74M,0.0825,0.0,,0.0828,0.0825,0.0825,0.0,,0.0828,0.0825,594.12M,594.12M,0.0875
2008-12,544.96M,544.96M,253.77M,291.19M,191.92M,0.032M,,0.295M,0.295M,,191.92M,99.27M,0.295M,,0.295M,0.032M,0.295M,99.60M,37.06M,62.54M,62.54M,62.52M,109.27M,9.998M,99.27M,0.105,0.0,,0.105,0.105,0.105,0.0,,0.105,0.105,594.10M,594.10M,0.0
2008-09,625.04M,625.04M,294.15M,330.88M,213.31M,0.046M,,0.167M,0.167M,,213.31M,117.57M,0.167M,,0.167M,0.046M,0.167M,117.79M,44.88M,72.91M,72.91M,72.88M,127.45M,9.873M,117.57M,0.1225,0.0,,0.1225,0.1225,0.1225,0.0,,0.1225,0.1225,594.29M,594.29M,0.0675
2008-06,604.22M,604.22M,286.83M,317.39M,193.90M,-0.141M,,0.247M,0.247M,,193.90M,123.49M,0.247M,,0.247M,-0.141M,0.247M,123.60M,47.43M,76.17M,76.17M,76.25M,133.28M,9.789M,123.49M,0.1275,0.0,,0.1276,0.1275,0.1275,0.0,,0.1276,0.1275,596.45M,596.45M,0.0
2008-03,566.21M,566.21M,269.58M,296.63M,186.56M,-0.104M,,0.221M,0.221M,,186.56M,110.07M,0.221M,,0.221M,-0.104M,0.221M,110.18M,42.09M,68.09M,68.09M,68.16M,119.61M,9.541M,110.07M,0.115,0.0,,0.1151,0.115,0.115,0.0,,0.1151,0.115,596.48M,596.48M,0.0625
2007-12,519.21M,519.21M,254.64M,264.57M,172.96M,0.014M,,,,-0.014M,172.94M,91.62M,,,,0.014M,,91.96M,35.76M,56.19M,56.19M,56.18M,101.01M,9.39M,91.62M,0.095,0.0,,0.095,0.095,0.095,0.0,,0.095,0.095,598.34M,598.34M,0.0
