,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,221.50M,-1.00M,-1.00M,38.40M,2.70M,41.10M,41.10M,2.60M,1.80M,1.40M,,3.20M,48.40M,63.60M,36.30M,-1.40M,,-125.30M,21.60M,289.00M,-33.50M,3.50M,-30.00M,0.00,,-0.10M,-30.10M,0.00,0.00,,0.00,0.00,-143.40M,-143.40M,12.00M,,-131.40M,201.50M,127.50M,2.80M,331.80M,,40.00M,-40.00M,0.00,180.10M,1.80M
2020-06,238.90M,0.30M,0.30M,38.00M,2.70M,40.70M,40.70M,0.40M,2.10M,1.30M,,3.40M,-45.80M,-51.40M,-7.30M,2.40M,,69.10M,-33.00M,250.70M,-41.20M,3.00M,-38.20M,0.00,,1.20M,-37.00M,-50.00M,-50.00M,,0.00,0.00,-143.20M,-143.20M,18.90M,,-174.30M,160.70M,39.40M,1.40M,201.50M,,545.00M,-595.00M,0.00,11.10M,1.90M
2020-03,202.60M,-0.40M,-0.40M,37.60M,1.00M,38.60M,38.60M,0.50M,1.90M,1.60M,,3.50M,-101.40M,10.60M,-4.70M,33.20M,,58.60M,-3.70M,241.10M,-48.80M,2.10M,-46.70M,-125.00M,,,-171.70M,110.00M,110.00M,,-52.00M,-52.00M,-143.60M,-143.60M,7.40M,,-78.20M,174.90M,-8.80M,-5.40M,160.70M,,325.00M,-215.00M,-52.00M,10.20M,2.20M
2019-12,178.70M,-0.40M,-0.40M,36.80M,1.10M,37.90M,37.90M,12.80M,0.60M,1.40M,,2.00M,77.60M,-7.50M,-12.20M,-20.20M,,-16.30M,21.40M,252.40M,-62.10M,1.60M,-60.50M,0.00,,-0.10M,-60.60M,-100.00M,-100.00M,,0.00,0.00,-126.30M,-126.30M,15.50M,,-210.80M,191.20M,-19.00M,2.70M,174.90M,,165.00M,-265.00M,0.00,60.10M,2.60M
2019-09,213.50M,0.00,0.00,36.30M,1.00M,37.30M,37.30M,-0.10M,1.80M,1.40M,,3.20M,-1.60M,-12.60M,26.70M,-13.40M,,4.30M,3.40M,257.30M,-61.20M,1.50M,-59.70M,0.00,,0.20M,-59.50M,-55.00M,-55.00M,,0.00,0.00,-126.20M,-126.20M,2.90M,,-178.30M,175.00M,19.50M,-3.30M,191.20M,,220.00M,-275.00M,0.00,60.30M,3.50M
2019-06,204.60M,-0.50M,-0.50M,36.10M,1.00M,37.10M,37.10M,1.70M,1.10M,1.30M,,2.40M,-26.90M,-50.80M,13.10M,-6.90M,,-45.70M,-117.20M,128.10M,-68.70M,1.90M,-66.80M,0.00,,-0.10M,-66.90M,30.00M,30.00M,,0.00,0.00,-123.10M,-123.10M,22.00M,,-71.10M,185.40M,-9.90M,-0.50M,175.00M,,315.00M,-285.00M,0.00,110.60M,3.80M
2019-03,194.10M,-0.30M,-0.30M,35.40M,1.00M,36.40M,36.40M,0.60M,2.00M,1.60M,,3.60M,-79.50M,-13.50M,-17.70M,30.10M,,51.10M,-29.50M,204.90M,-54.40M,1.60M,-52.80M,0.00,,0.10M,-52.70M,-30.00M,-30.00M,,0.00,0.00,-123.00M,-123.00M,18.10M,,-134.90M,167.20M,17.30M,0.90M,185.40M,,210.00M,-240.00M,0.00,11.70M,4.00M
2018-12,168.80M,0.00,0.00,34.80M,1.10M,35.90M,35.90M,9.70M,3.00M,1.30M,,4.30M,51.70M,-88.40M,20.80M,-20.60M,,-4.20M,-40.70M,178.00M,-79.20M,1.20M,-78.00M,0.00,,3.00M,-75.00M,110.00M,110.00M,,-62.60M,-62.60M,-114.40M,-114.40M,2.10M,,-64.90M,129.70M,38.10M,-0.60M,167.20M,,340.00M,-230.00M,-62.60M,57.30M,3.70M
2018-09,197.60M,-0.30M,-0.30M,33.80M,1.00M,34.80M,34.80M,4.70M,2.40M,1.30M,,3.70M,-40.00M,-29.90M,37.10M,-18.30M,,-4.80M,-55.90M,184.60M,-36.50M,1.50M,-35.00M,-3.70M,,-6.30M,-45.00M,-35.00M,-35.00M,,0.00,0.00,-114.80M,-114.80M,5.70M,,-144.10M,135.50M,-4.50M,-1.30M,129.70M,,225.00M,-260.00M,0.00,61.20M,3.00M
2018-06,211.20M,-0.60M,-0.60M,33.10M,1.00M,34.10M,34.10M,7.30M,1.40M,1.10M,,2.50M,-49.60M,-33.80M,28.70M,-8.40M,,-39.50M,-102.60M,151.90M,-29.10M,4.10M,-25.00M,,,0.00,-25.00M,20.00M,20.00M,,-40.40M,-40.40M,-106.30M,-106.30M,1.80M,,-124.90M,137.10M,2.00M,-3.60M,135.50M,,235.00M,-215.00M,-40.40M,87.20M,3.20M
