,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,900.12M,900.12M,1.952B,1.952B,3.419B,3.419B,1.104B,,7.375B,,,,,3.523B,3.523B,-1.357B,2.166B,1.830B,1.449B,3.279B,,67.59M,587.32M,6.100B,13.48B,,4.030B,113.98M,,4.144B,,4.144B,206.34M,206.34M,1.626B,5.977B,2.701B,779.47M,3.480B,214.74M,,214.74M,248.49M,20.69M,520.68M,4.464B,10.44B,,144.29M,3.923B,113.25M,,,-1.167B,3.014B,,AOR,
2020-06,983.76M,983.76M,1.823B,1.823B,3.352B,3.352B,1.132B,,7.291B,,,,,3.407B,3.407B,-1.275B,2.131B,1.772B,1.423B,3.195B,,76.15M,570.83M,5.973B,13.26B,,3.745B,113.97M,,3.859B,,3.859B,489.03M,489.03M,1.621B,5.969B,2.728B,756.35M,3.484B,210.00M,,210.00M,249.65M,21.61M,480.42M,4.424B,10.39B,,144.26M,3.810B,107.82M,,,-1.212B,2.849B,,AOR,
2020-03,354.47M,354.47M,2.705B,2.705B,3.699B,3.699B,1.234B,,7.993B,,,,,3.516B,3.516B,-1.286B,2.230B,2.207B,1.469B,3.676B,,61.57M,491.39M,6.458B,14.45B,,4.067B,114.48M,,4.182B,,4.182B,908.86M,908.86M,1.490B,6.581B,2.726B,803.56M,3.530B,211.16M,,211.16M,249.89M,20.33M,456.10M,4.447B,11.03B,,144.25M,4.488B,103.88M,,,-1.333B,3.403B,,AOR,
2019-12,276.99M,276.99M,2.635B,2.635B,3.831B,3.831B,1.195B,,7.939B,0.00,128.35M,789.36M,1.580B,1.076B,3.574B,-1.283B,2.291B,2.294B,1.569B,3.862B,,54.85M,498.96M,6.707B,14.65B,,4.106B,110.85M,,4.217B,,4.217B,624.04M,624.04M,1.553B,6.394B,2.802B,825.57M,3.628B,232.90M,,232.90M,249.83M,20.79M,445.65M,4.556B,10.95B,,145.38M,4.572B,98.78M,,,-1.141B,3.675B,,AOR,
2019-09,451.28M,451.28M,2.740B,2.740B,3.718B,3.718B,1.149B,,8.059B,,,,,3.509B,3.509B,-1.342B,2.167B,2.278B,1.524B,3.802B,,30.30M,455.12M,6.455B,14.51B,,4.196B,110.78M,,4.307B,,4.307B,622.13M,622.13M,1.444B,6.373B,2.796B,797.17M,3.593B,236.06M,,236.06M,202.19M,22.55M,444.34M,4.476B,10.85B,,145.29M,4.675B,90.56M,,,-1.269B,3.642B,,AOR,Restated
2019-06,562.55M,562.55M,2.837B,2.837B,3.751B,3.751B,1.034B,,8.185B,,,,,3.394B,3.394B,-1.342B,2.052B,2.329B,1.518B,3.847B,,27.70M,528.20M,6.455B,14.64B,,4.065B,111.38M,,4.176B,,4.176B,1.011B,1.011B,1.311B,6.498B,2.871B,724.68M,3.596B,212.31M,,212.31M,208.01M,22.65M,437.16M,4.453B,10.95B,,146.08M,4.630B,83.95M,,,-1.195B,3.665B,,AOR,Restated
2019-03,356.92M,356.92M,2.742B,2.742B,3.685B,3.685B,1.103B,,7.886B,,,,,3.246B,3.246B,-1.248B,1.998B,2.192B,1.450B,3.642B,,21.18M,522.62M,6.184B,14.07B,,4.058B,111.36M,,4.170B,,4.170B,1.032B,1.032B,1.343B,6.545B,2.389B,716.68M,3.106B,194.18M,,194.18M,222.42M,21.90M,429.85M,3.952B,10.50B,,146.06M,4.517B,77.42M,,,-1.190B,3.551B,,AOR,Restated
2018-12,333.55M,333.55M,2.494B,2.494B,3.609B,3.609B,1.139B,,7.576B,0.00,105.96M,724.78M,1.389B,,2.220B,-1.193B,1.027B,2.129B,1.412B,3.540B,,29.51M,510.19M,5.107B,12.68B,,3.996B,105.37M,,4.101B,,4.101B,711.15M,711.15M,1.088B,5.901B,2.432B,0.00,2.432B,196.84M,,196.84M,235.23M,21.54M,446.11M,3.310B,9.211B,,145.94M,4.341B,78.38M,,,-1.115B,3.450B,,AOR,Restated
2018-09,359.10M,359.10M,2.656B,2.656B,3.537B,3.537B,999.00M,,7.550B,,,,,,2.116B,-1.178B,937.74M,2.098B,1.420B,3.518B,,22.90M,627.52M,5.107B,12.66B,,4.036B,105.67M,23.96M,4.166B,,4.166B,450.49M,450.49M,1.045B,5.661B,2.463B,,2.463B,188.47M,,188.47M,200.56M,52.02M,480.37M,3.333B,8.994B,,146.76M,4.349B,77.56M,,,-962.28M,3.611B,,AOR,Restated
2018-06,355.14M,355.14M,2.670B,2.670B,3.485B,3.485B,1.014B,,7.523B,,,,,,2.037B,-1.118B,918.58M,2.143B,1.356B,3.499B,,25.48M,600.12M,5.043B,12.57B,,3.831B,105.66M,17.78M,3.955B,,3.955B,686.42M,686.42M,1.016B,5.657B,2.491B,,2.491B,174.56M,,174.56M,200.14M,50.36M,482.05M,3.347B,9.004B,,146.75M,4.236B,72.21M,,,-943.35M,3.512B,,AOR,Restated
