,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,4.370B,4.370B,2.842B,1.528B,1.140B,-10.97M,5.633M,25.79M,-25.79M,1.215B,313.18M,25.79M,-25.79M,10.27M,-25.79M,297.66M,64.75M,232.92M,-5.387M,,227.53M,241.49M,392.55M,69.10M,323.45M,,1.61,-0.03,,1.669,1.58,,1.61,-0.04,,1.669,1.57,,144.27M,145.04M,0.79,,AOR,
2020-06,3.823B,3.823B,2.533B,1.290B,971.59M,-531.78M,11.30M,25.46M,-25.46M,1.050B,240.86M,25.46M,-25.46M,-519.84M,-25.46M,-304.44M,59.06M,-363.50M,-200.87M,,-564.37M,24.70M,-212.24M,63.54M,-278.97M,,-2.52,-1.392,,0.1709,-2.52,,-2.52,-1.392,,0.1709,-2.52,,144.26M,144.26M,0.79,,AOR,
2020-03,4.560B,4.560B,3.059B,1.501B,1.233B,-1.439M,7.30M,20.97M,-20.97M,1.310B,190.30M,20.97M,-20.97M,9.609M,-20.97M,178.94M,42.41M,136.54M,,,136.54M,137.63M,270.36M,70.44M,199.91M,,0.94,,,0.9476,0.94,,0.94,,,0.9475,0.94,,145.05M,145.62M,0.79,,AOR,
2019-12,6.150B,6.150B,4.214B,1.936B,1.520B,-236.91M,4.475M,22.14M,-22.14M,1.608B,327.99M,22.14M,-22.14M,-233.64M,-22.14M,72.21M,18.58M,53.63M,,,8.918M,229.57M,177.67M,83.32M,94.35M,,0.06,,,1.271,0.06,,0.06,,,1.264,0.06,,145.32M,146.08M,0.7625,,AOR,
2019-09,4.525B,4.525B,3.020B,1.505B,1.176B,0.00,1.192M,26.45M,-26.45M,1.243B,262.68M,26.45M,-26.45M,47.66M,-26.45M,283.88M,71.62M,212.26M,15.23M,,227.49M,212.26M,376.00M,65.67M,310.33M,,1.46,0.10,,1.46,1.56,,1.45,0.10,,1.45,1.56,,145.57M,146.19M,0.7625,,AOR,Restated
2019-06,4.458B,4.458B,2.975B,1.483B,1.127B,0.00,5.513M,23.26M,-23.26M,1.195B,287.21M,23.26M,-23.26M,18.25M,-23.26M,282.20M,72.68M,209.52M,14.91M,,224.43M,209.52M,368.14M,59.32M,305.46M,,1.43,0.1021,,1.43,1.43,,1.43,0.1016,,1.43,1.43,,146.08M,146.74M,0.7625,,AOR,Restated
2019-03,4.737B,4.737B,3.229B,1.508B,1.204B,0.00,3.969M,23.88M,-23.88M,1.270B,238.32M,23.88M,-23.88M,-2.922M,-23.88M,211.51M,51.26M,160.25M,,,160.25M,160.25M,297.37M,61.98M,235.40M,,1.10,,,1.10,1.10,,1.09,,,1.09,1.09,,145.98M,146.69M,0.7625,,AOR,Restated
2018-12,4.604B,4.604B,3.062B,1.542B,1.214B,,5.841M,26.26M,-26.26M,1.284B,258.54M,26.26M,-26.26M,22.00M,-26.26M,254.29M,67.59M,186.70M,,,186.70M,186.70M,344.28M,63.74M,280.54M,,1.28,,,1.28,1.28,,1.27,,,1.27,1.27,,146.39M,147.00M,0.72,,AOR,Restated
2018-09,4.723B,4.723B,3.239B,1.484B,1.119B,,4.939M,25.08M,-25.08M,1.185B,298.95M,25.08M,-25.08M,17.87M,-25.08M,291.74M,71.51M,220.23M,,,220.23M,220.23M,377.90M,61.08M,316.82M,,1.50,,,1.50,1.50,,1.49,,,1.49,1.49,,146.76M,147.45M,0.72,,AOR,Restated
2018-06,4.822B,4.822B,3.300B,1.522B,1.148B,,3.666M,26.48M,-26.48M,1.210B,311.25M,26.48M,-26.48M,15.50M,-26.48M,300.27M,73.30M,226.97M,,,226.97M,226.97M,385.20M,58.45M,326.75M,,1.55,,,1.55,1.55,,1.54,,,1.54,1.54,,146.75M,147.26M,0.72,,AOR,Restated
2018-03,4.586B,4.586B,3.150B,1.436B,1.134B,,2.701M,24.11M,-24.11M,1.195B,240.97M,24.11M,-24.11M,12.46M,-24.11M,229.32M,52.74M,176.58M,,,176.58M,176.58M,311.79M,58.36M,253.43M,,1.20,,,1.20,1.20,,1.20,,,1.20,1.20,,146.73M,147.32M,0.72,,AOR,Restated
2017-12,4.207B,4.207B,2.923B,1.284B,1.010B,,4.75M,18.22M,-18.22M,1.065B,218.84M,18.22M,-18.22M,21.38M,-18.22M,222.00M,113.82M,108.18M,,,108.18M,108.18M,290.28M,50.05M,240.22M,,0.74,,,0.74,0.74,,0.73,,,0.73,0.73,,146.62M,147.18M,0.675,,AOR,Restated
2017-09,4.096B,4.096B,2.869B,1.227B,931.50M,,3.508M,9.038M,-9.038M,975.28M,251.61M,9.038M,-9.038M,3.787M,-9.038M,246.36M,87.91M,158.44M,,,158.44M,158.44M,295.67M,40.28M,255.39M,,1.08,,,1.08,1.08,,1.08,,,1.08,1.08,,146.72M,147.22M,0.675,,AOR,Restated
2017-06,4.100B,4.100B,2.860B,1.240B,906.94M,,2.546M,7.446M,-7.446M,948.72M,290.99M,7.446M,-7.446M,13.59M,-7.446M,297.14M,107.16M,189.97M,,,189.97M,189.97M,343.82M,39.23M,304.58M,,1.29,,,1.29,1.29,,1.29,,,1.29,1.29,,147.08M,147.65M,0.675,,AOR,Restated
