,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,232.92M,0.00,0.00,69.10M,69.10M,0.00,6.42M,0.213M,6.633M,,,,,,,197.82M,-18.34M,488.12M,,-31.07M,4.837M,-26.23M,-43.67M,,,-69.90M,,-380.25M,-380.25M,,0.00,0.00,-113.97M,-113.97M,-0.964M,-6.675M,-501.85M,,983.76M,-83.64M,0.00,900.12M,,,3.513M,-383.76M,0.00,,AOR,
2020-06,-377.69M,11.36M,11.36M,63.54M,63.54M,506.72M,4.405M,0.383M,516.56M,,,,,,,638.12M,31.67M,878.33M,,-28.94M,3.506M,-25.44M,360.74M,,,324.17M,,-458.40M,-458.40M,,0.00,0.00,-114.48M,-114.48M,-0.449M,-7.486M,-580.81M,,354.47M,621.68M,7.607M,983.76M,,,566.20M,-1.025B,0.00,,AOR,
2020-03,136.54M,,,70.44M,70.44M,,5.449M,-0.221M,0.176M,,,,,,,-138.32M,,74.06M,,-45.41M,3.332M,-42.08M,6.609M,,,-35.47M,,261.24M,261.24M,,-95.72M,-95.72M,-110.85M,-110.85M,-0.341M,-0.871M,53.46M,,276.99M,92.04M,-14.57M,354.47M,,,1.319B,-1.058B,-95.72M,,AOR,
2019-12,53.63M,10.65M,-28.01M,83.32M,83.32M,81.97M,14.74M,-0.866M,-27.06M,,,,,,,94.11M,-67.35M,146.80M,,-121.55M,14.49M,-107.06M,-70.76M,,,-171.81M,,-39.81M,-39.81M,,-1.135M,-1.135M,-110.78M,-110.78M,-3.918M,,-156.52M,,451.28M,-181.53M,7.248M,276.99M,,,1.108B,-1.148B,-1.135M,,AOR,
2019-09,212.26M,3.811M,3.811M,65.67M,65.67M,0.00,5.903M,-0.068M,5.835M,,,,,,,142.32M,13.94M,443.84M,,-74.14M,1.393M,-72.75M,146.86M,,,72.60M,,-434.05M,-434.05M,,-73.05M,-73.05M,-111.38M,-111.38M,-0.124M,,-618.61M,,562.55M,-102.17M,-9.106M,451.28M,,,955.48M,-1.390B,-73.05M,,AOR,Restated
2019-06,194.95M,27.04M,27.04M,59.32M,59.32M,0.00,5.397M,-0.174M,-19.62M,,,,,,,-73.26M,53.41M,239.64M,,-56.56M,6.153M,-50.41M,-225.06M,,,-279.96M,,355.37M,355.37M,,0.00,0.00,-111.36M,-111.36M,-0.532M,,243.49M,,356.92M,203.17M,2.454M,562.55M,,,1.623B,-1.268B,0.00,,AOR,Restated
2019-03,160.25M,,,61.98M,61.98M,,6.01M,-3.812M,27.04M,,,,,,,-189.73M,,61.73M,,-45.62M,2.735M,-42.89M,-141.15M,,,-184.04M,,257.89M,257.89M,,0.00,0.00,-105.37M,-105.37M,-6.839M,,145.68M,,333.55M,23.37M,0.007M,356.92M,,,1.350B,-1.092B,0.00,,AOR,Restated
2018-12,186.70M,0.00,0.00,63.74M,63.74M,,5.299M,-1.153M,-10.76M,,,,,,,-40.42M,,219.64M,,-140.48M,,-125.82M,-124.38M,,,-250.19M,,243.98M,243.98M,,-90.06M,-90.06M,-105.67M,-105.67M,-4.367M,,13.22M,,359.10M,-17.34M,-8.219M,333.55M,,,1.657B,-1.413B,-90.06M,,AOR,Restated
2018-09,220.23M,,,61.08M,61.08M,,6.382M,-0.48M,5.902M,,,,,,,183.24M,,470.45M,,-26.80M,,-26.80M,-71.44M,,,-98.24M,,-257.58M,-257.58M,,-1.918M,-1.918M,-105.66M,-105.66M,-1.009M,,-366.17M,,355.14M,6.043M,-2.079M,359.10M,,,1.086B,-1.344B,-1.918M,,AOR,Restated
2018-06,226.97M,0.00,0.00,58.45M,58.45M,,5.349M,-0.082M,5.267M,,,,,,,26.02M,,316.71M,,-33.51M,,-33.51M,-43.96M,,,-77.47M,,-94.07M,-94.07M,,,,-105.65M,-105.65M,-0.675M,,-200.39M,,325.97M,38.84M,-9.677M,355.14M,,,1.119B,-1.214B,,,AOR,Restated
