,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,666.61M,666.61M,82.28M,584.32M,123.74M,35.93M,159.67M,250.93M,4.438M,,-0.013M,5.325M,,-5.325M,,415.04M,169.28M,,5.325M,-5.325M,1.753M,-5.325M,165.71M,4.083M,161.63M,,,161.63M,161.64M,208.72M,37.68M,171.04M,0.59,,,0.59,0.59,0.58,,,0.58,0.58,274.00M,280.02M
2020-06,638.42M,638.42M,75.22M,563.20M,120.48M,35.64M,156.12M,250.82M,4.59M,,0.275M,5.914M,,-5.914M,,411.53M,151.68M,,5.914M,-5.914M,4.905M,-5.914M,150.67M,19.38M,131.29M,,,131.29M,131.05M,193.96M,37.38M,156.58M,0.48,,,0.4791,0.48,0.47,,,0.4691,0.47,273.43M,279.08M
2020-03,617.96M,617.96M,74.46M,543.49M,125.74M,33.59M,159.34M,241.67M,4.206M,,1.067M,4.637M,,-4.637M,,405.21M,138.28M,,4.637M,-4.637M,-3.467M,-4.637M,130.18M,6.192M,123.99M,,,123.99M,122.97M,168.84M,34.03M,134.82M,0.45,,,0.4463,0.45,0.44,,,0.4364,0.44,273.48M,279.26M
2019-12,599.56M,599.56M,73.33M,526.23M,127.27M,42.09M,169.36M,235.37M,2.787M,,-9.809M,4.222M,,5.287M,,407.52M,118.71M,,4.222M,5.287M,-18.57M,5.287M,105.42M,-554.25M,659.68M,,,659.68M,666.84M,137.31M,27.67M,109.65M,2.41,,,2.436,2.41,2.36,,,2.386,2.36,273.28M,279.61M
2019-09,579.60M,579.60M,60.98M,518.63M,121.37M,33.20M,154.57M,240.54M,2.874M,,0.186M,4.24M,,-4.24M,,397.99M,120.64M,,4.24M,-4.24M,0.308M,-4.24M,116.71M,15.19M,101.51M,,,101.51M,101.35M,152.93M,31.98M,120.95M,0.37,,,0.3694,0.37,0.36,,,0.3594,0.36,273.33M,280.67M
2019-06,580.42M,580.42M,61.47M,518.95M,116.21M,34.41M,150.62M,231.81M,3.159M,,0.313M,4.976M,,-4.976M,,385.59M,133.36M,,4.976M,-4.976M,0.203M,-4.976M,128.59M,21.35M,107.24M,,,107.24M,106.97M,166.18M,32.62M,133.56M,0.39,,,0.389,0.39,0.38,,,0.3791,0.38,273.16M,281.05M
2019-03,576.74M,576.74M,70.58M,506.16M,116.83M,30.10M,146.93M,228.21M,3.308M,,0.689M,5.391M,,-5.391M,,378.45M,127.71M,,5.391M,-5.391M,5.93M,-5.391M,128.25M,7.691M,120.56M,,,120.56M,119.91M,164.72M,31.08M,133.64M,0.44,,,0.4376,0.44,0.43,,,0.4277,0.43,273.07M,280.62M
2018-12,569.85M,569.85M,76.12M,493.73M,112.61M,31.98M,144.60M,218.27M,3.468M,,-13.70M,4.318M,,3.752M,,366.34M,127.39M,,4.318M,3.752M,-22.50M,3.752M,108.64M,10.21M,98.42M,,,98.42M,110.84M,142.67M,29.72M,112.96M,0.36,,,0.4053,0.36,0.35,,,0.3943,0.35,273.76M,280.40M
2018-09,532.47M,532.47M,60.45M,472.01M,108.61M,33.25M,141.86M,223.23M,3.47M,,0.172M,5.177M,,-5.177M,,368.56M,103.46M,,5.177M,-5.177M,1.278M,-5.177M,99.56M,0.241M,99.32M,,,99.32M,99.15M,134.46M,29.72M,104.74M,0.36,,,0.3594,0.36,0.35,,,0.3494,0.35,273.72M,281.65M
2018-06,518.39M,518.39M,58.96M,459.43M,109.30M,34.88M,144.18M,219.13M,3.518M,,0.447M,6.669M,,-6.669M,,366.82M,92.61M,,6.669M,-6.669M,4.085M,-6.669M,90.02M,14.88M,75.15M,,,75.15M,74.78M,126.59M,29.89M,96.69M,0.27,,,0.2686,0.27,0.27,,,0.2687,0.27,273.56M,280.77M
