,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,161.63M,,,,1.082M,37.68M,,37.68M,37.68M,-17.36M,,,45.33M,0.372M,12.44M,-4.644M,12.86M,-19.31M,,,-23.69M,-22.35M,206.56M,-20.21M,,-20.21M,,-2.444M,0.00,,-22.65M,,0.00,0.00,27.78M,-106.87M,-79.08M,,,,-79.08M,1.189B,104.82M,12.56M,1.307B,27.78M,0.00,0.00,-106.87M,23.78M,0.906M
2020-06,131.29M,,,,0.821M,37.38M,,37.38M,37.38M,-5.513M,,,46.91M,0.371M,-28.97M,16.28M,14.87M,73.70M,,,56.99M,132.87M,345.12M,-21.36M,,-21.36M,,-1.298M,0.00,,-22.65M,,0.00,0.00,10.36M,-91.14M,-80.79M,,,,-80.79M,946.28M,241.68M,1.219M,1.189B,10.36M,0.00,0.00,-91.14M,11.63M,9.942M
2020-03,123.99M,,,,3.215M,34.03M,,34.03M,34.03M,3.904M,,,46.48M,0.437M,26.48M,-5.26M,-4.964M,-84.84M,,,74.33M,5.743M,217.72M,-22.18M,,-22.18M,,-193.82M,0.00,,-216.00M,,350.00M,350.00M,33.31M,-137.55M,-104.24M,,,,245.76M,705.21M,247.48M,-6.407M,946.28M,33.31M,350.00M,0.00,-137.55M,9.269M,0.134M
2019-12,659.68M,,,,1.435M,27.67M,,27.67M,27.67M,-565.80M,,,46.76M,0.485M,-31.27M,10.76M,-49.73M,37.92M,,,20.42M,-11.91M,159.30M,-27.08M,,-27.08M,,0.00,0.00,,-27.08M,,0.00,0.00,3.715M,-90.58M,-86.87M,,,,-86.87M,655.22M,45.35M,4.642M,705.21M,3.715M,0.00,0.00,-90.58M,16.51M,7.79M
2019-09,101.51M,,,,2.396M,31.98M,,31.98M,31.98M,-2.779M,,,48.28M,0.287M,-37.32M,-18.09M,5.648M,30.67M,,,-24.08M,-43.18M,138.53M,-16.96M,,-16.96M,,0.00,0.00,,-16.96M,,0.00,0.00,16.27M,-104.33M,-88.06M,,,,-88.06M,633.42M,33.51M,-11.71M,655.22M,16.27M,0.00,0.00,-104.33M,7.731M,0.00
2019-06,107.24M,,,,2.905M,32.62M,,32.62M,32.62M,-3.193M,,,44.26M,0.288M,28.20M,-15.07M,17.44M,6.591M,,,25.30M,62.45M,246.36M,-15.29M,,-15.29M,,-0.338M,-0.053M,,-15.68M,,-50.00M,-50.00M,2.997M,-87.88M,-84.88M,,,,-134.88M,538.90M,95.80M,-1.28M,633.42M,2.997M,100.00M,-150.00M,-87.88M,10.82M,8.728M
2019-03,120.56M,,,,-2.646M,31.08M,,31.08M,31.08M,-4.966M,,,42.25M,0.369M,35.68M,-10.62M,15.62M,-41.26M,,,-0.469M,-1.049M,185.41M,-15.28M,,-15.28M,,0.00,-30.71M,,-45.99M,,-50.00M,-50.00M,29.86M,-113.94M,-84.08M,,,,-134.08M,533.30M,5.349M,0.251M,538.90M,29.86M,50.00M,-100.00M,-113.94M,6.892M,1.324M
2018-12,98.42M,,,,-1.83M,,,29.72M,29.72M,-8.455M,,,42.59M,2.979M,-58.61M,2.207M,-21.64M,43.27M,,,2.915M,-31.86M,131.88M,-19.74M,,-19.74M,,0.00,-112.34M,,-132.08M,0.00,100.00M,100.00M,2.718M,-110.32M,-107.61M,,,,-7.607M,544.58M,-7.807M,-3.48M,533.30M,2.718M,100.00M,0.00,-110.32M,38.18M,7.658M
2018-09,99.32M,,,,0.639M,-59.28M,,29.72M,29.72M,-4.885M,,,46.26M,0.371M,-25.86M,-3.387M,-11.28M,-29.89M,,,5.165M,-65.25M,109.95M,-10.66M,,-10.66M,,0.00,0.00,,-10.66M,-300.00M,0.00,-300.00M,12.53M,-79.50M,-66.97M,,,,-366.97M,819.54M,-267.67M,-7.282M,544.58M,12.53M,0.00,-300.00M,-79.50M,12.05M,2.195M
2018-06,75.15M,,,,-0.545M,59.28M,,29.89M,29.89M,0.301M,,,40.96M,0.331M,8.382M,-0.173M,4.902M,35.12M,,,10.60M,58.83M,205.27M,-17.98M,,-17.98M,,0.00,0.00,,-17.98M,,-45.00M,-45.00M,2.317M,-53.62M,-51.30M,,,,-96.30M,746.97M,90.98M,-18.41M,819.54M,2.317M,0.00,-45.00M,-53.62M,11.78M,10.45M
