,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2006-12,658.00M,,,33.00M,124.00M,124.00M,100.00M,,879.00M,-229.00M,-57.00M,-48.00M,,,57.00M,-352.00M,-55.00M,1.387B,,2006-12,-265.00M,-123.00M,-34.00M,,-10.00M,-195.00M,,2006-12,,,13.00M,-283.00M,-270.00M,,-75.00M,,61.00M,219.00M,,2006-12,2.528B,1.411B,4.379B,,2006-12,13.00M,,-283.00M,,,,2006-12,
2006-09,611.00M,,,-79.00M,122.00M,122.00M,187.00M,,,-78.00M,-88.00M,108.00M,,,89.00M,31.00M,332.00M,1.204B,,2006-09,-230.00M,-186.00M,0.00,,-4.00M,-195.00M,,2006-09,,,29.00M,-866.00M,-837.00M,,-76.00M,,-1.00M,-1.22B,,2006-09,2.743B,-211.00M,2.528B,,2006-09,29.00M,,-866.00M,,,,2006-09,
2006-06,591.00M,,,-3.00M,117.00M,117.00M,231.00M,,107.00M,-75.00M,-43.00M,-30.00M,,,-146.00M,-294.00M,237.00M,986.00M,,2006-06,-201.00M,-168.00M,-6.00M,,-6.00M,80.00M,,2006-06,,,28.00M,-144.00M,-116.00M,,-78.00M,,-2.00M,-226.00M,,2006-06,1.908B,840.00M,2.743B,,2006-06,28.00M,,-144.00M,,,,2006-06,
2006-03,488.00M,,,-17.00M,117.00M,117.00M,140.00M,,-107.00M,-112.00M,-121.00M,66.00M,,,,-167.00M,-374.00M,80.00M,,2006-03,-138.00M,-107.00M,13.00M,,,-116.00M,,2006-03,,,89.00M,-46.00M,43.00M,,-77.00M,,,-53.00M,,2006-03,2.001B,-89.00M,1.908B,,2006-03,89.00M,,-46.00M,,,,2006-03,
2005-12,1.102B,,,1.349B,71.00M,71.00M,-452.00M,,-946.00M,-921.00M,21.00M,672.00M,,,-4.00M,-271.00M,,812.00M,,2005-12,-101.00M,-149.00M,-108.00M,-15.00M,-9.00M,-262.00M,,2005-12,,,39.00M,-2.00M,37.00M,,-64.00M,,4.00M,-275.00M,,2005-12,2.124B,275.00M,2.391B,,2005-12,39.00M,,-2.00M,,,,2005-12,
2005-09,499.00M,,,-42.00M,125.00M,125.00M,83.00M,,-115.00M,107.00M,-31.00M,-91.00M,,,17.00M,2.00M,,552.00M,,2005-09,-185.00M,122.00M,-201.00M,15.00M,-7.00M,-71.00M,,2005-09,,,177.00M,-1.00M,176.00M,,-64.00M,,0.00,69.00M,,2005-09,1.575B,550.00M,2.124B,,2005-09,177.00M,,-1.00M,,,,2005-09,
2005-06,392.00M,,,15.00M,127.00M,127.00M,47.00M,,,350.00M,-52.00M,-512.00M,,,11.00M,-203.00M,,378.00M,,2005-06,-147.00M,-311.00M,201.00M,0.00,-11.00M,-121.00M,,2005-06,,,37.00M,-3.00M,34.00M,,-63.00M,,-2.00M,-491.00M,,2005-06,1.812B,-234.00M,1.575B,,2005-06,37.00M,,-3.00M,,,,2005-06,
2005-03,365.00M,,,-1.424B,125.00M,125.00M,79.00M,,,-106.00M,-89.00M,33.00M,,,-24.00M,-186.00M,,-1.041B,,2005-03,-142.00M,81.00M,,891.00M,-8.00M,964.00M,,2005-03,,,89.00M,-6.00M,83.00M,,-63.00M,,-3.00M,-23.00M,,2005-03,1.917B,-100.00M,1.812B,,2005-03,89.00M,,-6.00M,,,,2005-03,
2004-12,-203.00M,,,250.00M,135.00M,135.00M,24.00M,,-47.00M,-193.00M,32.00M,-165.00M,,,118.00M,-208.00M,,-49.00M,,2004-12,-153.00M,-63.00M,-25.00M,1.372B,-94.00M,1.19B,,2004-12,,,15.00M,-1.00M,14.00M,,-56.00M,,-17.00M,-63.00M,,2004-12,823.00M,1.078B,1.917B,,2004-12,15.00M,,-1.00M,,,,2004-12,
2004-09,-44.00M,,,153.00M,118.00M,118.00M,-80.00M,,47.00M,380.00M,-15.00M,303.00M,,,-65.00M,603.00M,,797.00M,,2004-09,-138.00M,8.00M,22.00M,-1.031B,-14.00M,-1.015B,,2004-09,,,25.00M,-1.00M,24.00M,,-55.00M,,-3.00M,-39.00M,,2004-09,1.089B,-257.00M,823.00M,,2004-09,25.00M,,-1.00M,,,,2004-09,
2004-06,-667.00M,,,621.00M,124.00M,124.00M,-42.00M,,,296.00M,0.00,1.00M,,,23.00M,320.00M,,356.00M,,2004-06,-154.00M,-129.00M,0.00,-6.00M,83.00M,-52.00M,,2004-06,,,3.00M,-1.00M,2.00M,,-55.00M,,8.00M,-57.00M,,2004-06,841.00M,247.00M,1.089B,,2004-06,3.00M,,-1.00M,,,,2004-06,
2004-03,-65.00M,,,120.00M,132.00M,132.00M,-78.00M,,,-470.00M,-39.00M,289.00M,,,-65.00M,-285.00M,,-176.00M,,2004-03,-130.00M,-98.00M,-22.00M,-404.00M,-5.00M,-529.00M,,2004-03,,,20.00M,-4.00M,16.00M,,-55.00M,,-9.00M,442.00M,,2004-03,1.104B,-263.00M,841.00M,,2004-03,20.00M,,-4.00M,,,,2004-03,
2003-12,-947.00M,,,823.00M,134.00M,134.00M,-13.00M,,34.00M,-834.00M,35.00M,777.00M,,,-249.00M,-271.00M,,-240.00M,,2003-12,-144.00M,-111.00M,,-571.00M,-19.00M,-707.00M,,2003-12,,,,,,,-55.00M,,-15.00M,934.00M,,2003-12,1.222B,-13.00M,1.104B,,2003-12,,,,,,,2003-12,
2003-09,58.00M,,,-11.00M,132.00M,132.00M,4.00M,,47.00M,-371.00M,17.00M,-51.00M,,,-147.00M,-552.00M,,-322.00M,,2003-09,-142.00M,113.00M,,-23.00M,-205.00M,-115.00M,,2003-09,,,,,,,-55.00M,,8.00M,-191.00M,,2003-09,1.859B,-628.00M,1.222B,,2003-09,,,,,,,2003-09,
2003-06,26.00M,,,11.00M,125.00M,125.00M,-73.00M,,-9.00M,-344.00M,3.00M,39.00M,,,220.00M,-82.00M,,-2.00M,,2003-06,-128.00M,-265.00M,,5.00M,177.00M,-83.00M,,2003-06,,,-7.00M,4.00M,-3.00M,,-54.00M,,35.00M,987.00M,,2003-06,928.00M,902.00M,1.859B,,2003-06,-7.00M,,4.00M,,,,2003-06,
2003-03,43.00M,,,-14.00M,127.00M,127.00M,-4.00M,,-72.00M,-73.00M,-48.00M,-89.00M,,,-81.00M,-291.00M,,-211.00M,,2003-03,-101.00M,85.00M,,52.00M,-4.00M,133.00M,,2003-03,,,7.00M,-4.00M,3.00M,,-55.00M,,-37.00M,-94.00M,,2003-03,1.107B,-172.00M,928.00M,,2003-03,7.00M,,-4.00M,,,,2003-03,
2002-12,-616.00M,,,591.00M,103.00M,103.00M,-154.00M,,27.00M,163.00M,46.00M,17.00M,,,385.00M,611.00M,,562.00M,,2002-12,-200.00M,-113.00M,,,182.00M,-56.00M,,2002-12,,,,-1.00M,-1.00M,,-55.00M,,-4.00M,24.00M,,2002-12,586.00M,530.00M,1.107B,,2002-12,,,-1.00M,,,,2002-12,
2002-09,94.00M,,,-6.00M,136.00M,136.00M,76.00M,,12.00M,265.00M,40.00M,-115.00M,,,-122.00M,68.00M,,380.00M,,2002-09,-160.00M,135.00M,,,-138.00M,-3.00M,,2002-09,,,,-1.00M,-1.00M,,-55.00M,,-4.00M,-171.00M,,2002-09,383.00M,206.00M,586.00M,,2002-09,,,-1.00M,,,,2002-09,
2002-06,-498.00M,,,647.00M,134.00M,134.00M,-80.00M,,-117.00M,307.00M,4.00M,60.00M,,,8.00M,379.00M,,465.00M,,2002-06,-169.00M,-277.00M,,,-60.00M,-337.00M,,2002-06,,,,-1.00M,-1.00M,,-55.00M,,-1.00M,-8.00M,,2002-06,266.00M,120.00M,383.00M,,2002-06,,,-1.00M,,,,2002-06,
2002-03,22.00M,,,-38.00M,132.00M,132.00M,7.00M,,78.00M,120.00M,-28.00M,109.00M,,,-247.00M,-46.00M,,155.00M,,2002-03,-235.00M,-73.00M,,,-4.00M,-77.00M,,2002-03,,,,-1.00M,-1.00M,,-54.00M,,1.00M,-93.00M,,2002-03,290.00M,-15.00M,266.00M,,2002-03,,,-1.00M,,,,2002-03,
2001-12,139.00M,,,-192.00M,141.00M,141.00M,3.00M,,-321.00M,155.00M,44.00M,2.00M,,,243.00M,444.00M,321.00M,535.00M,,2001-12,-229.00M,-125.00M,-105.00M,,-12.00M,-238.00M,,2001-12,,,2.00M,-1.00M,1.00M,,-54.00M,,-11.00M,-233.00M,,2001-12,227.00M,64.00M,290.00M,,2001-12,2.00M,,-1.00M,,,,2001-12,
2001-09,179.00M,,,274.00M,132.00M,132.00M,-27.00M,,37.00M,-8.00M,10.00M,37.00M,,,-163.00M,-124.00M,-232.00M,239.00M,,2001-09,-224.00M,-186.00M,24.00M,,-6.00M,-168.00M,,2001-09,,,1.00M,-25.00M,-24.00M,,-54.00M,,-3.00M,-165.00M,,2001-09,328.00M,-94.00M,227.00M,,2001-09,1.00M,,-25.00M,,,,2001-09,
2001-06,382.00M,,,-221.00M,124.00M,124.00M,37.00M,,136.00M,-348.00M,-46.00M,110.00M,,,4.00M,-280.00M,1.198B,1.376B,,2001-06,-199.00M,-181.00M,35.00M,,-6.00M,-152.00M,,2001-06,,,5.00M,-4.00M,1.00M,,-53.00M,,-1.00M,-1.176B,,2001-06,278.00M,48.00M,328.00M,,2001-06,5.00M,,-4.00M,,,,2001-06,
2001-03,109.00M,,,-21.00M,134.00M,134.00M,13.00M,,21.00M,2.00M,-99.00M,-31.00M,,,38.00M,-90.00M,-24.00M,142.00M,,2001-03,-145.00M,-124.00M,-174.00M,,-2.00M,-300.00M,,2001-03,,,19.00M,-4.00M,15.00M,,-54.00M,,-2.00M,219.00M,,2001-03,231.00M,61.00M,278.00M,,2001-03,19.00M,,-4.00M,,,,2001-03,
2000-12,5.00M,,,-62.00M,115.00M,115.00M,29.00M,,110.00M,-253.00M,55.00M,129.00M,,,4.00M,-65.00M,0.00,132.00M,,2000-12,-211.00M,-170.00M,-10.00M,,-24.00M,-204.00M,,2000-12,,,3.00M,-745.00M,-742.00M,,-54.00M,,-15.00M,-12.00M,,2000-12,310.00M,-84.00M,231.00M,,2000-12,3.00M,,-745.00M,,,,2000-12,
2000-09,372.00M,,,-374.00M,139.00M,139.00M,-73.00M,,-110.00M,-64.00M,-14.00M,29.00M,,,181.00M,132.00M,22.00M,108.00M,,2000-09,-177.00M,-26.00M,12.00M,,-6.00M,-20.00M,,2000-09,,,45.00M,-18.00M,27.00M,,-56.00M,,-5.00M,-141.00M,,2000-09,363.00M,-53.00M,310.00M,,2000-09,45.00M,,-18.00M,,,,2000-09,
2000-06,75.00M,,,-13.00M,127.00M,127.00M,-11.00M,,36.00M,-293.00M,-9.00M,37.00M,,,-121.00M,-386.00M,-20.00M,-192.00M,,2000-06,-111.00M,-100.00M,2.00M,,-22.00M,-120.00M,,2000-06,,,39.00M,-2.00M,37.00M,,-56.00M,,,318.00M,,2000-06,369.00M,6.00M,363.00M,,2000-06,39.00M,,-2.00M,,,,2000-06,
2000-03,49.00M,,,9.00M,122.00M,122.00M,49.00M,,-88.00M,-286.00M,-24.00M,-25.00M,,,91.00M,-244.00M,824.00M,721.00M,,2000-03,-79.00M,-54.00M,-14.00M,,1.00M,-67.00M,,2000-03,,,18.00M,-4.00M,14.00M,,-55.00M,,,-749.00M,,2000-03,466.00M,-95.00M,369.00M,,2000-03,18.00M,,-4.00M,,,,2000-03,
1999-12,216.00M,,,-193.00M,132.00M,132.00M,83.00M,,-593.00M,629.00M,-13.00M,-88.00M,,,72.00M,600.00M,72.00M,317.00M,,1999-12,-134.00M,-98.00M,,,7.00M,-98.00M,,1999-12,,,5.00M,-6.00M,-1.00M,,-55.00M,,1.00M,-44.00M,,1999-12,295.00M,175.00M,466.00M,,1999-12,5.00M,,-6.00M,,,,1999-12,
1999-09,58.00M,,,-85.00M,135.00M,135.00M,21.00M,,86.00M,-191.00M,21.00M,-213.00M,,,8.00M,-375.00M,23.00M,-137.00M,,1999-09,-147.00M,-120.00M,,,7.00M,-113.00M,,1999-09,,,11.00M,-1.00M,10.00M,,-56.00M,,-7.00M,206.00M,,1999-09,336.00M,-44.00M,295.00M,,1999-09,11.00M,,-1.00M,,,,1999-09,
1999-06,83.00M,,,-124.00M,124.00M,124.00M,6.00M,,-132.00M,-62.00M,-40.00M,65.00M,,,-174.00M,-211.00M,86.00M,-168.00M,,1999-06,-110.00M,178.00M,,,-1.00M,177.00M,,1999-06,,,19.00M,0.00,19.00M,,-55.00M,,-1.00M,-116.00M,,1999-06,419.00M,-107.00M,336.00M,,1999-06,19.00M,,0.00,,,,1999-06,
1999-03,81.00M,,,-128.00M,120.00M,120.00M,77.00M,,-27.00M,240.00M,29.00M,57.00M,,,-338.00M,-12.00M,53.00M,164.00M,,1999-03,-129.00M,-71.00M,,,-2.00M,-73.00M,,1999-03,,,14.00M,-3.00M,11.00M,,-55.00M,,1.00M,143.00M,,1999-03,203.00M,234.00M,419.00M,,1999-03,14.00M,,-3.00M,,,,1999-03,
1998-12,66.00M,,,-577.60M,58.00M,58.00M,-95.20M,,183.80M,165.80M,87.10M,-37.00M,,240.50M,,201.40M,,71.40M,,1998-12,-121.80M,-93.20M,,,4.60M,-128.60M,,1998-12,,,4.00M,-1.50M,2.50M,,-54.70M,,-9.60M,31.20M,,1998-12,228.50M,-26.00M,203.00M,,1998-12,4.00M,,-1.50M,,,,1998-12,
1998-09,-527.00M,,,966.60M,151.00M,151.00M,-193.80M,,0.20M,-14.80M,23.90M,-166.00M,,-70.50M,,-227.40M,,169.60M,,1998-09,-213.20M,-205.80M,,,-2.60M,-208.40M,,1998-09,,,5.00M,-1.50M,3.50M,,-66.30M,,-1.40M,-8.20M,,1998-09,0.00,-47.00M,228.50M,,1998-09,5.00M,,-1.50M,,,,1998-09,
1998-06,243.00M,,,-72.00M,143.00M,143.00M,-4.00M,,32.00M,-194.00M,-72.00M,28.00M,,-37.00M,,-275.00M,,67.00M,,1998-06,-279.00M,-239.00M,,,3.00M,-236.00M,,1998-06,,,10.00M,0.00,10.00M,,-66.00M,,0.00,182.00M,,1998-06,0.00,13.00M,0.00,,1998-06,10.00M,,0.00,,,,1998-06,
