,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,6.331B,,,,,6.523B,6.523B,295.00M,2.288B,,-983.00M,-2.016B,-3.898B,,3.346B,,,78.00M,-2.49B,11.96B,-11.06B,1.255B,-9.808B,-1.735B,-4.333B,,-15.88B,-4.067B,-38.00M,-4.105B,,,,,-4.105B,37.84B,-8.017B,377.00M,30.20B,,1.311B,-5.416B,,,
2020-06,5.243B,,,,,5.748B,5.748B,465.00M,2.601B,,-488.00M,-2.854B,-672.00M,,10.32B,,,247.00M,7.036B,20.60B,-7.459B,845.00M,-6.614B,-119.00M,-11.07B,,-17.80B,6.895B,513.00M,7.408B,,,,,7.408B,27.50B,10.21B,128.00M,37.84B,,12.35B,-4.943B,,-305.00M,-480.00M
2020-03,2.535B,,,,,5.362B,5.362B,322.00M,1.757B,,632.00M,1.262B,1.392B,,-10.80B,,,607.00M,-7.544B,3.064B,-6.795B,1.367B,-5.428B,-91.00M,-3.375B,,-8.894B,-2.591B,,-2.591B,,,,,-2.591B,36.41B,-8.421B,-484.00M,27.50B,,693.00M,-3.284B,,305.00M,480.00M
2019-12,3.268B,,,,,6.17B,6.17B,184.00M,1.84B,,-445.00M,-3.905B,-1.516B,,13.58B,,,486.00M,8.642B,19.66B,-5.312B,1.372B,-3.94B,-777.00M,1.181B,,-3.536B,-3.553B,-18.00M,-3.571B,,,,,-3.571B,23.55B,12.55B,304.00M,36.41B,,1.098B,-4.669B,,881.00M,1.561B
2019-09,2.134B,,,,,5.563B,5.563B,92.00M,1.779B,,435.00M,-1.182B,-381.00M,,-495.00M,,,-53.00M,-2.111B,7.892B,-4.697B,1.312B,-3.385B,-399.00M,-1.289B,,-5.073B,-2.034B,74.00M,-1.96B,,,,,-1.96B,22.96B,859.00M,-270.00M,23.55B,,702.00M,-2.662B,,,
2019-06,2.625B,,,,,5.202B,5.202B,105.00M,1.971B,,73.00M,-2.193B,-2.10B,,3.044B,,,390.00M,-859.00M,9.117B,-3.562B,919.00M,-2.643B,-116.00M,-4.79B,,-7.549B,-2.102B,-56.00M,-2.158B,,,,,-2.158B,23.51B,-590.00M,48.00M,22.96B,,283.00M,-2.441B,,-168.00M,-453.00M
2019-03,3.561B,,,,,4.854B,4.854B,415.00M,1.274B,,-148.00M,-401.00M,719.00M,,-9.316B,,,888.00M,-8.11B,1.846B,-3.29B,569.00M,-2.721B,-1.169B,-4.233B,,-8.123B,-2.377B,,-2.377B,,,,,-2.377B,32.17B,-8.654B,-12.00M,23.51B,,190.00M,-2.567B,,168.00M,453.00M
2018-12,3.027B,,,,,4.262B,4.262B,173.00M,1.417B,,269.00M,-1.395B,-1.35B,,9.546B,,,528.00M,7.329B,16.48B,-3.734B,614.00M,-3.12B,-331.00M,-121.00M,,-3.572B,-1.761B,,-1.761B,,,,,-1.761B,21.03B,11.14B,-3.00M,32.17B,,405.00M,-2.166B,,171.00M,277.00M
2018-09,2.883B,,,,,3.778B,3.778B,265.00M,1.35B,,158.00M,-2.884B,-1.094B,,4.132B,,,0.00,154.00M,8.588B,-3.352B,825.00M,-2.527B,-976.00M,-2.069B,,-5.572B,-2.369B,,-2.369B,,,,,-2.369B,20.54B,647.00M,-151.00M,21.03B,,142.00M,-2.511B,,200.00M,448.00M
2018-06,2.534B,,,,,3.63B,3.63B,-138.00M,1.469B,,194.00M,-1.365B,-1.09B,,2.498B,,,-283.00M,-240.00M,7.449B,-3.243B,294.00M,-2.949B,-866.00M,1.123B,,-2.692B,-1.392B,,-1.392B,,,,,-1.392B,17.62B,3.365B,-445.00M,20.54B,,96.00M,-1.488B,,300.00M,293.00M
