,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,29.93B,38.47B,68.40B,20.83B,20.83B,23.74B,23.74B,,,,112.97B,,,,,134.10B,,134.10B,,134.10B,14.96B,,14.96B,,20.15B,169.21B,282.18B,58.33B,58.33B,34.33B,92.66B,,,9.251B,9.251B,,101.91B,32.93B,48.59B,81.52B,,,15.97B,97.49B,199.40B,5.00M,45.33B,40.31B,1.837B,-1.029B,82.78B
2020-06,37.47B,33.92B,71.39B,19.92B,19.92B,19.60B,19.60B,,,,110.91B,,,,,115.05B,,115.05B,,115.05B,14.75B,,14.75B,,17.60B,147.41B,258.31B,51.04B,51.04B,33.86B,84.90B,,,8.997B,8.997B,,93.90B,33.13B,42.80B,75.93B,,,14.76B,90.69B,184.59B,5.00M,39.00B,38.02B,1.837B,-1.455B,73.73B
2020-03,27.20B,22.09B,49.29B,17.84B,17.84B,18.86B,18.86B,,,,85.98B,,,,,104.06B,,104.06B,,104.06B,14.74B,,14.74B,,16.46B,135.25B,221.24B,40.06B,40.06B,30.79B,70.85B,,,8.864B,8.864B,,79.71B,23.44B,40.30B,63.74B,,,12.52B,76.26B,155.97B,5.00M,33.76B,35.41B,1.837B,-2.063B,65.27B
2019-12,36.09B,18.93B,55.02B,20.82B,20.82B,20.50B,20.50B,,,,96.33B,0.0,39.22B,,71.31B,28.25B,6.036B,144.82B,-46.98B,97.85B,14.75B,4.049B,18.80B,,12.26B,128.91B,225.25B,47.18B,47.18B,32.44B,79.62B,,,8.19B,8.19B,,87.81B,23.41B,39.79B,63.20B,,,12.17B,75.38B,163.19B,5.00M,31.22B,33.66B,1.837B,-986.00M,62.06B
2019-09,23.26B,20.15B,43.40B,16.89B,16.89B,18.77B,18.77B,,,,79.05B,,,,,90.78B,,90.78B,,90.78B,14.73B,,14.73B,,14.54B,120.04B,199.10B,35.79B,35.79B,28.96B,64.76B,,,7.381B,7.381B,,72.14B,22.47B,37.06B,59.53B,,,10.92B,70.46B,142.59B,5.00M,27.95B,31.82B,1.837B,-1.429B,56.51B
2019-06,22.62B,18.85B,41.46B,16.75B,16.75B,18.58B,18.58B,,,,76.79B,,,,,86.37B,,86.37B,,86.37B,14.73B,,14.73B,,13.46B,114.56B,191.35B,36.06B,36.06B,26.14B,62.20B,,,7.475B,7.475B,,69.68B,23.33B,35.13B,58.46B,,,10.15B,68.61B,138.29B,5.00M,25.82B,30.04B,1.837B,-960.00M,53.06B
2019-03,23.12B,13.90B,37.02B,15.98B,15.98B,16.43B,16.43B,,,,69.43B,,,,,81.18B,,81.18B,,81.18B,14.71B,,14.71B,,12.78B,108.67B,178.10B,31.81B,31.81B,24.59B,56.40B,,,7.298B,7.298B,,63.70B,23.32B,33.28B,56.60B,,,9.40B,66.00B,129.69B,5.00M,23.19B,28.06B,1.837B,-1.01B,48.41B
2018-12,31.75B,9.50B,41.25B,16.68B,16.68B,17.17B,17.17B,,,,75.10B,0.0,31.74B,,54.59B,2.577B,6.861B,95.77B,-33.97B,61.80B,14.55B,4.11B,18.66B,,7.092B,87.55B,162.65B,38.19B,38.19B,23.66B,61.86B,,,6.536B,6.536B,,68.39B,23.50B,9.65B,33.14B,,,17.56B,50.71B,119.10B,5.00M,19.62B,26.79B,1.837B,-1.035B,43.55B
2018-09,20.42B,9.34B,29.76B,14.26B,14.26B,15.86B,15.86B,,,,59.88B,,,,,,,,,58.02B,14.55B,,14.55B,,11.24B,83.81B,143.70B,30.90B,30.90B,18.42B,49.32B,,,6.00B,6.00B,,55.32B,24.68B,,24.68B,,,24.56B,49.25B,104.57B,5.00M,16.62B,25.38B,1.837B,-1.034B,39.12B
2018-06,19.82B,7.227B,27.05B,12.61B,12.61B,14.82B,14.82B,,,,54.48B,,,,,,,,,54.77B,13.94B,,13.94B,,10.91B,79.62B,134.10B,27.66B,27.66B,17.14B,44.80B,,,6.004B,6.004B,,50.80B,24.64B,,24.64B,,,23.67B,48.30B,99.10B,5.00M,13.73B,24.03B,1.837B,-934.00M,35.00B
2018-03,16.68B,8.287B,24.96B,12.03B,12.03B,13.84B,13.84B,,,,50.83B,,,,,,,,,52.33B,13.39B,,13.39B,,9.814B,75.53B,126.36B,25.17B,25.17B,16.69B,41.86B,,,6.182B,6.182B,,48.04B,24.64B,,24.64B,,,22.21B,46.85B,94.90B,5.00M,11.20B,22.56B,1.837B,-467.00M,31.46B
2017-12,20.52B,10.46B,30.99B,13.16B,13.16B,16.05B,16.05B,,,,60.20B,0.0,23.90B,,42.24B,2.438B,4.078B,72.66B,-23.79B,48.87B,13.35B,3.371B,16.72B,,5.526B,71.11B,131.31B,34.62B,34.62B,18.17B,52.79B,,,5.097B,5.097B,,57.88B,24.74B,13.18B,37.93B,1.994B,1.994B,5.798B,45.72B,103.60B,5.00M,8.636B,21.39B,1.837B,-484.00M,27.71B
2017-09,12.77B,11.54B,24.31B,10.56B,10.56B,13.71B,13.71B,,,,48.58B,,,,,,,,,45.34B,13.27B,,13.27B,,8.083B,66.69B,115.27B,26.08B,26.08B,15.84B,41.92B,,,5.153B,5.153B,,47.07B,24.71B,,24.71B,,,18.83B,43.54B,90.61B,5.00M,6.779B,20.21B,1.837B,-501.00M,24.66B
2017-06,13.20B,8.248B,21.45B,8.046B,8.046B,11.51B,11.51B,,,,41.01B,,,,,,,,,37.08B,4.254B,,4.254B,,5.437B,46.77B,87.78B,21.44B,21.44B,14.02B,35.46B,,,5.065B,5.065B,,40.52B,7.683B,,7.683B,,,16.36B,24.05B,64.57B,5.00M,6.524B,19.13B,1.837B,-607.00M,23.21B
2017-03,15.44B,6.091B,21.53B,7.329B,7.329B,10.60B,10.60B,,,,39.46B,,,,,,,,,32.63B,3.823B,,3.823B,,5.054B,41.51B,80.97B,18.89B,18.89B,13.05B,31.94B,,,5.454B,5.454B,,37.40B,7.691B,,7.691B,,,14.20B,21.90B,59.30B,5.00M,6.327B,17.98B,1.837B,-797.00M,21.67B
2016-12,19.33B,6.647B,25.98B,8.339B,8.339B,11.46B,11.46B,,,,45.78B,0.0,14.00B,,25.99B,649.00M,1.805B,42.44B,-13.33B,29.11B,3.784B,854.00M,4.638B,,3.869B,37.62B,83.40B,25.31B,25.31B,13.74B,39.05B,,,4.768B,4.768B,,43.82B,7.694B,7.519B,15.21B,1.787B,1.787B,3.301B,20.30B,64.12B,5.00M,4.916B,17.19B,1.837B,-985.00M,19.28B
2016-09,13.66B,4.691B,18.35B,6.566B,6.566B,10.70B,10.70B,,,,35.61B,,,,,,,,,27.18B,3.815B,,3.815B,,4.296B,35.29B,70.90B,18.80B,18.80B,10.50B,29.30B,,,4.20B,4.20B,,33.50B,8.205B,,8.205B,,,11.41B,19.62B,53.12B,5.00M,4.167B,15.97B,1.837B,-521.00M,17.78B
2016-06,12.52B,4.019B,16.54B,6.092B,6.092B,9.588B,9.588B,,,,32.22B,,,,,,,,,25.19B,3.774B,,3.774B,,3.892B,32.86B,65.08B,16.12B,16.12B,9.613B,25.74B,,,3.851B,3.851B,,29.59B,8.212B,,8.212B,,,10.74B,18.95B,48.54B,5.00M,3.915B,15.03B,1.837B,-571.00M,16.54B
2016-03,12.47B,3.389B,15.86B,5.072B,5.072B,9.582B,9.582B,,,,30.51B,,,,,,,,,23.31B,3.785B,,3.785B,,3.522B,30.62B,61.13B,14.99B,14.99B,9.431B,24.42B,,,3.766B,3.766B,,28.19B,8.219B,,8.219B,,,9.966B,18.18B,46.37B,5.00M,3.058B,14.14B,1.837B,-614.00M,14.76B
2015-12,15.89B,3.918B,19.81B,5.654B,5.654B,10.24B,10.24B,,,,35.70B,0.0,9.77B,,18.42B,334.00M,1.532B,30.05B,-8.215B,21.84B,3.759B,992.00M,4.751B,,2.453B,29.04B,64.75B,20.40B,20.40B,10.37B,30.77B,,,3.118B,3.118B,,33.89B,8.227B,5.948B,14.18B,1.339B,1.339B,1.962B,17.48B,51.36B,5.00M,2.545B,13.39B,1.837B,-723.00M,13.38B
2015-09,10.71B,3.719B,14.43B,5.44B,5.44B,8.981B,8.981B,,,,28.85B,,,,,,,,,20.64B,3.529B,,3.529B,,3.216B,27.38B,56.23B,14.44B,14.44B,9.157B,23.59B,,,3.063B,3.063B,,26.66B,8.243B,,8.243B,,,8.90B,17.14B,43.80B,5.00M,2.063B,12.87B,1.837B,-675.00M,12.43B
2015-06,10.27B,3.732B,14.00B,4.92B,4.92B,7.47B,7.47B,,,,26.39B,,,,,,,,,19.48B,3.523B,,3.523B,,3.047B,26.05B,52.44B,12.39B,12.39B,8.959B,21.35B,,,2.562B,2.562B,,23.91B,8.25B,,8.25B,,,8.51B,16.76B,40.67B,5.00M,1.984B,12.23B,1.837B,-617.00M,11.77B
2015-03,10.24B,3.544B,13.78B,4.772B,4.772B,7.369B,7.369B,,,,25.92B,,,,,,,,,17.74B,3.491B,,3.491B,,2.926B,24.15B,50.08B,11.92B,11.92B,8.84B,20.76B,,,2.42B,2.42B,,23.18B,8.257B,,8.257B,,,7.768B,16.02B,39.20B,5.00M,1.892B,11.56B,1.837B,-752.00M,10.87B
2014-12,14.56B,2.859B,17.42B,5.612B,5.612B,8.299B,8.299B,,,,31.33B,0.0,7.15B,,14.21B,304.00M,1.063B,22.73B,-5.763B,16.97B,3.319B,764.00M,4.083B,,2.128B,23.18B,54.50B,16.46B,16.46B,9.807B,26.27B,,,1.823B,1.823B,,28.09B,8.265B,4.224B,12.49B,1.531B,1.531B,1.655B,15.68B,43.76B,5.00M,1.949B,11.14B,1.837B,-511.00M,10.74B
2014-09,5.258B,1.625B,6.883B,4.373B,4.373B,7.316B,7.316B,,,,18.57B,,,,,,,,,15.70B,3.332B,,3.332B,,2.813B,21.85B,40.42B,11.81B,11.81B,7.217B,19.03B,,,1.814B,1.814B,,20.84B,3.099B,,3.099B,,,6.142B,9.241B,30.08B,5.00M,1.735B,10.83B,1.837B,-394.00M,10.34B
2014-06,5.057B,2.929B,7.986B,4.125B,4.125B,6.644B,6.644B,,,,18.76B,,,,,,,,,14.09B,2.677B,,2.677B,,2.377B,19.14B,37.90B,10.46B,10.46B,6.688B,17.14B,,,1.606B,1.606B,,18.75B,3.119B,,3.119B,,,5.426B,8.545B,27.30B,5.00M,2.172B,10.40B,1.837B,-143.00M,10.60B
2014-03,5.074B,3.592B,8.666B,3.945B,3.945B,6.716B,6.716B,,,,19.33B,,,,,,,,,12.27B,2.653B,,2.653B,,2.117B,17.04B,36.36B,10.59B,10.59B,6.251B,16.84B,,,1.516B,1.516B,,18.36B,3.147B,,3.147B,,,4.532B,7.679B,26.04B,5.00M,2.298B,10.02B,1.837B,-157.00M,10.33B
2013-12,8.658B,3.789B,12.45B,4.767B,4.767B,7.411B,7.411B,,,,24.62B,0.0,4.584B,,9.274B,231.00M,720.00M,14.81B,-3.86B,10.95B,2.655B,645.00M,3.30B,,1.285B,15.53B,40.16B,15.13B,15.13B,6.688B,21.82B,,,1.159B,1.159B,,22.98B,3.191B,1.99B,5.181B,1.028B,1.028B,1.224B,7.433B,30.41B,5.00M,2.19B,9.573B,1.837B,-185.00M,9.746B
2013-09,3.872B,3.817B,7.689B,3.057B,3.057B,6.068B,6.068B,,520.00M,,17.33B,,,,,,,,,9.991B,2.635B,,2.635B,128.00M,1.773B,14.53B,31.86B,10.04B,10.04B,6.098B,16.14B,,,,,,16.14B,3.043B,,3.043B,,,3.596B,6.639B,22.77B,5.00M,1.95B,9.175B,1.837B,-206.00M,9.087B
2013-06,3.704B,3.759B,7.463B,2.861B,2.861B,5.42B,5.42B,,541.00M,,16.28B,,,,,,,,,8.789B,2.614B,,2.614B,128.00M,1.807B,13.34B,29.62B,8.99B,8.99B,5.745B,14.74B,,,,,,14.74B,3.042B,,3.042B,,,3.113B,6.155B,20.89B,5.00M,1.991B,8.893B,1.837B,-319.00M,8.733B
2013-03,4.481B,3.414B,7.895B,2.516B,2.516B,5.395B,5.395B,,507.00M,,16.31B,,,,,,,,,7.674B,2.535B,,2.535B,123.00M,1.732B,12.06B,28.38B,8.916B,8.916B,5.416B,14.33B,,,,,,14.33B,3.04B,,3.04B,,,2.573B,5.613B,19.94B,5.00M,1.998B,8.585B,1.837B,-319.00M,8.432B
2012-12,8.084B,3.364B,11.45B,3.817B,3.817B,6.031B,6.031B,,,,21.30B,0.0,2.966B,,6.228B,174.00M,214.00M,9.582B,-2.522B,7.06B,2.552B,725.00M,3.277B,,922.00M,11.26B,32.56B,13.32B,13.32B,4.892B,18.21B,,,792.00M,792.00M,,19.00B,3.084B,746.00M,3.83B,812.00M,812.00M,719.00M,5.361B,24.36B,5.00M,1.916B,8.347B,1.837B,-239.00M,8.192B
2012-09,2.98B,2.268B,5.248B,2.392B,2.392B,,5.065B,,413.00M,,13.12B,,,,,,,,,5.662B,2.54B,,2.54B,38.00M,1.476B,9.716B,22.83B,8.369B,8.369B,4.236B,12.60B,,,,,,12.60B,,,,,,,2.676B,15.28B,5.00M,1.818B,7.863B,1.837B,-296.00M,7.553B
2012-06,2.335B,2.635B,4.97B,2.035B,2.035B,,4.38B,,408.00M,,11.79B,,,,,,,,,5.097B,2.521B,,2.521B,26.00M,1.585B,9.229B,21.02B,7.072B,7.072B,3.892B,10.96B,,,,,,10.96B,,,,,,,2.553B,13.52B,5.00M,2.092B,7.573B,1.837B,-328.00M,7.505B
