,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,96.14B,96.14B,71.81B,24.33B,5.434B,1.668B,7.102B,10.98B,,,,428.00M,118.00M,-310.00M,62.00M,18.14B,6.194B,118.00M,428.00M,-310.00M,925.00M,-310.00M,6.809B,569.00M,6.331B,,6.331B,6.331B,13.76B,6.523B,7.237B,12.63,,,12.63,12.63,12.37,,,12.37,12.37,501.00M,512.00M
2020-06,88.91B,88.91B,66.47B,22.45B,4.345B,1.58B,5.925B,10.39B,,,,403.00M,135.00M,-268.00M,290.00M,16.60B,5.843B,135.00M,403.00M,-268.00M,646.00M,-268.00M,6.221B,984.00M,5.243B,,5.243B,5.243B,12.37B,5.748B,6.624B,10.5,,,10.5,10.5,10.3,,,10.3,10.3,500.00M,509.00M
2020-03,75.45B,75.45B,55.79B,19.66B,4.828B,1.452B,6.28B,9.325B,,,,402.00M,202.00M,-200.00M,70.00M,15.68B,3.989B,202.00M,402.00M,-200.00M,-406.00M,-200.00M,3.383B,744.00M,2.535B,,2.535B,2.535B,9.147B,5.362B,3.785B,5.09,,,5.09,5.09,5.01,,,5.01,5.01,498.00M,506.00M
2019-12,87.44B,87.44B,66.17B,21.27B,6.171B,1.412B,7.583B,9.74B,,,,455.00M,211.00M,-244.00M,65.00M,17.39B,3.879B,211.00M,455.00M,-244.00M,418.00M,-244.00M,4.053B,786.00M,3.268B,,3.268B,3.268B,10.68B,6.17B,4.508B,6.58,,,6.58,6.58,6.47,,,6.47,6.47,497.00M,507.00M
2019-09,69.98B,69.98B,51.47B,18.51B,4.752B,1.348B,6.10B,9.20B,,,,396.00M,224.00M,-172.00M,55.00M,15.36B,3.157B,224.00M,396.00M,-172.00M,-353.00M,-172.00M,2.632B,494.00M,2.134B,,2.134B,2.134B,8.591B,5.563B,3.028B,4.31,,,4.31,4.31,4.23,,,4.23,4.23,495.00M,504.00M
2019-06,63.40B,63.40B,45.61B,17.80B,4.291B,1.27B,5.561B,9.065B,,,,383.00M,215.00M,-168.00M,86.00M,14.71B,3.084B,215.00M,383.00M,-168.00M,-27.00M,-168.00M,2.889B,257.00M,2.625B,,2.625B,2.625B,8.474B,5.202B,3.272B,5.32,,,5.32,5.32,5.22,,,5.22,5.22,493.00M,503.00M
2019-03,59.70B,59.70B,42.52B,17.18B,3.664B,1.173B,4.837B,7.927B,,,,366.00M,183.00M,-183.00M,-5.00M,12.76B,4.42B,183.00M,366.00M,-183.00M,164.00M,-183.00M,4.401B,836.00M,3.561B,,3.561B,3.561B,9.621B,4.854B,4.767B,7.24,,,7.24,7.24,7.09,,,7.09,7.09,491.00M,502.00M
2018-12,72.38B,72.38B,54.81B,17.57B,4.912B,1.117B,6.029B,7.669B,,,,387.00M,150.00M,-237.00M,85.00M,13.78B,3.786B,150.00M,387.00M,-237.00M,-199.00M,-237.00M,3.35B,327.00M,3.027B,,3.027B,3.027B,7.999B,4.262B,3.737B,6.18,,,6.18,6.18,6.04,,,6.04,6.04,490.00M,500.00M
2018-09,56.58B,56.58B,41.28B,15.30B,3.303B,1.041B,4.344B,7.162B,,,,358.00M,117.00M,-241.00M,68.00M,11.57B,3.724B,117.00M,358.00M,-241.00M,-93.00M,-241.00M,3.39B,508.00M,2.883B,,2.883B,2.883B,7.526B,3.778B,3.748B,5.91,,,5.91,5.91,5.75,,,5.75,5.75,488.00M,501.00M
2018-06,52.89B,52.89B,38.56B,14.32B,2.901B,1.111B,4.012B,7.247B,,,,343.00M,94.00M,-249.00M,80.00M,11.34B,2.983B,94.00M,343.00M,-249.00M,-129.00M,-249.00M,2.605B,74.00M,2.534B,,2.534B,2.534B,6.578B,3.63B,2.948B,5.21,,,5.21,5.21,5.07,,,5.07,5.07,486.00M,500.00M
2018-03,51.04B,51.04B,38.53B,12.52B,2.699B,1.067B,3.766B,6.759B,,,,330.00M,80.00M,-250.00M,63.00M,10.59B,1.927B,80.00M,330.00M,-250.00M,239.00M,-250.00M,1.916B,287.00M,1.629B,,1.629B,1.629B,5.917B,3.671B,2.246B,3.36,,,3.36,3.36,3.27,,,3.27,3.27,484.00M,498.00M
2017-12,60.45B,60.45B,47.47B,12.98B,3.44B,1.044B,4.484B,6.314B,,,,338.00M,65.00M,-273.00M,59.00M,10.86B,2.127B,65.00M,338.00M,-273.00M,17.00M,-273.00M,1.871B,14.00M,1.857B,,1.857B,1.857B,5.707B,3.498B,2.209B,3.85,,,3.85,3.85,3.75,,,3.75,3.75,483.00M,496.00M
2017-09,43.74B,43.74B,33.97B,9.775B,2.479B,960.00M,3.439B,5.944B,,,,228.00M,54.00M,-174.00M,45.00M,9.428B,347.00M,54.00M,228.00M,-174.00M,143.00M,-174.00M,316.00M,58.00M,256.00M,,256.00M,256.00M,3.456B,2.912B,544.00M,0.53,,,0.53,0.53,0.52,,,0.52,0.52,481.00M,494.00M
2017-06,37.96B,37.96B,28.61B,9.346B,2.229B,874.00M,3.103B,5.549B,,,,143.00M,44.00M,-99.00M,66.00M,8.718B,628.00M,44.00M,143.00M,-99.00M,137.00M,-99.00M,666.00M,467.00M,197.00M,,197.00M,197.00M,3.442B,2.633B,809.00M,0.41,,,0.41,0.41,0.4,,,0.4,0.4,479.00M,492.00M
2017-03,35.71B,35.71B,27.14B,8.577B,1.92B,795.00M,2.715B,4.813B,,,,139.00M,39.00M,-100.00M,44.00M,7.572B,1.005B,39.00M,139.00M,-100.00M,48.00M,-100.00M,953.00M,229.00M,724.00M,,724.00M,724.00M,3.527B,2.435B,1.092B,1.52,,,1.52,1.52,1.48,,,1.48,1.48,477.00M,490.00M
2016-12,43.74B,43.74B,34.68B,9.063B,2.513B,717.00M,3.23B,4.544B,,,,133.00M,29.00M,-104.00M,34.00M,7.808B,1.255B,29.00M,133.00M,-104.00M,15.00M,-104.00M,1.166B,413.00M,749.00M,,749.00M,749.00M,3.596B,2.297B,1.299B,1.57,,,1.57,1.57,1.54,,,1.54,1.54,477.00M,487.00M
2016-09,32.71B,32.71B,25.60B,7.119B,1.738B,639.00M,2.377B,4.135B,,,,118.00M,26.00M,-92.00M,32.00M,6.544B,575.00M,26.00M,118.00M,-92.00M,8.00M,-92.00M,491.00M,229.00M,252.00M,,252.00M,252.00M,2.693B,2.084B,609.00M,0.53,,,0.53,0.53,0.52,,,0.52,0.52,474.00M,485.00M
2016-06,30.40B,30.40B,23.06B,7.346B,1.546B,580.00M,2.126B,3.88B,,,,116.00M,24.00M,-92.00M,55.00M,6.061B,1.285B,24.00M,116.00M,-92.00M,-14.00M,-92.00M,1.179B,307.00M,857.00M,,857.00M,857.00M,3.204B,1.909B,1.295B,1.81,,,1.81,1.81,1.78,,,1.78,1.78,473.00M,483.00M
2016-03,29.13B,29.13B,22.55B,6.575B,1.436B,497.00M,1.933B,3.526B,,,,117.00M,21.00M,-96.00M,45.00M,5.504B,1.071B,21.00M,117.00M,-96.00M,81.00M,-96.00M,1.056B,475.00M,513.00M,,513.00M,513.00M,3.00B,1.827B,1.173B,1.09,,,1.09,1.09,1.07,,,1.07,1.07,471.00M,481.00M
2015-12,35.75B,35.75B,28.89B,6.861B,1.758B,390.00M,2.148B,3.569B,,,,115.00M,13.00M,-102.00M,35.00M,5.752B,1.109B,13.00M,115.00M,-102.00M,-69.00M,-102.00M,938.00M,452.00M,482.00M,,482.00M,482.00M,2.805B,1.752B,1.053B,1.03,,,1.03,1.03,1.0,,,1.0,1.0,467.00M,480.00M
2015-09,25.36B,25.36B,19.98B,5.373B,1.264B,463.00M,1.727B,3.197B,,,,116.00M,13.00M,-103.00M,43.00M,4.967B,406.00M,13.00M,116.00M,-103.00M,-56.00M,-103.00M,247.00M,161.00M,79.00M,,79.00M,79.00M,1.962B,1.599B,363.00M,0.17,,,0.17,0.17,0.17,,,0.17,0.17,468.00M,478.00M
2015-06,23.18B,23.18B,18.04B,5.149B,1.15B,467.00M,1.617B,3.02B,,,,114.00M,12.00M,-102.00M,48.00M,4.685B,464.00M,12.00M,114.00M,-102.00M,,-102.00M,362.00M,266.00M,92.00M,,92.00M,92.00M,1.98B,1.504B,476.00M,0.2,,,0.2,0.2,0.19,,,0.19,0.19,467.00M,476.00M
