,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.237B,1.237B,832.70M,404.50M,,199.30M,,9.70M,,-1.00M,45.30M,2.30M,-43.00M,,209.00M,195.50M,2.30M,45.30M,-43.00M,-3.30M,-43.00M,149.20M,17.40M,131.80M,2.20M,,134.00M,133.65M,238.30M,43.80M,194.50M,0.85,0.01,0.8619,0.86,0.85,0.01,0.8619,0.86,155.50M,156.10M,0.16
2020-06,1.151B,1.151B,761.30M,389.90M,,184.50M,,9.30M,,-10.10M,43.30M,,-44.50M,,193.80M,196.10M,,43.30M,-44.50M,-6.70M,-44.50M,144.90M,44.60M,100.30M,-0.20M,,100.10M,107.70M,231.00M,42.80M,188.20M,0.64,0.0,0.6876,0.64,0.64,0.0,0.6875,0.64,155.60M,155.90M,0.16
2020-03,1.174B,1.174B,783.40M,390.50M,,194.10M,,9.00M,,-0.60M,47.80M,3.40M,-45.50M,,203.10M,187.40M,3.40M,47.80M,-45.50M,5.30M,-45.50M,147.20M,32.70M,114.50M,12.10M,,126.60M,111.00M,238.10M,43.10M,195.00M,0.74,0.08,0.7173,0.82,0.74,0.08,0.7174,0.82,154.50M,154.80M,0.16
2019-12,1.299B,1.299B,869.60M,429.30M,,215.60M,,10.40M,,-14.40M,38.50M,,-52.50M,,226.00M,203.30M,,38.50M,-52.50M,-15.30M,-52.50M,135.50M,11.10M,124.40M,-20.10M,,104.30M,145.79M,217.50M,43.50M,174.00M,0.81,-0.13,0.9489,0.68,0.8,-0.13,0.9378,0.67,154.00M,155.20M,0.16
2019-09,1.218B,1.218B,826.50M,392.00M,,221.60M,,9.50M,,-6.90M,50.70M,2.20M,-48.50M,,231.10M,160.90M,2.20M,50.70M,-48.50M,-10.10M,-48.50M,102.30M,22.80M,79.50M,-11.50M,,68.00M,85.87M,194.30M,41.30M,153.00M,0.52,-0.08,0.5614,0.44,0.51,-0.08,0.5512,0.44,154.00M,154.80M,0.16
2019-06,1.161B,1.161B,782.70M,378.30M,,266.20M,,4.40M,,-29.30M,43.20M,,-44.50M,,270.60M,107.70M,,43.20M,-44.50M,-25.40M,-44.50M,37.80M,12.30M,25.50M,7.70M,,33.20M,47.17M,114.30M,33.30M,81.00M,0.16,0.06,0.3002,0.22,0.16,0.05,0.2995,0.21,154.50M,155.30M,0.16
2019-03,1.113B,1.113B,747.50M,365.20M,,212.10M,,4.60M,,-7.40M,47.60M,2.70M,-46.10M,,216.70M,148.50M,2.70M,47.60M,-46.10M,-7.70M,-46.10M,94.70M,30.40M,64.30M,-6.80M,,57.50M,70.61M,175.00M,32.70M,142.30M,0.41,-0.04,0.4508,0.37,0.41,-0.04,0.4506,0.37,154.80M,155.40M,0.16
2018-12,1.260B,1.260B,861.20M,399.10M,,203.40M,,4.80M,,-27.40M,46.60M,,-47.00M,,208.20M,190.90M,,46.60M,-47.00M,-25.40M,-47.00M,118.50M,-80.90M,199.40M,0.90M,,200.30M,220.64M,197.90M,32.80M,165.10M,1.28,0.01,1.4169999999999998,1.29,1.28,0.0,1.4140000000000001,1.28,155.20M,158.40M,0.16
2018-09,1.186B,1.186B,820.70M,365.50M,192.10M,192.10M,,3.60M,,-6.60M,44.80M,,-46.40M,,195.70M,169.80M,,44.80M,-46.40M,-14.40M,-46.40M,109.00M,33.40M,75.60M,3.40M,,79.00M,82.82M,186.50M,32.70M,153.80M,0.48,0.02,0.5259,0.5,0.48,0.02,0.5257,0.5,157.20M,158.00M,0.16
2018-06,1.155B,1.155B,791.70M,363.50M,192.80M,192.80M,,3.40M,,-7.10M,48.40M,3.90M,-45.90M,,196.20M,167.30M,3.90M,48.40M,-45.90M,-4.60M,-45.90M,116.80M,33.50M,83.30M,31.10M,,114.40M,89.79M,198.10M,32.90M,165.20M,0.52,0.19,0.5606,0.71,0.52,0.19,0.5604,0.71,159.70M,160.60M,0.16
