,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,316.80M,,316.80M,582.70M,,65.90M,663.80M,111.50M,147.20M,372.20M,630.90M,55.20M,,,1.667B,0.0,49.40M,764.90M,2.498B,260.00M,122.60M,3.695B,-2.482B,1.214B,2.208B,167.60M,2.375B,,246.30M,325.50M,4.161B,5.828B,718.80M,42.90M,761.70M,17.00M,778.70M,,7.40M,11.80M,19.20M,34.30M,53.50M,,,481.00M,1.313B,3.685B,79.80M,3.765B,31.50M,31.50M,,,,694.40M,4.490B,5.804B,23.20M,2.284B,2.083B,3.366B,,,,,,-998.90M,24.50M
2020-06,289.70M,,289.70M,515.80M,,69.80M,600.40M,105.50M,146.70M,386.00M,638.20M,103.10M,,,1.632B,0.0,47.30M,749.30M,2.439B,219.60M,125.80M,3.581B,-2.384B,1.197B,2.196B,171.80M,2.368B,,236.10M,323.00M,4.124B,5.756B,724.10M,43.40M,767.50M,22.90M,790.40M,,,103.50M,103.50M,24.90M,128.40M,,,435.90M,1.355B,3.693B,58.70M,3.751B,31.60M,31.60M,,,,688.70M,4.472B,5.826B,23.20M,2.175B,2.071B,3.346B,,,,,,-993.00M,-70.10M
2020-03,274.60M,,274.60M,491.50M,,74.30M,581.70M,100.40M,130.40M,337.40M,568.20M,133.90M,,,1.560B,0.0,47.10M,739.00M,2.399B,218.10M,107.80M,3.511B,-2.327B,1.184B,2.196B,175.90M,2.372B,,228.80M,326.30M,4.111B,5.671B,715.30M,18.70M,734.00M,18.30M,752.30M,,166.40M,20.80M,187.20M,24.10M,211.30M,,,404.20M,1.368B,3.687B,59.90M,3.747B,31.40M,31.40M,,,,706.60M,4.485B,5.853B,23.20M,2.100B,2.060B,3.346B,,,,,,-1.018B,-181.90M
2019-12,262.40M,,262.40M,556.50M,,80.30M,669.60M,99.20M,136.20M,334.90M,570.30M,58.90M,,,1.564B,0.0,50.70M,747.00M,2.453B,231.40M,127.90M,3.610B,-2.378B,1.232B,2.217B,182.10M,2.399B,,238.60M,331.60M,4.201B,5.765B,738.50M,12.30M,750.80M,538.10M,1.289B,,98.90M,16.70M,115.60M,26.20M,141.80M,,,,1.436B,3.699B,65.70M,3.764B,30.70M,30.70M,216.70M,,,513.50M,4.525B,5.961B,23.20M,1.998B,2.074B,3.382B,,,-146.10M,-728.60M,-34.30M,-909.00M,-196.20M
2019-09,200.00M,,200.00M,449.00M,,79.60M,571.70M,117.00M,143.00M,358.30M,618.30M,201.40M,,,1.591B,0.0,45.00M,734.30M,2.398B,215.80M,151.80M,3.545B,-2.349B,1.196B,2.213B,182.10M,2.395B,,175.80M,317.90M,4.085B,5.676B,712.70M,22.30M,735.00M,41.10M,776.10M,,67.40M,151.80M,219.20M,24.60M,243.80M,,,482.40M,1.502B,3.694B,57.40M,3.751B,20.30M,20.30M,,,,706.50M,4.478B,5.980B,23.20M,1.919B,2.065B,3.382B,,,,,,-928.80M,-304.10M
2019-06,222.20M,,222.20M,485.20M,,91.70M,630.30M,93.20M,150.60M,352.30M,596.10M,127.40M,,,1.577B,0.0,42.30M,729.60M,2.379B,124.70M,153.30M,3.429B,-2.379B,1.050B,1.957B,100.50M,2.058B,,175.50M,356.60M,3.640B,5.216B,753.00M,24.60M,777.60M,52.40M,830.00M,,,,296.90M,,296.90M,,,460.50M,1.587B,3.292B,,3.292B,20.60M,20.60M,,,,658.00M,3.970B,5.558B,23.20M,1.876B,2.053B,3.382B,,,,,,-911.40M,-341.20M
2019-03,236.00M,,236.00M,464.00M,,82.70M,593.40M,90.40M,153.60M,353.40M,597.40M,127.80M,,,1.555B,0.0,41.30M,716.60M,2.318B,122.80M,175.80M,3.374B,-2.348B,1.026B,1.95B,103.30M,2.053B,,166.40M,354.00M,3.600B,5.155B,769.10M,25.10M,794.20M,36.10M,830.30M,,,,282.90M,,282.90M,,,367.90M,1.481B,3.285B,,3.285B,20.80M,20.80M,,,,660.90M,3.966B,5.447B,23.20M,1.868B,2.048B,3.333B,,,,,,-898.60M,-292.40M
2018-12,271.70M,,271.70M,473.40M,,81.30M,613.10M,79.90M,142.40M,322.60M,544.90M,124.50M,,,1.555B,0.0,41.20M,728.60M,2.326B,135.60M,155.10M,3.386B,-2.35B,1.036B,1.948B,101.70M,2.049B,,170.50M,239.40M,3.495B,5.050B,765.00M,23.50M,788.50M,457.00M,1.246B,,148.90M,88.80M,237.70M,0.00,237.70M,,,,1.489B,3.236B,0.00,3.236B,20.40M,20.40M,213.30M,,,440.00M,3.910B,5.399B,23.20M,1.836B,2.050B,3.336B,,,-136.40M,-744.80M,-39.20M,-920.40M,-348.60M
2018-09,191.30M,,191.30M,508.80M,,88.70M,630.20M,94.60M,154.10M,356.70M,605.40M,167.90M,,,1.595B,0.0,41.40M,730.90M,2.334B,134.20M,132.70M,3.373B,-2.351B,1.022B,1.952B,102.30M,2.054B,,113.60M,211.80M,3.402B,4.997B,775.30M,58.60M,833.90M,19.30M,853.20M,,,,313.40M,,313.40M,,,400.00M,1.567B,3.242B,,3.242B,18.50M,18.50M,,,,615.10M,3.876B,5.443B,23.20M,1.647B,2.043B,3.288B,,,,,,-870.70M,-445.70M
2018-06,180.10M,,180.10M,495.50M,,100.00M,615.40M,98.30M,145.20M,336.70M,580.20M,154.60M,,,1.531B,0.0,41.40M,709.60M,2.321B,119.20M,119.00M,3.310B,-2.326B,983.70M,1.932B,85.60M,2.018B,,113.60M,213.30M,3.328B,4.859B,790.70M,64.50M,855.20M,20.40M,875.60M,,,,118.60M,,118.60M,,,379.90M,1.374B,3.217B,,3.217B,19.40M,19.40M,,,,621.00M,3.858B,5.232B,23.20M,1.593B,2.035B,3.165B,,,,,,-858.80M,-372.40M
