,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,134.00M,-2.30M,,,,-2.30M,,,43.80M,43.80M,0.10M,,,12.00M,,-1.70M,-9.20M,11.50M,-17.00M,,,22.20M,7.50M,,197.20M,-34.70M,,,-0.60M,3.30M,-1.90M,-33.90M,-5.60M,-78.10M,-83.70M,,-20.00M,-20.00M,-24.90M,-24.90M,-0.30M,-128.90M,289.70M,34.40M,-7.30M,316.80M,,0.00,-5.60M,-20.00M,21.60M,43.00M
2020-06,100.10M,0.10M,,,,0.10M,,,42.80M,42.80M,-1.70M,,,10.30M,,13.10M,7.60M,-60.50M,1.80M,,,55.50M,4.40M,,172.00M,-34.90M,,,0.10M,-7.70M,,-42.50M,-2.90M,-89.80M,-92.70M,,0.00,0.00,-25.00M,-25.00M,0.00,-117.70M,274.60M,11.80M,3.30M,289.70M,,,-2.90M,0.00,15.50M,47.50M
2020-03,126.60M,-12.20M,,,,-12.20M,,,43.10M,43.10M,3.50M,,,8.90M,,8.80M,-33.60M,-27.60M,0.30M,,,-79.70M,-140.60M,,41.00M,-48.70M,,,9.30M,14.70M,,-24.70M,-3.00M,69.40M,66.40M,,0.00,0.00,-25.70M,-25.70M,-11.20M,29.50M,262.40M,45.80M,-33.60M,274.60M,,,-3.00M,0.00,15.90M,50.00M
2019-12,104.30M,20.10M,,,,20.10M,,,43.50M,43.50M,-50.70M,,,8.90M,,26.00M,40.60M,56.40M,19.20M,,,-8.70M,107.50M,,259.90M,-48.10M,,,0.10M,-2.20M,,-50.20M,-7.50M,-107.80M,-115.30M,,0.00,0.00,-24.70M,-24.70M,-15.50M,-155.50M,200.00M,54.20M,8.20M,262.40M,,420.30M,-427.80M,0.00,48.00M,56.20M
2019-09,68.00M,11.50M,,,,11.50M,,,41.30M,41.30M,1.40M,,,10.80M,,14.40M,1.70M,4.20M,-45.80M,,,-29.20M,-69.10M,,81.90M,-47.10M,,,-429.50M,-14.40M,,-491.00M,471.80M,-52.80M,419.00M,,0.00,0.00,-24.70M,-24.70M,-0.70M,393.60M,222.20M,-15.50M,-6.70M,200.00M,,474.60M,-2.80M,0.00,17.30M,43.10M
2019-06,33.20M,-7.70M,,,,-7.70M,,,33.30M,33.30M,-7.40M,,,4.80M,,-14.20M,-22.40M,5.80M,-15.50M,,,91.40M,59.30M,,104.20M,-45.10M,,,-21.50M,-0.60M,,-67.20M,-1.40M,11.80M,10.40M,,-49.60M,-49.60M,-24.70M,-24.70M,-0.30M,-64.20M,236.00M,-27.20M,13.40M,222.20M,,,-1.40M,-49.60M,16.70M,52.60M
2019-03,57.50M,6.80M,,,,6.80M,,,32.70M,32.70M,1.70M,,,8.40M,,25.50M,18.20M,-54.00M,5.10M,,,-39.70M,-70.40M,,65.10M,-49.40M,,,-4.30M,-3.50M,,-57.20M,-2.30M,21.30M,19.00M,,-17.70M,-17.70M,-25.00M,-25.00M,-10.30M,-34.00M,271.70M,-26.10M,-9.60M,236.00M,,,-2.30M,-17.70M,12.70M,43.00M
2018-12,200.30M,-1.20M,,,,-1.20M,,,32.80M,32.80M,-39.90M,,,6.30M,,5.40M,30.10M,52.00M,-2.40M,,,-10.60M,69.10M,,278.00M,-53.80M,,,3.90M,-5.60M,0.00,-55.50M,-1.60M,-71.80M,-73.40M,,-48.30M,-48.30M,-24.80M,-24.80M,2.40M,-144.10M,191.30M,78.40M,2.00M,271.70M,,0.00,,-48.30M,17.50M,54.00M
2018-09,79.00M,-2.00M,,,,-2.00M,,,32.70M,32.70M,-0.10M,,,8.30M,,12.00M,-6.80M,-20.60M,-13.70M,,,23.70M,-17.40M,,113.40M,-41.10M,,,-96.60M,7.30M,0.00,-130.40M,-105.70M,295.80M,190.10M,,-126.40M,-126.40M,-25.30M,-25.30M,-9.90M,28.50M,180.10M,11.50M,-0.30M,191.30M,,-105.70M,,-126.40M,40.40M,41.80M
2018-06,114.40M,-30.60M,,,,-30.60M,,,32.90M,32.90M,-6.00M,,,8.20M,,35.60M,-28.00M,-42.00M,51.40M,,,-66.30M,-84.90M,,70.30M,-30.30M,,,-0.70M,-13.80M,0.00,-44.80M,-23.90M,,-23.90M,,-96.20M,-96.20M,-26.20M,-26.20M,-0.20M,-146.50M,326.90M,-121.00M,-25.80M,180.10M,,-23.90M,,-96.20M,77.80M,58.00M
