,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,7.11B,1.445B,5.678B,1.961B,3.717B,,,557.00M,,2.60B,-2.60B,310.00M,-310.00M,,557.00M,3.16B,310.00M,-310.00M,-3.174B,-310.00M,-324.00M,632.00M,-956.00M,,,4.00M,-952.00M,1.023B,48.00M,62.00M,-14.00M,-0.51,,,0.5528,-0.51,-0.51,,,0.5522,-0.51,1.858B,1.859B,0.86
2020-06,6.394B,1.305B,5.062B,1.775B,3.287B,,,491.00M,,,0.00,308.00M,-308.00M,,491.00M,2.796B,308.00M,-308.00M,77.00M,-308.00M,2.565B,627.00M,1.938B,,,5.00M,1.943B,1.913B,2.938B,65.00M,2.873B,1.04,,,1.024,1.04,1.04,,,1.024,1.04,1.858B,1.859B,0.84
2020-03,6.353B,1.313B,5.046B,2.173B,2.873B,,,537.00M,,,0.00,,-275.00M,,537.00M,2.336B,,-275.00M,47.00M,-275.00M,2.108B,558.00M,1.55B,,,2.00M,1.552B,1.653B,2.401B,65.00M,2.336B,0.83,,,0.8842,0.83,0.83,,,0.8842,0.83,1.858B,1.858B,0.84
2019-12,5.97B,1.205B,4.802B,1.718B,3.084B,,,572.00M,,4.10B,-4.185B,333.00M,-291.00M,,572.00M,2.512B,333.00M,-291.00M,-3.444B,-291.00M,-1.223B,591.00M,-1.814B,,,5.00M,-1.809B,1.33B,-827.00M,63.00M,-890.00M,-0.9736,,,0.7113,-0.9736,-1.0,,,0.6849,-1.0,1.863B,1.863B,0.84
2019-09,6.836B,1.444B,5.412B,1.915B,3.497B,,,552.00M,,4.50B,-4.501B,293.00M,-293.00M,,552.00M,2.945B,293.00M,-293.00M,-4.78B,-293.00M,-2.128B,474.00M,-2.602B,,,2.00M,-2.60B,1.150B,-1.778B,57.00M,-1.835B,-1.39,,,0.6175,-1.39,-1.39,,,0.6175,-1.39,1.868B,1.868B,0.84
2019-06,6.62B,1.426B,5.193B,1.874B,3.319B,,,569.00M,,,-33.00M,312.00M,-312.00M,,569.00M,2.75B,312.00M,-312.00M,163.00M,-312.00M,2.601B,604.00M,1.997B,,,-1.00M,1.996B,2.226B,2.966B,53.00M,2.913B,1.07,,,1.193,1.07,1.07,,,1.193,1.07,1.87B,1.87B,0.8
2019-03,5.626B,1.239B,4.389B,1.578B,2.811B,,,533.00M,,,-40.00M,,-384.00M,,533.00M,2.278B,,-384.00M,-378.00M,-384.00M,1.516B,395.00M,1.121B,,,-1.00M,1.12B,1.464B,2.331B,53.00M,2.278B,0.6,,,0.7835,0.6,0.6,,,0.7835,0.6,1.874B,1.874B,0.8
2018-12,6.076B,1.328B,4.786B,1.864B,2.922B,,,797.00M,,0.00,-381.00M,194.00M,-162.00M,,797.00M,2.125B,194.00M,-162.00M,-253.00M,-162.00M,1.71B,459.00M,1.251B,,,-1.00M,1.25B,1.529B,1.963B,59.00M,1.904B,0.67,,,0.8187,0.67,0.66,,,0.8083,0.66,1.875B,1.879B,0.8
2018-09,6.802B,1.545B,5.292B,2.037B,3.255B,700.00M,,700.00M,,0.00,2.00M,159.00M,-159.00M,,700.00M,2.555B,159.00M,-159.00M,212.00M,-159.00M,2.608B,664.00M,1.944B,,,-1.00M,1.943B,1.942B,2.831B,64.00M,2.767B,1.03,,,1.0290000000000001,1.03,1.03,,,1.0290000000000001,1.03,1.883B,1.883B,0.8
2018-06,6.291B,1.426B,4.879B,1.738B,3.141B,641.00M,,641.00M,,,-2.00M,178.00M,-178.00M,,641.00M,2.50B,178.00M,-178.00M,235.00M,-178.00M,2.557B,680.00M,1.877B,,,-1.00M,1.876B,1.877B,2.786B,51.00M,2.735B,0.99,,,0.9908,0.99,0.99,,,0.9908,0.99,1.891B,1.891B,0.7
2018-03,6.081B,1.438B,4.67B,1.734B,2.936B,618.00M,,618.00M,,,-35.00M,166.00M,-166.00M,,618.00M,2.318B,166.00M,-166.00M,314.00M,-166.00M,2.466B,571.00M,1.895B,,,-1.00M,1.894B,1.921B,2.685B,53.00M,2.632B,1.0,,,1.014,1.0,1.0,,,1.014,1.0,1.899B,1.899B,0.7
2017-12,6.083B,1.387B,4.714B,1.812B,2.902B,,,657.00M,,,-8.00M,211.00M,-180.00M,,657.00M,2.245B,211.00M,-180.00M,118.00M,-180.00M,2.183B,-2.785B,4.968B,,,-2.00M,4.966B,4.971B,2.448B,54.00M,2.394B,2.59,,,2.593,2.59,2.59,,,2.593,2.59,1.903B,1.903B,0.66
2017-09,6.706B,1.606B,5.123B,1.952B,3.171B,574.00M,,574.00M,,,29.00M,169.00M,-169.00M,,574.00M,2.597B,169.00M,-169.00M,216.00M,-169.00M,2.644B,777.00M,1.867B,,,-1.00M,1.866B,1.846B,2.864B,51.00M,2.813B,0.97,,,0.9593,0.97,0.97,,,0.9593,0.97,1.915B,1.915B,0.66
2017-06,6.636B,1.595B,5.068B,1.954B,3.114B,574.00M,,574.00M,,,396.00M,177.00M,-177.00M,,574.00M,2.54B,177.00M,-177.00M,547.00M,-177.00M,2.91B,920.00M,1.99B,,,-1.00M,1.989B,1.718B,3.139B,52.00M,3.087B,1.03,,,0.8895,1.03,1.03,,,0.8895,1.03,1.928B,1.928B,0.61
2017-03,6.064B,1.494B,4.589B,1.813B,2.776B,533.00M,,533.00M,,,-4.00M,179.00M,-179.00M,,533.00M,2.243B,179.00M,-179.00M,27.00M,-179.00M,2.091B,689.00M,1.402B,,,-1.00M,1.401B,1.404B,2.322B,52.00M,2.27B,0.72,,,0.7214,0.72,0.72,,,0.7214,0.72,1.939B,1.939B,0.61
2016-12,6.222B,1.519B,4.733B,1.924B,2.809B,791.00M,,791.00M,,,13.63B,189.00M,-176.00M,,791.00M,2.018B,189.00M,-176.00M,13.87B,-176.00M,15.71B,5.43B,10.28B,,,-2.00M,10.28B,1.355B,15.95B,55.00M,15.90B,5.26,,,0.6758,5.26,5.26,,,0.6758,5.26,1.946B,1.946B,0.61
2016-09,6.857B,1.712B,5.193B,2.043B,3.15B,766.00M,,766.00M,,,-777.00M,179.00M,-179.00M,,766.00M,2.384B,179.00M,-179.00M,-478.00M,-179.00M,1.727B,633.00M,1.094B,,,-1.00M,1.093B,1.585B,1.957B,51.00M,1.906B,0.56,,,0.8122,0.56,0.56,,,0.8122,0.56,1.952B,1.952B,0.61
2016-06,6.523B,1.64B,4.881B,1.924B,2.957B,546.00M,,546.00M,,,116.00M,192.00M,-192.00M,,546.00M,2.411B,192.00M,-192.00M,315.00M,-192.00M,2.534B,880.00M,1.654B,,,-1.00M,1.653B,1.577B,2.775B,49.00M,2.726B,0.84,,,0.8013,0.84,0.84,,,0.8013,0.84,1.954B,1.954B,0.565
2016-03,6.046B,1.536B,4.53B,1.874B,2.656B,559.00M,,559.00M,,,-80.00M,200.00M,-200.00M,,559.00M,2.097B,200.00M,-200.00M,-14.00M,-200.00M,1.883B,665.00M,1.218B,,,-1.00M,1.217B,1.269B,2.132B,49.00M,2.083B,0.62,,,0.6465,0.62,0.62,,,0.6465,0.62,1.956B,1.956B,0.565
2015-12,6.274B,1.589B,4.729B,2.007B,2.722B,757.00M,,757.00M,,,5.00M,212.00M,-208.00M,0.00,757.00M,1.965B,212.00M,-208.00M,216.00M,-208.00M,1.973B,725.00M,1.248B,,,-1.00M,1.247B,1.244B,2.26B,75.00M,2.185B,0.64,,,0.6384,0.64,0.64,,,0.6384,0.64,1.958B,1.958B,0.565
2015-09,6.688B,1.721B,4.978B,1.932B,3.046B,698.00M,,698.00M,,,0.00,205.00M,-205.00M,41.00M,739.00M,2.307B,205.00M,-205.00M,187.00M,-205.00M,2.289B,761.00M,1.528B,,,0.00,1.528B,1.528B,2.544B,50.00M,2.494B,0.78,,,0.78,0.78,0.78,,,0.78,0.78,1.958B,1.958B,0.565
2015-06,6.616B,1.738B,4.875B,2.004B,2.871B,643.00M,,643.00M,,,-4.00M,195.00M,-195.00M,,643.00M,2.228B,195.00M,-195.00M,221.00M,-195.00M,2.254B,805.00M,1.449B,,,-1.00M,1.448B,1.451B,2.50B,51.00M,2.449B,0.74,,,0.7413,0.74,0.74,,,0.7413,0.74,1.962B,1.962B,0.52
2015-03,5.785B,1.532B,4.272B,1.797B,2.475B,610.00M,,610.00M,,,-228.00M,209.00M,-209.00M,,610.00M,1.865B,209.00M,-209.00M,-94.00M,-209.00M,1.562B,544.00M,1.018B,,,0.00,1.018B,1.167B,1.82B,49.00M,1.771B,0.52,,,0.5956,0.52,0.52,,,0.5956,0.52,1.966B,1.966B,0.52
2014-12,6.19B,1.645B,4.613B,1.986B,2.627B,718.00M,,718.00M,,,-44.00M,214.00M,-212.00M,-3.00M,715.00M,1.912B,214.00M,-212.00M,209.00M,-212.00M,1.909B,673.00M,1.236B,,,0.00,1.236B,1.264B,2.182B,59.00M,2.123B,0.63,,,0.6445,0.63,0.63,,,0.6445,0.63,1.969B,1.969B,0.52
2014-09,6.478B,1.738B,4.753B,2.079B,2.674B,663.00M,,663.00M,,,-7.00M,213.00M,-213.00M,5.00M,668.00M,2.006B,213.00M,-213.00M,321.00M,-213.00M,2.114B,717.00M,1.397B,,,0.00,1.397B,1.402B,2.376B,49.00M,2.327B,0.71,,,0.7123,0.71,0.71,,,0.7123,0.71,1.976B,1.976B,0.52
2014-06,6.221B,1.685B,4.571B,1.968B,2.603B,638.00M,,638.00M,,,10.00M,230.00M,-230.00M,,638.00M,1.965B,230.00M,-230.00M,210.00M,-230.00M,1.945B,683.00M,1.262B,,,0.00,1.262B,1.256B,2.225B,50.00M,2.175B,0.64,,,0.6367,0.64,0.64,,,0.6367,0.64,1.98B,1.98B,0.48
2014-03,5.502B,1.509B,4.008B,1.752B,2.256B,520.00M,,520.00M,,,-2.00M,153.00M,-153.00M,,520.00M,1.736B,153.00M,-153.00M,223.00M,-153.00M,1.806B,631.00M,1.175B,,,0.00,1.175B,1.176B,2.009B,50.00M,1.959B,0.59,,,0.5907,0.59,0.59,,,0.5907,0.59,1.986B,1.986B,0.48
2013-12,6.063B,1.676B,4.404B,1.996B,2.408B,602.00M,,602.00M,,,-1.094B,259.00M,-255.00M,-3.00M,599.00M,1.809B,259.00M,-255.00M,-841.00M,-255.00M,713.00M,225.00M,488.00M,,,0.00,488.00M,1.237B,1.026B,54.00M,972.00M,0.24,,,0.6157,0.24,0.24,,,0.6157,0.24,1.993B,1.993B,0.48
2013-09,6.435B,1.793B,4.76B,1.939B,2.821B,664.00M,,664.00M,,,0.00,269.00M,-269.00M,25.00M,689.00M,2.132B,269.00M,-269.00M,255.00M,-269.00M,2.118B,722.00M,1.396B,,,0.00,1.396B,1.396B,2.439B,52.00M,2.387B,0.7,,,0.7,0.7,0.7,,,0.7,0.7,1.998B,1.998B,0.48
2013-06,6.273B,1.779B,4.526B,1.972B,2.554B,552.00M,,552.00M,,,-1.00M,,-264.00M,,552.00M,2.002B,,-264.00M,226.00M,-264.00M,1.964B,698.00M,1.266B,,,0.00,1.266B,1.267B,2.054B,52.00M,2.002B,0.63,,,0.6303,0.63,0.63,,,0.6303,0.63,2.002B,2.002B,0.44
2013-03,5.484B,1.555B,3.973B,1.299B,2.674B,522.00M,,522.00M,,,0.00,,-261.00M,,522.00M,2.152B,,-261.00M,256.00M,-261.00M,2.147B,762.00M,1.385B,,,0.00,1.385B,1.385B,2.206B,54.00M,2.152B,0.69,,,0.69,0.69,0.69,,,0.69,0.69,2.003B,2.003B,0.44
2012-12,6.228B,1.782B,4.46B,2.077B,2.383B,623.00M,,623.00M,,,-14.00M,260.00M,-258.00M,-4.00M,604.00M,1.779B,260.00M,-258.00M,237.00M,-258.00M,1.758B,653.00M,1.105B,,,-2.00M,1.103B,1.112B,2.074B,56.00M,2.018B,0.55,,,0.5544,0.55,0.55,,,0.5544,0.55,2.012B,2.012B,0.44
