,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.123B,4.123B,151.00M,,151.00M,960.00M,450.00M,452.00M,,1.862B,,263.00M,6.399B,,,,,,5.173B,-3.164B,2.009B,5.177B,12.63B,17.81B,19.41B,1.025B,40.25B,46.65B,348.00M,1.602B,,1.95B,4.84B,6.79B,1.50B,1.50B,,8.29B,27.76B,27.76B,4.724B,4.724B,2.202B,93.00M,39.00M,409.00M,35.13B,43.42B,935.00M,34.36B,5.973B,34.34B,,,-3.781B,3.139B
2020-06,4.826B,4.826B,140.00M,,140.00M,962.00M,433.00M,519.00M,,1.914B,,124.00M,7.004B,,,,,,5.137B,-3.135B,2.002B,5.177B,12.65B,17.83B,22.32B,1.048B,43.20B,50.20B,273.00M,1.565B,2.391B,4.229B,3.671B,7.90B,1.50B,1.50B,,9.40B,27.54B,27.54B,4.847B,4.847B,2.177B,98.00M,38.00M,410.00M,35.01B,44.41B,935.00M,36.91B,5.964B,34.34B,,,-3.774B,5.688B
2020-03,5.616B,5.616B,147.00M,,147.00M,1.088B,467.00M,451.00M,,2.006B,,166.00M,7.935B,,,,,,5.103B,-3.106B,1.997B,5.177B,12.67B,17.84B,23.86B,980.00M,44.68B,52.62B,278.00M,1.565B,393.00M,2.236B,5.918B,8.154B,3.00B,3.00B,,11.15B,26.97B,26.97B,5.191B,5.191B,2.225B,94.00M,38.00M,402.00M,34.83B,45.98B,935.00M,36.53B,5.959B,34.35B,,,-2.533B,6.543B
2019-12,2.117B,2.117B,152.00M,,268.00M,1.066B,696.00M,531.00M,,2.293B,,146.00M,4.824B,0.0,353.00M,1.461B,2.998B,262.00M,5.074B,-3.075B,1.999B,5.177B,12.69B,17.86B,23.58B,1.003B,44.45B,49.27B,325.00M,1.565B,,1.89B,5.284B,7.174B,1.00B,1.00B,,8.174B,27.04B,27.04B,5.083B,5.083B,2.27B,97.00M,38.00M,345.00M,34.78B,42.95B,935.00M,36.54B,5.97B,34.36B,,,-2.864B,6.222B
2019-09,1.604B,1.604B,165.00M,,180.00M,1.021B,598.00M,569.00M,,2.188B,,319.00M,4.291B,,,,,,5.009B,-3.047B,1.962B,5.262B,12.69B,17.95B,27.35B,1.364B,48.62B,52.91B,246.00M,1.573B,,1.819B,4.843B,6.662B,1.00B,1.00B,,7.662B,26.90B,26.90B,5.24B,5.24B,2.116B,92.00M,39.00M,316.00M,34.61B,42.28B,935.00M,39.91B,5.96B,33.86B,,,-2.402B,10.54B
2019-06,1.796B,1.796B,163.00M,,242.00M,1.031B,603.00M,601.00M,,2.235B,,210.00M,4.483B,,,,,,4.933B,-3.016B,1.917B,5.196B,12.33B,17.53B,32.09B,1.48B,53.02B,57.50B,224.00M,1.498B,,1.722B,4.086B,5.808B,2.144B,2.144B,,7.952B,27.10B,27.10B,5.378B,5.378B,2.207B,2.00M,38.00M,364.00M,35.08B,43.04B,935.00M,44.08B,5.953B,33.86B,,,-2.646B,14.46B
2019-03,3.352B,3.352B,158.00M,,161.00M,1.12B,651.00M,585.00M,,2.356B,,393.00M,6.262B,,,,,,4.917B,-2.995B,1.922B,5.196B,12.33B,17.52B,32.02B,1.511B,52.97B,59.23B,205.00M,1.501B,,1.706B,6.269B,7.975B,2.144B,2.144B,,10.12B,27.02B,27.02B,5.353B,5.353B,2.261B,2.00M,38.00M,357.00M,35.03B,45.15B,935.00M,43.58B,5.943B,33.66B,,,-2.717B,14.08B
2018-12,1.333B,1.333B,142.00M,,309.00M,1.126B,647.00M,558.00M,,2.331B,,326.00M,4.299B,0.0,309.00M,1.442B,2.981B,218.00M,4.95B,-3.012B,1.938B,5.196B,12.28B,17.48B,30.50B,1.251B,51.16B,55.46B,399.00M,1.503B,,1.902B,5.443B,7.345B,13.85B,13.85B,,21.19B,11.90B,11.90B,4.993B,4.993B,2.293B,2.00M,39.00M,254.00M,19.48B,40.67B,935.00M,43.96B,5.961B,33.52B,,,-2.547B,14.79B
2018-09,2.393B,2.393B,187.00M,,271.00M,982.00M,506.00M,589.00M,,2.077B,,424.00M,5.165B,,,,,,4.861B,-2.97B,1.891B,5.307B,12.38B,17.69B,18.67B,532.00M,38.79B,43.95B,289.00M,1.508B,,1.797B,4.842B,6.639B,2.007B,2.007B,,8.646B,11.90B,11.90B,5.427B,5.427B,2.243B,2.00M,38.00M,207.00M,19.81B,28.46B,935.00M,43.80B,5.959B,33.17B,,,-2.034B,15.49B
2018-06,1.43B,1.43B,144.00M,,326.00M,1.001B,501.00M,621.00M,,2.123B,,252.00M,4.131B,,,,,,4.818B,-2.94B,1.878B,5.307B,12.40B,17.71B,19.03B,422.00M,39.05B,43.18B,209.00M,1.325B,,1.534B,3.99B,5.524B,864.00M,864.00M,,6.388B,13.04B,13.04B,5.376B,5.376B,2.312B,2.00M,37.00M,230.00M,20.99B,27.38B,935.00M,43.37B,5.948B,32.80B,,,-1.652B,15.80B
2018-03,2.191B,2.191B,133.00M,,133.00M,1.104B,547.00M,606.00M,,2.257B,,243.00M,4.824B,,,,,,4.879B,-2.988B,1.891B,5.307B,12.40B,17.71B,19.05B,424.00M,39.08B,43.90B,203.00M,1.33B,,1.533B,5.078B,6.611B,864.00M,864.00M,,7.475B,13.03B,13.03B,5.292B,5.292B,2.369B,3.00M,37.00M,296.00M,21.03B,28.50B,935.00M,42.82B,5.938B,32.37B,,,-1.927B,15.39B
2017-12,1.253B,1.253B,142.00M,,603.00M,1.111B,560.00M,554.00M,,2.225B,,263.00M,4.344B,0.0,302.00M,1.437B,2.975B,165.00M,4.879B,-2.965B,1.914B,5.307B,12.40B,17.71B,17.95B,1.285B,38.86B,43.20B,374.00M,1.258B,,1.632B,4.296B,5.928B,864.00M,864.00M,,6.792B,13.03B,13.03B,5.247B,5.247B,2.432B,3.00M,38.00M,283.00M,21.03B,27.82B,935.00M,42.25B,5.952B,31.86B,,,-1.897B,15.38B
2017-09,2.582B,2.582B,148.00M,,148.00M,964.00M,432.00M,591.00M,,1.987B,,439.00M,5.156B,,,,,,4.846B,-2.939B,1.907B,5.307B,12.20B,17.50B,19.11B,480.00M,39.00B,44.16B,270.00M,1.264B,,1.534B,5.128B,6.662B,,,,6.662B,13.89B,13.89B,8.234B,8.234B,2.796B,3.00M,37.00M,372.00M,25.33B,31.99B,935.00M,38.54B,5.94B,31.30B,,,-1.946B,12.17B
2017-06,2.255B,2.255B,119.00M,,119.00M,947.00M,434.00M,618.00M,,1.999B,,238.00M,4.611B,,,,,,4.852B,-2.952B,1.90B,5.307B,12.20B,17.50B,19.21B,505.00M,39.12B,43.73B,194.00M,1.176B,108.00M,1.478B,4.104B,5.582B,,,,5.582B,13.89B,13.89B,8.527B,8.527B,2.879B,3.00M,36.00M,394.00M,25.72B,31.30B,935.00M,37.94B,5.928B,30.55B,,,-1.838B,12.42B
2017-03,5.228B,5.228B,135.00M,,135.00M,1.058B,492.00M,572.00M,,2.122B,,141.00M,7.626B,,,,,,4.856B,-2.933B,1.923B,5.307B,12.20B,17.51B,18.60B,520.00M,38.55B,46.18B,235.00M,1.184B,416.00M,1.835B,6.465B,8.30B,,,,8.30B,13.88B,13.88B,8.309B,8.309B,2.95B,3.00M,38.00M,431.00M,25.61B,33.91B,935.00M,37.12B,5.909B,29.50B,,,-2.212B,12.26B
2016-12,4.569B,4.569B,151.00M,,420.00M,1.056B,512.00M,483.00M,,2.051B,,220.00M,7.26B,0.0,316.00M,1.481B,2.917B,121.00M,4.835B,-2.877B,1.958B,5.285B,12.04B,17.32B,18.88B,513.00M,38.67B,45.93B,425.00M,1.188B,,1.613B,5.762B,7.375B,,,,7.375B,13.88B,13.88B,8.416B,8.416B,3.022B,3.00M,38.00M,427.00M,25.78B,33.16B,935.00M,36.91B,5.893B,28.91B,,,-2.052B,12.77B
2016-09,2.298B,2.298B,146.00M,,146.00M,1.018B,410.00M,552.00M,,1.98B,1.188B,791.00M,6.403B,,,,,,4.82B,-2.851B,1.969B,5.285B,12.04B,17.33B,6.872B,363.00M,26.53B,32.93B,296.00M,1.193B,,1.489B,5.406B,6.895B,,,,6.895B,13.88B,13.88B,5.607B,5.607B,3.159B,3.00M,36.00M,412.00M,23.09B,29.99B,935.00M,27.82B,5.864B,28.39B,,,-3.278B,2.944B
2016-06,819.00M,819.00M,122.00M,,122.00M,1.016B,391.00M,563.00M,,1.97B,1.188B,501.00M,4.60B,,,,,,4.866B,-2.904B,1.962B,5.285B,12.05B,17.33B,7.032B,398.00M,26.72B,31.32B,193.00M,1.107B,,1.30B,4.212B,5.512B,,,,5.512B,12.84B,12.84B,5.659B,5.659B,3.722B,3.00M,36.00M,415.00M,22.67B,28.18B,935.00M,27.92B,5.851B,28.22B,,,-3.34B,3.14B
2016-03,3.815B,3.815B,104.00M,,104.00M,1.172B,436.00M,500.00M,,2.108B,1.175B,296.00M,7.498B,,,,,,4.849B,-2.894B,1.955B,5.285B,12.02B,17.31B,6.908B,394.00M,26.56B,34.06B,208.00M,1.109B,590.00M,1.907B,6.705B,8.612B,4.00M,4.00M,,8.616B,12.85B,12.85B,5.606B,5.606B,3.793B,3.00M,37.00M,417.00M,22.70B,31.32B,935.00M,27.37B,5.818B,28.05B,,,-3.327B,2.745B
2015-12,2.369B,2.369B,124.00M,,124.00M,1.138B,444.00M,449.00M,,2.031B,,387.00M,4.911B,0.0,295.00M,1.406B,2.969B,207.00M,4.877B,-2.895B,1.982B,5.285B,12.03B,17.31B,6.722B,531.00M,26.55B,31.46B,400.00M,1.11B,,1.51B,5.556B,7.066B,4.00M,4.00M,,7.07B,12.84B,12.84B,4.667B,4.667B,3.522B,-7.00M,37.00M,447.00M,21.52B,28.59B,935.00M,27.26B,5.813B,27.84B,,,-3.28B,2.88B
2015-09,1.907B,1.907B,137.00M,,137.00M,1.05B,393.00M,511.00M,,1.954B,1.143B,370.00M,5.511B,,,,,,4.866B,-2.85B,2.016B,5.285B,12.03B,17.32B,6.737B,417.00M,26.49B,32.00B,307.00M,1.11B,,1.417B,5.147B,6.564B,3.00M,3.00M,,6.567B,12.92B,12.92B,5.831B,5.831B,3.347B,-6.00M,35.00M,420.00M,22.55B,29.12B,935.00M,27.12B,5.80B,27.81B,,,-3.157B,2.887B
2015-06,1.123B,1.123B,142.00M,,142.00M,1.066B,367.00M,481.00M,,1.914B,1.143B,311.00M,4.633B,,,,,,4.805B,-2.814B,1.991B,5.285B,12.04B,17.32B,7.456B,465.00M,27.24B,31.87B,290.00M,1.023B,,1.313B,3.945B,5.258B,1.003B,1.003B,,6.261B,12.92B,12.92B,6.011B,6.011B,3.396B,-6.00M,36.00M,475.00M,22.84B,29.10B,935.00M,26.70B,5.768B,27.74B,,,-2.878B,2.779B
2015-03,3.674B,3.674B,172.00M,,172.00M,1.219B,410.00M,456.00M,,2.085B,1.143B,159.00M,7.233B,,,,,,4.784B,-2.812B,1.972B,5.285B,12.04B,17.33B,7.21B,468.00M,26.98B,34.21B,274.00M,1.026B,482.00M,1.782B,6.113B,7.895B,1.00B,1.00B,,8.895B,12.90B,12.90B,5.907B,5.907B,3.432B,-5.00M,34.00M,515.00M,22.79B,31.68B,935.00M,26.27B,5.754B,27.48B,,,-2.945B,2.533B
2014-12,3.321B,3.321B,124.00M,,124.00M,1.191B,429.00M,420.00M,,2.04B,1.143B,250.00M,6.878B,0.0,293.00M,1.323B,2.986B,153.00M,4.755B,-2.772B,1.983B,5.285B,12.05B,17.33B,7.797B,483.00M,27.60B,34.48B,416.00M,1.028B,,1.444B,5.229B,6.673B,1.00B,1.00B,,7.673B,13.69B,13.69B,6.088B,6.088B,3.473B,-4.00M,35.00M,503.00M,23.79B,31.46B,935.00M,26.28B,5.735B,27.25B,,,-2.682B,3.014B
2014-09,2.241B,2.241B,106.00M,,106.00M,1.028B,347.00M,515.00M,,1.89B,1.095B,330.00M,5.662B,,,,,,4.851B,-2.853B,1.998B,5.285B,12.05B,17.34B,8.413B,670.00M,28.42B,34.08B,332.00M,1.031B,,1.363B,4.704B,6.067B,1.30B,1.30B,,7.367B,12.69B,12.69B,6.829B,6.829B,2.365B,-3.00M,35.00M,502.00M,22.42B,29.79B,935.00M,26.07B,5.723B,26.98B,,,-1.454B,4.294B
2014-06,1.193B,1.193B,105.00M,,105.00M,1.029B,335.00M,486.00M,,1.85B,1.101B,226.00M,4.475B,,,,,,4.816B,-2.819B,1.997B,5.285B,12.06B,17.34B,8.816B,650.00M,28.81B,33.28B,311.00M,954.00M,,1.265B,3.781B,5.046B,,,,5.046B,13.99B,13.99B,6.97B,6.97B,2.365B,-2.00M,34.00M,481.00M,23.84B,28.89B,935.00M,25.70B,5.692B,26.70B,,,-1.229B,4.395B
2014-03,3.62B,3.62B,113.00M,,113.00M,1.164B,379.00M,427.00M,,1.97B,1.10B,174.00M,6.977B,,,,,,4.828B,-2.825B,2.003B,5.174B,12.05B,17.23B,8.608B,591.00M,28.43B,35.41B,321.00M,957.00M,518.00M,1.796B,5.788B,7.584B,,,,7.584B,13.99B,13.99B,6.908B,6.908B,2.369B,-2.00M,34.00M,406.00M,23.71B,31.29B,935.00M,25.39B,5.678B,26.57B,,,-1.318B,4.115B
2013-12,3.175B,3.175B,115.00M,,115.00M,1.113B,394.00M,372.00M,,1.879B,1.10B,321.00M,6.59B,0.0,291.00M,1.308B,3.111B,107.00M,4.817B,-2.789B,2.028B,5.174B,12.06B,17.23B,8.452B,557.00M,28.27B,34.86B,409.00M,959.00M,,1.368B,5.165B,6.533B,525.00M,525.00M,,7.058B,13.99B,13.99B,6.854B,6.854B,2.367B,-1.00M,35.00M,435.00M,23.68B,30.74B,935.00M,25.17B,5.714B,26.32B,,,-1.378B,4.119B
2013-09,4.211B,4.211B,92.00M,,92.00M,975.00M,307.00M,436.00M,,1.718B,1.218B,310.00M,7.549B,,,,,,4.787B,-2.746B,2.041B,5.174B,12.06B,17.24B,8.673B,450.00M,28.40B,35.95B,347.00M,963.00M,,1.31B,5.043B,6.353B,1.984B,1.984B,,8.337B,12.89B,12.89B,6.466B,6.466B,3.735B,0.00,34.00M,505.00M,23.63B,31.97B,935.00M,25.64B,5.701B,26.07B,,,-2.223B,3.981B
2013-06,2.571B,2.571B,114.00M,,114.00M,941.00M,311.00M,449.00M,,1.701B,1.217B,257.00M,5.86B,,,,,,4.776B,-2.736B,2.04B,5.174B,12.07B,17.24B,8.847B,451.00M,28.58B,34.44B,275.00M,885.00M,,1.16B,3.926B,5.086B,1.984B,1.984B,,7.07B,12.89B,12.89B,6.56B,6.56B,3.791B,1.00M,33.00M,530.00M,23.80B,30.87B,935.00M,25.20B,5.67B,25.91B,,,-2.33B,3.565B
