,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,-956.00M,,105.00M,472.00M,,577.00M,62.00M,62.00M,-107.00M,2.599B,60.00M,-11.00M,49.00M,-1.375B,,,-1.337B,,898.00M,-56.00M,,,0.00,,12.00M,-44.00M,0.00,0.00,0.00,,0.00,0.00,-1.564B,-1.564B,0.00,-1.564B,4.894B,-710.00M,,4.184B,,0.00,0.00,0.00
2020-06,1.938B,,-40.00M,-9.00M,,-49.00M,65.00M,65.00M,-30.00M,-18.00M,51.00M,7.00M,92.00M,-347.00M,,,-248.00M,,1.817B,-54.00M,,,0.00,,43.00M,-11.00M,1.993B,-3.00B,-1.007B,,0.00,0.00,-1.563B,-1.563B,-6.00M,-2.576B,5.664B,-770.00M,,4.894B,,1.993B,-3.00B,0.00
2020-03,1.55B,,137.00M,-157.00M,,-20.00M,65.00M,65.00M,26.00M,-23.00M,429.00M,5.00M,-5.00M,1.102B,,,1.102B,,3.129B,-52.00M,,,0.00,,,-52.00M,-1.00B,3.00B,2.00B,,0.00,0.00,-1.563B,-1.563B,-10.00M,427.00M,2.16B,3.504B,,5.664B,,3.00B,-1.00B,0.00
2019-12,-1.814B,,115.00M,-859.00M,,-744.00M,63.00M,63.00M,166.00M,4.174B,20.00M,13.00M,-105.00M,615.00M,,,523.00M,,2.563B,-86.00M,,,-41.00M,,141.00M,14.00M,0.00,0.00,0.00,,-499.00M,-499.00M,-1.571B,-1.571B,8.00M,-2.062B,1.645B,515.00M,,2.16B,,0.00,0.00,-499.00M
2019-09,-2.602B,,636.00M,-333.00M,,303.00M,57.00M,57.00M,-209.00M,4.468B,80.00M,0.00,51.00M,734.00M,,,785.00M,,2.882B,-81.00M,,,-452.00M,,97.00M,-436.00M,-1.144B,0.00,-1.144B,,0.00,0.00,-1.497B,-1.497B,4.00M,-2.637B,1.836B,-191.00M,,1.645B,,0.00,-1.144B,0.00
2019-06,1.997B,,266.00M,-447.00M,,-181.00M,53.00M,53.00M,20.00M,-18.00M,13.00M,-5.00M,121.00M,-2.118B,,,-2.002B,,103.00M,-41.00M,,,-1.00M,,16.00M,-26.00M,0.00,0.00,0.00,,-195.00M,-195.00M,-1.499B,-1.499B,-2.00M,-1.696B,3.455B,-1.619B,,1.836B,,0.00,0.00,-195.00M
2019-03,1.121B,,425.00M,-86.00M,,339.00M,53.00M,53.00M,-72.00M,17.00M,190.00M,-16.00M,-25.00M,682.00M,,,641.00M,,2.289B,-38.00M,,,-1.831B,,-81.00M,-1.95B,16.26B,-12.80B,3.465B,,-151.00M,-151.00M,-1.502B,-1.502B,-129.00M,1.683B,1.433B,2.022B,,3.455B,,16.26B,-12.80B,-151.00M
2018-12,1.251B,,,-131.00M,,-131.00M,59.00M,59.00M,-272.00M,378.00M,54.00M,45.00M,-276.00M,537.00M,,,306.00M,,1.825B,-106.00M,,,-12.80B,,55.00M,-12.85B,-864.00M,12.80B,11.94B,,-356.00M,-356.00M,-1.506B,-1.506B,-107.00M,9.967B,2.492B,-1.059B,,1.433B,,12.80B,-864.00M,-356.00M
2018-09,1.944B,,,-189.00M,,-189.00M,64.00M,64.00M,151.00M,-8.00M,-93.00M,-43.00M,42.00M,848.00M,,,847.00M,,2.716B,-60.00M,,,-15.00M,,19.00M,-56.00M,0.00,0.00,0.00,,-367.00M,-367.00M,-1.324B,-1.324B,0.00,-1.691B,1.523B,969.00M,,2.492B,,0.00,0.00,-367.00M
2018-06,1.877B,,,-228.00M,,-228.00M,51.00M,51.00M,10.00M,-9.00M,28.00M,-11.00M,135.00M,-1.289B,,,-1.165B,,1.041B,-38.00M,,,0.00,,-2.00M,-40.00M,0.00,0.00,0.00,,-437.00M,-437.00M,-1.328B,-1.328B,-2.00M,-1.767B,2.289B,-766.00M,,1.523B,,0.00,0.00,-437.00M
