,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,80.49M,,,,1.088M,32.15M,1.342M,33.49M,33.49M,,,,,-40.30M,-27.76M,,26.40M,-1.296M,5.866M,,-37.09M,,77.98M,14.69M,,14.69M,,-40.38M,-52.82M,-78.51M,,-0.154M,2.043M,,2.043M,,,,,1.889M,222.97M,1.365M,,224.34M,2.043M,,,
2004-03,40.25M,,,,5.358M,29.54M,1.58M,31.12M,31.12M,,,,,-25.71M,-26.02M,,11.12M,4.944M,-0.063M,,-35.74M,,40.99M,-39.47M,,-39.47M,,-33.23M,,-72.70M,,-0.075M,26.32M,,26.32M,,,,,26.24M,228.44M,-5.474M,,222.97M,26.32M,,,
2003-12,-11.49M,,,,20.86M,35.65M,1.098M,36.74M,36.74M,,,,-1.427M,-4.415M,2.092M,,-9.805M,3.867M,0.748M,,-7.513M,,35.16M,-8.564M,-15.77M,-24.33M,,-1.016M,19.18M,-6.169M,,0.30M,12.15M,,12.15M,,,,,12.45M,187.00M,41.44M,,228.44M,12.15M,,,
2003-09,-53.51M,,,,11.37M,35.57M,1.206M,36.78M,36.78M,,,,0.264M,-4.79M,13.50M,,9.336M,12.89M,-0.472M,,30.47M,,25.37M,-8.513M,11.92M,3.407M,,-68.07M,-13.81M,-78.48M,,-43.10M,45.31M,,45.31M,,,,,2.206M,237.90M,-50.90M,,187.00M,45.31M,,,
2003-06,-52.49M,,,,6.024M,38.04M,1.402M,39.44M,39.44M,,,,4.856M,0.768M,16.27M,,18.30M,-14.11M,-1.062M,,20.16M,,17.99M,-12.16M,-2.114M,-14.27M,,-4.984M,-4.303M,-23.56M,,-0.299M,23.89M,,23.89M,,,,,23.59M,219.88M,18.02M,,237.90M,23.89M,,,
2003-03,-76.50M,,,,16.85M,38.03M,1.493M,39.53M,39.53M,,,,,-49.91M,24.43M,,6.198M,-3.532M,-1.425M,,-24.24M,,-44.36M,-1.596M,8.078M,6.482M,,4.259M,-16.90M,-6.16M,,-0.291M,19.17M,,19.17M,,,,,18.88M,251.52M,-31.64M,,219.88M,19.17M,,,
2002-12,-423.77M,,,,38.07M,41.83M,1.835M,43.67M,43.67M,280.55M,,,,48.73M,47.02M,,-19.92M,5.542M,-4.587M,,76.79M,,15.31M,-7.38M,,-7.38M,,-36.01M,-1.449M,-53.23M,,-0.527M,0.615M,,0.615M,,,,,0.088M,289.36M,-37.84M,,251.52M,0.615M,,,
2002-09,-166.83M,,,,131.44M,35.47M,2.039M,37.51M,37.51M,-47.62M,,,-7.67M,-102.12M,16.72M,,43.03M,84.23M,-2.203M,,39.66M,,-13.53M,-8.346M,,-8.346M,,18.78M,-19.50M,-9.072M,,-0.518M,0.189M,,0.189M,,,,,-0.329M,312.28M,-22.93M,,289.36M,0.189M,,,
2002-06,-50.73M,,,,0.987M,38.82M,2.096M,40.91M,40.91M,-30.68M,,,-1.484M,53.50M,30.78M,,12.40M,-76.97M,-0.413M,,19.30M,,-21.70M,-15.81M,,-15.81M,,136.79M,-2.31M,118.67M,,0.586M,3.373M,,3.373M,,,,,3.959M,211.35M,100.93M,,312.28M,3.373M,,,
2002-03,-77.14M,,,,1.043M,35.70M,1.908M,37.60M,37.60M,-56.92M,,,9.154M,-6.397M,33.76M,,-17.90M,76.97M,15.50M,,101.93M,,15.67M,-14.90M,,-14.90M,,-137.00M,-6.663M,-158.56M,,-0.412M,37.06M,,37.06M,,,,,36.65M,317.59M,-106.24M,,211.35M,37.06M,,,
2001-12,-112.59M,,,,0.158M,34.83M,2.782M,37.62M,37.62M,-69.15M,,,14.87M,57.22M,64.22M,,-66.10M,-11.56M,15.22M,,58.99M,,-70.11M,-22.16M,0.00,-22.16M,,-62.12M,10.53M,-73.75M,,343.45M,5.237M,,5.237M,,,,,348.69M,112.76M,204.83M,,317.59M,5.237M,,,
2001-09,-103.40M,,,,33.30M,33.78M,1.551M,35.33M,35.33M,1.474M,,,-4.264M,47.16M,62.03M,,12.37M,-69.08M,-4.695M,,47.78M,,10.22M,-2.537M,0.00,-2.537M,,-3.124M,-42.21M,-47.87M,,0.323M,6.054M,,6.054M,,,,,6.377M,144.04M,-31.28M,,112.76M,6.054M,,,
2001-06,-40.18M,,,,-14.78M,33.69M,1.641M,35.33M,35.33M,0.00,,,1.83M,104.61M,40.06M,,-75.51M,2.724M,-22.82M,,49.05M,,31.25M,-95.78M,26.25M,-69.53M,,-16.33M,17.23M,-68.63M,,-0.144M,10.11M,,10.11M,,,,,9.962M,171.46M,-27.42M,,144.04M,10.11M,,,
2001-03,53.96M,,,,,28.65M,1.745M,30.39M,30.39M,20.59M,,,2.434M,76.25M,-7.643M,,-235.24M,3.23M,5.703M,,-157.70M,,-50.33M,-77.70M,,-77.70M,,37.84M,-17.23M,-57.09M,,-0.692M,37.15M,,37.15M,,,,,36.45M,242.42M,-70.96M,,171.46M,37.15M,,,
2000-12,53.45M,,,,,26.06M,0.277M,26.33M,26.33M,-44.24M,,,-2.911M,118.17M,-39.70M,,61.75M,0.016M,5.286M,,145.52M,,178.14M,-67.74M,,-67.74M,0.00,12.69M,-22.58M,-77.63M,,-0.624M,2.25M,-86.81M,-84.56M,,,,,-85.19M,227.09M,15.33M,,242.42M,2.25M,,,-86.81M
2000-09,242.01M,,,,,22.87M,0.852M,23.72M,23.72M,37.95M,,,-9.037M,-55.43M,-8.749M,,-138.59M,2.845M,13.46M,,-186.46M,,108.19M,-24.61M,,-24.61M,1.885M,35.89M,-40.48M,-27.32M,,-4.568M,1.909M,-14.37M,-12.46M,,,,,-17.02M,163.25M,63.84M,,227.09M,1.909M,,,-14.37M
2000-06,49.06M,,,,,27.11M,0.402M,27.52M,27.52M,-37.95M,,,1.071M,-44.58M,-147.28M,,251.24M,-3.098M,38.90M,,95.19M,,134.89M,-112.04M,,-112.04M,,-15.00M,15.96M,-111.08M,,-0.055M,9.295M,0.00,9.295M,,,,,9.24M,130.20M,33.05M,,163.25M,9.295M,,,0.00
2000-03,109.09M,,,,,23.89M,0.402M,24.29M,24.29M,,,,-0.12M,-132.09M,-39.59M,,52.39M,7.826M,27.83M,,-83.63M,,49.64M,-30.79M,,-30.79M,,-49.51M,-15.96M,-96.27M,,-0.036M,41.81M,-46.29M,-4.484M,,,,,-4.52M,181.34M,-51.15M,,130.20M,41.81M,,,-46.29M
1999-12,75.20M,,,,1.10M,,,21.80M,21.80M,,,,-0.20M,18.80M,14.00M,,-4.10M,-7.50M,40.80M,,62.00M,,155.80M,-41.40M,,-41.40M,,29.90M,-9.40M,-20.90M,,0.00,12.60M,-87.20M,-74.60M,,,,,-74.60M,121.20M,60.30M,,181.30M,12.60M,,,-87.20M
1999-09,62.70M,,,,3.30M,-43.54M,-0.554M,20.51M,20.51M,,,,-0.613M,-30.19M,-25.49M,,39.19M,0.23M,17.73M,,1.473M,,87.37M,-26.72M,,-26.72M,,-30.29M,-15.33M,-72.34M,,-0.349M,18.36M,-55.21M,-36.86M,,,,,-37.20M,143.28M,-22.17M,,121.20M,18.36M,,,-55.21M
1999-06,35.80M,,,,0.30M,43.54M,0.554M,21.99M,21.99M,,,,0.613M,-24.71M,-14.81M,,73.11M,-14.13M,10.67M,,30.13M,,88.83M,-26.98M,,-26.98M,,-89.51M,-6.57M,-123.06M,,-0.551M,15.14M,-32.89M,-17.74M,,,,,-18.30M,195.80M,-52.53M,,143.28M,15.14M,,,-32.89M
1999-03,18.00M,,,,-0.30M,,,22.10M,22.10M,,,,0.10M,-40.80M,24.00M,,7.60M,-3.20M,8.00M,,-4.40M,,35.50M,-24.70M,,-24.70M,,-3.80M,,-28.50M,,-0.40M,36.20M,-32.50M,3.70M,,,,,3.30M,185.50M,10.30M,,195.80M,36.20M,,,-32.50M
1998-12,11.82M,,,,-0.80M,-55.07M,-0.676M,20.65M,20.65M,,,,3.235M,61.76M,30.29M,,-21.85M,2.41M,17.24M,,89.86M,,110.17M,-66.42M,,-66.42M,,-13.58M,46.47M,-33.53M,,-0.378M,6.891M,-28.94M,-22.05M,,,,,-22.43M,131.26M,54.20M,,185.50M,6.891M,,,-28.94M
1998-09,1.275M,,,,23.00M,19.10M,0.249M,19.35M,19.35M,,,,1.047M,73.87M,28.85M,,-31.46M,3.831M,-8.742M,,66.35M,,111.02M,-33.14M,,-33.14M,,-5.088M,-9.271M,-47.50M,,-0.386M,0.821M,0.00,0.821M,,,,,0.435M,67.31M,63.96M,,131.26M,0.821M,,,0.00
1998-06,39.36M,,,,,19.12M,0.249M,19.37M,19.37M,,,,-0.622M,24.14M,-18.38M,,2.94M,1.818M,-22.26M,,-11.75M,,46.36M,-33.22M,,-33.22M,,36.95M,-20.54M,-16.81M,,-0.421M,5.268M,0.00,5.268M,,,,,4.847M,32.91M,34.40M,,67.31M,5.268M,,,0.00
