,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-09,71.45M,,0.00,,0.00,16.30M,20.76M,37.06M,37.06M,-5.923M,,7.675M,0.342M,51.38M,9.876M,1.475M,1.687M,,,1.066M,65.48M,,179.15M,-20.62M,,-20.62M,-0.409M,-56.08M,0.00,-77.10M,,,,-98.53M,-98.53M,-12.58M,-12.58M,0.267M,2.321M,-108.52M,300.68M,-6.468M,,294.22M,,,,-98.53M
2015-06,102.88M,,-0.624M,0.00,-0.624M,16.88M,16.26M,33.14M,33.14M,-9.432M,0.00,7.442M,0.586M,-117.74M,17.54M,10.91M,92.14M,,,4.647M,7.492M,,155.92M,-24.96M,,-24.96M,-282.33M,319.96M,0.00,12.67M,,,,-81.67M,-81.67M,-12.81M,-12.81M,8.979M,-1.361M,-86.86M,218.94M,81.74M,,300.68M,,,,-81.67M
2015-03,32.79M,,-4.782M,0.00,-4.782M,19.34M,15.14M,34.48M,34.48M,-1.831M,,7.963M,-2.436M,-24.75M,5.96M,3.146M,-15.49M,,,1.038M,-30.09M,,37.53M,-21.15M,,-21.15M,,-41.99M,1.098M,-62.04M,,,,-46.65M,-46.65M,-13.05M,-13.05M,8.899M,,-50.80M,294.26M,-75.31M,,218.94M,,,,-46.65M
2014-12,-103.81M,,,,,20.56M,17.03M,37.59M,37.59M,-9.99M,,8.434M,-29.87M,171.73M,13.54M,-6.247M,-60.33M,,,7.767M,126.46M,,174.96M,-22.63M,,-22.63M,-19.42M,-36.22M,-0.207M,-78.48M,0.003M,0.003M,,0.00,0.00,-13.00M,-13.00M,0.261M,-1.191M,-13.92M,211.70M,82.55M,,294.26M,,,0.003M,0.00
2014-09,82.95M,,,,,19.05M,19.13M,38.18M,38.18M,-3.105M,,8.343M,-0.578M,-20.54M,19.80M,20.78M,-18.97M,,,0.466M,1.529M,,133.75M,-54.96M,,-54.96M,0.00,-119.38M,0.00,-174.34M,0.00,0.00,,0.00,0.00,-12.77M,-12.77M,10.39M,0.055M,-2.33M,254.62M,-42.92M,,211.70M,,,0.00,0.00
2014-06,101.20M,,,,,18.53M,19.06M,37.59M,37.59M,-20.07M,,8.297M,0.343M,-84.24M,15.83M,27.63M,113.39M,,,4.168M,76.77M,,209.18M,-60.19M,,-60.19M,0.00,-117.48M,0.00,-177.67M,0.00,0.00,,0.00,0.00,-11.66M,-11.66M,0.478M,1.671M,-9.507M,232.63M,22.00M,,254.62M,,,0.00,0.00
2014-03,0.929M,,,,,15.26M,23.92M,39.18M,39.18M,12.70M,,15.23M,-1.566M,-58.88M,2.635M,-0.628M,-55.10M,,,9.632M,-102.34M,,-25.82M,-31.20M,,-31.20M,,124.42M,4.391M,97.62M,-190.98M,-190.98M,,0.00,0.00,0.00,0.00,10.16M,,-180.81M,341.64M,-109.01M,,232.63M,,,-190.98M,0.00
2013-12,22.34M,,,-8.981M,-43.19M,15.44M,23.88M,39.32M,39.32M,14.03M,-1.074M,9.385M,-3.064M,52.31M,-11.91M,-23.26M,2.152M,,,-19.73M,-0.443M,,44.28M,-23.81M,,-23.81M,,-237.61M,,-276.72M,-1.471M,-1.471M,,,,,,0.818M,1.868M,1.215M,572.87M,-231.23M,,341.64M,,,-1.471M,
2013-09,69.46M,,,0.00,0.00,14.32M,23.44M,37.76M,37.76M,-3.204M,1.074M,9.15M,0.006M,18.82M,7.821M,-9.035M,26.20M,,,-6.438M,37.37M,,155.46M,-32.13M,,-32.13M,,215.57M,,183.45M,0.00,0.00,,,,0.00,0.00,7.14M,-0.777M,6.363M,227.60M,345.27M,,572.87M,,,0.00,
2013-06,66.56M,,,-1.359M,-1.359M,13.44M,23.05M,36.49M,36.49M,-10.63M,,9.054M,-0.437M,-61.59M,30.41M,-16.21M,44.02M,,,7.189M,3.826M,,105.47M,-28.25M,,-28.25M,,-156.00M,,-184.25M,-1.063M,-1.063M,,,,0.00,0.00,0.717M,1.509M,1.163M,305.22M,-77.62M,,227.60M,,,-1.063M,
2013-03,6.589M,,,,,14.12M,23.00M,37.12M,37.12M,-6.183M,,9.023M,-2.05M,-13.19M,-4.04M,-1.07M,-56.49M,,,-10.00M,-84.79M,,-36.49M,-22.55M,,-22.55M,,16.73M,,-5.815M,0.00,0.00,,,,,,8.921M,-0.313M,8.608M,338.92M,-33.70M,,305.22M,,,0.00,
2012-12,-16.54M,,,18.33M,18.33M,15.24M,23.10M,38.34M,38.34M,-2.41M,0.00,9.286M,-1.378M,52.04M,-7.418M,-10.27M,-45.72M,,,-3.976M,-15.34M,,40.72M,-27.95M,,-27.95M,,-145.38M,,-171.87M,-1.287M,-1.287M,,,,,,0.518M,-14.85M,-15.62M,485.69M,-146.77M,,338.92M,,,-1.287M,
2012-09,88.64M,,,1.937M,1.937M,14.23M,23.62M,37.86M,37.86M,-8.861M,0.00,9.238M,-3.017M,140.66M,3.624M,2.251M,-24.38M,,,-4.453M,117.70M,,248.97M,-33.33M,,-33.33M,,-281.83M,,-315.16M,0.00,0.00,,,,,,0.975M,-38.15M,-37.17M,589.06M,-103.36M,,485.69M,,,0.00,
2012-06,111.39M,,,3.054M,3.054M,13.29M,21.93M,35.22M,35.22M,0.638M,0.00,10.63M,-6.803M,-124.58M,-2.19M,3.142M,66.73M,,,-4.494M,-61.39M,,102.09M,-30.73M,,-30.73M,,-30.36M,,-61.09M,0.00,0.00,,,,,,7.059M,7.60M,14.66M,533.40M,55.66M,,589.06M,,,0.00,
2012-03,33.56M,,,,,12.29M,21.82M,34.10M,34.10M,7.699M,,10.77M,1.498M,-92.22M,23.64M,1.885M,-9.635M,,,-1.704M,-78.04M,,11.17M,-27.07M,,-27.07M,,-27.29M,,-54.36M,-1.246M,-1.246M,,,,,,9.925M,-5.824M,2.855M,573.74M,-40.34M,,533.40M,,,-1.246M,
2011-12,129.23M,,,,,12.61M,24.80M,37.42M,37.42M,-146.54M,,9.823M,-17.75M,41.13M,0.419M,,-6.402M,,,9.891M,23.53M,-0.579M,60.30M,-19.47M,,-19.47M,,-16.53M,,-574.58M,0.00,0.00,-17.22M,-7.312M,-24.53M,,,17.38M,,-7.143M,1.095B,-521.43M,,573.74M,-17.22M,,0.00,-7.312M
2011-09,56.71M,,,,,12.78M,10.02M,22.80M,22.80M,3.305M,,7.832M,5.057M,64.30M,13.97M,,-46.68M,,,-34.32M,-2.728M,0.00,92.98M,-22.16M,,-22.16M,,597.66M,,575.50M,-1.296M,-1.296M,0.164M,-23.86M,-23.70M,,,-3.717M,,-28.71M,455.40M,639.76M,,1.095B,0.164M,,-1.296M,-23.86M
2011-06,88.08M,,,,,12.59M,10.46M,23.05M,23.05M,-3.717M,,7.218M,6.985M,-21.57M,-4.297M,,22.14M,,,-15.93M,-19.65M,0.00,101.96M,-22.34M,,-22.34M,,-55.22M,,-77.53M,0.00,0.00,6.976M,,6.976M,,,3.717M,,10.69M,420.27M,35.13M,,455.40M,6.976M,,0.00,
2011-03,69.94M,,,,,13.06M,10.36M,23.41M,23.41M,0.00,,7.464M,5.245M,-17.50M,-10.71M,,-26.01M,,,-28.00M,-82.22M,-4.225M,19.62M,-22.13M,,-22.13M,,-22.84M,,-5.942M,-1.222M,-1.222M,10.08M,,10.08M,,,,,8.854M,397.74M,22.53M,,420.27M,10.08M,,-1.222M,
2010-12,62.29M,,,,,13.34M,6.096M,19.44M,19.44M,-1.519M,,7.019M,-56.96M,130.63M,-5.981M,-1.031M,-39.25M,,,47.57M,140.41M,1.20M,176.50M,-22.08M,,-22.08M,,-193.04M,0.00,-215.13M,0.00,0.00,-42.22M,0.00,-42.22M,,,44.68M,,2.454M,433.92M,-36.18M,,397.74M,-42.22M,,0.00,0.00
2010-09,145.77M,,,,,13.07M,11.50M,24.57M,24.57M,,,7.617M,3.92M,-57.87M,-14.54M,-14.51M,46.19M,,,112.75M,72.02M,1.907M,255.81M,-18.25M,,-18.25M,,-206.81M,0.00,-225.06M,-1.182M,-1.182M,0.352M,0.00,0.352M,,,,,-0.83M,404.00M,29.92M,,433.92M,0.352M,,-1.182M,0.00
2010-06,122.53M,,,,,13.21M,11.17M,24.38M,24.38M,0.00,,7.168M,1.227M,-69.32M,7.847M,15.54M,63.48M,,,-65.57M,-48.02M,0.607M,107.89M,-18.12M,,-18.12M,,-64.67M,1.091M,-81.70M,0.00,0.00,35.79M,,35.79M,,,0.00,,35.79M,342.01M,61.98M,,404.00M,35.79M,,0.00,
2010-03,49.10M,,,,,13.20M,11.94M,25.13M,25.13M,,,7.973M,1.886M,-53.86M,16.38M,,0.243M,,,-22.01M,-59.24M,1.243M,26.09M,-17.59M,,-17.59M,,-88.18M,,-105.77M,-1.123M,-1.123M,6.079M,,6.079M,,,,,4.956M,416.74M,-74.72M,,342.01M,6.079M,,-1.123M,
2009-12,16.92M,,0.186M,,0.186M,14.38M,12.74M,27.12M,27.12M,3.613M,,6.371M,8.741M,14.46M,17.47M,,2.104M,,,-30.77M,3.256M,,65.16M,-15.35M,,-15.35M,0.00,-40.95M,0.00,-56.30M,0.00,0.00,0.447M,,0.447M,,,,,1.496M,406.74M,10.36M,-0.36M,416.74M,0.447M,0.00,0.00,
2009-09,6.675M,,-0.532M,,-0.532M,15.47M,11.91M,27.37M,27.37M,-0.406M,,6.159M,12.91M,-65.78M,16.45M,,40.96M,,,59.10M,50.74M,,102.92M,-9.155M,,-9.155M,0.00,-20.33M,0.00,-29.49M,-1.069M,-1.069M,0.984M,,0.984M,,,,,-0.085M,334.08M,73.35M,-0.686M,406.74M,0.984M,0.00,-1.069M,
2009-06,-66.77M,,-0.031M,,2.457M,14.86M,11.24M,26.10M,26.10M,-5.852M,,6.032M,17.11M,-6.655M,33.60M,,5.157M,,,7.645M,39.75M,,18.83M,-11.34M,,-11.34M,-3.741M,2.901M,0.00,-12.18M,40.34M,40.34M,6.819M,,6.819M,,,,,47.16M,279.06M,53.81M,1.216M,334.08M,6.819M,162.84M,-122.50M,
2009-03,-90.67M,,2.563M,,2.563M,15.40M,10.10M,25.49M,25.49M,,,6.077M,6.216M,42.41M,-4.14M,,-44.31M,,,-9.225M,-15.26M,,-65.58M,-6.087M,,-6.087M,,9.045M,1.076M,4.034M,10.07M,10.07M,7.453M,,7.453M,,,,,17.52M,322.70M,-44.03M,0.378M,279.06M,7.453M,10.07M,0.00,
2008-12,-383.45M,0.00,7.736M,,8.236M,14.68M,8.111M,22.79M,22.79M,,,6.341M,5.401M,95.15M,1.568M,,-27.08M,,,-16.08M,53.56M,0.00,42.55M,-11.67M,0.00,-11.67M,-289.02M,154.41M,11.78M,-134.50M,119.67M,119.67M,1.523M,-0.001M,1.522M,,,,,121.20M,292.57M,29.24M,0.891M,322.70M,1.523M,119.67M,0.00,-0.001M
2008-09,-23.46M,22.56M,8.504M,,31.07M,17.50M,5.674M,23.18M,23.18M,0.00,,5.088M,18.80M,18.56M,-3.419M,,-17.33M,,,-13.87M,-16.06M,0.768M,39.39M,-18.83M,26.36M,7.53M,0.00,-50.06M,3.049M,-39.48M,0.00,0.00,7.212M,0.00,7.212M,,,,,7.212M,286.09M,7.117M,-0.638M,292.57M,7.212M,,0.00,0.00
2008-06,11.08M,-1.682M,,,-1.682M,20.01M,5.359M,25.37M,25.37M,0.00,,5.666M,3.269M,-10.55M,-1.301M,,15.09M,,,0.646M,3.881M,,47.58M,-27.72M,17.72M,-10.00M,-4.861M,-11.33M,,-26.20M,0.00,0.00,0.90M,-58.21M,-57.31M,,,,,-57.31M,323.08M,-35.93M,-1.055M,286.09M,0.90M,,0.00,-58.21M
2008-03,2.367M,,,,1.10M,19.07M,4.361M,23.43M,23.43M,,,5.155M,5.095M,15.04M,0.078M,,-7.286M,,,-10.56M,-2.726M,,34.42M,-28.98M,,-28.98M,-280.46M,60.53M,,-248.92M,0.00,0.00,8.182M,-32.98M,-24.80M,,,,,-24.80M,562.37M,-239.29M,,323.08M,8.182M,0.00,,-32.98M
