,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-11,,8.635B,3.177B,11.81B,3.713B,3.713B,,,,6.09B,1.992B,,,23.61B,,,,,8.045B,,,8.045B,,8.045B,223.00M,270.00M,493.00M,2.691B,,11.23B,34.84B,2.154B,,188.00M,2.342B,6.03B,8.372B,,41.00M,,41.00M,458.00M,499.00M,,8.871B,9.41B,2.896B,12.31B,3.019B,3.019B,,,15.32B,24.20B,,,,,,,,10.64B
2020-08,542.00M,8.148B,1.332B,9.48B,3.813B,3.813B,,,6.705B,6.705B,1.939B,,,21.94B,,,,,8.127B,,,8.127B,,8.127B,223.00M,272.00M,495.00M,2.699B,,11.32B,33.26B,1.983B,,297.00M,2.28B,2.715B,4.995B,1.565B,137.00M,1.00M,138.00M,459.00M,597.00M,512.00M,8.619B,9.408B,2.961B,12.37B,3.046B,3.046B,,,15.42B,24.03B,3.00M,927.00M,8.695B,,,,-401.00M,9.224B
2020-05,596.00M,8.348B,439.00M,8.787B,2.749B,2.749B,,,7.367B,7.367B,1.653B,,,20.56B,0.0,345.00M,2.442B,4.234B,3.097B,1.086B,1.554B,12.76B,-4.795B,7.963B,223.00M,274.00M,497.00M,2.326B,,10.79B,31.34B,2.248B,384.00M,358.00M,2.99B,1.038B,4.028B,1.583B,248.00M,3.00M,251.00M,445.00M,696.00M,336.00M,8.284B,9.406B,2.913B,12.32B,2.684B,2.684B,,,15.00B,23.29B,3.00M,-191.00M,8.299B,,,,-56.00M,8.055B
2020-02,649.00M,2.863B,319.00M,3.182B,4.473B,4.473B,,,5.807B,5.807B,2.282B,,,15.74B,,,,,7.69B,,,7.69B,,7.69B,223.00M,275.00M,498.00M,2.288B,,10.48B,26.22B,2.221B,384.00M,516.00M,3.121B,1.104B,4.225B,1.761B,9.00M,4.00M,13.00M,422.00M,435.00M,292.00M,8.28B,3.463B,2.758B,6.221B,2.674B,2.674B,,,8.895B,17.18B,3.00M,1.128B,7.971B,,,,-57.00M,9.045B
2019-11,584.00M,3.07B,432.00M,3.502B,4.792B,4.792B,,,6.199B,6.199B,1.876B,,,16.37B,,,,,7.55B,,,7.55B,,7.55B,224.00M,277.00M,501.00M,2.182B,,10.23B,26.60B,2.627B,384.00M,521.00M,3.532B,1.146B,4.678B,1.256B,300.00M,6.00M,306.00M,431.00M,737.00M,194.00M,8.264B,3.462B,2.723B,6.185B,2.802B,2.802B,,,8.987B,17.25B,3.00M,1.577B,7.719B,,,,52.00M,9.351B
2019-08,,3.446B,198.00M,3.644B,4.656B,4.656B,,,,5.835B,2.093B,,,16.23B,,,,,7.447B,,,7.447B,,7.447B,224.00M,279.00M,503.00M,2.071B,,10.02B,26.25B,2.716B,344.00M,490.00M,3.55B,1.113B,4.663B,1.157B,250.00M,6.00M,256.00M,427.00M,683.00M,317.00M,8.07B,3.463B,2.675B,6.138B,2.841B,2.841B,,,8.979B,17.05B,3.00M,1.721B,7.296B,,,,180.00M,9.20B
2019-05,853.00M,4.466B,197.00M,4.663B,4.272B,4.272B,,,5.622B,5.622B,1.968B,,,16.52B,0.0,329.00M,2.445B,4.335B,,797.00M,1.563B,9.469B,-4.725B,4.744B,154.00M,283.00M,437.00M,2.011B,,7.192B,23.72B,2.612B,346.00M,463.00M,3.421B,1.215B,4.636B,1.218B,9.00M,6.00M,15.00M,0.00,15.00M,341.00M,7.866B,3.464B,0.00,3.464B,3.347B,3.347B,,,6.811B,14.68B,3.00M,1.643B,7.163B,,,,231.00M,9.04B
2019-02,,3.695B,351.00M,4.046B,4.549B,4.549B,,,5.415B,5.415B,1.786B,,,15.80B,,,,,4.688B,,,4.688B,,4.688B,154.00M,283.00M,437.00M,2.00B,,7.125B,22.92B,2.307B,346.00M,442.00M,3.095B,1.259B,4.354B,1.244B,16.00M,6.00M,22.00M,,22.00M,224.00M,7.281B,3.465B,,3.465B,3.214B,3.214B,,,6.679B,13.96B,3.00M,1.851B,6.91B,,,,197.00M,8.961B
2018-11,,3.423B,618.00M,4.041B,4.346B,4.346B,,,5.388B,5.388B,1.791B,,,15.57B,,,,,4.588B,,,4.588B,,4.588B,154.00M,284.00M,438.00M,2.085B,,7.111B,22.68B,2.574B,347.00M,486.00M,3.407B,1.184B,4.591B,1.107B,9.00M,6.00M,15.00M,,15.00M,312.00M,7.278B,3.466B,,3.466B,3.204B,3.204B,,,6.67B,13.95B,3.00M,1.81B,6.707B,,,,209.00M,8.729B
2018-08,,3.282B,987.00M,4.269B,4.33B,4.33B,,,,5.227B,1.675B,,,15.50B,,,,,4.487B,,,4.487B,,4.487B,154.00M,284.00M,438.00M,2.057B,,6.982B,22.48B,2.333B,318.00M,444.00M,3.095B,1.262B,4.357B,1.048B,13.00M,6.00M,19.00M,,19.00M,133.00M,6.708B,3.467B,,3.467B,3.316B,3.316B,,,6.783B,13.49B,3.00M,2.494B,6.525B,,,,-30.00M,8.992B
2018-05,,4.249B,996.00M,5.245B,3.498B,3.498B,,,5.261B,5.261B,1.13B,,,15.13B,0.0,331.00M,2.195B,4.23B,,641.00M,1.494B,8.891B,-4.437B,4.454B,154.00M,285.00M,439.00M,2.509B,,7.402B,22.54B,2.279B,320.00M,374.00M,2.973B,1.176B,4.149B,20.00M,336.00M,6.00M,342.00M,,342.00M,207.00M,6.04B,3.468B,,3.468B,3.216B,3.216B,,,6.684B,12.72B,3.00M,3.517B,6.384B,,,,-92.00M,9.812B
2018-02,,3.662B,1.089B,4.751B,3.792B,3.792B,,,,5.366B,1.446B,,,15.36B,,,,,4.298B,,,4.298B,,4.298B,139.00M,282.00M,421.00M,2.478B,,7.197B,22.55B,1.961B,324.00M,322.00M,2.607B,1.38B,3.987B,,11.00M,6.00M,17.00M,,17.00M,539.00M,5.783B,3.469B,,3.469B,3.518B,3.518B,,,6.987B,12.77B,3.00M,1.078B,9.325B,,,,-624.00M,9.782B
2017-11,,4.304B,2.085B,6.389B,3.613B,3.613B,,,,5.326B,1.254B,,,16.58B,,,,,4.117B,,,4.117B,,4.117B,139.00M,282.00M,421.00M,2.935B,,7.473B,24.06B,2.141B,325.00M,352.00M,2.818B,1.203B,4.021B,,1.229B,10.00M,1.239B,,1.239B,449.00M,6.75B,3.472B,,3.472B,2.075B,2.075B,,,5.547B,12.30B,3.00M,3.301B,9.041B,,,,-587.00M,11.76B
2017-08,,3.413B,2.106B,5.519B,3.871B,3.871B,,,,5.211B,1.591B,,,16.19B,,,,,4.086B,,,4.086B,,4.086B,139.00M,283.00M,422.00M,2.947B,,7.455B,23.65B,2.116B,295.00M,340.00M,2.751B,1.215B,3.966B,,335.00M,7.00M,342.00M,,342.00M,528.00M,6.056B,3.472B,,3.472B,2.126B,2.126B,,,5.598B,11.65B,3.00M,3.759B,8.817B,,,,-586.00M,11.99B
