,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-11,11.24B,11.24B,6.396B,4.847B,729.00M,2.538B,3.267B,,,-70.00M,3.267B,1.58B,,-70.00M,-54.00M,-70.00M,1.456B,205.00M,1.251B,,,1.251B,1.251B,1.58B,,1.58B,0.8,,,0.8,0.8,0.78,,,0.78,0.78,1.573B,1.610B,0.275
2020-08,10.59B,10.59B,5.853B,4.741B,677.00M,2.298B,2.975B,,,-65.00M,2.975B,1.766B,,-65.00M,14.00M,-65.00M,1.715B,197.00M,1.518B,,,1.518B,1.518B,1.983B,217.00M,1.766B,0.97,,,0.97,0.97,0.95,,,0.95,0.95,1.562B,1.593B,0.245
2020-05,6.313B,6.313B,3.96B,2.353B,823.00M,2.368B,3.191B,,,-50.00M,3.191B,-838.00M,,-50.00M,84.00M,-50.00M,-804.00M,-14.00M,-790.00M,,,-790.00M,-790.00M,-615.00M,223.00M,-838.00M,-0.51,,,-0.51,-0.51,-0.51,,,-0.51,-0.51,1.687B,1.687B,0.245
2020-02,10.10B,10.10B,5.631B,4.473B,870.00M,2.413B,3.283B,,,-12.00M,3.283B,1.19B,,-12.00M,-297.00M,-12.00M,881.00M,34.00M,847.00M,,,847.00M,847.00M,1.724B,534.00M,1.19B,0.54,,,0.54,0.54,0.53,,,0.53,0.53,1.556B,1.592B,0.245
2019-11,10.33B,10.33B,5.782B,4.544B,881.00M,2.443B,3.324B,,,-12.00M,3.324B,1.22B,,-12.00M,41.00M,-12.00M,1.249B,134.00M,1.115B,,,1.115B,1.115B,1.407B,187.00M,1.22B,0.71,,,0.71,0.71,0.7,,,0.7,0.7,1.561B,1.594B,0.245
2019-08,10.66B,10.66B,5.789B,4.871B,1.018B,2.31B,3.328B,,,-15.00M,3.328B,1.543B,,-15.00M,33.00M,-15.00M,1.561B,194.00M,1.367B,,,1.367B,1.367B,1.718B,175.00M,1.543B,0.87,,,0.87,0.87,0.86,,,0.86,0.86,1.562B,1.598B,0.22
2019-05,10.18B,10.18B,5.551B,4.633B,1.014B,2.392B,3.406B,,,-12.00M,3.406B,1.227B,,-12.00M,28.00M,-12.00M,1.243B,254.00M,989.00M,,,989.00M,989.00M,1.411B,184.00M,1.227B,0.63,,,0.63,0.63,0.62,,,0.62,0.62,1.725B,1.725B,0.22
2019-02,9.611B,9.611B,5.272B,4.339B,865.00M,2.226B,3.091B,,,-12.00M,3.091B,1.248B,,-12.00M,55.00M,-12.00M,1.291B,190.00M,1.101B,,,1.101B,1.101B,1.425B,177.00M,1.248B,0.7,,,0.7,0.7,0.68,,,0.68,0.68,1.573B,1.610B,0.22
2018-11,9.374B,9.374B,5.269B,4.105B,910.00M,2.232B,3.142B,,,-14.00M,3.142B,963.00M,,-14.00M,48.00M,-14.00M,997.00M,150.00M,847.00M,,,847.00M,847.00M,1.141B,178.00M,963.00M,0.54,,,0.54,0.54,0.52,,,0.52,0.52,1.581B,1.621B,0.22
2018-08,9.948B,9.948B,5.551B,4.397B,964.00M,2.099B,3.063B,,,-11.00M,3.063B,1.334B,,-11.00M,-53.00M,-11.00M,1.27B,178.00M,1.092B,,,1.092B,1.092B,1.515B,181.00M,1.334B,0.69,,,0.69,0.69,0.67,,,0.67,0.67,1.594B,1.634B,0.2
2018-05,9.789B,9.789B,5.411B,4.378B,983.00M,2.137B,3.12B,,,-12.00M,3.12B,1.258B,,-12.00M,-31.00M,-12.00M,1.215B,78.00M,1.137B,,,1.137B,1.137B,1.458B,200.00M,1.258B,0.7081,,,0.7081,0.7081,0.6928,,,0.6928,0.6928,1.747B,1.747B,0.2
2018-02,8.984B,8.984B,5.046B,3.938B,862.00M,1.905B,2.767B,,,-13.00M,2.767B,1.171B,,-13.00M,1.00M,-13.00M,1.159B,2.08B,-921.00M,,,-921.00M,-921.00M,1.369B,198.00M,1.171B,-0.57,,,-0.57,-0.57,-0.57,,,-0.57,-0.57,1.624B,1.624B,0.2
2017-11,8.554B,8.554B,4.876B,3.678B,877.00M,1.891B,2.768B,,,-13.00M,2.768B,910.00M,,-13.00M,-18.00M,-13.00M,879.00M,112.00M,767.00M,,,767.00M,767.00M,1.101B,191.00M,910.00M,0.47,,,0.47,0.47,0.46,,,0.46,0.46,1.627B,1.661B,0.2
2017-08,9.07B,9.07B,5.108B,3.962B,855.00M,2.001B,2.856B,,,-16.00M,2.856B,1.106B,,-16.00M,-18.00M,-16.00M,1.072B,122.00M,950.00M,,,950.00M,950.00M,1.291B,185.00M,1.106B,0.58,,,0.58,0.58,0.57,,,0.57,0.57,1.639B,1.677B,0.18
2017-05,8.677B,8.677B,4.854B,3.823B,789.00M,1.876B,2.665B,,,-18.00M,2.665B,1.158B,,-18.00M,28.00M,-18.00M,1.168B,160.00M,1.008B,,,1.008B,1.008B,1.346B,188.00M,1.158B,0.61,,,0.61,0.61,0.6,,,0.6,0.6,1.647B,1.679B,0.18
2017-02,8.432B,8.432B,4.682B,3.75B,749.00M,1.747B,2.496B,,,-19.00M,2.496B,1.254B,,-19.00M,88.00M,-19.00M,1.323B,182.00M,1.141B,,,1.141B,1.141B,1.424B,170.00M,1.254B,0.69,0.0,,0.69,0.69,0.68,0.0,,0.68,0.68,1.653B,1.686B,0.18
2016-11,8.18B,8.18B,4.564B,3.616B,762.00M,1.743B,2.505B,,,-15.00M,2.505B,1.111B,,-15.00M,18.00M,-15.00M,1.114B,272.00M,842.00M,,,842.00M,842.00M,1.289B,178.00M,1.111B,0.5075,,,0.5075,0.5075,0.4973,,,0.4973,0.4973,1.659B,1.693B,0.18
2016-08,9.061B,9.061B,4.938B,4.123B,1.041B,1.856B,2.897B,,,-7.00M,2.897B,1.226B,,-7.00M,62.00M,-7.00M,1.281B,32.00M,1.249B,,,1.249B,1.249B,1.406B,180.00M,1.226B,0.75,,,0.75,0.75,0.73,,,0.73,0.73,1.672B,1.709B,0.16
2016-05,8.244B,8.244B,4.458B,3.786B,873.00M,1.893B,2.766B,,,-5.00M,2.766B,1.02B,,-5.00M,58.00M,-5.00M,1.073B,227.00M,846.00M,,,846.00M,846.00M,1.183B,163.00M,1.02B,0.5,,,0.5,0.5,0.49,,,0.49,0.49,1.682B,1.724B,0.16
2016-02,8.032B,8.032B,4.343B,3.689B,804.00M,1.762B,2.566B,,,-5.00M,2.566B,1.123B,,-5.00M,17.00M,-5.00M,1.135B,185.00M,950.00M,,,950.00M,950.00M,1.30B,177.00M,1.123B,0.56,,,0.56,0.56,0.55,,,0.55,0.55,1.694B,1.737B,0.16
2015-11,7.686B,7.686B,4.185B,3.501B,769.00M,1.791B,2.56B,,,-5.00M,2.56B,941.00M,,-5.00M,34.00M,-5.00M,970.00M,185.00M,785.00M,,,785.00M,785.00M,1.098B,157.00M,941.00M,0.46,,,0.46,0.46,0.45,,,0.45,0.45,1.706B,1.751B,0.16
2015-08,8.414B,8.414B,4.419B,3.995B,832.00M,1.745B,2.577B,,,-4.00M,2.577B,1.418B,,-4.00M,31.00M,-4.00M,1.445B,266.00M,1.179B,,,1.179B,1.179B,1.583B,165.00M,1.418B,0.69,,,0.69,0.69,0.67,,,0.67,0.67,1.709B,1.754B,0.14
2015-05,7.779B,7.779B,4.186B,3.593B,819.00M,1.776B,2.595B,,,-4.00M,2.595B,998.00M,,-4.00M,,-4.00M,1.052B,187.00M,865.00M,,,865.00M,865.00M,1.166B,168.00M,998.00M,0.505,,,0.505,0.505,0.49,,,0.49,0.49,1.715B,1.762B,0.14
2015-02,7.46B,7.46B,4.034B,3.426B,731.00M,1.648B,2.379B,,,-6.00M,2.379B,1.047B,,-6.00M,5.00M,-6.00M,1.046B,255.00M,791.00M,,,791.00M,791.00M,1.212B,165.00M,1.047B,0.4591,,,0.4591,0.4591,0.4475,,,0.4475,0.4475,1.723B,1.768B,0.14
2014-11,7.38B,7.38B,4.053B,3.327B,766.00M,1.672B,2.438B,,,-9.00M,2.438B,889.00M,,-9.00M,-2.00M,-9.00M,878.00M,223.00M,655.00M,,,655.00M,655.00M,1.05B,161.00M,889.00M,0.38,,,0.38,0.38,0.37,,,0.37,0.37,1.726B,1.770B,0.14
2014-08,7.982B,7.982B,4.261B,3.721B,897.00M,1.583B,2.48B,,,-9.00M,2.48B,1.241B,,-9.00M,-3.00M,-9.00M,1.229B,267.00M,962.00M,,,962.00M,962.00M,1.396B,155.00M,1.241B,0.555,,,0.555,0.555,0.545,,,0.545,0.545,1.730B,1.772B,0.12
2014-05,7.425B,7.425B,4.04B,3.385B,876.00M,1.572B,2.448B,,,-8.00M,2.448B,937.00M,,-8.00M,-17.00M,-8.00M,912.00M,214.00M,698.00M,,,698.00M,698.00M,1.092B,155.00M,937.00M,0.4,0.0,,0.4,0.4,0.39,0.0,,0.39,0.39,1.747B,1.792B,0.12
2014-02,6.972B,6.972B,3.869B,3.103B,733.00M,1.436B,2.169B,,,-9.00M,2.169B,934.00M,,-9.00M,-45.00M,-9.00M,880.00M,198.00M,682.00M,,,682.00M,682.00M,1.068B,134.00M,934.00M,0.385,,,0.385,0.385,0.375,,,0.375,0.375,1.765B,1.810B,0.12
2013-11,6.431B,6.431B,3.605B,2.826B,691.00M,1.40B,2.091B,,,-8.00M,2.091B,735.00M,,-8.00M,-13.00M,-8.00M,714.00M,180.00M,534.00M,,,534.00M,534.00M,880.00M,145.00M,735.00M,0.3,,,0.3,0.3,0.295,,,0.295,0.295,1.776B,1.821B,0.12
2013-08,6.971B,6.971B,3.839B,3.132B,731.00M,1.327B,2.058B,,,-8.00M,2.058B,1.074B,,-8.00M,-28.00M,-8.00M,1.038B,259.00M,779.00M,,,779.00M,779.00M,1.226B,152.00M,1.074B,0.44,,,0.44,0.44,0.43,,,0.43,0.43,1.779B,1.821B,0.105
2013-05,6.697B,6.697B,3.757B,2.94B,642.00M,1.396B,2.038B,,,-3.00M,2.038B,902.00M,,-3.00M,-13.00M,-3.00M,886.00M,203.00M,683.00M,-28.00M,,655.00M,683.00M,1.045B,143.00M,902.00M,0.39,-0.015,,0.39,0.375,0.38,-0.015,,0.38,0.365,1.785B,1.832B,0.105
2013-02,6.187B,6.187B,3.451B,2.736B,619.00M,1.244B,1.863B,,,2.00M,1.863B,873.00M,,2.00M,-17.00M,2.00M,858.00M,196.00M,662.00M,204.00M,,866.00M,662.00M,966.00M,93.00M,873.00M,0.37,0.115,,0.37,0.485,0.365,0.11,,0.365,0.475,1.788B,1.823B,0.105
2012-11,5.955B,5.955B,3.425B,2.53B,613.00M,1.223B,1.836B,,,1.00M,1.836B,694.00M,,1.00M,17.00M,1.00M,712.00M,191.00M,521.00M,-137.00M,,384.00M,521.00M,823.00M,129.00M,694.00M,0.29,-0.075,,0.29,0.215,0.285,-0.075,,0.285,0.21,1.794B,1.826B,0.105
2012-08,6.474B,6.474B,3.646B,2.828B,871.00M,1.188B,2.059B,,,3.00M,2.059B,769.00M,,3.00M,28.00M,3.00M,800.00M,215.00M,585.00M,-18.00M,,567.00M,585.00M,906.00M,137.00M,769.00M,0.325,-0.015,,0.325,0.31,0.315,-0.015,,0.315,0.305,1.811B,1.811B,0.09
2012-05,6.236B,6.236B,3.567B,2.669B,735.00M,1.175B,1.91B,,,-1.00M,1.91B,759.00M,,-1.00M,-37.00M,-1.00M,721.00M,174.00M,547.00M,-10.00M,,537.00M,547.00M,835.00M,76.00M,759.00M,0.3,0.0,,0.3,0.3,0.2925,0.0,,0.2925,0.2925,1.833B,1.875B,0.09
2012-02,5.656B,5.656B,3.171B,2.485B,592.00M,1.116B,1.708B,,,0.00,1.708B,777.00M,,0.00,10.00M,0.00,787.00M,218.00M,569.00M,-9.00M,,560.00M,569.00M,899.00M,122.00M,777.00M,0.31,-0.005,,0.31,0.305,0.305,-0.005,,0.305,0.3,1.830B,1.869B,0.09
2011-11,5.546B,5.546B,3.17B,2.376B,,,1.731B,-10.00M,,-3.00M,1.731B,645.00M,,-3.00M,-10.00M,-3.00M,632.00M,152.00M,480.00M,-11.00M,,469.00M,487.59M,732.00M,87.00M,645.00M,0.26,-0.005,,0.2641,0.255,0.255,-0.005,,0.2591,0.25,1.837B,1.874B,0.09
2011-08,6.081B,6.081B,3.388B,2.693B,,,1.823B,-18.00M,,0.00,1.823B,870.00M,,0.00,-18.00M,0.00,852.00M,207.00M,645.00M,,,645.00M,658.63M,981.00M,111.00M,870.00M,0.3475,0.0,,0.3548,0.3475,0.34,0.0,,0.3472,0.34,1.86B,1.897B,0.0775
2011-05,5.021B,5.021B,2.773B,2.248B,,,1.44B,,,-4.00M,1.44B,808.00M,,-4.00M,-13.00M,-4.00M,791.00M,158.00M,633.00M,,,594.00M,633.00M,868.00M,98.00M,770.00M,0.335,-0.02,,0.335,0.315,0.33,-0.02,,0.33,0.31,1.878B,1.918B,0.0775
2011-02,5.079B,5.079B,2.752B,2.327B,,,1.637B,17.00M,0.00,0.00,1.637B,690.00M,0.00,0.00,17.00M,0.00,707.00M,184.00M,523.00M,,,523.00M,510.42M,792.00M,85.00M,707.00M,0.275,0.0,,0.2684,0.275,0.27,0.0,,0.2635,0.27,1.901B,1.942B,0.0775
2010-11,4.842B,4.842B,2.649B,2.193B,,,1.611B,28.00M,1.00M,-1.00M,1.611B,582.00M,1.00M,-1.00M,28.00M,-1.00M,609.00M,152.00M,457.00M,,,457.00M,435.99M,723.00M,113.00M,610.00M,0.24,0.0,,0.229,0.24,0.235,0.0,,0.2242,0.235,1.912B,1.950B,0.0775
2010-08,5.175B,5.175B,2.741B,2.434B,,,1.673B,-7.00M,,1.00M,1.673B,761.00M,,1.00M,-7.00M,1.00M,755.00M,196.00M,559.00M,,,559.00M,564.18M,823.00M,62.00M,761.00M,0.2925,0.0,,0.2952,0.2925,0.285,0.0,,0.2877,0.285,1.918B,1.954B,0.0675
2010-05,5.077B,5.077B,2.671B,2.406B,,,1.738B,17.00M,,-2.00M,1.738B,668.00M,,-2.00M,17.00M,-2.00M,683.00M,161.00M,522.00M,,,522.00M,509.01M,802.00M,134.00M,668.00M,0.27,0.0,,0.2633,0.27,0.2625,0.0,,0.2559,0.2625,1.938B,1.983B,0.0675
2010-02,4.733B,4.733B,2.515B,2.218B,,,1.563B,8.00M,,-1.00M,1.563B,655.00M,,-1.00M,8.00M,-1.00M,662.00M,165.00M,497.00M,,,497.00M,490.99M,742.00M,87.00M,655.00M,0.255,0.0,,0.2519,0.255,0.2525,0.0,,0.2494,0.2525,1.938B,1.969B,0.0675
