,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,215.00M,,-88.00M,-88.00M,1.153B,1.153B,-65.00M,0.00,77.00M,-471.00M,115.00M,523.00M,-800.00M,-64.00M,,775.00M,549.00M,-35.00M,1.335B,,-659.00M,,,-36.00M,-438.00M,309.00M,-21.00M,-809.00M,,-1.025B,19.00M,-1.006B,,0.00,0.00,-706.00M,-706.00M,9.00M,-101.00M,-1.769B,,10.00B,-1.243B,43.00M,8.832B,,,5.00M,1.03B,0.00,,AOR,
2020-09,185.00M,,-102.00M,-102.00M,1.164B,1.164B,-152.00M,0.00,118.00M,-238.00M,-273.00M,439.00M,529.00M,-201.00M,,153.00M,647.00M,-32.00M,1.59B,,-419.00M,,,-30.00M,2.341B,162.00M,12.00M,2.096B,,1.00M,-15.00M,-14.00M,,0.00,0.00,-688.00M,-688.00M,-4.00M,-18.00M,-692.00M,,6.975B,2.994B,21.00M,10.00B,,,15.00M,-29.00M,0.00,,AOR,
2020-06,-3.342B,,-87.00M,-87.00M,859.00M,859.00M,-367.00M,3.183B,48.00M,-115.00M,1.563B,157.00M,-1.077B,11.00M,,-152.00M,502.00M,-661.00M,20.00M,,-399.00M,,,-28.00M,3.447B,312.00M,-21.00M,3.098B,,-16.42B,-1.419B,-17.84B,,0.00,0.00,-724.00M,-724.00M,4.00M,15.87B,-4.175B,,8.001B,-1.057B,8.00M,6.975B,,,-15.22B,-2.621B,0.00,,AOR,
2020-03,14.00M,,-136.00M,-136.00M,980.00M,980.00M,485.00M,,87.00M,118.00M,-24.00M,-707.00M,-318.00M,-191.00M,,353.00M,-887.00M,,661.00M,,-490.00M,,,-78.00M,-5.00M,-727.00M,-61.00M,-1.283B,,3.371B,-626.00M,2.745B,,-47.00M,-47.00M,-614.00M,-614.00M,6.00M,-728.00M,1.362B,,7.42B,740.00M,-94.00M,8.001B,,,17.21B,-14.46B,-47.00M,,AOR,
2019-12,731.00M,,-95.00M,-95.00M,686.00M,686.00M,19.00M,0.00,76.00M,-208.00M,149.00M,-11.00M,-59.00M,-344.00M,,381.00M,116.00M,1.457B,2.782B,,-838.00M,,,-92.00M,-9.00M,-32.00M,-65.00M,-1.119B,,-2.102B,1.061B,-1.041B,,-40.00M,-40.00M,-612.00M,-612.00M,13.00M,1.251B,-1.67B,,4.983B,-7.00M,46.00M,7.42B,,,-2.00M,-1.935B,-40.00M,,AOR,Restated
2019-09,1.011B,,-227.00M,-227.00M,692.00M,692.00M,9.00M,0.00,74.00M,242.00M,-903.00M,-461.00M,1.388B,-318.00M,,220.00M,-74.00M,764.00M,2.491B,,-534.00M,,,-90.00M,1.00M,-14.00M,-82.00M,-756.00M,,-599.00M,223.00M,-376.00M,,-42.00M,-42.00M,-611.00M,-611.00M,3.00M,609.00M,-1.129B,,4.316B,606.00M,-80.00M,4.983B,,,0.00,-376.00M,-42.00M,,AOR,Restated
2019-06,564.00M,,-124.00M,-124.00M,388.00M,388.00M,-11.00M,0.00,54.00M,492.00M,-471.00M,-98.00M,370.00M,-157.00M,,262.00M,-94.00M,841.00M,2.11B,,-397.00M,,,-82.00M,19.00M,-190.00M,-141.00M,-823.00M,,-17.00M,-39.00M,-56.00M,,-40.00M,-40.00M,-610.00M,-610.00M,6.00M,710.00M,-688.00M,,6.24B,599.00M,-26.00M,4.316B,,,-30.00M,-26.00M,-40.00M,,AOR,Restated
2019-03,1.425B,,-120.00M,-120.00M,942.00M,942.00M,21.00M,,64.00M,-387.00M,634.00M,-697.00M,-588.00M,-165.00M,,371.00M,-445.00M,,1.50B,,-450.00M,,,-87.00M,114.00M,-81.00M,23.00M,-394.00M,,6.00M,-349.00M,-343.00M,,-29.00M,-29.00M,-609.00M,-609.00M,5.00M,-101.00M,-1.077B,,6.212B,29.00M,41.00M,6.24B,,,32.00M,-375.00M,-29.00M,,AOR,Restated
2018-12,-3.45B,799.00M,,407.00M,130.00M,130.00M,693.00M,,-12.00M,-261.00M,1.473B,574.00M,-306.00M,-907.00M,,12.00M,846.00M,,2.005B,,-443.00M,,,-98.00M,-15.89B,138.00M,-48.00M,-15.95B,,-499.00M,-1.598B,-2.097B,,-253.00M,-253.00M,-564.00M,-564.00M,3.00M,4.281B,-2.874B,,13.80B,-16.82B,-9.00M,6.212B,,,-72.00M,-427.00M,-253.00M,,AOR,Restated
2018-09,1.349B,-4.00M,,-4.00M,593.00M,593.00M,25.00M,,64.00M,-111.00M,-993.00M,-29.00M,1.034B,-39.00M,,-127.00M,-154.00M,,1.762B,,-534.00M,,,-121.00M,-38.00M,-120.00M,-89.00M,-781.00M,,10.98B,586.00M,11.56B,,-20.00M,-20.00M,-536.00M,-536.00M,27.00M,14.00M,11.05B,,11.07B,12.03B,-93.00M,13.80B,,,10.34B,-1.00M,-20.00M,,AOR,Restated
2018-06,2.139B,-795.00M,,-795.00M,592.00M,592.00M,3.00M,,62.00M,-382.00M,-721.00M,-331.00M,1.434B,313.00M,,-212.00M,483.00M,,2.102B,,-475.00M,,,-103.00M,1.05B,200.00M,-37.00M,738.00M,,1.312B,-24.00M,1.288B,,-27.00M,-27.00M,-535.00M,-535.00M,1.00M,-28.00M,699.00M,,7.667B,3.539B,-137.00M,11.07B,,,3.053B,-1.099B,-27.00M,,AOR,Restated
2018-03,1.368B,,,,581.00M,581.00M,42.00M,,55.00M,-621.00M,-1.557B,-631.00M,576.00M,-12.00M,,652.00M,-972.00M,,453.00M,,-415.00M,,,-78.00M,-90.00M,-462.00M,-9.00M,-976.00M,,-975.00M,666.00M,-309.00M,,-25.00M,-25.00M,-535.00M,-535.00M,5.00M,-46.00M,-910.00M,,9.018B,-1.433B,119.00M,7.667B,,,18.00M,-993.00M,-25.00M,,AOR,Restated
