,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,16.42B,16.42B,14.27B,2.153B,1.351B,710.00M,0.00,367.00M,18.00M,-349.00M,-50.00M,2.011B,142.00M,18.00M,367.00M,-349.00M,244.00M,-349.00M,37.00M,-178.00M,215.00M,-11.00M,-69.00M,,135.00M,146.00M,1.557B,1.153B,404.00M,,0.10,-0.01,0.10,0.09,,0.10,-0.01,0.10,0.09,,1.497B,1.497B,0.475,,AOR,
2020-09,14.75B,14.75B,13.00B,1.743B,1.401B,642.00M,0.00,356.00M,6.00M,-350.00M,-734.00M,1.309B,434.00M,6.00M,356.00M,-350.00M,253.00M,-350.00M,337.00M,152.00M,185.00M,113.00M,-34.00M,,264.00M,151.00M,1.857B,1.164B,693.00M,,0.10,0.08,0.10,0.17,,0.10,0.08,0.10,0.17,,1.512B,1.514B,0.475,,AOR,
2020-06,14.06B,14.06B,12.21B,1.847B,1.811B,695.00M,-3.183B,346.00M,11.00M,-335.00M,-82.00M,2.424B,-577.00M,11.00M,346.00M,-335.00M,-2.946B,-335.00M,-3.858B,-38.00M,-3.82B,9.00M,-24.00M,,-3.835B,-692.83M,-2.653B,859.00M,-3.512B,,-2.56,0.01,-0.4610,-2.55,,-2.56,0.01,-0.4610,-2.55,,1.501B,1.501B,0.475,,AOR,
2020-03,18.21B,18.21B,13.41B,4.802B,2.248B,671.00M,-660.00M,400.00M,20.00M,-380.00M,76.00M,2.995B,1.807B,20.00M,400.00M,-380.00M,-472.00M,-380.00M,955.00M,941.00M,14.00M,,-97.00M,,-83.00M,398.80M,2.335B,980.00M,1.355B,,-0.10,,0.4613,-0.10,,-0.10,,0.4613,-0.10,,858.40M,858.40M,0.735,,AOR,
2019-12,11.69B,11.69B,9.116B,2.578B,1.039B,668.00M,0.00,436.00M,19.00M,-417.00M,-85.00M,1.622B,956.00M,19.00M,436.00M,-417.00M,148.00M,-417.00M,687.00M,-44.00M,731.00M,486.00M,-74.00M,,1.143B,657.00M,1.809B,686.00M,1.123B,,1.480,-0.1449,1.480,1.33,,1.461,-0.1449,1.461,1.32,,856.60M,866.90M,0.735,,AOR,Restated
2019-09,11.37B,11.37B,8.509B,2.864B,902.00M,592.00M,0.00,424.00M,22.00M,-402.00M,-60.00M,1.434B,1.43B,22.00M,424.00M,-402.00M,289.00M,-402.00M,1.317B,306.00M,1.011B,190.00M,-53.00M,,1.148B,958.00M,2.433B,692.00M,1.741B,,1.12,0.22,1.12,1.34,,1.11,0.22,1.11,1.33,,855.10M,864.10M,0.735,,AOR,Restated
2019-06,11.33B,11.33B,8.554B,2.775B,902.00M,605.00M,0.00,420.00M,68.00M,-352.00M,-118.00M,1.389B,1.386B,68.00M,420.00M,-352.00M,200.00M,-352.00M,1.234B,6.00M,1.228B,717.00M,-45.00M,,1.90B,1.183B,2.042B,388.00M,1.654B,,1.38,0.84,1.38,2.22,,1.37,0.83,1.37,2.20,,854.40M,863.70M,0.735,,AOR,Restated
2019-03,18.36B,18.36B,13.71B,4.658B,1.997B,728.00M,0.00,450.00M,19.00M,-431.00M,-112.00M,2.613B,2.045B,19.00M,450.00M,-431.00M,208.00M,-431.00M,1.822B,397.00M,1.425B,,-79.00M,,1.346B,1.346B,3.214B,942.00M,2.272B,,1.58,,1.58,1.58,,1.56,,1.56,1.56,,853.20M,860.70M,0.735,,AOR,Restated
2018-12,-13.76B,-13.76B,-8.773B,-4.983B,-2.287B,149.00M,,345.00M,34.00M,-311.00M,920.00M,-1.218B,-3.765B,34.00M,345.00M,-311.00M,88.00M,-311.00M,-3.988B,-538.00M,-3.45B,,83.00M,,686.00M,-3.367B,-3.513B,130.00M,-3.643B,,0.83,,0.83,0.83,,0.83,,0.83,0.83,,829.80M,838.30M,0.735,,AOR,Restated
2018-09,16.51B,16.51B,12.54B,3.974B,1.681B,586.00M,,323.00M,65.00M,-258.00M,-131.00M,2.136B,1.838B,65.00M,323.00M,-258.00M,188.00M,-258.00M,1.768B,419.00M,1.349B,,-111.00M,,1.238B,1.238B,2.684B,593.00M,2.091B,,1.56,,1.56,1.56,,1.54,,1.54,1.54,,791.30M,801.80M,0.70,,AOR,Restated
