,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,8.802B,8.802B,9.254B,9.931B,19.18B,3.015B,2.924B,3.472B,,9.411B,,,5.914B,43.38B,0.00,773.00M,7.067B,15.99B,4.392B,,28.23B,-11.38B,16.84B,54.28B,40.54B,94.82B,3.144B,,,3.967B,118.78B,162.15B,,8.639B,,8.639B,10.40B,19.04B,160.00M,637.00M,797.00M,,797.00M,12.89B,12.89B,116.00M,35.85B,31.03B,1.516B,32.54B,,,,10.34B,1.689B,32.00M,9.537B,52.45B,88.30B,,36.93B,49.42B,10.41B,,,,,-3.734B,72.16B,,AOR,
2020-09,10.00B,10.00B,10.12B,9.617B,19.73B,3.163B,2.915B,3.765B,,9.843B,,,3.879B,43.51B,,,,,27.63B,,27.63B,-10.87B,16.76B,53.52B,41.56B,95.09B,3.314B,699.00M,,3.03B,118.89B,162.40B,,8.143B,,8.143B,13.56B,21.70B,160.00M,1.375B,1.535B,,1.535B,12.21B,12.21B,118.00M,35.56B,31.25B,1.651B,32.90B,,,,14.69B,1.701B,30.00M,9.142B,56.76B,92.32B,,36.83B,50.02B,10.41B,,,,,-8.012B,68.38B,,AOR,
2020-06,6.975B,6.975B,9.496B,9.943B,19.44B,3.375B,3.031B,3.85B,,10.26B,,,5.469B,42.27B,,,,,16.91B,,16.91B,,16.91B,53.27B,42.00B,95.27B,3.363B,732.00M,,2.969B,119.24B,161.52B,,7.182B,,7.182B,14.25B,21.44B,,,1.54B,,1.54B,12.00B,12.00B,319.00M,35.29B,31.21B,1.723B,32.93B,,,,14.97B,1.667B,35.00M,9.394B,57.33B,92.62B,,36.74B,49.74B,10.40B,,,,,-8.80B,67.22B,,AOR,
2020-03,8.001B,8.001B,13.10B,4.549B,17.65B,3.576B,2.85B,5.08B,,11.51B,,,1.715B,38.88B,,,,,28.17B,,28.17B,-13.06B,15.11B,47.48B,25.60B,73.08B,3.496B,1.444B,,7.568B,100.70B,139.57B,,10.98B,,10.98B,11.06B,22.03B,500.00M,2.587B,3.087B,,3.087B,6.384B,6.384B,,31.50B,43.23B,2.126B,45.36B,,5.554B,5.554B,3.225B,2.524B,95.00M,11.90B,66.14B,97.64B,,23.10B,60.83B,32.66B,,,,,-11.79B,39.41B,,AOR,
2019-12,4.937B,4.937B,8.743B,4.462B,13.20B,2.984B,2.586B,3.477B,,9.047B,,,2.565B,61.58B,0.00,292.00M,4.978B,12.94B,3.123B,,21.33B,-9.755B,11.57B,36.61B,24.47B,61.08B,3.463B,,,1.919B,78.04B,139.62B,,7.816B,,7.816B,8.417B,16.23B,0.00,5.551B,5.551B,,5.551B,9.014B,9.014B,14.44B,46.59B,37.70B,1.093B,38.79B,,,,2.487B,2.457B,95.00M,7.414B,48.79B,95.38B,,23.02B,61.59B,32.63B,,,,,-10.15B,41.77B,,AOR,Restated
2019-09,7.341B,7.341B,13.61B,4.316B,17.92B,3.149B,2.921B,5.172B,,11.24B,,,1.31B,37.82B,,,,,27.20B,,27.20B,-12.45B,14.76B,48.04B,25.69B,73.73B,3.372B,1.699B,,7.639B,101.19B,139.01B,,10.84B,,10.84B,11.67B,22.51B,984.00M,5.838B,6.822B,,6.822B,6.233B,6.233B,,35.57B,37.78B,2.105B,39.89B,,,,3.855B,2.351B,107.00M,16.77B,60.62B,96.19B,,22.87B,61.07B,32.59B,,,,,-10.82B,40.47B,,AOR,Restated
2019-06,6.819B,6.819B,13.70B,4.334B,18.03B,3.024B,2.863B,5.047B,,10.93B,,,1.276B,37.06B,,,,,27.43B,,27.43B,-12.40B,15.03B,48.36B,25.96B,74.32B,3.293B,1.712B,,7.574B,101.93B,138.99B,,11.11B,,11.11B,10.75B,21.86B,855.00M,6.486B,7.341B,,7.341B,6.219B,6.219B,,35.42B,37.91B,2.258B,40.17B,,,,3.663B,2.223B,109.00M,16.65B,60.59B,96.01B,,22.72B,60.55B,32.55B,,,,,-9.892B,40.75B,,AOR,Restated
2019-03,6.24B,6.24B,13.57B,3.795B,17.37B,2.944B,2.819B,4.711B,,10.47B,,,1.319B,35.40B,,,,,26.88B,,26.88B,-12.14B,14.74B,48.39B,26.28B,74.67B,3.182B,1.703B,,7.678B,101.98B,137.38B,,10.36B,,10.36B,10.75B,21.11B,849.00M,3.333B,4.182B,,4.182B,6.107B,6.107B,,31.40B,41.00B,2.02B,43.02B,,,,3.846B,2.208B,109.00M,17.05B,64.03B,95.43B,,22.56B,59.28B,32.51B,,,,,-9.519B,39.74B,,AOR,Restated
2018-12,6.152B,6.152B,14.27B,3.486B,17.76B,3.052B,2.673B,4.358B,,10.08B,,,1.511B,35.50B,0.00,425.00M,6.486B,15.12B,2.054B,,24.08B,-11.79B,12.30B,48.11B,26.42B,74.54B,3.023B,1.646B,,7.206B,98.71B,134.21B,,11.08B,737.00M,11.82B,9.304B,21.12B,1.257B,3.088B,4.345B,0.00,4.345B,5.72B,5.72B,40.00M,31.37B,41.19B,0.00,41.19B,,5.069B,5.069B,4.018B,2.164B,109.00M,11.84B,62.23B,93.60B,,22.51B,57.82B,32.48B,,,,,-9.333B,38.45B,,AOR,Restated
2018-09,13.80B,13.80B,12.55B,3.45B,16.00B,2.444B,2.292B,4.332B,,9.068B,,,1.337B,40.20B,,,,,,,21.96B,-11.72B,10.24B,27.68B,15.70B,43.38B,3.143B,1.701B,,16.28B,74.74B,114.94B,,10.51B,,10.51B,8.867B,19.38B,1.38B,288.00M,1.668B,,1.668B,5.46B,5.46B,,26.50B,38.28B,,38.28B,,,,2.412B,2.144B,125.00M,13.37B,54.18B,80.69B,,17.87B,57.71B,35.67B,,,,,-7.723B,32.11B,,AOR,Restated
