,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,1.259B,1.259B,,,,,,,22.81M,22.81M,,,526.03M,,208.63M,53.67M,154.96M,,-24.50M,,,130.46M,154.96M,-0.425M,208.63M,,0.87,-0.14,0.00,0.87,0.73,,0.86,-0.14,-0.1371,0.86,0.72,,178.71M,181.19M,0.35,,AOR,Restated
2003-12,1.703B,1.703B,,,,,,,,,,,7.086B,,645.75M,196.20M,449.55M,,-255.22M,,,194.33M,449.55M,-1.269M,645.75M,,2.54,-1.44,-0.0000,2.54,1.10,,2.50,-1.44,-1.441,2.50,1.08,,176.26M,180.19M,0.685,,AOR,Restated
2003-09,1.269B,1.269B,,,,,,,26.62M,26.62M,,,516.00M,,178.69M,45.38M,133.31M,,0.00,,,133.31M,133.31M,15.20M,178.69M,,0.75,0.00,0.00,0.75,0.75,,0.74,0.00,0.00,0.74,0.74,,177.75M,180.15M,0.335,,AOR,Restated
2003-06,1.213B,1.213B,,,,,,,22.97M,22.97M,,,489.64M,,187.68M,44.98M,142.70M,,0.00,,,142.70M,142.70M,-26.34M,187.68M,,0.81,0.00,0.00,0.81,0.81,,0.80,0.00,0.00,0.80,0.80,,176.18M,178.38M,0.335,,AOR,Restated
2003-03,1.099B,1.099B,,,,,23.34M,-23.34M,,,23.34M,-23.34M,467.82M,-23.34M,35.45M,-6.14M,41.59M,,0.00,,,41.59M,41.59M,24.71M,58.78M,,0.23,0.00,0.00,0.23,0.23,,0.23,0.00,0.00,0.23,0.23,,180.82M,180.82M,0.335,,AOR,Restated
2002-12,1.224B,1.224B,,,,,23.47M,-23.47M,,,23.47M,-23.47M,2.849B,-23.47M,59.20M,-2.376M,63.20M,,0.00,,,63.20M,63.20M,-30.91M,82.66M,,0.12,0.00,0.00,0.12,0.12,,0.11,0.00,0.00,0.11,0.11,,189.30M,189.30M,0.32,,AOR,Restated
2002-09,1.141B,1.141B,,212.80M,212.80M,2.10M,23.69M,-23.69M,-210.70M,4.20M,23.69M,-23.69M,468.74M,-23.69M,-226.35M,-100.88M,-125.46M,,0.00,,,-125.46M,-126.72M,101.28M,-202.66M,,-0.69,0.00,0.00,-0.6969,-0.69,,-0.69,0.00,0.00,-0.6968,-0.69,,181.83M,184.50M,0.32,,AOR,
2002-06,1.157B,1.157B,,,,,24.65M,-24.65M,,,24.65M,-24.65M,1.080B,-24.65M,0.00,-1.615M,48.55M,,,,,48.55M,48.55M,17.73M,24.65M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,185.89M,188.53M,0.32,,AOR,
2002-03,1.126B,1.126B,,,,,24.81M,-24.81M,,,24.81M,-24.81M,1.049B,-24.81M,0.00,9.911M,85.60M,,,,,85.60M,85.60M,18.50M,24.81M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,186.85M,190.01M,0.32,,AOR,
2001-12,1.471B,1.471B,,,,,24.97M,-24.97M,,,24.97M,-24.97M,1.164B,-24.97M,0.00,6.819M,124.64M,,-0.034M,,,124.61M,124.64M,38.89M,24.97M,,0.58,0.08,0.00,0.58,0.66,,0.58,0.08,-0.0001,0.58,0.66,,189.16M,189.16M,0.00,,AOR,Restated
2001-09,1.609B,1.609B,,,,,29.56M,-29.56M,,,29.56M,-29.56M,1.169B,-29.56M,0.00,30.59M,119.05M,,,,,119.05M,119.05M,44.91M,29.56M,,0.63,0.00,,0.63,0.63,,0.61,0.00,,0.61,0.61,,189.73M,194.79M,0.305,,AOR,
2001-06,1.599B,1.599B,,252.10M,252.10M,-5.90M,32.04M,-32.04M,-258.00M,-11.80M,32.04M,-32.04M,493.94M,-32.04M,203.71M,50.72M,152.99M,,-11.27M,-0.015M,,141.74M,157.44M,42.41M,235.75M,,0.76,0.00,0.00,0.7838,0.76,,0.74,0.00,-0.0604,0.7631,0.74,,186.49M,191.54M,0.305,,AOR,
2001-03,1.699B,1.699B,,248.90M,248.90M,-1.00M,34.45M,-34.45M,-249.90M,-2.00M,34.45M,-34.45M,518.07M,-34.45M,221.06M,56.58M,164.50M,,-4.297M,-0.02M,,160.20M,165.25M,72.81M,255.50M,,0.85,0.00,0.00,0.8539,0.85,,0.83,0.00,-0.0228,0.8339,0.83,,188.48M,193.02M,0.305,,AOR,
2000-12,1.769B,1.769B,,,,,33.41M,-33.41M,,,33.41M,-33.41M,3.330B,-33.41M,-647.97M,39.37M,112.85M,,,,,112.85M,112.85M,71.19M,-614.56M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,191.17M,191.17M,0.305,,AOR,Restated
2000-09,1.716B,1.716B,,268.10M,268.10M,-53.50M,34.41M,-34.41M,-321.60M,-107.00M,34.41M,-34.41M,586.17M,-34.41M,190.36M,51.75M,138.62M,,,-0.02M,,138.62M,177.58M,35.14M,224.77M,,0.73,0.00,,0.9351,0.73,,0.71,0.00,,0.9095,0.71,,189.90M,195.25M,0.29,,AOR,
2000-06,1.693B,1.693B,,,,,35.38M,-35.38M,,,35.38M,-35.38M,1.212B,-35.38M,0.00,62.78M,163.61M,,,0.238M,,163.61M,163.61M,82.66M,35.38M,,0.86,0.00,,0.86,0.86,,0.84,0.00,,0.84,0.84,,190.66M,194.04M,0.29,,AOR,
2000-03,1.669B,1.669B,,,,,36.34M,-36.34M,,,36.34M,-36.34M,568.48M,-36.34M,230.98M,60.99M,170.45M,,0.00,-0.228M,,170.22M,170.22M,48.02M,267.32M,,0.88,0.00,0.00,0.88,0.88,,0.87,0.00,0.00,0.87,0.87,,193.43M,195.66M,0.29,,AOR,Restated
1999-12,1.808B,1.808B,,,,,34.69M,-34.69M,,,34.69M,-34.69M,513.40M,-34.69M,-19.42M,-54.05M,34.67M,,,,,34.62M,34.62M,53.47M,15.27M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,193.32M,195.14M,0.29,,AOR,Restated
1999-09,1.642B,1.642B,,,,,33.27M,-33.27M,,,33.27M,-33.27M,526.27M,-33.27M,183.19M,50.87M,132.32M,,,0.00,,132.32M,132.32M,44.81M,216.46M,,0.67,0.00,,0.67,0.67,,0.66,0.00,,0.66,0.66,,197.49M,200.48M,0.275,,,Restated
1999-06,1.678B,1.678B,,,,,32.63M,-32.63M,,,32.63M,-32.63M,543.17M,-32.63M,201.71M,53.36M,148.35M,,,0.00,,148.35M,148.35M,27.50M,234.34M,,0.74,0.00,,0.74,0.74,,0.73,0.00,,0.73,0.73,,200.47M,203.22M,0.275,,,Restated
1999-03,1.675B,1.675B,,,,,33.10M,-33.10M,,,33.10M,-33.10M,524.83M,-33.10M,204.48M,59.42M,145.10M,,,0.00,,145.06M,145.06M,41.39M,237.59M,,0.72,0.00,,0.72,0.72,,0.71,0.00,,0.71,0.71,,201.48M,204.31M,0.275,,,Restated
1998-12,1.714B,1.714B,,,,,33.45M,-33.45M,,,33.45M,-33.45M,-1.499B,-33.45M,697.40M,45.62M,125.58M,,,,,125.58M,125.58M,7.408M,730.85M,,0.62,0.00,,0.62,0.62,,0.62,0.00,,0.62,0.62,,202.48M,202.55M,0.275,,AOR,Restated
1998-09,1.418B,1.418B,,,,,32.50M,-32.50M,,,32.50M,-32.50M,1.031B,-32.50M,0.00,33.60M,113.40M,,,,,113.40M,113.40M,37.10M,32.50M,,0.57,0.00,,0.57,0.57,,0.56,0.00,,0.56,0.56,,198.95M,202.50M,0.26,,,
1998-06,1.508B,1.508B,,,,,27.70M,-27.70M,,,27.70M,-27.70M,1.134B,-27.70M,0.00,64.00M,148.70M,,,,,148.70M,148.70M,39.90M,27.70M,,0.74,0.00,,0.74,0.74,,0.73,0.00,,0.73,0.73,,200.95M,203.70M,0.26,,,
1998-03,1.448B,1.448B,,,,,23.40M,-23.40M,,,23.40M,-23.40M,1.100B,-23.40M,0.00,44.40M,122.00M,,,,,122.00M,122.00M,53.10M,23.40M,,0.61,0.00,,0.61,0.61,,0.60,0.00,,0.60,0.60,,200.00M,203.33M,0.26,,,
1997-12,1.305B,1.305B,,,,,22.52M,-22.52M,,,22.52M,-22.52M,,-22.52M,34.88M,-25.25M,-137.67M,776.86M,,,,639.19M,-137.67M,,57.40M,,-0.67,3.785,,-0.67,3.115,,-0.67,3.735,,-0.67,3.07,,206.02M,209.24M,0.505,,AOR,
1997-09,1.267B,1.267B,,,,,24.50M,-24.50M,,,24.50M,-24.50M,,-24.50M,0.00,48.50M,124.90M,46.40M,,,,171.30M,124.90M,,24.50M,,0.60,0.23,,0.60,0.83,,0.60,0.23,,0.60,0.83,,206.39M,206.39M,0.245,,,
1997-06,1.128B,1.128B,,,,,23.20M,-23.20M,,,23.20M,-23.20M,854.70M,-23.20M,0.00,-41.60M,-48.00M,40.20M,,,,-7.80M,-48.00M,104.20M,23.20M,,-0.23,0.20,,-0.23,-0.03,,-0.23,0.20,,-0.23,-0.03,,260.00M,260.00M,0.245,,,
1997-03,1.198B,1.198B,,,,,22.30M,-22.30M,,,22.30M,-22.30M,841.10M,-22.30M,0.00,31.00M,83.00M,48.30M,,,,131.30M,83.00M,48.50M,22.30M,,0.40,0.24,,0.40,0.64,,0.40,0.24,,0.40,0.64,,205.16M,205.16M,0.245,,,
1996-12,1.255B,1.255B,,,,,24.02M,-24.02M,,,24.02M,-24.02M,-1.296B,-24.02M,504.06M,33.17M,94.69M,48.07M,,,,142.76M,94.69M,-18.35M,528.08M,,0.465,0.23,,0.465,0.695,,0.44,0.215,,0.44,0.655,,205.05M,218.68M,0.23,,AOR,Restated
1996-09,1.207B,1.207B,,,,,23.50M,-23.50M,,,23.50M,-23.50M,795.90M,-23.50M,0.00,30.90M,83.00M,36.40M,,,,119.40M,83.00M,20.70M,23.50M,,0.40,0.18,,0.40,0.58,,0.40,0.18,,0.40,0.58,,205.86M,205.86M,0.23,,,
1996-06,1.644B,1.644B,,,,,18.70M,-18.70M,,,18.70M,-18.70M,850.80M,-18.70M,0.00,41.00M,111.40M,,,4.00M,,111.40M,111.40M,24.20M,18.70M,,0.41,0.13,,0.41,0.54,,0.41,0.13,,0.41,0.54,,206.30M,206.30M,0.23,,,
1996-03,1.640B,1.640B,,,,,18.50M,-18.50M,,,18.50M,-18.50M,865.10M,-18.50M,0.00,53.90M,140.00M,,,,,140.00M,140.00M,44.20M,18.50M,,0.44,0.23,,0.44,0.67,,0.44,0.23,,0.44,0.67,,208.96M,208.96M,0.23,,,
1995-12,1.835B,1.835B,,,,,19.12M,-19.12M,,,19.12M,-19.12M,-1.561B,-19.12M,626.58M,13.49M,-105.70M,,,,,75.09M,-105.71M,27.83M,645.69M,,0.355,0.00,,0.355,0.355,,0.355,0.00,,0.355,0.355,,210.04M,210.04M,0.00,,AOR,Restated
1995-09,1.668B,1.668B,,,,,19.50M,-19.50M,,,19.50M,-19.50M,868.20M,-19.50M,0.00,49.10M,154.30M,,,,,154.30M,154.30M,14.70M,19.50M,,0.74,0.00,,0.74,0.74,,0.74,0.00,,0.74,0.74,,208.51M,208.51M,0.215,,,
1995-06,1.646B,1.646B,,,,,20.00M,-20.00M,,,20.00M,-20.00M,861.00M,-20.00M,0.00,37.10M,117.90M,,,,,117.90M,117.90M,16.40M,20.00M,,0.57,0.00,,0.57,0.57,,0.57,0.00,,0.57,0.57,,206.84M,206.84M,0.215,,,
1995-03,1.484B,1.484B,,,,,14.00M,-14.00M,,,14.00M,-14.00M,744.00M,-14.00M,0.00,44.70M,134.80M,,,,,134.80M,134.80M,15.30M,14.00M,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,207.38M,207.38M,0.215,,,
1994-12,1.871B,1.871B,,,,,14.62M,-14.62M,,,14.62M,-14.62M,-1.230B,-14.62M,376.28M,-0.017M,93.70M,,,,,93.70M,93.70M,15.70M,390.90M,,0.445,0.00,,0.445,0.445,,0.445,0.00,,0.445,0.445,,169.95M,206.61M,0.215,,AOR,
1994-09,1.562B,1.562B,,,,,12.10M,-12.10M,,,12.10M,-12.10M,586.20M,-12.10M,0.00,0.50M,58.40M,,,,,58.40M,58.40M,14.60M,12.10M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,208.57M,208.57M,0.205,,,
1994-06,1.544B,1.544B,,,,,11.50M,-11.50M,,,11.50M,-11.50M,576.70M,-11.50M,0.00,-5.40M,46.80M,,,,,46.80M,46.80M,12.80M,11.50M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,203.48M,203.48M,0.205,,,
1994-03,2.007B,2.007B,,,,,11.30M,-11.30M,,,11.30M,-11.30M,621.20M,-11.30M,0.00,31.30M,151.00M,,,,,151.00M,151.00M,15.60M,11.30M,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,206.85M,206.85M,0.205,,,
1993-12,2.122B,2.122B,,,,,11.50M,-11.50M,,,11.50M,-11.50M,572.50M,-11.50M,0.00,43.80M,31.60M,,0.00,,,31.60M,31.60M,16.00M,11.50M,,-1.04,1.65,0.00,-1.04,0.14,,-1.04,1.65,-0.0222,-1.04,0.14,,167.30M,167.30M,0.205,,,
1993-09,2.327B,2.327B,,,,,10.90M,-10.90M,,,10.90M,-10.90M,723.90M,-10.90M,0.00,75.70M,187.50M,,,,,187.50M,187.50M,14.70M,10.90M,,0.91,0.00,,0.91,0.91,,0.91,0.00,,0.91,0.91,,206.04M,206.04M,0.19,,,
1993-06,1.902B,1.902B,,,,,10.80M,-10.80M,,,10.80M,-10.80M,605.10M,-10.80M,0.00,44.80M,127.20M,,,,,127.20M,127.20M,13.50M,10.80M,,0.62,0.00,,0.62,0.62,,0.62,0.00,,0.62,0.62,,205.16M,205.16M,0.19,,,
1993-03,2.003B,2.003B,,,,,11.10M,-11.10M,,,11.10M,-11.10M,625.20M,-11.10M,0.00,29.90M,111.30M,,-96.40M,,,14.90M,111.30M,14.70M,11.10M,,0.56,-0.49,0.00,0.56,0.07,,0.56,-0.49,-0.4529,0.56,0.07,,212.86M,212.86M,0.19,,,
1992-12,2.028B,2.028B,,,,,15.00M,-15.00M,,,15.00M,-15.00M,965.60M,-15.00M,0.00,3.80M,77.20M,,,,,77.20M,77.20M,13.10M,15.00M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,148.95M,148.95M,0.19,,,
1992-09,2.138B,2.138B,,,,,10.90M,-10.90M,,,10.90M,-10.90M,655.50M,-10.90M,0.00,34.10M,114.60M,,,,,114.60M,114.60M,16.20M,10.90M,,0.62,0.00,,0.62,0.62,,0.62,0.00,,0.62,0.62,,184.84M,184.84M,0.1825,,,
1992-06,1.943B,1.943B,,,,,13.30M,-13.30M,,,13.30M,-13.30M,541.00M,-13.30M,0.00,-3.70M,69.80M,,,,,69.80M,69.80M,15.90M,13.30M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,183.68M,183.68M,0.1825,,,
1992-03,1.925B,1.925B,,,,,14.60M,-14.60M,,,14.60M,-14.60M,573.10M,-14.60M,0.00,27.60M,101.30M,,,,,101.30M,101.30M,14.90M,14.60M,,0.55,0.00,,0.55,0.55,,0.55,0.00,,0.55,0.55,,184.18M,184.18M,0.1825,,,
1991-12,2.570B,2.570B,,,,,16.40M,-16.40M,,,16.40M,-16.40M,823.00M,-16.40M,0.00,-43.60M,16.00M,,,,,16.00M,16.00M,14.30M,16.40M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,140.21M,140.21M,0.1825,,,
1991-09,2.238B,2.238B,,,,,17.90M,-17.90M,,,17.90M,-17.90M,547.70M,-17.90M,0.00,15.70M,74.60M,,,,,74.60M,74.60M,23.50M,17.90M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,181.95M,181.95M,0.17,,,
1991-06,2.232B,2.232B,,,,,17.90M,-17.90M,,,17.90M,-17.90M,560.50M,-17.90M,0.00,18.20M,78.40M,,,,,78.40M,78.40M,11.10M,17.90M,,0.44,0.00,,0.44,0.44,,0.44,0.00,,0.44,0.44,,178.18M,178.18M,0.17,,,
1991-03,2.129B,2.129B,,,,,19.00M,-19.00M,,,19.00M,-19.00M,507.60M,-19.00M,0.00,0.10M,39.30M,,,,,39.30M,39.30M,12.00M,19.00M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,170.87M,170.87M,0.17,,,
1990-12,2.499B,2.499B,,,,,17.10M,-17.10M,,,17.10M,-17.10M,574.20M,-17.10M,0.00,-14.10M,59.20M,,,,,59.20M,59.20M,9.40M,17.10M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,139.20M,139.20M,0.17,,,
1990-09,2.005B,2.005B,,,,,17.80M,-17.80M,,,17.80M,-17.80M,523.80M,-17.80M,0.00,2.40M,38.10M,,,,,38.10M,38.10M,9.50M,17.80M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,173.18M,173.18M,0.1625,,,
1990-06,2.015B,2.015B,,,,,17.60M,-17.60M,,,17.60M,-17.60M,573.90M,-17.60M,0.00,25.10M,68.00M,,,,,68.00M,68.00M,9.50M,17.60M,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,174.36M,174.36M,0.1625,,,
1990-03,1.970B,1.970B,,,,,19.80M,-19.80M,,,19.80M,-19.80M,489.10M,-19.80M,0.00,-4.70M,26.20M,,,,,26.20M,26.20M,8.90M,19.80M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,187.14M,187.14M,0.1625,,,
1989-12,2.486B,2.486B,,,,,20.10M,-20.10M,,,20.10M,-20.10M,587.90M,-20.10M,0.00,20.00M,97.10M,,,,,97.10M,97.10M,10.00M,20.10M,,0.56,0.00,,0.56,0.56,,0.56,0.00,,0.56,0.56,,130.54M,130.54M,0.1625,,,
1989-09,1.87B,1.87B,,,,,22.40M,-22.40M,,,22.40M,-22.40M,528.70M,-22.40M,0.00,18.00M,64.80M,,,,,64.80M,64.80M,,22.40M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,175.14M,175.14M,0.155,,,
1989-06,1.940B,1.940B,,,,,,,,,,,,,,,55.90M,,,,,55.90M,55.90M,,,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,180.32M,180.32M,0.155,,,
1989-03,1.785B,1.785B,,,,,,,,,,,,,,,51.00M,,,,,51.00M,51.00M,,,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,175.86M,175.86M,0.155,,,
1988-12,2.233B,2.233B,,,,,,,,,,,,,,,71.10M,,,,,71.10M,71.10M,,,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,128.81M,128.81M,0.155,,,
1988-09,1.791B,1.791B,,,,,,,,,,,,,,,-6.00M,,,,,-6.00M,-6.00M,,-6.00M,,-0.06,0.00,,-0.06,-0.06,,-0.06,0.00,,-0.06,-0.06,,176.76M,176.76M,0.1475,,,
1988-06,1.71B,1.71B,,,,,,,,,,,,,,,62.10M,,,,,62.10M,62.10M,,,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,172.50M,172.50M,0.1475,,,
1988-03,1.578B,1.578B,,,,,,,,,,,,,,,58.10M,,,,,58.10M,58.10M,,,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,176.06M,176.06M,0.1475,,,
1987-12,1.913B,1.913B,,,,,,,,,,,,,,,62.30M,,,,,62.30M,62.30M,,,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,148.84M,148.84M,0.1475,,,
1987-09,1.526B,1.526B,,,,,,,,,,,,,,,49.20M,,,,,49.20M,49.20M,,,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,182.22M,182.22M,0.135,,,
1987-06,1.734B,1.734B,,,,,,,,,,,,,,,66.50M,,,,,66.50M,66.50M,,,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,179.73M,179.73M,0.135,,,
1987-03,1.788B,1.788B,,,,,,,,,,,,,,,59.00M,,,,,59.00M,59.00M,,,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,184.38M,184.38M,0.135,,,
1986-12,1.858B,1.858B,,,,,,,,,,,,,,,54.50M,,,,,54.50M,54.50M,,,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,155.30M,155.30M,0.135,,,
1986-09,1.426B,1.426B,,,,,,,,,,,,,,,54.60M,,,,,54.60M,54.60M,,,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,182.00M,182.00M,0.125,,,
1986-06,1.409B,1.409B,,,,,,,,,,,,,,,53.40M,,,,,53.40M,53.40M,,,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,184.14M,184.14M,0.125,,,
1986-03,1.330B,1.330B,,,,,,,,,,,,,,,51.50M,,,,,51.50M,51.50M,,,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,183.93M,183.93M,0.125,,,
1985-12,1.423B,1.423B,,,,,,,,,,,,,,,75.00M,-7.10M,,,,67.90M,75.00M,,,,0.43,-0.05,,0.43,0.38,,0.43,-0.05,,0.43,0.38,,176.66M,176.66M,0.125,,,
1985-09,1.318B,1.318B,,,,,,,,,,,,,,,50.00M,,,,,50.00M,50.00M,,,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,172.41M,172.41M,,,,
1985-06,1.069B,1.069B,,,,,,,,,,,,,,,44.00M,9.30M,,,,53.30M,44.00M,,,,0.26,0.06,,0.26,0.32,,0.26,0.06,,0.26,0.32,,166.56M,166.56M,,,,
1985-03,1.175B,1.175B,,,,,,,,,,,,,,,43.00M,,,,,43.00M,43.00M,,,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,172.00M,172.00M,,,,
1984-12,1.163B,1.163B,,,,,,,,,,,,,,,38.70M,,,,,38.70M,38.70M,,,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,168.44M,168.44M,,,,
1984-09,1.086B,1.086B,,,,,,,,,,,,,,,46.70M,,,,,46.70M,46.70M,,,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,172.96M,172.96M,,,,
1984-06,1.047B,1.047B,,,,,,,,,,,,,,,40.30M,,,,,40.30M,40.30M,,,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,175.22M,175.22M,,,,
1984-03,1.050B,1.050B,,,,,,,,,,,,,,,42.50M,,,,,42.50M,42.50M,,,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,177.08M,177.08M,,,,
