,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,3.50B,3.50B,,,,,64.00M,-64.00M,9.00M,9.00M,64.00M,-64.00M,18.00M,-64.00M,475.00M,40.00M,435.00M,,,,,435.00M,435.00M,,539.00M,,1.93,,,1.93,1.93,,1.89,,,1.89,1.89,,225.62M,230.10M,0.29,,AOR,Restated
2016-12,3.254B,3.254B,,,,,129.00M,-209.00M,,,129.00M,-209.00M,18.00M,-209.00M,196.00M,6.00M,190.00M,,,,,190.00M,190.00M,,325.00M,,0.8395,,,0.8395,0.8395,,0.82,,,0.82,0.82,,227.60M,227.63M,0.29,,AOR,Restated
2016-09,3.525B,3.525B,,,,,66.00M,-66.00M,,,66.00M,-66.00M,18.00M,-66.00M,612.00M,145.00M,467.00M,,,,,467.00M,467.00M,,678.00M,,2.02,,,2.02,2.02,,2.00,,,2.00,2.00,,231.04M,233.66M,0.25,,AOR,Restated
2016-06,3.307B,3.307B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,414.00M,89.00M,325.00M,,,,,325.00M,325.00M,,482.00M,,1.37,,,1.37,1.37,,1.35,,,1.35,1.35,,236.46M,239.90M,0.25,,AOR,Restated
2016-03,3.243B,3.243B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,235.00M,24.00M,211.00M,,,,,211.00M,211.00M,,303.00M,,0.87,,,0.87,0.87,,0.83,,,0.83,0.83,,241.68M,245.10M,0.25,,AOR,Restated
2015-12,3.172B,3.172B,,,,,68.00M,-141.00M,,,68.00M,-141.00M,19.00M,-141.00M,352.00M,69.00M,283.00M,,,,,283.00M,283.00M,,420.00M,,1.161,0.00,,1.161,1.161,,1.137,0.00,,1.137,1.14,,246.01M,249.90M,0.25,,AOR,Restated
2015-09,3.716B,3.716B,,,,,67.00M,-67.00M,,,67.00M,-67.00M,18.00M,-67.00M,268.00M,41.00M,227.00M,,,,,227.00M,227.00M,,335.00M,,0.91,,,0.91,0.91,,0.87,,,0.87,0.87,,249.23M,253.21M,0.40,,AOR,Restated
2015-06,3.381B,3.381B,,,,,69.00M,-69.00M,,,69.00M,-69.00M,18.00M,-69.00M,449.00M,105.00M,344.00M,,,,,344.00M,344.00M,,518.00M,,1.37,,,1.37,1.37,,1.35,,,1.35,1.35,,251.85M,255.14M,0.20,,AOR,Restated
2015-03,3.304B,3.304B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,18.00M,-68.00M,362.00M,62.00M,300.00M,,,,,300.00M,300.00M,,430.00M,,1.17,,,1.17,1.17,,1.15,,,1.15,1.15,,255.50M,260.56M,0.20,,AOR,Restated
2014-12,3.685B,3.685B,,,,,66.00M,-134.00M,,,66.00M,-134.00M,19.00M,-134.00M,433.00M,85.00M,348.00M,,,,,349.00M,348.00M,,499.00M,,1.353,0.0039,,1.353,1.356,,1.319,0.0038,,1.319,1.32,,258.15M,264.05M,0.16,,AOR,Restated
