,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,702.07M,702.07M,516.17M,61.52M,577.69M,303.01M,,525.07M,,828.08M,,,119.17M,2.227B,,,,,7.285B,,,7.285B,-2.042B,5.243B,1.603B,343.92M,1.947B,603.74M,,,211.53M,8.005B,10.23B,465.64M,40.79M,25.01M,531.44M,477.51M,1.009B,,603.79M,,603.79M,,,,,1.613B,,2.941B,,2.941B,405.45M,,405.45M,335.87M,200.50M,612.01M,4.294B,5.907B,1.065M,3.112B,1.411B,,,-398.47M,4.125B
2020-06,736.70M,736.70M,517.63M,76.96M,594.58M,313.06M,,538.19M,,851.26M,,,109.87M,2.292B,,,,,,,,7.139B,-2.003B,5.136B,1.571B,342.84M,1.914B,614.14M,,,213.22M,7.878B,10.17B,523.16M,40.73M,29.45M,593.34M,399.46M,992.79M,406.20M,406.20M,21.81M,428.01M,,,,,1.421B,,3.132B,,3.132B,406.26M,,406.26M,334.84M,181.69M,670.00M,4.543B,5.964B,1.064M,3.054B,1.400B,,,-431.13M,4.024B
2020-03,553.23M,553.23M,518.70M,73.76M,592.47M,291.27M,,562.23M,,853.50M,,,155.98M,2.155B,,,,,6.974B,,,6.974B,-1.948B,5.026B,1.559B,344.56M,1.904B,543.67M,,,219.20M,7.692B,9.848B,573.08M,40.72M,28.12M,641.91M,491.58M,1.133B,35.62M,35.62M,23.83M,59.44M,,,,,1.193B,,3.105B,,3.105B,402.68M,,402.68M,336.52M,163.52M,768.76M,4.613B,5.806B,1.063M,3.010B,1.394B,,,-526.49M,3.878B
2019-12,613.11M,613.11M,612.65M,15.49M,752.45M,273.34M,,495.64M,,768.98M,83.64M,,6.93M,2.225B,0.00,199.98M,337.73M,3.356B,1.898B,1.161B,,6.952B,-1.908B,5.043B,1.579B,354.62M,1.933B,579.81M,,15.28M,63.92M,7.636B,9.861B,574.14M,38.76M,32.46M,645.36M,471.13M,1.116B,187.34M,187.34M,23.14M,210.47M,,,,,1.409B,88.91M,2.863B,114.69M,2.978B,397.86M,,397.86M,371.69M,161.33M,166.58M,4.358B,5.767B,1.061M,2.943B,1.383B,,,-395.74M,3.932B
2019-09,317.82M,317.82M,637.04M,86.56M,723.59M,240.45M,,561.98M,,802.43M,,,125.90M,1.970B,,,,,,,,5.406B,-1.882B,3.524B,1.534B,361.06M,1.895B,551.66M,,,200.86M,6.172B,8.142B,527.05M,38.68M,17.24M,582.97M,273.71M,856.68M,539.96M,539.96M,24.61M,564.57M,,,,,1.421B,,1.382B,,1.382B,393.12M,,393.12M,318.10M,171.78M,618.82M,2.712B,4.133B,1.06M,2.892B,1.379B,,,-435.98M,3.837B
2019-06,398.18M,398.18M,624.81M,105.21M,730.02M,239.14M,,574.88M,,814.02M,,,94.42M,2.037B,,,,,,,,5.249B,-1.858B,3.391B,1.566B,373.08M,1.940B,541.01M,,,186.59M,6.058B,8.094B,558.84M,38.73M,23.61M,621.18M,268.67M,889.85M,490.69M,490.69M,19.44M,510.13M,,,,,1.400B,,1.398B,,1.398B,387.04M,,387.04M,325.37M,173.60M,609.21M,2.720B,4.120B,1.059M,2.776B,1.373B,,,-349.41M,3.801B
2019-03,465.27M,465.27M,603.54M,57.02M,660.56M,220.99M,,535.20M,,756.19M,,,105.15M,1.987B,,,,,,,,4.983B,-1.813B,3.170B,1.561B,378.50M,1.940B,563.03M,,,211.07M,5.884B,7.871B,482.43M,38.72M,46.19M,567.34M,263.87M,831.21M,425.68M,425.68M,21.30M,446.98M,,,,,1.278B,,1.394B,,1.394B,390.98M,,390.98M,327.94M,191.76M,616.01M,2.729B,4.007B,1.059M,2.661B,1.368B,,,-357.54M,3.672B
2018-12,555.32M,555.32M,605.71M,11.58M,697.89M,218.18M,,482.36M,,700.54M,43.17M,,1.502M,1.998B,0.00,186.87M,251.98M,2.780B,696.03M,883.70M,,4.799B,-1.778B,3.021B,1.567B,386.14M,1.953B,528.72M,,17.03M,63.11M,5.583B,7.582B,522.52M,35.17M,60.87M,618.56M,179.51M,798.06M,307.29M,307.29M,0.00,307.29M,,,,,1.183B,81.86M,1.398B,0.00,1.398B,382.98M,,382.98M,357.84M,173.79M,32.82M,2.639B,3.823B,1.056M,2.566B,1.369B,,,-350.68M,3.585B
2018-09,641.23M,641.23M,550.79M,41.96M,592.75M,223.41M,,503.97M,,727.38M,,,98.22M,2.060B,,,,,,,,4.572B,-1.746B,2.825B,1.591B,398.00M,1.989B,535.29M,,,78.05M,5.428B,7.487B,474.23M,35.46M,72.76M,582.45M,258.37M,840.82M,,286.19M,,286.19M,,,,,1.127B,,1.412B,,1.412B,378.48M,,378.48M,330.35M,157.43M,553.47M,2.674B,3.801B,1.062M,2.479B,1.363B,,,-314.19M,3.529B
2018-06,908.14M,908.14M,571.03M,44.45M,615.48M,212.56M,,452.96M,,665.52M,,,93.92M,2.283B,,,,,,,,4.375B,-1.706B,2.670B,1.586B,405.51M,1.991B,519.52M,,,75.11M,5.255B,7.538B,460.44M,36.22M,63.76M,560.42M,272.56M,832.98M,,208.68M,,208.68M,,,,,1.042B,,1.407B,,1.407B,366.21M,,366.21M,333.36M,143.70M,553.13M,2.659B,3.701B,1.084M,2.385B,1.610B,,,-301.68M,3.694B
2018-03,692.19M,692.19M,606.97M,43.41M,650.38M,212.90M,,453.66M,,666.57M,,,113.76M,2.159B,,,,,,,,4.247B,-1.678B,2.569B,1.644B,429.61M,2.073B,524.69M,,,230.36M,5.398B,7.556B,481.73M,36.88M,45.98M,564.59M,262.88M,827.47M,,39.22M,,39.22M,,,,2.173M,868.86M,,1.437B,,1.437B,369.12M,,369.12M,348.76M,143.12M,588.64M,2.744B,3.613B,1.107M,2.119B,1.855B,,,-174.74M,3.800B
2017-12,1.137B,1.137B,534.33M,14.78M,619.39M,188.54M,,404.24M,,592.78M,86.35M,,2.586M,2.478B,0.00,181.76M,245.48M,2.628B,675.83M,393.60M,,4.124B,-1.631B,2.493B,1.610B,421.50M,2.032B,534.06M,,25.11M,188.87M,5.273B,7.751B,418.54M,35.16M,54.94M,508.64M,174.94M,683.58M,,422.01M,,422.01M,,,,1.938M,1.201B,77.97M,1.415B,,1.415B,370.39M,,370.39M,372.11M,143.15M,33.76M,2.732B,3.933B,1.105M,2.035B,1.864B,,,-225.67M,3.675B
2017-09,1.045B,1.045B,520.08M,50.07M,570.15M,190.15M,,420.06M,,610.21M,,,101.63M,2.327B,,,,,,,,4.167B,-1.683B,2.484B,1.616B,416.41M,2.033B,530.23M,,,148.57M,5.196B,7.523B,361.94M,35.14M,46.63M,443.71M,276.95M,720.66M,,382.36M,,382.36M,,,,,1.103B,,1.407B,,1.407B,414.03M,,414.03M,360.23M,140.75M,199.27M,2.381B,3.484B,1.105M,2.289B,1.859B,,,-249.94M,3.899B
2017-06,1.007B,1.007B,487.92M,51.31M,539.23M,180.10M,,385.80M,,565.89M,,,92.38M,2.204B,,,,,,,,4.049B,-1.632B,2.417B,1.586B,417.78M,2.004B,505.24M,,,161.24M,5.088B,7.292B,346.42M,35.23M,40.14M,421.79M,254.76M,676.55M,,307.11M,,307.11M,,,,,983.66M,,1.421B,,1.421B,426.56M,,426.56M,357.40M,138.96M,203.11M,2.409B,3.392B,1.104M,2.206B,1.851B,,,-296.83M,3.761B
2017-03,1.255B,1.255B,508.46M,54.49M,562.95M,173.04M,,345.89M,,518.94M,,,53.84M,2.390B,,,,,,,,3.966B,-1.584B,2.381B,1.545B,410.36M,1.955B,493.41M,,,146.50M,4.976B,7.366B,336.89M,35.22M,267.41M,639.52M,253.93M,893.45M,,314.50M,,314.50M,,,,,1.208B,,1.398B,,1.398B,422.36M,,422.36M,351.92M,146.30M,201.88M,2.375B,3.582B,1.108M,2.138B,1.846B,,,-346.98M,3.638B
2016-12,2.270B,2.270B,486.04M,26.66M,543.10M,161.16M,,289.10M,,450.26M,42.24M,,1.254M,3.307B,0.00,180.23M,256.60M,2.501B,654.01M,318.20M,,3.911B,-1.550B,2.360B,1.540B,354.56M,1.895B,457.53M,,61.13M,81.19M,4.855B,8.161B,281.87M,34.10M,254.42M,570.39M,229.69M,800.08M,,247.54M,,247.54M,,,,,1.140B,68.89M,2.122B,,2.122B,412.74M,,412.74M,371.27M,147.54M,37.71M,3.078B,4.219B,1.125M,2.122B,2.084B,,,-412.41M,3.795B
