,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,117.04M,,0.00,-26.15M,-1.663M,-27.82M,58.68M,58.68M,-1.07M,,-2.099M,6.099M,,65.49M,,,,,,-10.86M,253.80M,-202.38M,0.00,0.00,-0.30M,-0.288M,,-202.97M,-60.17M,-60.17M,,,,-40.93M,-40.93M,6.116M,-0.866M,-95.85M,736.70M,-45.02M,10.40M,702.07M,,189.83M,-250.00M,
2020-06,103.76M,,0.00,-31.11M,-1.593M,-32.71M,57.84M,57.84M,4.20M,,-0.651M,7.264M,,74.48M,,,,,,-174.31M,52.86M,-204.46M,0.00,0.00,-0.486M,-0.737M,,-205.68M,366.99M,366.99M,,,,-40.93M,-40.93M,0.614M,-2.649M,324.03M,553.23M,171.21M,12.26M,736.70M,,215.12M,151.87M,
2020-03,123.64M,,,-26.60M,-1.719M,-28.32M,53.69M,53.69M,4.79M,,-0.627M,2.501M,,-18.35M,,,,,,17.73M,155.05M,-214.53M,,,-22.57M,2.233M,,-234.87M,98.13M,98.13M,,,,-38.98M,-38.98M,10.20M,-18.32M,51.02M,613.11M,-28.80M,-31.08M,553.23M,,250.00M,-151.87M,
2019-12,106.24M,,-3.332M,-22.84M,29.87M,8.53M,56.77M,56.77M,6.668M,,-1.108M,4.511M,,8.114M,,,,,,175.25M,373.74M,-243.34M,0.00,0.00,-820.00M,-0.793M,,-1.064B,1.064B,1.064B,,,,-38.88M,-38.88M,0.00,-37.72M,987.44M,317.82M,297.04M,-1.758M,613.11M,,1.366B,-301.58M,
2019-09,171.62M,,0.00,-33.24M,0.586M,-32.65M,54.49M,54.49M,4.156M,,-1.124M,5.033M,,8.488M,,,,,,-66.35M,146.35M,-192.83M,0.00,0.00,-0.02M,0.269M,,-192.58M,49.13M,49.13M,,,,-39.01M,-39.01M,1.609M,-18.45M,-6.722M,398.18M,-52.95M,-27.41M,317.82M,,49.13M,0.00,
2019-06,174.97M,,0.00,-38.31M,0.477M,-37.83M,52.95M,52.95M,-4.01M,,-0.101M,4.58M,,-3.14M,,,,,,-100.30M,144.37M,-199.49M,0.00,0.00,-2.549M,2.327M,,-199.72M,64.83M,64.83M,,,,-38.93M,-38.93M,0.529M,-39.72M,-13.29M,465.27M,-68.63M,1.543M,398.18M,,64.83M,,
2019-03,151.53M,,-11.08M,-35.18M,0.578M,-45.68M,49.28M,49.28M,7.58M,,-0.476M,5.556M,,7.034M,,,,,,-122.94M,54.92M,-216.13M,10.36M,10.36M,0.00,-1.419M,,-207.20M,118.22M,118.22M,,,,-35.39M,-35.39M,2.676M,-10.26M,75.26M,555.32M,-77.02M,-13.02M,465.27M,,118.22M,,
2018-12,146.05M,8.277M,,-27.54M,13.12M,-6.142M,50.19M,50.19M,5.764M,,1.088M,3.443M,,-35.63M,,,,,,-20.15M,169.22M,-228.32M,,,-0.164M,0.491M,,-227.99M,20.94M,20.94M,,0.00,0.00,-35.67M,-35.67M,1.331M,-0.193M,-13.60M,641.23M,-72.36M,-13.54M,555.32M,,,20.94M,0.00
2018-09,143.48M,0.00,0.00,-22.08M,-0.915M,-23.00M,49.71M,49.71M,12.69M,,-0.99M,3.709M,,5.358M,,,,,,-40.62M,153.08M,-190.73M,0.00,0.00,-10.36M,-0.322M,,-201.41M,77.33M,77.33M,,-250.00M,-250.00M,-36.44M,-36.44M,1.014M,-7.965M,-216.06M,908.14M,-264.39M,-2.53M,641.23M,,,-134.50M,-250.00M
2018-06,310.69M,-218.70M,0.00,-18.97M,-0.903M,-238.58M,50.47M,50.47M,1.641M,,-0.232M,5.207M,,-35.34M,,,,,,3.861M,102.30M,-149.13M,0.00,0.00,407.82M,-0.449M,,258.24M,169.33M,169.33M,,-250.00M,-250.00M,-37.10M,-37.10M,0.642M,-1.451M,-118.58M,692.19M,241.96M,-26.01M,908.14M,,,,-250.00M
2018-03,138.92M,,0.00,-20.68M,-0.89M,-21.57M,50.33M,50.33M,29.07M,,-0.393M,2.869M,,-8.089M,,,,,,-95.05M,121.55M,-131.82M,0.00,0.00,-0.735M,0.01M,,-132.54M,-381.16M,-381.16M,,,,-35.38M,-35.38M,0.646M,-22.39M,-438.28M,1.137B,-449.27M,4.153M,692.19M,,,,
2017-12,-207.07M,,,-29.22M,-12.50M,-41.73M,52.84M,52.84M,-46.62M,,-1.128M,3.809M,,434.89M,,,,,,6.65M,229.14M,-130.18M,,,-2.526M,-0.725M,,-133.44M,34.55M,34.55M,,0.00,0.00,-35.35M,-35.35M,1.227M,-9.024M,-8.601M,1.045B,87.10M,4.865M,1.137B,,59.55M,-25.00M,0.00
2017-09,130.19M,0.00,,-19.04M,0.074M,-18.97M,49.90M,49.90M,7.881M,,-0.454M,6.103M,,-3.02M,,,,,,-45.78M,129.30M,-89.75M,,,-5.881M,0.242M,,-95.39M,45.32M,45.32M,,0.00,0.00,-35.44M,-35.44M,3.674M,-10.01M,3.539M,1.007B,37.44M,0.949M,1.045B,,47.32M,-2.00M,0.00
