,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,746.87M,746.87M,492.81M,254.06M,96.09M,13.53M,,19.23M,-19.23M,,109.62M,144.43M,19.23M,-19.23M,-3.661M,-19.23M,121.54M,30.65M,117.04M,,,-18.74M,98.30M,98.30M,199.45M,58.68M,140.77M,0.92,,,0.92,0.92,0.92,,,0.92,0.92,106.39M,106.87M,0.385
2020-06,764.05M,764.05M,530.69M,233.36M,106.95M,14.21M,,17.85M,-17.85M,,121.16M,112.20M,17.85M,-17.85M,-6.273M,-17.85M,88.08M,15.43M,103.76M,,,-18.13M,85.62M,85.62M,163.77M,57.84M,105.93M,0.81,,,0.81,0.81,0.8,,,0.8,0.8,106.33M,106.54M,0.385
2020-03,738.84M,738.84M,496.83M,242.02M,101.88M,16.10M,,16.88M,-16.88M,,117.97M,124.04M,16.88M,-16.88M,8.314M,-16.88M,115.47M,18.44M,123.64M,,,-16.43M,107.20M,107.20M,186.05M,53.69M,132.36M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,106.23M,106.51M,0.385
2019-12,992.56M,992.56M,654.05M,338.51M,185.16M,14.26M,,22.40M,-22.40M,,199.43M,139.08M,22.40M,-22.40M,-38.39M,-22.40M,78.30M,-5.105M,106.24M,,,-15.85M,90.39M,90.39M,157.46M,56.77M,100.70M,0.85,,,0.85,0.85,0.85,,,0.85,0.85,106.04M,106.31M,0.3675
2019-09,879.75M,879.75M,569.88M,309.87M,108.14M,15.58M,,11.11M,-11.11M,,123.72M,186.15M,11.11M,-11.11M,-11.32M,-11.11M,163.72M,25.34M,171.62M,,,-16.55M,155.07M,155.07M,229.32M,54.49M,174.83M,1.46,,,1.46,1.46,1.46,,,1.46,1.46,106.00M,106.30M,0.3675
2019-06,885.05M,885.05M,559.14M,325.91M,126.72M,13.46M,,11.60M,-11.60M,,140.18M,185.74M,11.60M,-11.60M,-7.065M,-11.60M,167.07M,30.41M,174.97M,,,-20.77M,154.20M,154.20M,231.62M,52.95M,178.67M,1.46,,,1.46,1.46,1.45,,,1.45,1.45,105.96M,106.32M,0.3675
2019-03,832.06M,832.06M,548.58M,283.49M,113.36M,14.98M,,12.59M,-12.59M,,128.33M,155.15M,12.59M,-12.59M,11.29M,-12.59M,153.86M,37.51M,151.53M,,,-17.96M,133.57M,133.57M,215.73M,49.28M,166.44M,1.26,,,1.26,1.26,1.26,,,1.26,1.26,105.80M,106.36M,0.3675
2018-12,921.70M,921.70M,601.32M,320.38M,120.92M,16.38M,-8.277M,12.57M,-12.57M,,137.30M,183.08M,12.57M,-12.57M,-40.80M,-12.57M,129.71M,11.20M,146.05M,,,-16.45M,129.60M,137.16M,192.47M,50.19M,142.28M,1.22,,,1.291,1.22,1.21,,,1.281,1.21,106.04M,107.00M,0.335
2018-09,777.75M,777.75M,497.21M,280.54M,100.17M,16.61M,0.00,12.99M,-12.99M,,116.78M,163.76M,12.99M,-12.99M,3.793M,-12.99M,154.56M,33.17M,143.48M,,,-13.73M,129.74M,129.74M,217.26M,49.71M,167.55M,1.21,,,1.21,1.21,1.2,,,1.2,1.2,107.32M,108.30M,0.335
2018-06,853.87M,853.87M,542.52M,311.36M,123.64M,16.07M,218.70M,13.31M,-13.31M,,139.71M,171.64M,13.31M,-13.31M,213.48M,-13.31M,371.82M,80.10M,310.69M,,,-8.225M,302.46M,130.78M,435.60M,50.47M,385.13M,2.76,,,1.195,2.76,2.73,,,1.179,2.73,109.67M,110.66M,0.335
