,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-15.20M,,,12.95M,12.95M,,13.21M,43.80M,,7.24M,64.07M,0.18M,0.279M,55.60M,,,,120.12M,,182.12M,-52.82M,,,,38.37M,,-14.45M,-0.232M,-0.232M,,,,7.783M,-6.62M,0.931M,1.329B,168.59M,2.532M,1.500B,,,-0.232M,,32.59M,0.00
2020-06,290.30M,,,12.59M,12.59M,,-72.27M,46.30M,,14.48M,-77.01M,-3.672M,5.038M,53.63M,,,,-22.02M,,269.38M,-43.86M,,,,0.602M,,-43.26M,-0.20M,-0.20M,,,,69.19M,-12.59M,56.41M,1.046B,282.53M,0.993M,1.329B,,,-0.20M,,23.31M,0.119M
2020-03,-720.64M,,,13.10M,13.10M,,48.13M,42.51M,,6.772M,-42.71M,-5.712M,-16.70M,-8.164M,,,,-73.29M,,-683.42M,-39.26M,,,,-69.30M,,-108.56M,-0.187M,-0.187M,,,,14.62M,-11.93M,2.499M,1.834B,-789.48M,1.56M,1.046B,,,-0.187M,,0.855M,
2019-12,111.00M,,,13.34M,13.34M,,-15.76M,42.02M,,3.252M,-32.69M,-3.187M,-4.255M,18.26M,,,,-21.88M,,131.62M,-29.32M,,,,-0.713M,,-30.03M,-0.196M,-0.196M,,,,29.52M,0.00,29.32M,1.703B,130.91M,-0.221M,1.834B,,,-0.196M,,21.16M,0.12M
2019-09,128.27M,,,13.86M,13.86M,,-2.339M,43.36M,,3.41M,26.56M,-0.625M,1.645M,56.27M,,,,83.85M,,270.42M,16.81M,,,,-4.528M,,12.28M,-0.217M,-0.217M,,,,3.111M,0.00,2.894M,1.417B,285.59M,0.187M,1.703B,,,-0.217M,,5.959M,0.00
2019-06,105.32M,,,13.44M,13.44M,,4.625M,40.62M,,6.731M,-58.60M,-1.688M,2.795M,39.73M,,,,-17.76M,,152.96M,-47.29M,,,,2.147M,,-45.15M,-0.214M,-0.214M,,,,15.19M,-5.967M,9.01M,1.301B,116.82M,-0.284M,1.417B,,,-0.214M,,5.991M,0.119M
2019-03,102.31M,,,13.89M,13.89M,,-20.99M,40.59M,,6.775M,63.52M,-0.60M,5.559M,-55.39M,,,,13.08M,,155.66M,-18.27M,,,,-6.296M,,-24.56M,-0.195M,-0.195M,,,,15.48M,-10.80M,4.487M,1.165B,135.59M,0.126M,1.301B,,,-0.195M,,0.448M,
2018-12,69.06M,,,14.23M,14.23M,,22.18M,37.32M,,7.551M,-59.86M,1.013M,-12.08M,4.883M,,,,-66.05M,,83.84M,-25.28M,,,,-10.82M,,-36.10M,0.00,0.00,,,,9.462M,-5.399M,4.063M,1.113B,51.80M,-0.006M,1.165B,,,0.00,,2.485M,0.134M
2018-09,29.18M,,,13.82M,13.82M,,9.949M,38.00M,,4.806M,68.57M,1.152M,2.259M,31.41M,,,,103.40M,,199.15M,-24.82M,,,,6.945M,,-17.88M,0.00,0.00,,,,2.437M,0.00,2.437M,929.52M,183.71M,-0.038M,1.113B,,,0.00,,0.988M,0.00
2018-06,52.39M,,,13.50M,13.50M,,34.64M,36.60M,,7.388M,-96.12M,-0.001M,-4.667M,-11.34M,,,,-112.13M,,32.40M,-10.79M,,,,6.869M,,-3.922M,0.00,0.00,,,,15.45M,-9.886M,5.562M,895.37M,34.04M,0.10M,929.52M,,,0.00,,1.892M,0.134M
