,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,620.64M,620.64M,34.30M,586.34M,120.80M,120.80M,438.11M,-7.109M,0.544M,,-0.544M,14.99M,573.90M,12.44M,,0.544M,-0.544M,-15.40M,-0.544M,-3.508M,11.70M,-15.20M,,,-15.20M,-0.3723M,9.985M,12.95M,-2.964M,-0.07,,,,-0.0022,-0.07,-0.07,,,,-0.0022,-0.07,218.78M,218.78M
2020-06,688.04M,688.04M,33.40M,654.64M,118.00M,118.00M,286.60M,-6.054M,0.60M,,-0.60M,13.25M,417.85M,236.79M,,0.60M,-0.60M,71.04M,-0.60M,307.26M,16.97M,290.30M,,,290.30M,227.73M,320.46M,12.59M,307.86M,1.33,,,,1.042,1.33,1.32,,,,1.036,1.32,217.55M,220.43M
2020-03,568.51M,568.51M,27.32M,541.19M,,111.15M,1.085B,-6.627M,0.602M,,-0.602M,2.13M,1.199B,-657.38M,,0.602M,-0.602M,-46.10M,-0.602M,-704.08M,16.57M,-720.64M,,,-720.64M,-680.67M,-690.38M,13.10M,-703.47M,-3.33,,,,-3.1460000000000004,-3.33,-3.33,,,,-3.1460000000000004,-3.33,216.72M,216.72M
2019-12,579.39M,579.39M,32.20M,547.19M,,136.21M,312.87M,-3.122M,0.607M,,-0.607M,,449.08M,98.11M,,0.607M,-0.607M,28.48M,-0.607M,126.00M,15.00M,111.00M,,,111.00M,99.88M,139.96M,13.34M,126.61M,0.51,,,,0.4584,0.51,0.51,,,,0.4591,0.51,215.77M,218.45M
2019-09,551.58M,551.58M,30.00M,521.58M,102.60M,102.60M,281.34M,-3.281M,0.597M,,-0.597M,,383.94M,137.64M,,0.597M,-0.597M,11.02M,-0.597M,148.02M,19.75M,128.27M,,,128.27M,129.09M,162.48M,13.86M,148.62M,0.6,,,,0.6038,0.6,0.59,,,,0.5937,0.59,215.20M,217.79M
2019-06,529.93M,529.93M,29.40M,500.53M,105.90M,105.90M,289.36M,-6.608M,0.316M,,-0.316M,,395.26M,105.27M,,0.316M,-0.316M,3.767M,-0.316M,108.67M,3.353M,105.32M,,,105.32M,116.20M,122.42M,13.44M,108.99M,0.49,,,,0.5407,0.49,0.48,,,,0.5301,0.48,214.62M,217.48M
2019-03,497.86M,497.86M,22.59M,475.27M,,123.98M,270.54M,-6.671M,0.335M,,-0.335M,,394.53M,80.74M,,0.335M,-0.335M,23.69M,-0.335M,104.10M,1.785M,102.31M,,,102.31M,88.24M,118.32M,13.89M,104.43M,0.48,,,,0.4143,0.48,0.47,,,,0.4052,0.47,214.06M,217.06M
2018-12,528.34M,528.40M,26.34M,502.06M,,108.36M,304.24M,-7.465M,0.355M,,-0.355M,,412.60M,89.46M,,0.355M,-0.355M,-18.37M,-0.355M,70.72M,1.654M,69.06M,,,69.06M,98.02M,85.30M,14.23M,71.07M,0.32,,,,0.4559,0.32,0.32,,,,0.454,0.32,213.02M,215.99M
2018-09,449.64M,449.68M,24.80M,424.89M,,96.52M,292.53M,-4.72M,0.405M,,-0.405M,,389.05M,35.84M,,0.405M,-0.405M,-4.458M,-0.405M,30.98M,1.80M,29.18M,,,29.18M,42.99M,45.20M,13.82M,31.38M,0.14,,,,0.205,0.14,0.14,,,,0.204,0.14,212.63M,215.96M
2018-06,521.48M,521.52M,24.86M,496.66M,,108.03M,298.09M,-7.303M,0.398M,,-0.398M,,406.12M,90.54M,,0.398M,-0.398M,-36.14M,-0.398M,54.01M,1.614M,52.39M,,,52.39M,93.08M,67.91M,13.50M,54.41M,0.25,,,,0.4417,0.25,0.24,,,,0.4292,0.24,212.21M,215.10M
