,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.498B,237.02M,1.735B,356.18M,356.18M,17.01M,51.43M,,,,2.159B,0.0,10.45M,206.60M,151.45M,52.98M,243.12M,,664.61M,-137.15M,527.46M,155.59M,177.68M,333.27M,222.81M,,64.47M,1.148B,3.307B,122.51M,122.51M,187.66M,310.17M,73.61M,,11.90M,11.90M,12.69M,24.59M,,,101.44M,606.20M,,32.85M,32.85M,,,,,277.55M,310.40M,916.60M,0.219M,-1.876B,4.277B,,,,-9.748M,2.391B
2020-06,1.327B,262.76M,1.589B,420.25M,420.25M,16.34M,51.55M,,,,2.078B,0.0,10.29M,206.50M,147.04M,51.66M,196.85M,,612.35M,-130.44M,481.91M,155.59M,183.06M,338.65M,248.73M,,65.40M,1.135B,3.212B,90.91M,90.91M,173.00M,263.91M,71.08M,,18.59M,18.59M,11.25M,29.84M,,,124.29M,556.51M,,31.92M,31.92M,,,,,279.29M,311.20M,867.72M,0.218M,-1.861B,4.218B,,,,-12.42M,2.345B
2020-03,1.043B,259.35M,1.303B,351.52M,351.52M,13.98M,48.08M,,,,1.716B,0.0,10.23M,208.28M,147.71M,47.26M,153.51M,,566.99M,-128.33M,438.66M,155.59M,188.44M,344.04M,180.99M,,72.57M,1.036B,2.752B,60.94M,60.94M,151.05M,211.98M,96.06M,,18.52M,18.52M,9.931M,28.46M,,,109.13M,503.41M,,31.96M,31.96M,,,,,279.33M,311.29M,814.70M,0.217M,-2.151B,4.102B,,,,-13.11M,1.938B
2019-12,1.833B,284.87M,2.118B,308.81M,308.81M,11.40M,43.72M,,,,2.481B,0.0,10.20M,208.29M,144.88M,48.73M,116.39M,,528.50M,-121.87M,406.62M,155.59M,193.83M,349.42M,133.66M,,55.56M,945.26M,3.427B,83.65M,83.65M,161.96M,245.61M,59.92M,,18.30M,18.30M,10.01M,28.31M,,,88.80M,513.34M,,31.92M,31.92M,,,,,283.09M,315.00M,828.34M,0.216M,-1.431B,4.044B,,,,-15.54M,2.598B
2019-09,1.702B,284.20M,1.986B,276.12M,276.12M,7.365M,49.90M,,,,2.320B,0.0,10.07M,211.34M,138.67M,60.17M,83.21M,,503.46M,-126.52M,376.94M,155.59M,199.21M,354.80M,117.90M,,45.58M,895.22M,3.215B,95.38M,95.38M,121.86M,217.24M,59.35M,,,,11.14M,11.14M,,,93.32M,461.68M,18.08M,31.73M,49.81M,,,,,280.80M,330.61M,792.29M,0.215M,-1.542B,3.973B,,,,-8.614M,2.423B
2019-06,1.416B,279.63M,1.696B,302.68M,302.68M,6.527M,53.56M,,,,2.059B,0.0,10.16M,211.35M,137.37M,57.97M,69.04M,,485.88M,-116.41M,369.47M,155.59M,204.60M,360.19M,115.56M,,43.79M,889.01M,2.948B,66.18M,66.18M,99.37M,165.55M,60.89M,,,,0.791M,0.791M,,,86.17M,367.10M,17.86M,31.64M,49.50M,,,,,283.83M,333.34M,700.44M,0.215M,-1.670B,3.926B,,,,-8.965M,2.247B
2019-03,1.300B,281.32M,1.581B,244.08M,244.08M,7.129M,72.27M,,,,1.904B,0.0,10.07M,213.53M,136.93M,26.67M,64.60M,,451.79M,-113.46M,338.33M,155.59M,209.98M,365.57M,120.19M,,25.57M,849.66M,2.754B,70.36M,70.36M,86.04M,156.40M,69.36M,,,,0.00,0.00,,,90.23M,364.52M,17.65M,,17.65M,,,,,286.43M,304.08M,668.59M,0.214M,-1.775B,3.870B,,,,-9.247M,2.086B
2018-12,1.164B,274.34M,1.438B,307.60M,307.60M,6.967M,79.37M,,,,1.832B,0.0,10.12M,213.20M,134.09M,,65.58M,,422.98M,-103.23M,319.75M,155.59M,215.36M,370.96M,99.20M,,23.60M,813.51M,2.646B,103.83M,103.83M,123.72M,227.55M,44.77M,,,,18.70M,18.70M,,,74.08M,425.28M,17.43M,0.00,17.43M,,,,,277.08M,294.52M,719.80M,0.213M,-1.878B,3.814B,,,,-10.16M,1.926B
2018-09,1.112B,263.13M,1.375B,247.74M,247.74M,5.993M,71.32M,,,,1.700B,0.0,10.11M,,133.45M,,,253.10M,396.66M,-95.90M,300.77M,155.59M,220.75M,376.34M,121.38M,,21.10M,819.59M,2.520B,95.48M,95.48M,231.67M,327.15M,,,7.648M,7.648M,,7.648M,,,29.66M,422.49M,17.22M,,17.22M,,,,,277.34M,294.56M,717.05M,0.213M,-1.947B,3.759B,,,,-9.522M,1.803B
2018-06,928.52M,269.86M,1.198B,316.31M,316.31M,5.869M,77.52M,,,,1.598B,0.0,5.35M,,127.96M,,,222.06M,355.37M,-87.79M,267.59M,155.59M,226.13M,381.72M,131.33M,,18.43M,799.07M,2.397B,75.56M,75.56M,213.92M,289.48M,,,7.554M,7.554M,,7.554M,,,29.50M,368.24M,17.02M,,17.02M,,,,,278.98M,296.00M,664.23M,0.212M,-1.976B,3.719B,,,,-9.809M,1.733B
