,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-12,2.101B,569.68M,1.531B,927.13M,604.16M,434.16M,,,12.23M,45.95M,,-29.66M,,434.16M,170.00M,,45.95M,-29.66M,12.23M,-29.66M,152.56M,37.18M,115.38M,-12.85M,-3.286M,99.25M,102.85M,298.46M,99.94M,198.52M,0.6496,-0.0745,,0.5974,0.5752,0.6496,-0.0745,,0.5974,0.5752,177.12M,177.12M,0.16
2006-09,2.127B,549.83M,1.577B,907.30M,669.52M,434.11M,,,-22.03M,28.27M,,-28.27M,,434.11M,235.41M,,28.27M,-28.27M,-22.03M,-28.27M,185.11M,57.63M,127.48M,13.41M,-5.10M,135.79M,137.56M,323.62M,110.24M,213.38M,0.355,0.04,,0.399,0.395,0.35,0.04,,0.3937,0.39,344.64M,347.13M,0.16
2006-06,2.130B,547.02M,1.583B,919.98M,663.05M,448.28M,,,-20.80M,36.89M,,-36.89M,,448.28M,214.77M,,36.89M,-36.89M,-20.80M,-36.89M,157.08M,-4.965M,162.04M,-1.415M,-4.402M,156.23M,170.12M,310.96M,116.99M,193.97M,0.915,-0.005,,0.9876,0.91,0.91,-0.005,,0.9821,0.905,171.91M,173.05M,0.16
2006-03,1.544B,390.10M,1.154B,726.67M,427.18M,388.86M,,,-29.07M,31.96M,,-31.96M,,388.86M,38.32M,,31.96M,-31.96M,-29.07M,-31.96M,-22.71M,-7.438M,-15.27M,-11.67M,-3.301M,-30.24M,0.9791M,120.47M,111.22M,9.248M,-0.11,-0.065,,0.0041,-0.175,-0.11,-0.065,,0.0041,-0.175,171.37M,171.37M,0.16
2005-12,1.888B,503.49M,1.385B,839.20M,545.31M,418.25M,,,-34.70M,52.51M,,-35.01M,,418.25M,127.06M,,52.51M,-35.01M,-34.70M,-35.01M,57.35M,21.17M,36.19M,-8.329M,-1.797M,22.38M,56.28M,221.22M,111.35M,109.86M,0.185,-0.04,,0.3132,0.125,0.185,-0.04,,0.3123,0.12,170.79M,171.93M,0.16
2005-09,2.068B,541.22M,1.527B,882.50M,644.60M,430.50M,,,-40.02M,31.31M,,-31.31M,,430.50M,214.10M,,31.31M,-31.31M,-40.02M,-31.31M,142.77M,7.372M,135.40M,-22.79M,-4.411M,108.20M,168.94M,274.20M,100.12M,174.08M,0.77,-0.135,,0.9924,0.635,0.76,-0.135,,0.9809,0.63,170.65M,171.80M,0.16
2005-06,2.065B,518.48M,1.547B,895.60M,651.26M,446.40M,,,-38.21M,27.70M,,-27.70M,,446.40M,204.86M,,27.70M,-27.70M,-38.21M,-27.70M,138.95M,37.42M,101.53M,-56.92M,-6.06M,38.55M,123.39M,265.90M,99.25M,166.65M,0.56,-0.335,,0.7236,0.225,0.555,-0.335,,0.7175,0.225,170.64M,171.86M,0.16
2005-03,1.396B,347.60M,1.048B,689.64M,358.79M,337.37M,,,-45.71M,19.58M,,-19.58M,,337.37M,21.42M,,19.58M,-19.58M,-45.71M,-19.58M,-43.87M,-15.69M,-28.18M,-3.785M,-2.223M,-34.18M,-1.043M,57.81M,82.10M,-24.28M,-0.24,-0.03,,-0.0074,-0.27,-0.24,-0.03,,-0.0074,-0.27,126.21M,126.21M,0.16
2004-12,1.547B,419.58M,1.127B,738.54M,388.76M,305.36M,,,14.58M,31.61M,,-12.36M,,305.36M,83.40M,,31.61M,-12.36M,14.58M,-12.36M,85.63M,25.57M,60.06M,,-4.34M,55.72M,45.49M,182.85M,65.61M,117.24M,0.74,0.0,,0.6035,0.74,0.725,0.0,,0.5917,0.725,74.95M,76.75M,0.1025
2004-09,1.488B,383.52M,1.104B,688.38M,415.92M,312.02M,,,5.903M,12.27M,,-12.27M,,312.02M,103.90M,,12.27M,-12.27M,5.903M,-12.27M,97.54M,29.43M,68.11M,,-3.967M,64.14M,60.02M,176.81M,67.00M,109.81M,0.86,0.0,,0.8048,0.86,0.84,0.0,,0.7859,0.84,74.68M,76.25M,0.1025
2004-06,1.550B,399.63M,1.150B,703.02M,447.19M,322.06M,,,1.835M,,,-13.02M,,322.06M,125.13M,,,-13.02M,1.835M,-13.02M,113.94M,36.50M,77.44M,,-5.405M,72.04M,70.79M,191.45M,66.32M,125.13M,0.97,0.0,,0.9532,0.97,0.95,0.0,,0.9335,0.95,74.32M,75.72M,0.1025
2004-03,1.235B,311.18M,923.99M,611.74M,312.25M,283.78M,,,-1.855M,20.22M,4.685M,-15.54M,,283.78M,28.47M,4.685M,20.22M,-15.54M,-1.855M,-15.54M,11.08M,3.733M,7.346M,,-2.506M,4.84M,6.070M,98.28M,66.98M,31.30M,0.065,0.0,,0.0818,0.065,0.065,0.0,,0.0815,0.065,73.33M,74.55M,0.1025
2003-12,1.397B,373.93M,1.023B,686.21M,336.67M,270.52M,,,2.106M,,,,,270.52M,66.14M,,,,2.106M,,53.91M,17.83M,36.08M,,,36.08M,34.67M,150.70M,56.92M,93.78M,0.5,0.0,,0.4806,0.5,0.49,0.0,,0.4708,0.49,72.75M,73.45M,0.1025
2003-09,1.420B,371.47M,1.049B,658.02M,390.71M,281.31M,,,-0.001M,,,,,281.31M,109.40M,,,,-0.001M,,95.76M,34.33M,61.43M,,,61.43M,61.43M,171.87M,62.47M,109.40M,0.845,0.0,,0.845,0.845,0.84,0.0,,0.84,0.84,72.68M,73.15M,0.1025
2003-06,1.469B,369.00M,1.100B,683.09M,417.29M,299.81M,,,2.908M,,,,,299.81M,117.48M,,,,2.908M,,102.89M,26.55M,76.34M,,,76.34M,74.18M,177.57M,60.10M,117.48M,1.05,0.0,,1.02,1.05,1.045,0.0,,1.015,1.045,72.64M,73.05M,0.1025
2003-03,1.101B,272.71M,828.14M,559.47M,268.67M,254.31M,,,3.384M,,,,,254.31M,14.36M,,,,3.384M,,1.26M,0.454M,0.806M,,,0.806M,-1.359M,71.69M,57.33M,14.36M,0.01,0.0,,-0.0198,0.01,0.01,0.0,,-0.0196,0.01,72.63M,73.12M,0.1025
2002-12,1.327B,345.81M,981.13M,656.07M,325.06M,279.16M,,,-0.326M,,,,4.465M,283.62M,41.44M,,,,-0.326M,,30.33M,10.11M,20.22M,,,20.22M,20.43M,97.75M,56.31M,41.44M,0.275,0.0,,0.278,0.275,0.27,0.0,,0.273,0.27,72.56M,73.55M,0.1025
2002-09,1.323B,321.12M,1.002B,636.09M,365.50M,276.36M,,,1.552M,,,,,276.36M,89.14M,,,,1.552M,,74.58M,27.96M,46.62M,,,46.62M,45.65M,154.42M,65.27M,89.14M,0.645,0.0,,0.6316,0.645,0.64,0.0,,0.6267,0.64,72.39M,73.07M,0.1025
2002-06,1.363B,315.26M,1.048B,640.02M,407.75M,286.31M,,,-1.497M,,,,-1.074M,285.24M,122.51M,,,,-1.497M,,106.72M,39.11M,67.62M,,,67.62M,68.56M,186.52M,64.01M,122.51M,0.935,0.0,,0.9481,0.935,0.92,0.0,,0.9329,0.92,72.23M,73.37M,0.1025
2002-03,944.26M,198.43M,745.82M,482.34M,263.48M,215.41M,,,2.051M,,,,2.876M,218.29M,45.19M,,,,2.051M,,44.97M,17.76M,27.20M,,,27.20M,25.96M,89.90M,44.71M,45.19M,0.38,0.0,,0.3628,0.38,0.375,0.0,,0.3579,0.375,71.95M,72.54M,0.1025
2001-12,652.54M,94.14M,558.40M,359.28M,199.12M,172.95M,,,-15.06M,,,,,172.95M,26.17M,,,,-15.06M,,25.51M,9.646M,15.87M,,,15.87M,25.23M,57.26M,31.09M,26.17M,0.225,0.0,,0.3549,0.225,0.225,0.0,,0.3541,0.225,72.10M,72.52M,0.1025
2001-09,742.65M,107.99M,634.66M,402.31M,232.36M,179.54M,,,9.897M,,,,,179.54M,52.82M,,,,9.897M,,62.72M,23.80M,38.92M,,,38.92M,32.77M,82.80M,29.98M,52.82M,0.525,0.0,,0.4422,0.525,0.525,0.0,,0.4425,0.525,74.14M,74.47M,0.1025
2001-06,809.73M,117.03M,692.70M,424.88M,267.82M,194.62M,,,7.018M,,,,,194.62M,73.20M,,,,7.018M,,80.22M,30.37M,49.85M,,,49.85M,45.49M,102.70M,29.50M,73.20M,0.67,0.0,,0.6115,0.67,0.665,0.0,,0.6069,0.665,74.57M,75.04M,0.1025
2001-03,637.83M,94.13M,543.70M,351.15M,192.55M,169.96M,,,6.973M,,,,,169.96M,22.59M,,,,6.973M,,29.56M,11.23M,18.33M,,,18.33M,14.00M,53.11M,30.52M,22.59M,0.245,0.0,,0.1869,0.245,0.245,0.0,,0.1876,0.245,74.41M,75.38M,0.0925
2000-12,832.94M,100.40M,732.54M,531.47M,201.07M,183.77M,,,-12.90M,,,,5.155M,188.93M,12.14M,,,,-12.90M,,19.31M,7.347M,11.96M,,,11.96M,19.95M,45.44M,33.29M,12.14M,0.16,0.0,,0.2683,0.16,0.16,0.0,,0.266,0.16,73.81M,75.37M,0.0925
2000-09,719.73M,116.46M,603.28M,359.51M,243.76M,197.70M,,,9.573M,,,,-5.442M,192.26M,51.50M,,,,9.573M,,55.63M,21.14M,34.49M,,,34.49M,28.56M,83.33M,31.83M,51.50M,0.47,0.0,,0.3895,0.47,0.46,0.0,,0.381,0.46,73.72M,75.11M,0.0925
2000-06,733.26M,119.11M,614.15M,348.91M,265.24M,183.63M,,,-11.12M,,,,15.50M,199.13M,66.11M,,,,-11.12M,,70.49M,22.14M,48.34M,,,48.34M,55.97M,99.67M,33.56M,66.11M,0.66,0.0,,0.7639,0.66,0.645,0.0,,0.7472,0.645,73.42M,74.67M,0.0925
2000-03,555.81M,91.36M,464.45M,285.94M,178.51M,157.64M,,,3.226M,,,,,157.64M,20.87M,,,,3.226M,,24.10M,9.277M,14.82M,,,14.82M,12.84M,51.47M,30.60M,20.87M,0.2,0.0,,0.1729,0.2,0.2,0.0,,0.1733,0.2,73.33M,74.43M,0.0825
1999-12,595.30M,98.10M,497.19M,307.82M,189.37M,172.69M,,,-3.627M,,,,,172.69M,16.67M,,,,-3.627M,,19.98M,7.74M,12.24M,,,12.24M,14.46M,48.14M,31.46M,16.67M,0.165,0.0,,0.1952,0.165,0.16,0.0,,0.1897,0.16,73.55M,74.82M,0.0825
1999-09,651.05M,107.03M,544.02M,320.54M,223.49M,184.30M,,,-3.532M,,,,,184.30M,39.18M,,,,-3.532M,,35.65M,13.81M,21.84M,,,21.84M,24.00M,67.12M,27.94M,39.18M,0.295,0.0,,0.3244,0.295,0.29,0.0,,0.3189,0.29,73.49M,74.87M,0.0825
1999-06,690.69M,115.12M,575.57M,315.22M,260.35M,186.64M,,,1.769M,,,,,186.64M,73.71M,,,,1.769M,,75.48M,29.25M,46.23M,,,46.23M,45.15M,107.50M,33.79M,73.71M,0.63,0.0,,0.6153,0.63,0.615,0.0,,0.6005,0.615,73.48M,74.87M,0.0825
1999-03,525.83M,85.97M,439.86M,272.38M,167.48M,149.36M,,,1.44M,,,,,149.36M,18.12M,,,,1.44M,,19.56M,7.58M,11.98M,,,11.98M,11.10M,48.70M,30.57M,18.12M,0.165,0.0,,0.153,0.165,0.16,0.0,,0.1483,0.16,73.32M,75.10M,0.075
1998-12,532.72M,88.64M,444.08M,278.13M,165.95M,155.40M,,,2.465M,,,,0.00,155.40M,10.56M,,,,2.465M,,15.35M,5.975M,9.379M,,,9.379M,7.873M,39.70M,29.15M,10.56M,0.13,0.0,,0.1093,0.13,0.125,0.0,,0.1051,0.125,72.91M,75.70M,0.075
1998-09,602.69M,103.33M,499.36M,309.48M,189.88M,156.87M,,,-18.12M,,,,19.40M,176.26M,13.61M,,,,-18.12M,,14.89M,5.806M,9.081M,,,9.081M,20.14M,42.51M,28.90M,13.61M,0.125,0.0,,0.2776,0.125,0.12,0.0,,0.2675,0.12,72.44M,74.95M,0.075
1998-06,654.89M,112.95M,541.94M,309.35M,232.60M,167.94M,,,0.163M,,,,,167.94M,64.65M,,,,0.163M,,64.82M,25.28M,39.54M,,,39.54M,39.44M,93.96M,29.31M,64.65M,0.545,0.0,,0.5436,0.545,0.53,0.0,,0.5287,0.53,72.32M,74.64M,0.075
