,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.868B,536.50M,2.332B,1.536B,795.80M,681.10M,,,314.80M,,,-83.20M,,681.10M,114.70M,,,-83.20M,325.90M,-83.20M,357.40M,74.90M,282.50M,,-4.40M,278.10M,29.41M,328.40M,213.70M,114.70M,1.29,,,0.1376,1.29,1.28,,,0.1318,1.28,215.80M,216.60M,0.41
2017-12,3.212B,632.10M,2.580B,1.520B,1.060B,780.50M,,,-9.10M,,,-84.90M,,780.50M,279.30M,,,-84.90M,7.20M,-84.90M,201.60M,-543.10M,744.70M,,-4.50M,740.20M,745.66M,506.20M,208.50M,297.70M,2.73,0.0,,2.755,2.73,2.72,0.0,,2.745,2.72,215.40M,216.50M,0.41
2017-09,3.553B,669.70M,2.883B,1.589B,1.294B,783.80M,,,-4.10M,,,-72.60M,,783.80M,510.30M,,,-72.60M,2.80M,-72.60M,440.50M,147.40M,293.10M,,-6.10M,287.00M,289.75M,718.60M,208.30M,510.30M,1.33,,,1.3430000000000002,1.33,1.33,,,1.3430000000000002,1.33,215.50M,216.50M,0.41
2017-06,3.793B,701.80M,3.091B,1.756B,1.336B,782.40M,,,-16.50M,,,-89.20M,,782.40M,553.40M,,,-89.20M,-4.00M,-89.20M,460.20M,125.20M,335.00M,,-5.10M,329.90M,341.94M,752.30M,198.90M,553.40M,1.53,,,1.5859999999999999,1.53,1.52,,,1.5759999999999998,1.52,215.40M,216.40M,0.41
2017-03,2.914B,465.10M,2.449B,1.372B,1.076B,705.30M,,,-6.70M,,,-96.60M,,705.30M,371.10M,,,-96.60M,6.40M,-96.60M,280.90M,65.90M,215.00M,,-6.50M,208.50M,213.66M,568.20M,197.10M,371.10M,0.97,,,0.994,0.97,0.96,,,0.9838,0.96,215.00M,216.50M,0.41
2016-12,2.902B,607.90M,2.294B,1.482B,812.50M,753.80M,,0.00,2.466B,,,-90.00M,,753.80M,58.70M,,,-90.00M,2.484B,-90.00M,2.453B,1.397B,1.056B,,-2.20M,1.056B,-423.70M,3.280B,184.10M,3.096B,6.7,0.0,,-0.1831,6.7,6.65,0.0,,-0.198,6.65,214.70M,215.80M,0.41
2016-09,1.338B,390.10M,947.60M,541.30M,406.30M,278.90M,,0.00,13.70M,,,-91.40M,,278.90M,127.40M,,,-91.40M,187.40M,-91.40M,223.40M,19.60M,203.80M,0.00,-1.30M,202.50M,174.84M,194.00M,66.60M,127.40M,0.94,0.0,,0.8112,0.94,0.94,0.0,,0.8121,0.94,214.80M,216.30M,0.41
2016-06,1.407B,420.80M,986.20M,562.20M,424.00M,313.60M,,30.80M,-34.50M,,,-60.70M,,313.60M,110.40M,,,-60.70M,147.20M,-60.70M,196.90M,21.20M,175.70M,-1.80M,-1.60M,172.30M,214.24M,180.60M,70.20M,110.40M,0.81,-0.01,,0.997,0.8,0.81,-0.01,,0.9958,0.8,214.70M,216.00M,0.41
2016-03,950.80M,293.60M,657.20M,414.00M,243.20M,250.90M,,,108.60M,,,-65.70M,,250.90M,-7.70M,,,-65.70M,254.10M,-65.70M,180.70M,16.70M,164.00M,-0.50M,-0.80M,162.70M,61.01M,59.80M,67.50M,-7.70M,0.8,0.0,,0.2981,0.8,0.8,0.0,,0.3017,0.8,203.60M,205.10M,0.41
2015-12,1.237B,392.50M,844.40M,511.00M,333.40M,249.20M,,,-13.40M,,,-32.30M,,249.20M,84.20M,,,-32.30M,35.70M,-32.30M,87.60M,17.60M,70.00M,-0.60M,-0.90M,68.50M,77.89M,335.50M,72.50M,263.00M,0.18,0.0,,0.2276,0.18,0.18,0.0,,0.2273,0.18,184.70M,185.80M,0.41
2015-09,1.454B,436.90M,1.017B,585.90M,431.50M,265.20M,,,-293.50M,,,-26.80M,,265.20M,166.30M,,,-26.80M,-154.50M,-26.80M,-15.00M,-27.30M,12.30M,2.90M,1.40M,16.60M,187.58M,249.30M,83.00M,166.30M,0.07,0.02,,1.01,0.09,0.07,0.02,,1.005,0.09,185.00M,186.00M,0.41
2015-06,1.433B,427.30M,1.006B,579.90M,425.80M,283.30M,,,-30.40M,,,-30.60M,,283.30M,142.50M,,,-30.60M,178.10M,-30.60M,290.00M,58.40M,231.60M,-0.30M,-2.30M,229.00M,251.46M,223.90M,81.40M,142.50M,1.23,0.0,,1.349,1.23,1.23,0.0,,1.349,1.23,185.70M,186.50M,0.41
2015-03,1.003B,303.20M,700.00M,454.80M,245.20M,240.60M,,,-8.60M,,,-29.20M,,240.60M,4.60M,,,-29.20M,118.10M,-29.20M,93.50M,12.80M,80.70M,1.90M,-1.50M,81.10M,88.83M,82.10M,77.50M,4.60M,0.43,0.01,,0.4818,0.44,0.42,0.01,,0.4715,0.43,185.80M,186.90M,0.41
2014-12,1.413B,439.50M,973.80M,620.20M,353.60M,282.60M,,,-6.60M,,,-30.80M,,282.60M,71.00M,,,-30.80M,80.40M,-30.80M,120.60M,27.10M,93.50M,0.90M,-0.30M,94.10M,101.34M,393.20M,80.00M,313.20M,0.5,0.0,,0.5439,0.5,0.5,0.0,,0.5436,0.5,185.50M,186.70M,0.37
2014-09,1.65B,482.00M,1.168B,666.60M,501.40M,289.60M,,,-367.60M,,,-31.30M,,289.60M,211.80M,,,-31.30M,-213.70M,-31.30M,-33.20M,0.70M,-33.90M,1.30M,-1.80M,-34.40M,328.47M,286.40M,74.60M,211.80M,-0.2,0.01,,1.767,-0.19,-0.2,0.01,,1.767,-0.19,185.10M,185.10M,0.37
2014-06,1.686B,497.40M,1.188B,683.30M,505.20M,327.80M,,,-2.70M,,,-36.20M,,327.80M,177.40M,,,-36.20M,188.10M,-36.20M,329.30M,36.40M,292.90M,0.20M,-2.20M,290.90M,292.66M,254.60M,77.20M,177.40M,1.57,0.0,,1.581,1.57,1.56,0.0,,1.571,1.56,184.80M,185.90M,0.37
2014-03,1.178B,362.30M,816.00M,523.20M,292.80M,263.90M,,,52.50M,,,-35.40M,,263.90M,28.90M,,,-35.40M,176.10M,-35.40M,169.60M,4.80M,164.80M,-1.90M,0.50M,163.40M,113.60M,110.10M,81.20M,28.90M,0.9,-0.01,,0.6195,0.89,0.89,-0.01,,0.6113,0.88,184.30M,185.50M,0.37
2013-12,1.490B,461.30M,1.028B,644.40M,384.00M,289.60M,,,-11.90M,,,-36.20M,,289.60M,94.40M,,,-36.20M,93.90M,-36.20M,152.10M,14.80M,137.30M,0.30M,-0.40M,137.20M,144.39M,548.40M,82.40M,466.00M,0.72,0.0,,0.7607,0.72,0.71,0.0,,0.7505,0.71,183.90M,185.10M,0.32
