,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,731.30M,,731.30M,694.20M,,,123.10M,817.30M,318.50M,72.20M,267.00M,,657.70M,,,434.20M,2.640B,,,,,,,,,4.180B,7.624B,13.41B,21.03B,,,,,820.20M,26.03B,28.68B,3.068B,,3.068B,,3.068B,224.90M,,1.017B,1.242B,,1.242B,,,,4.310B,7.130B,,7.130B,2.276B,2.276B,691.50M,,262.90M,492.20M,10.59B,14.90B,522.20M,7.914B,6.931B,471.40M,,,-1.383B,13.51B
2020-06,780.80M,,780.80M,713.70M,,,129.10M,842.80M,301.10M,93.10M,244.90M,,639.10M,,,280.00M,2.543B,,,,,,,,,4.344B,7.562B,13.38B,20.95B,,,,,806.30M,26.10B,28.64B,3.193B,,3.193B,,3.193B,199.90M,,413.10M,613.00M,,613.00M,,,,3.806B,8.074B,,8.074B,2.218B,2.218B,694.70M,,265.10M,578.20M,11.57B,15.37B,662.40M,7.571B,6.786B,471.40M,,,-1.546B,13.00B
2020-03,666.10M,,666.10M,637.80M,,,107.10M,744.90M,324.80M,95.10M,261.60M,,681.50M,,,280.00M,2.372B,,,,,,,,,4.394B,7.539B,13.31B,20.84B,,,,,850.90M,26.09B,28.46B,2.558B,,2.558B,,2.558B,25.50M,1.00B,419.50M,1.445B,,1.445B,,,,4.003B,8.032B,,8.032B,2.184B,2.184B,693.90M,,259.40M,601.50M,11.51B,15.52B,662.40M,7.376B,6.781B,471.40M,,,-1.661B,12.69B
2019-12,523.40M,,523.40M,705.90M,,,105.50M,820.30M,295.20M,84.00M,236.70M,,615.90M,,,224.80M,2.184B,3.80M,417.00M,1.026B,5.274B,386.70M,444.20M,7.551B,-3.005B,4.546B,7.631B,13.66B,21.29B,,,,,841.50M,26.68B,28.86B,1.568B,278.30M,1.846B,225.70M,2.072B,,,928.20M,928.20M,46.60M,974.80M,,,387.70M,3.696B,8.110B,,8.110B,2.259B,2.259B,716.60M,,253.70M,406.50M,11.49B,15.19B,662.40M,7.617B,6.774B,471.40M,,,-1.162B,13.42B
2019-09,410.20M,,410.20M,821.50M,,,129.10M,950.60M,287.50M,92.70M,262.60M,,642.80M,,,283.30M,2.287B,,,,,4.587B,,4.587B,,4.587B,7.549B,13.59B,21.14B,,,,,741.30M,26.46B,28.75B,2.650B,,2.650B,,2.650B,264.90M,,895.00M,1.160B,78.30M,1.238B,,,,3.889B,8.008B,171.70M,8.179B,2.214B,2.214B,715.70M,,244.10M,347.40M,11.46B,15.35B,662.40M,7.577B,6.773B,471.40M,,,-1.378B,13.16B
2019-06,490.20M,,490.20M,932.30M,,,175.80M,1.108B,280.50M,89.70M,327.90M,,698.10M,,,304.00M,2.600B,,,,,4.663B,,4.663B,,4.663B,8.289B,13.77B,22.06B,,,,,742.20M,27.46B,30.06B,3.000B,,3.000B,,3.000B,,,1.031B,1.031B,48.70M,1.080B,,,,4.080B,8.437B,203.90M,8.641B,2.200B,2.200B,725.50M,,245.60M,270.30M,11.84B,15.92B,663.00M,8.103B,6.783B,471.40M,,,-1.179B,13.90B
2019-03,234.40M,,234.40M,909.50M,,,141.60M,1.051B,287.40M,86.30M,314.20M,,687.90M,,,364.60M,2.338B,,,,,4.707B,,4.707B,,4.707B,8.279B,13.75B,22.03B,,,,,749.20M,27.49B,29.82B,2.518B,,2.518B,,2.518B,604.20M,,1.034B,1.638B,46.90M,1.685B,,,,4.202B,8.402B,203.90M,8.606B,2.152B,2.152B,726.90M,,240.80M,248.50M,11.73B,15.94B,662.80M,7.862B,6.776B,471.40M,,,-1.183B,13.65B
2018-12,1.058B,,1.058B,736.00M,,,126.60M,871.00M,278.60M,83.40M,229.80M,,591.80M,,,245.60M,2.766B,3.80M,369.30M,953.60M,4.901B,403.40M,535.90M,7.167B,-2.559B,4.608B,8.261B,13.78B,22.04B,,,,,698.00M,27.34B,30.11B,1.617B,244.10M,1.861B,232.60M,2.094B,,,1.594B,1.594B,0.00,1.594B,,,388.30M,4.301B,8.894B,,8.894B,2.129B,2.129B,726.60M,,228.40M,323.80M,12.07B,16.37B,662.80M,7.693B,6.773B,471.40M,,,-1.15B,13.51B
2018-09,750.10M,,750.10M,933.40M,,,184.20M,1.118B,274.60M,87.50M,269.80M,,631.90M,,,312.70M,2.812B,,,,,,,,,4.594B,8.333B,14.00B,22.33B,,,,,735.10M,27.66B,30.47B,2.821B,,2.821B,,2.821B,0.00,,1.602B,1.602B,,1.602B,,,,4.423B,8.970B,,8.970B,1.854B,1.854B,827.60M,,225.90M,306.20M,11.96B,16.38B,662.80M,7.953B,6.716B,471.40M,,,-996.40M,13.86B
2018-06,792.90M,,792.90M,984.90M,,,131.10M,1.116B,265.40M,87.60M,284.50M,,637.50M,,,341.10M,2.888B,,,,,,,,,4.599B,8.333B,14.02B,22.35B,,,,,723.00M,27.67B,30.56B,2.971B,,2.971B,,2.971B,0.00,,1.411B,1.411B,,1.411B,,,,4.382B,9.455B,,9.455B,1.771B,1.771B,828.10M,,220.00M,328.10M,12.38B,16.76B,662.90M,7.704B,6.707B,471.40M,,,-1.025B,13.58B
2018-03,197.90M,,197.90M,779.30M,,,168.00M,947.30M,296.20M,95.40M,274.00M,,665.60M,,,326.20M,2.137B,,,,,,,,,4.681B,8.443B,14.24B,22.68B,,,,,686.40M,28.05B,30.18B,2.537B,,2.537B,,2.537B,128.00M,,1.463B,1.591B,,1.591B,,,,4.128B,9.527B,,9.527B,1.689B,1.689B,838.00M,,217.60M,338.90M,12.39B,16.52B,662.90M,7.368B,6.697B,471.40M,,,-810.90M,13.45B
2017-12,418.60M,,418.60M,728.30M,,,168.70M,902.00M,284.00M,85.20M,222.30M,,591.50M,,,277.60M,2.190B,3.80M,363.90M,930.60M,4.582B,356.20M,534.30M,6.770B,-2.097B,4.674B,8.406B,14.30B,22.70B,,,,,681.50M,28.06B,30.25B,1.569B,292.90M,1.862B,208.10M,2.070B,379.00M,,335.80M,714.80M,,714.80M,,,352.50M,3.399B,10.60B,,10.60B,1.896B,1.896B,848.50M,,208.90M,316.80M,13.66B,17.06B,662.90M,6.958B,6.688B,471.40M,,,-860.00M,12.98B
