,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.472B,4.472B,3.658B,813.40M,390.00M,390.00M,,,99.00M,-1.377B,110.30M,,-110.30M,,489.00M,324.40M,,110.30M,-110.30M,-1.329B,-110.30M,-1.114B,40.00M,-1.154B,,,-1.50M,,-1.156B,-150.94M,-638.60M,365.60M,-1.004B,-4.439,,,-0.5752,-4.439,-4.45,,,-0.5859,-4.45,260.10M,260.10M,0.2
2020-06,4.236B,4.236B,3.466B,770.00M,388.10M,388.10M,,,99.60M,-9.00M,92.40M,,-92.40M,,487.70M,282.30M,,92.40M,-92.40M,9.30M,-92.40M,199.20M,19.20M,180.00M,,,-1.50M,,178.50M,186.64M,657.30M,365.70M,291.60M,0.69,,,0.7214,0.69,0.69,,,0.7212,0.69,259.40M,260.40M,0.2
2020-03,4.447B,4.447B,3.642B,804.80M,419.50M,419.50M,,,100.10M,-11.30M,97.30M,,-97.30M,,519.60M,285.20M,,97.30M,-97.30M,18.80M,-97.30M,206.70M,57.80M,148.90M,,,-0.80M,,148.10M,156.24M,678.50M,374.50M,304.00M,0.57,,,0.6014,0.57,0.57,,,0.6013,0.57,259.00M,260.20M,0.465
2019-12,4.424B,4.424B,3.615B,809.00M,,425.70M,,,101.80M,-28.80M,93.50M,,-93.50M,,527.50M,281.50M,,93.50M,-93.50M,-2.00M,-93.50M,186.00M,46.50M,139.50M,,,-1.00M,,138.50M,160.10M,660.70M,381.20M,279.50M,0.54,,,0.6237,0.54,0.53,,,0.6131,0.53,258.20M,259.90M,0.465
2019-09,4.652B,4.652B,3.573B,1.079B,423.20M,423.20M,,,102.50M,-51.10M,114.00M,,-114.00M,,525.70M,553.00M,,114.00M,-114.00M,-37.30M,-114.00M,401.70M,89.30M,312.40M,,,-1.60M,,310.80M,350.54M,898.80M,383.10M,515.70M,1.205,,,1.359,1.205,1.2,,,1.3530000000000002,1.2,257.80M,259.10M,0.455
2019-06,4.69B,4.69B,3.701B,988.90M,440.70M,440.70M,,,102.40M,-16.10M,111.10M,,-111.10M,,543.10M,445.80M,,111.10M,-111.10M,-3.30M,-111.10M,331.40M,77.60M,253.80M,,,-1.20M,,252.60M,264.93M,827.80M,385.30M,442.50M,0.98,,,1.028,0.98,0.98,,,1.028,0.98,257.30M,258.60M,0.455
2019-03,4.62B,4.62B,3.720B,899.60M,444.10M,444.10M,,,102.40M,-47.40M,111.80M,,-111.80M,,546.50M,353.10M,,111.80M,-111.80M,-32.20M,-111.80M,209.10M,47.20M,161.90M,,,-1.50M,,160.40M,197.09M,704.60M,383.70M,320.90M,0.63,,,0.773,0.63,0.62,,,0.7614,0.62,256.60M,259.40M,0.455
2018-12,4.327B,4.327B,3.546B,781.80M,,400.90M,,,92.90M,-12.50M,94.40M,,-94.40M,,493.80M,288.00M,,94.40M,-94.40M,8.90M,-94.40M,202.50M,62.70M,139.80M,,,-0.70M,,139.10M,147.72M,656.00M,359.10M,296.90M,0.55,,,0.5838,0.55,0.54,,,0.5732,0.54,254.80M,259.50M,0.455
2018-09,4.237B,4.237B,3.295B,941.70M,377.70M,377.70M,,,73.30M,-43.00M,74.00M,,-74.00M,,451.00M,490.70M,,74.00M,-74.00M,-41.30M,-74.00M,375.40M,95.40M,280.00M,,,-0.40M,,279.60M,311.68M,763.70M,314.30M,449.40M,1.103,,,1.229,1.103,1.08,,,1.204,1.08,253.50M,259.20M,0.43
2018-06,4.138B,4.138B,3.270B,867.10M,384.90M,384.90M,,,75.60M,-20.60M,76.70M,,-76.70M,,460.50M,406.60M,,76.70M,-76.70M,25.90M,-76.70M,355.80M,84.50M,271.30M,,,-3.10M,,268.20M,283.92M,747.90M,315.40M,432.50M,1.05,,,1.111,1.05,1.03,,,1.09,1.03,256.10M,260.60M,0.43
2018-03,4.017B,4.017B,3.228B,789.40M,395.80M,395.80M,,,75.20M,-34.40M,78.30M,,-78.30M,,471.00M,318.40M,,78.30M,-78.30M,3.20M,-78.30M,243.30M,18.80M,224.50M,,,-1.30M,,223.20M,254.95M,637.90M,316.30M,321.60M,0.87,,,0.994,0.87,0.86,,,0.982,0.86,256.10M,260.30M,0.43
2017-12,3.894B,3.894B,3.120B,773.50M,560.80M,560.80M,,,72.50M,-46.00M,64.80M,,-64.80M,,633.30M,140.20M,,64.80M,-64.80M,-15.10M,-64.80M,60.30M,-1.073B,1.134B,,,1.60M,,1.135B,1.163B,431.30M,306.20M,125.10M,4.45,,,4.558,4.45,4.38,,,4.486000000000001,4.38,255.00M,259.20M,0.43
2017-09,4.061B,4.061B,3.283B,778.00M,370.00M,370.00M,,,72.80M,-39.90M,59.40M,,-59.40M,,442.80M,335.20M,,59.40M,-59.40M,-29.40M,-59.40M,246.40M,51.10M,195.30M,,,0.80M,,196.10M,227.73M,606.90M,301.10M,305.80M,0.7705,,,0.8948,0.7705,0.76,,,0.8827,0.76,254.50M,257.80M,0.4
2017-06,3.696B,3.696B,3.000B,695.50M,348.10M,348.10M,,,54.60M,133.20M,56.10M,,-56.10M,,402.70M,292.80M,,56.10M,-56.10M,150.60M,-56.10M,387.30M,60.70M,326.60M,,,1.50M,,328.10M,215.81M,718.60M,275.20M,443.40M,1.3,,,0.8546,1.3,1.29,,,0.8502,1.29,252.10M,255.30M,0.4
2017-03,3.656B,3.656B,2.981B,675.40M,377.80M,377.80M,,,49.60M,-61.10M,52.90M,,-52.90M,,427.40M,248.00M,,52.90M,-52.90M,-53.30M,-52.90M,141.80M,43.60M,98.20M,,,4.90M,,103.10M,145.44M,458.60M,263.90M,194.70M,0.41,,,0.5786,0.41,0.4,,,0.5663,0.4,251.20M,254.60M,0.4
2016-12,3.447B,3.447B,2.856B,591.30M,336.30M,336.30M,,,52.60M,-81.00M,54.10M,,-54.10M,,388.90M,202.40M,,54.10M,-54.10M,-66.20M,-54.10M,82.10M,3.60M,78.50M,,,2.40M,,80.90M,158.34M,411.40M,275.20M,136.20M,0.32,,,0.6283,0.32,0.32,,,0.6233,0.32,251.20M,255.30M,0.4
2016-09,3.612B,3.612B,2.892B,719.30M,730.70M,730.70M,,,52.40M,-46.70M,19.30M,,-62.50M,,783.10M,-63.80M,,19.30M,-62.50M,-29.40M,-62.50M,-155.70M,-69.30M,-86.40M,-5.30M,,-0.30M,,-92.00M,-58.68M,137.80M,274.20M,-136.40M,-0.3454,-0.0211,,-0.2341,-0.3665,-0.3454,-0.03,,-0.2359,-0.37,251.60M,255.80M,0.375
2016-06,3.596B,3.596B,2.869B,727.30M,341.50M,341.50M,,,53.30M,-43.10M,64.00M,20.90M,-43.10M,,394.80M,332.50M,20.90M,64.00M,-43.10M,-37.30M,-43.10M,252.10M,99.70M,152.40M,-58.70M,,-1.40M,,92.30M,177.08M,598.30M,282.20M,316.10M,0.6,-0.23,,0.7032,0.37,0.59,-0.23,,0.6918,0.36,252.70M,256.20M,0.375
2016-03,3.493B,3.493B,2.835B,657.30M,342.00M,342.00M,,,53.50M,-111.10M,64.00M,6.50M,-57.50M,,395.50M,261.80M,6.50M,64.00M,-57.50M,-111.40M,-57.50M,92.90M,34.50M,58.40M,1.40M,,-2.90M,,56.90M,125.38M,448.10M,291.20M,156.90M,0.22,0.0,,0.4951,0.22,0.22,0.0,,0.4915,0.22,254.00M,257.40M,0.375
2015-12,3.471B,3.471B,2.816B,654.70M,335.90M,335.90M,,,52.60M,-162.80M,65.20M,15.80M,-49.40M,,388.50M,266.20M,15.80M,65.20M,-49.40M,-161.50M,-49.40M,55.30M,24.90M,30.40M,-482.10M,,-1.80M,,-453.50M,126.28M,414.80M,294.30M,120.50M,0.12,-1.88,,0.4992,-1.76,0.12,-1.88,,0.4927,-1.76,257.60M,262.10M,0.375
2015-09,3.616B,3.616B,2.931B,685.40M,338.10M,338.10M,,,52.30M,-107.70M,63.60M,,-53.90M,,390.40M,295.00M,,63.60M,-53.90M,-106.90M,-53.90M,134.20M,26.90M,107.30M,10.60M,,-2.10M,,115.80M,191.31M,479.10M,281.30M,197.80M,0.4506,0.0412,,0.7856,0.4506,0.44,0.0412,,0.7751,0.44,257.00M,257.00M,0.375
2015-06,2.539B,2.539B,2.013B,526.30M,224.30M,224.30M,,,22.10M,-13.10M,22.60M,,-22.60M,,246.40M,279.90M,,22.60M,-22.60M,-11.10M,-22.60M,246.20M,88.30M,157.90M,0.00,,-1.50M,,156.40M,164.80M,423.80M,155.00M,268.80M,1.11,0.0,,1.17,1.11,1.1,0.0,,1.159,1.1,141.10M,142.70M,0.3205
2015-03,2.456B,2.456B,1.998B,457.10M,230.50M,230.50M,,,22.10M,-17.20M,23.00M,,-23.00M,,252.60M,204.50M,,23.00M,-23.00M,-15.30M,-23.00M,166.20M,55.80M,110.40M,,,-0.60M,,109.80M,121.22M,341.90M,152.70M,189.20M,0.78,,,0.8611,0.78,0.77,,,0.85,0.77,140.80M,142.70M,0.1875
2014-12,2.514B,2.514B,2.045B,469.50M,233.20M,233.20M,,,22.40M,-5.40M,23.30M,0.20M,-23.10M,,255.60M,213.90M,0.20M,23.30M,-23.10M,-3.20M,-23.10M,187.60M,62.00M,125.60M,,,-0.50M,,125.10M,128.72M,362.70M,151.80M,210.90M,0.89,,,0.9158,0.89,0.88,,,0.9053,0.88,140.30M,142.80M,0.1875
2014-09,2.608B,2.608B,2.039B,569.00M,212.00M,212.00M,,,,-10.50M,24.20M,,-21.80M,,298.00M,271.00M,,24.20M,-21.80M,-8.10M,-21.80M,241.10M,85.80M,155.30M,,,-1.40M,,153.90M,160.66M,416.50M,151.20M,265.30M,1.099,,,1.147,1.099,1.06,,,1.107,1.06,143.00M,145.40M,0.175
