,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2010-09,92.40M,,0.10M,,-0.60M,7.40M,6.90M,,,147.40M,36.70M,-67.30M,2.80M,4.10M,0.00,-23.40M,-7.20M,18.90M,,,0.40M,-11.30M,,64.30M,-45.30M,0.40M,0.40M,-23.50M,-0.30M,,-68.70M,16.00M,,16.00M,,-4.20M,-2.30M,17.50M,-5.90M,1.30M,9.10M,11.40M,4.70M,-0.20M,15.90M,,53.60M,-37.60M,-4.20M,-15.90M,-48.20M
2010-06,47.00M,,0.30M,,-0.30M,3.10M,3.10M,,,-74.30M,36.40M,16.20M,-0.60M,3.90M,-25.70M,-9.00M,3.50M,27.20M,,,-1.70M,20.00M,,100.30M,-30.30M,0.30M,0.30M,0.40M,0.10M,-0.40M,-29.90M,-63.90M,,-63.90M,,1.30M,-0.60M,-5.90M,-5.90M,-1.10M,-71.50M,12.40M,-1.10M,0.10M,11.40M,,138.90M,-202.80M,1.30M,-2.00M,6.70M
2010-03,33.70M,,0.00,,0.30M,,3.60M,,,36.80M,36.80M,-3.00M,1.00M,4.50M,10.10M,-31.30M,2.90M,62.30M,,,-3.50M,30.40M,,117.10M,-18.30M,0.60M,0.60M,,-0.10M,0.30M,-17.50M,-80.50M,,-80.50M,-0.90M,-1.30M,-2.20M,-11.60M,-5.80M,-12.90M,-101.40M,14.10M,-1.80M,0.10M,12.40M,-0.90M,153.20M,-233.70M,-1.30M,15.50M,30.70M
2009-12,57.60M,,-0.10M,,-0.20M,,-0.80M,,,37.50M,37.50M,3.00M,2.20M,3.50M,-13.40M,41.50M,9.20M,-44.30M,,,-0.40M,6.00M,,95.60M,-12.30M,2.30M,2.30M,,,0.10M,-9.90M,-89.90M,,-89.90M,0.90M,,0.90M,,-5.80M,11.30M,-83.50M,11.80M,2.20M,0.10M,14.10M,0.90M,,-89.90M,,2.40M,10.80M
2009-09,68.60M,,1.90M,,-0.40M,-12.60M,-11.00M,,,37.30M,37.30M,21.60M,3.10M,3.70M,-21.50M,-23.20M,12.50M,24.30M,,,2.00M,15.60M,,117.40M,-34.70M,0.20M,-7.90M,3.10M,1.00M,-3.90M,-34.30M,-353.30M,453.00M,99.70M,,,-0.10M,,-8.60M,-180.30M,-89.30M,17.40M,-6.20M,0.60M,11.80M,,261.40M,-161.70M,,-5.50M,-70.10M
2009-06,88.40M,,1.30M,,-0.30M,-10.50M,-7.60M,,,37.50M,37.50M,4.90M,0.80M,3.30M,-37.10M,-11.60M,1.70M,41.80M,,,-7.70M,24.20M,,114.40M,-18.10M,0.60M,0.60M,-8.20M,-0.50M,3.90M,-22.30M,374.60M,-638.00M,-263.40M,-0.30M,,-0.30M,7.70M,-3.80M,182.20M,-85.30M,10.30M,6.80M,0.30M,17.40M,-0.30M,-81.00M,-182.40M,,2.20M,14.80M
2009-03,37.60M,,0.00,,0.20M,,0.20M,,,37.30M,37.30M,11.80M,-0.10M,2.80M,0.90M,5.10M,7.60M,8.70M,0.40M,,-6.40M,15.40M,,105.90M,-17.00M,0.20M,0.20M,12.70M,-0.50M,-3.50M,-8.10M,-284.70M,185.00M,-99.70M,-0.40M,,-0.40M,-7.70M,-3.90M,3.80M,-100.20M,12.70M,-2.40M,0.00,10.30M,-0.40M,52.30M,-152.00M,,1.00M,36.10M
2008-12,31.30M,,-0.40M,,0.40M,,2.40M,,,37.90M,37.90M,7.70M,-0.70M,2.10M,2.30M,29.40M,-13.80M,-46.20M,-0.40M,,,-31.00M,,52.00M,-14.20M,0.50M,0.50M,-0.50M,,3.50M,-10.70M,-89.90M,,-89.90M,0.70M,,0.70M,,-3.80M,11.10M,-81.90M,52.80M,-40.60M,0.50M,12.70M,0.70M,217.70M,-307.60M,,2.30M,19.20M
2008-09,28.40M,,0.30M,,0.00,2.20M,2.50M,,,36.80M,36.80M,23.20M,2.50M,2.00M,1.90M,-9.50M,-2.90M,-4.50M,,,3.50M,-13.40M,,83.90M,-24.50M,0.10M,0.10M,0.10M,,,-24.30M,-62.50M,,-62.50M,1.90M,,1.90M,,-3.80M,0.90M,-63.50M,56.90M,-3.90M,-0.20M,52.80M,1.90M,3.20M,-65.70M,,-23.70M,-41.50M
2008-06,18.80M,,-0.60M,,0.70M,-1.50M,2.10M,,,39.20M,39.20M,4.30M,0.00,3.10M,2.50M,-4.70M,-3.90M,45.90M,,,10.30M,47.60M,,122.00M,-22.50M,4.10M,4.10M,-8.50M,,,-26.90M,-88.30M,,-88.30M,1.00M,,1.00M,,-7.70M,0.60M,-94.40M,56.60M,0.70M,-0.40M,56.90M,1.00M,-1.50M,-86.80M,,5.50M,14.50M
2008-03,17.10M,,-0.10M,,2.20M,-7.80M,-5.80M,,,31.60M,31.60M,-2.00M,0.30M,4.10M,0.70M,-29.20M,11.00M,-18.30M,,9.60M,-2.00M,-28.90M,,12.70M,-19.30M,0.00,17.90M,-808.20M,,-0.20M,-827.70M,888.50M,,863.90M,0.80M,,0.80M,,-5.20M,-23.80M,835.70M,35.60M,20.70M,0.30M,56.60M,0.80M,1.167B,-278.40M,,18.20M,27.00M
2007-12,17.50M,,,,,,-3.40M,,,25.80M,25.80M,-2.70M,,,3.70M,18.10M,-2.00M,-14.40M,,-9.60M,-10.70M,-18.60M,,22.30M,-17.90M,2.20M,-15.70M,-0.80M,,0.20M,-16.30M,,,24.60M,0.60M,,0.60M,,-3.80M,-2.70M,18.70M,10.90M,24.70M,,35.60M,0.60M,,,,,
2007-09,19.70M,,,,,,4.80M,,,26.20M,26.20M,10.40M,,,3.00M,6.10M,-3.90M,28.30M,,-12.90M,15.60M,33.20M,,97.30M,-19.30M,-1.10M,-20.40M,0.00,-0.10M,1.50M,-19.00M,,,-13.20M,1.80M,,-56.90M,,-4.00M,-1.30M,-75.40M,8.10M,2.90M,-0.10M,10.90M,1.80M,,,,,
2007-06,25.20M,,,,,,-13.50M,,,26.00M,26.00M,3.10M,,,2.60M,-0.90M,3.90M,2.30M,,16.40M,6.70M,28.40M,,71.80M,-17.90M,1.20M,-16.70M,-0.10M,-0.80M,2.20M,-15.40M,,,-52.90M,-0.30M,,-0.30M,,-4.00M,-2.10M,-59.30M,11.60M,-2.90M,-0.60M,8.10M,-0.30M,,,,,
2007-03,21.70M,,,,,,-0.70M,,,25.50M,25.50M,4.60M,,,2.00M,-23.60M,8.60M,0.20M,,-1.10M,-0.30M,-16.20M,,36.90M,-23.50M,1.40M,-22.10M,-32.00M,-0.20M,0.30M,-54.00M,,,4.40M,13.70M,,13.70M,,-4.00M,8.20M,22.30M,6.30M,5.20M,0.10M,11.60M,13.70M,,,,,
2006-12,15.10M,,,,,,5.80M,,,26.00M,26.00M,4.10M,,,1.70M,21.80M,-11.20M,-12.10M,,-15.70M,-3.20M,-20.40M,,32.30M,-17.30M,1.30M,-16.00M,,-8.50M,3.80M,-20.70M,,,-25.10M,16.30M,,16.30M,,-3.40M,-0.30M,-12.50M,6.90M,-0.90M,0.30M,6.30M,16.30M,,,,,
2006-09,21.50M,,,,,,-4.50M,,,26.50M,26.50M,7.30M,,,12.40M,-7.40M,-0.60M,-17.20M,,-6.20M,16.30M,-15.10M,,48.10M,-18.40M,0.30M,-18.10M,0.00,,,-17.40M,,,-42.20M,5.90M,,5.90M,,-3.30M,7.80M,-31.80M,8.00M,-1.10M,0.00,6.90M,5.90M,,,,,
2006-06,11.00M,,,,,,-6.00M,,,26.10M,26.10M,-9.10M,,,5.10M,-17.90M,-8.60M,16.30M,,14.80M,5.30M,9.90M,,37.00M,-19.10M,3.60M,-15.50M,0.00,,,-15.50M,,,-19.00M,2.70M,,2.70M,,-3.30M,-1.80M,-21.40M,8.10M,0.10M,-0.20M,8.00M,2.70M,,,,,
2006-03,5.20M,,,,,,10.50M,,,25.90M,25.90M,3.40M,,,-0.70M,-12.40M,-10.30M,28.20M,,14.30M,-10.60M,9.20M,,53.50M,-13.60M,0.50M,-13.10M,-7.80M,,,-20.90M,,,-36.30M,1.30M,,1.30M,,-3.30M,-2.70M,-41.00M,16.50M,-8.40M,0.00,8.10M,1.30M,,,,,
2005-12,-9.00M,,,,,,4.10M,,,25.80M,25.80M,3.90M,,,0.70M,6.80M,5.40M,-2.20M,,-14.30M,-6.30M,-10.60M,,14.90M,-13.50M,0.30M,-13.20M,,,,-13.20M,,,-11.60M,1.60M,,1.60M,,-3.30M,1.70M,-11.60M,26.80M,-9.90M,-0.40M,16.50M,1.60M,,,,,
2005-09,4.896M,,,,,,-3.203M,-57.52M,-1.247M,25.23M,25.23M,2.039M,,,,3.039M,8.614M,5.436M,3.829M,-2.905M,,12.11M,,54.58M,-20.11M,0.688M,-19.42M,1.668M,-0.03M,-0.051M,-17.83M,,,-30.14M,1.438M,0.244M,1.682M,,-3.212M,-6.201M,-37.87M,27.30M,-1.125M,0.591M,26.80M,1.438M,,,0.244M,,
2005-06,11.98M,,,,,,-2.885M,57.52M,1.247M,21.74M,21.74M,2.41M,,,,3.361M,1.28M,8.124M,0.459M,15.64M,,28.86M,,62.11M,-11.74M,2.804M,-8.938M,-553.97M,31.23M,-0.049M,-531.63M,,,476.15M,0.903M,-0.244M,0.659M,,-3.238M,-5.21M,468.36M,28.50M,-1.164M,-0.046M,27.30M,0.903M,,,-0.244M,,
2005-03,0.24M,,,,,,5.901M,,,18.58M,18.58M,-1.626M,,,,-6.576M,4.898M,1.569M,-0.819M,-7.939M,,-8.867M,,14.23M,-12.28M,0.465M,-11.81M,0.075M,-3.00M,,-14.83M,,,-3.607M,0.935M,,0.935M,,-3.228M,0.00,-5.90M,63.19M,-6.503M,0.05M,28.50M,0.935M,,,,,
2004-12,0.482M,,,,,,4.187M,,,18.45M,18.45M,1.177M,,,,23.58M,-5.292M,-11.93M,-3.469M,-4.794M,,-1.908M,,22.39M,-10.17M,2.043M,-8.131M,-0.075M,,,-8.206M,,,-6.104M,1.824M,,1.824M,,-3.222M,-0.589M,-8.091M,56.89M,6.092M,0.205M,63.19M,1.824M,,,,,
2004-09,6.501M,,,,,,-17.47M,-55.55M,-1.011M,17.64M,17.64M,-1.38M,,,27.50M,-5.793M,-0.458M,11.15M,2.653M,0.814M,,4.569M,0.027M,37.39M,-12.19M,0.573M,-11.61M,-13.71M,-7.07M,-0.053M,-32.47M,,,-5.679M,1.001M,,1.001M,,-3.034M,1.302M,-6.41M,30.06M,-1.483M,0.098M,28.70M,1.001M,,,,,
2004-06,-4.076M,,,,,,3.978M,55.55M,1.011M,19.40M,19.40M,1.068M,,,-0.001M,-0.079M,-4.132M,1.151M,-0.316M,4.069M,,0.693M,-0.078M,20.98M,-18.27M,0.249M,-18.02M,-0.193M,-21.13M,-0.044M,-39.39M,,,-19.23M,2.914M,,2.914M,,-2.997M,-5.421M,-24.73M,73.22M,-43.14M,-0.015M,30.06M,2.914M,,,,,
2004-03,3.009M,,,,,,10.18M,,,18.56M,18.56M,-1.034M,,,,-15.50M,-0.729M,5.95M,3.825M,-2.755M,,-9.207M,-0.08M,21.43M,-13.86M,4.485M,-9.378M,-1.094M,,-0.003M,-10.50M,,,-0.085M,1.374M,,1.374M,,-2.991M,3.819M,2.117M,59.96M,13.05M,0.21M,73.22M,1.374M,,,,,
2003-12,4.166M,,,,,,5.407M,,,18.60M,18.60M,-3.354M,,,,9.97M,-1.981M,-11.35M,-6.162M,-2.128M,,-11.66M,0.531M,13.70M,-16.48M,0.693M,-15.79M,,,-0.10M,46.06M,,,-12.61M,1.411M,,1.411M,,-2.978M,,-14.17M,14.17M,45.58M,0.207M,59.96M,1.411M,,,,,
2003-09,9.929M,,,,,,4.841M,,,15.37M,15.37M,-5.483M,,,,-8.873M,6.297M,-3.111M,8.147M,9.239M,,11.70M,4.584M,40.94M,-13.08M,1.468M,-11.62M,-15.43M,,1.219M,-29.42M,,,-3.955M,2.456M,0.00,2.456M,,-4.195M,0.489M,-5.205M,8.205M,6.317M,-0.349M,14.17M,2.456M,,,0.00,,
2003-06,7.536M,,,,,,-18.24M,,,21.85M,21.85M,16.52M,,,,-2.48M,-5.044M,6.671M,-12.54M,10.88M,,-2.51M,-2.914M,22.24M,-12.92M,0.155M,-12.77M,-1.199M,,-23.20M,-36.57M,,,13.79M,1.84M,0.00,1.84M,,-5.141M,6.663M,17.15M,5.519M,2.818M,-0.132M,8.205M,1.84M,,,0.00,,
2003-03,7.131M,,,,,,4.429M,,,17.50M,17.50M,-1.83M,,,,-8.613M,2.211M,10.54M,2.023M,-9.168M,,-3.004M,1.044M,25.27M,-15.00M,0.567M,-14.44M,-65.22M,,-0.155M,-80.07M,,,53.91M,0.966M,0.00,0.966M,,-2.753M,2.322M,54.45M,6.804M,-0.352M,-0.933M,5.519M,0.966M,,,0.00,,
2002-12,4.945M,,,,,,3.741M,,,17.95M,17.95M,2.482M,,,,19.26M,-1.368M,-11.16M,-2.302M,-9.084M,,-4.655M,1.87M,26.34M,-16.39M,6.126M,-10.27M,,,-0.082M,-10.68M,,,-11.83M,1.015M,-1.313M,-0.298M,,-2.755M,-1.10M,-15.98M,6.56M,-0.321M,0.565M,6.804M,1.015M,,,-1.313M,,
2002-09,6.443M,,,,,,-5.528M,,,13.86M,13.86M,-0.252M,,,,-0.589M,3.72M,7.104M,-4.814M,8.083M,,13.50M,,34.97M,-19.16M,-0.047M,-19.21M,-2.475M,,1.516M,-24.97M,,,-22.99M,1.437M,0.00,1.437M,,-6.248M,20.21M,-7.597M,4.255M,2.403M,-0.098M,6.56M,1.437M,,,0.00,,
2002-06,-0.373M,,,,,,14.72M,,,18.09M,18.09M,1.108M,,,,-5.092M,-5.191M,2.874M,-1.398M,16.01M,,7.206M,,40.75M,-24.89M,8.898M,-15.99M,-1.116M,,-1.586M,-18.69M,,,-18.91M,1.524M,-0.345M,1.179M,,-2.556M,-0.996M,-21.28M,3.31M,0.778M,0.167M,4.255M,1.524M,,,-0.345M,,
2002-03,11.58M,,,,,,0.565M,,,18.38M,18.38M,1.891M,,,,-16.43M,-1.859M,3.965M,4.588M,-11.31M,,-21.05M,,11.38M,-17.57M,1.744M,-15.83M,-12.77M,,-1.292M,-29.89M,,,15.32M,3.89M,,3.89M,,-2.532M,-1.144M,15.54M,5.919M,-2.979M,0.37M,3.31M,3.89M,,,,,
2001-12,12.20M,,,,,,1.917M,,,17.76M,17.76M,2.87M,,,,22.26M,-2.367M,-18.48M,-1.466M,-6.738M,,-6.786M,,27.96M,-11.08M,0.804M,-10.27M,-8.988M,,-0.358M,-19.62M,,,-5.817M,0.829M,,0.829M,,-2.522M,-0.571M,-8.081M,5.191M,0.258M,0.47M,5.919M,0.829M,,,,,
2001-09,9.294M,,,,,,6.845M,,,19.67M,19.67M,1.336M,,,,-14.66M,-0.566M,9.373M,3.973M,18.77M,,16.90M,,54.04M,-20.76M,0.216M,-20.55M,,,-0.971M,-21.52M,,,-25.25M,0.638M,0.00,0.638M,,0.983M,-6.659M,-30.28M,2.964M,2.24M,-0.013M,5.191M,0.638M,,,0.00,,
2001-06,9.12M,,,,,,2.138M,,,19.66M,19.66M,3.945M,,,,12.12M,-4.309M,-7.214M,-3.638M,1.414M,,-1.627M,,33.24M,-17.65M,0.362M,-17.29M,,,-0.121M,-17.41M,,,-12.28M,0.724M,0.00,0.724M,,-5.993M,1.532M,-16.02M,3.075M,-0.19M,0.079M,2.964M,0.724M,,,0.00,,
2001-03,7.604M,,,,,,0.557M,,,19.00M,19.00M,2.419M,,,,-18.85M,2.972M,4.802M,3.64M,9.657M,,2.22M,,31.80M,-17.52M,0.274M,-17.24M,,,-4.627M,-21.87M,,,-12.69M,0.598M,0.00,0.598M,,-2.502M,-1.239M,-15.84M,8.875M,-5.903M,0.103M,3.075M,0.598M,,,0.00,,
2000-12,4.505M,,,,,,1.068M,,,19.26M,19.26M,-1.091M,,,,19.17M,-1.662M,-4.985M,-1.004M,-8.315M,,3.202M,,26.95M,-16.63M,0.182M,-16.45M,,,-2.644M,-19.09M,,,1.04M,0.417M,-2.324M,-1.907M,,-2.495M,-1.05M,-4.412M,5.449M,3.44M,-0.014M,8.875M,0.417M,,,-2.324M,,
2000-09,6.125M,,,,,,1.213M,,,19.10M,19.10M,6.641M,,,,-8.668M,8.885M,7.225M,2.668M,-3.201M,,6.909M,,39.98M,-27.05M,0.369M,-26.68M,,,-5.665M,-32.35M,,,3.134M,0.715M,-6.773M,-6.058M,,0.626M,-7.236M,-9.534M,7.354M,-1.898M,-0.007M,5.449M,0.715M,,,-6.773M,,
2000-06,2.605M,,,,,,1.269M,,,19.51M,19.51M,2.867M,,,,-2.614M,-7.25M,8.86M,-2.159M,9.894M,,6.731M,,32.98M,-21.29M,1.717M,-19.57M,,,0.00,-19.57M,,,3.075M,0.869M,-8.908M,-8.039M,,-5.763M,1.679M,-9.048M,3.063M,4.366M,-0.075M,7.354M,0.869M,,,-8.908M,,
2000-03,-33.25M,,,,,,50.88M,,,19.35M,19.35M,-10.19M,,,,-14.59M,3.503M,3.405M,-2.46M,-0.076M,,-10.22M,,16.58M,-22.70M,-0.677M,-23.38M,,,0.053M,-23.32M,,,10.77M,1.064M,-4.764M,-3.70M,,-2.647M,-0.379M,4.04M,5.60M,-2.709M,0.134M,3.063M,1.064M,,,-4.764M,,
1999-12,8.60M,,,,,,0.80M,,,19.10M,19.10M,1.00M,,,,8.50M,-10.50M,-7.80M,-0.20M,-6.60M,,-16.60M,,12.90M,-23.60M,0.80M,-22.80M,,,-3.30M,-26.10M,,,19.00M,1.10M,-1.80M,-0.70M,,-2.60M,-1.30M,14.40M,4.50M,1.20M,-0.10M,5.60M,1.10M,,,-1.80M,,
1999-09,12.20M,,,,,,2.40M,,,18.28M,18.28M,0.60M,,,0.525M,-10.70M,3.80M,4.80M,0.00,0.50M,,-1.60M,,32.40M,-25.40M,0.10M,-25.30M,,,0.10M,-25.20M,,,-2.60M,0.80M,,0.80M,,2.10M,-6.00M,-5.70M,3.10M,1.50M,0.00,4.50M,0.80M,,,,,
1999-06,9.90M,,,,,,1.60M,,,18.00M,18.00M,1.00M,,,-0.40M,-9.80M,-10.40M,3.90M,3.90M,10.70M,,-1.70M,,28.40M,-24.30M,0.20M,-24.10M,,,0.00,-24.10M,,,0.80M,0.70M,,0.70M,,-7.40M,2.70M,-3.20M,2.00M,1.10M,0.00,3.10M,0.70M,,,,,
1999-03,8.80M,,,,,,1.50M,,,18.20M,18.20M,0.80M,,,-0.20M,-16.10M,4.30M,-0.90M,-5.60M,-6.40M,,-24.70M,,4.40M,-21.40M,0.40M,-21.00M,,,-0.10M,-21.10M,,,13.40M,0.80M,,0.80M,,-2.60M,-1.70M,9.90M,0.00,-6.80M,0.20M,2.00M,0.80M,,,,,
1998-12,8.80M,,,,,,1.20M,,,18.00M,18.00M,1.00M,,,0.10M,16.10M,-3.80M,12.40M,-1.20M,-5.40M,,18.10M,,47.20M,-21.20M,0.40M,-20.80M,,,,-20.80M,,,-21.10M,0.80M,,0.80M,,-2.60M,-0.90M,-23.80M,5.80M,2.60M,0.20M,0.00,0.80M,,,,,
1998-09,11.70M,,,,,,2.40M,,,18.03M,18.03M,1.40M,,,0.473M,-7.10M,8.70M,-2.60M,0.20M,6.30M,,5.50M,,39.50M,-20.50M,1.00M,-19.50M,,,0.00,-19.50M,,,-4.80M,1.10M,,-3.30M,,3.20M,-16.80M,-21.70M,0.00,-1.70M,-0.10M,5.80M,1.10M,,,,,
1998-06,11.80M,,,,,,1.50M,,,17.80M,17.80M,0.40M,,,-0.50M,1.00M,0.40M,0.10M,5.80M,4.80M,,12.10M,,43.10M,-24.00M,0.60M,-23.40M,,,0.00,-23.40M,,,-13.30M,0.70M,,0.70M,,-4.60M,0.10M,-17.10M,0.00,2.60M,-0.10M,0.00,0.70M,,,,,
